team,pos,fpl_first_name,fpl_last_name,fpl_web_name,start_cost,now_cost,FPL_ID,Understat_ID
Arsenal,M,Mesut,Özil,Özil,7,6.7,1,499
Arsenal,D,Sokratis,Papastathopoulos,Sokratis,5,4.8,2,371
Arsenal,D,David,Luiz Moreira Marinho,David Luiz,5.5,5.4,3,1676
Arsenal,M,Pierre-Emerick,Aubameyang,Aubameyang,12,11.3,4,318
Arsenal,D,Cédric,Soares,Cédric,5,4.6,5,847
Arsenal,F,Alexandre,Lacazette,Lacazette,8.5,8.4,6,3277
Arsenal,D,Shkodran,Mustafi,Mustafi,5,5.0,7,1699
Arsenal,G,Bernd,Leno,Leno,5,5.0,8,181
Arsenal,M,Granit,Xhaka,Xhaka,5.5,5.2,9,204
Arsenal,D,Pablo,Marí,Marí,4.5,4.4,10,8380
Arsenal,D,Héctor,Bellerín,Bellerín,5,5.1,11,492
Aston Villa,G,Emiliano,Martínez,Martínez,4.5,5.2,12,4401
Arsenal,D,Calum,Chambers,Chambers,4.5,4.5,13,508
Arsenal,D,Sead,Kolasinac,Kolasinac,5,4.8,14,342
West Brom,D,Ainsley,Maitland-Niles,Maitland-Niles,5,4.6,15,1750
Arsenal,D,Rob,Holding,Holding,4.5,4.6,16,1749
Arsenal,D,Kieran,Tierney,Tierney,5.5,5.3,17,8089
Arsenal,M,Nicolas,Pépé,Pépé,8,7.6,18,5656
Arsenal,M,Lucas,Torreira,Torreira,5,4.7,19,1227
Newcastle,M,Joseph,Willock,Willock,5,4.7,20,6630
Arsenal,M,Reiss,Nelson,Nelson,5.5,5.1,21,6492
Arsenal,F,Edward,Nketiah,Nketiah,6,5.4,22,6482
Arsenal,M,Emile,Smith Rowe,Smith Rowe,4.5,4.4,23,7230
Arsenal,M,Bukayo,Saka,Saka,5.5,5.4,24,7322
Arsenal,M,Matteo,Guendouzi,Guendouzi,5,4.7,25,5759
Arsenal,M,Gabriel Teodoro,Martinelli Silva,Martinelli,5,4.9,26,7752
Arsenal,D,William,Saliba,Saliba,4.5,4.0,27,6888
Aston Villa,G,Tom,Heaton,Heaton,4.5,4.5,28,1651
Aston Villa,D,Ahmed,El Mohamady,El Mohamady,4.5,4.3,29,1685
Aston Villa,M,Henri,Lansbury,Lansbury,4.5,4.3,30,7727
Aston Villa,D,Neil,Taylor,Taylor,4.5,4.2,31,710
Aston Villa,G,Jed,Steer,Steer,4,3.9,32,4475
Aston Villa,M,Conor,Hourihane,Hourihane,6,5.9,33,7721
Aston Villa,M,José Ignacio,Peleteiro Romallo,Jota,6,5.9,34,2132
Aston Villa,G,Ørjan,Nyland,Nyland,4,4.0,35,250
Aston Villa,D,Bjorn,Engels,Engels,4.5,4.4,36,7152
Aston Villa,M,Jack,Grealish,Grealish,7,7.8,37,675
Aston Villa,M,John,McGinn,McGinn,5.5,5.5,38,7723
Aston Villa,D,Kortney,Hause,Hause,4.5,4.4,39,6859
Aston Villa,M,Mahmoud Ahmed,Ibrahim Hassan,Trézéguet,5.5,5.2,40,7722
Aston Villa,D,Tyrone,Mings,Mings,5,5.4,41,1024
Aston Villa,D,Matt,Targett,Targett,4.5,4.8,42,884
Aston Villa,D,James,Bree,Bree,4.5,4.5,43,-1
Aston Villa,M,Marvelous,Nakamba,Nakamba,4.5,4.3,44,8040
Aston Villa,M,Anwar,El Ghazi,El Ghazi,6,5.5,45,5612
Aston Villa,D,Ezri,Konsa Ngoyo,Konsa,4.5,4.6,46,7726
Aston Villa,D,Frédéric,Guilbert,Guilbert,4.5,4.3,47,3253
Aston Villa,F,Wesley,Moraes,Wesley,6,6.0,48,7724
Aston Villa,F,Mbwana,Samatta,Samatta,6,5.9,49,8287
Aston Villa,F,Keinan,Davis,Davis,4.5,4.3,50,1053
Aston Villa,F,Indiana,Vassilev,Vassilev,4.5,4.3,51,8254
Aston Villa,M,Douglas Luiz,Soares de Paulo,Douglas Luiz,5,4.9,52,6122
Brighton,F,Glenn,Murray,Murray,5,4.8,53,882
Brighton,M,Adam,Lallana,Lallana,6.5,6.2,54,486
Burnley,M,Dale,Stephens,Stephens,4.5,4.2,55,6051
West Brom,G,David,Button,Button,4,4.0,56,6843
Brighton,M,Pascal,Groß,Groß,6,5.8,57,239
Brighton,D,Shane,Duffy,Duffy,4.5,4.3,58,6047
Brighton,M,Davy,Pröpper,Pröpper,5,4.8,59,6050
Brighton,M,Aaron,Mooy,Mooy,5,5.0,60,6033
Brighton,D,Dan,Burn,Burn,4.5,4.2,61,7382
Brighton,D,Lewis,Dunk,Dunk,5,4.8,62,6048
Brighton,D,Martín,Montoya,Montoya,4.5,4.5,63,1950
Brighton,F,Florin,Andone,Andone,5,4.8,64,4068
Brighton,M,Solomon,March,March,5,5.0,65,6049
Brighton,D,Adam,Webster,Webster,4.5,4.4,66,7699
Brighton,D,Joël,Veltman,Veltman,4.5,4.3,67,8780
Brighton,F,Neal,Maupay,Maupay,6.5,6.1,68,3621
Brighton,M,Leandro,Trossard,Trossard,6,5.7,69,7698
Arsenal,G,Mathew,Ryan,Ryan,4.5,4.2,70,2385
Brighton,M,Alireza,Jahanbakhsh,Jahanbakhsh,5.5,5.4,71,6842
Brighton,M,José,Izquierdo,Izquierdo,5.5,5.5,72,6231
Brighton,D,Matthew,Clarke,Clarke,4.5,4.4,73,-1
Brighton,D,Ben,White,White,4.5,4.4,74,7298
Brighton,D,Bernardo,Fernandes da Silva Junior,Bernardo,4,3.9,75,5245
Brighton,M,Yves,Bissouma,Bissouma,4.5,4.4,76,5609
Brighton,D,Tariq,Lamptey,Lamptey,4.5,4.6,77,8226
Brighton,F,Aaron,Connolly,Connolly,5.5,5.2,78,7991
Brighton,M,Steven,Alzate,Alzate,4.5,4.3,79,8020
Brighton,M,Alexis,Mac Allister,Mac Allister,5.5,5.3,80,8379
Burnley,D,James,Tarkowski,Tarkowski,5.5,5.3,81,1665
Burnley,D,Phil,Bardsley,Bardsley,4.5,4.4,82,857
Burnley,D,Erik,Pieters,Pieters,4.5,4.3,83,887
Burnley,M,Jack,Cork,Cork,5,5.0,84,712
Burnley,D,Kevin,Long,Long,4.5,4.3,85,1747
Burnley,F,Jay,Rodriguez,Rodriguez,6,5.8,86,844
Burnley,F,Ashley,Barnes,Barnes,6,6.0,87,4422
Burnley,D,Ben,Mee,Mee,5,4.9,88,1654
Burnley,M,Ashley,Westwood,Westwood,5.5,5.3,89,669
Burnley,M,Johann Berg,Gudmundsson,Gudmundsson,5.5,5.4,90,1663
Burnley,F,Chris,Wood,Wood,6.5,6.2,91,4456
Burnley,D,Matthew,Lowton,Lowton,4.5,4.4,92,1652
Burnley,F,Matej,Vydra,Vydra,5,4.8,93,1017
Burnley,D,Ben,Gibson,Gibson,4,3.9,94,1707
Burnley,M,Robbie,Brady,Brady,5,5.0,95,789
Burnley,G,Nick,Pope,Pope,5.5,5.5,96,5552
Burnley,D,Charlie,Taylor,Taylor,4.5,4.5,97,6044
