id,name,team,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,total
356,Alexander Meier,Eintracht Frankfurt,0,-,0,1,1,0,2,1,1,0,0,1,1,2,0,2,1,0,0,1,0,0,2,2,1,0,0,-,-,-,-,-,-,-,19
227,Robert Lewandowski,Bayern Munich,0,1,0,0,1,0,2,-,0,1,0,1,0,0,1,0,-,0,0,0,1,2,1,0,2,0,1,2,0,0,-,0,0,1,17
392,Arjen Robben,Bayern Munich,1,-,-,-,0,0,2,0,-,1,0,1,1,0,2,1,1,0,1,1,2,2,1,0,-,0,-,-,-,-,-,-,-,-,17
158,Bas Dost,Wolfsburg,-,-,-,-,-,-,-,0,-,-,-,-,0,1,0,0,1,2,0,1,4,2,2,0,0,-,0,0,0,-,1,2,0,0,16
318,Pierre-Emerick Aubameyang,Borussia Dortmund,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,1,0,-,0,2,1,1,1,0,0,2,0,0,1,1,0,0,1,1,16
224,Thomas Müller,Bayern Munich,1,0,0,0,1,0,-,1,0,0,3,0,0,0,0,1,0,0,0,0,2,0,0,2,1,0,0,1,0,0,-,0,0,0,13
341,Franco Di Santo,Werder Bremen,1,0,1,1,0,0,1,0,0,2,0,-,-,-,-,-,-,2,1,-,1,0,1,1,-,0,0,0,1,0,0,0,0,0,13
186,Karim Bellarabi,Bayer Leverkusen,1,1,0,0,0,0,1,1,0,0,0,1,2,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,-,0,1,12
754,Shinji Okazaki,Mainz 05,1,0,2,1,1,-,0,0,0,1,0,0,1,1,0,0,0,0,-,0,0,0,0,1,1,0,0,0,2,0,0,0,0,0,12
210,Raffael,Borussia M.Gladbach,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,-,-,0,-,0,0,0,0,2,0,2,1,1,0,0,0,0,2,1,12
453,Son Heung-Min,Bayer Leverkusen,0,0,1,-,1,0,0,2,0,0,0,1,0,0,0,0,0,-,-,0,3,0,0,2,0,0,-,1,0,0,0,0,0,0,11
155,Max Kruse,Borussia M.Gladbach,-,-,1,0,1,0,1,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,11
420,Patrick Herrmann,Borussia M.Gladbach,-,-,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,1,1,0,0,0,1,0,2,0,2,0,0,0,0,1,0,0,11
291,Haris Seferovic,Eintracht Frankfurt,1,0,0,0,1,1,0,0,0,-,0,0,1,1,1,1,0,0,0,0,0,0,-,0,0,1,0,0,0,0,0,1,0,1,10
447,Kevin De Bruyne,Wolfsburg,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,2,1,2,0,0,0,0,1,0,0,0,1,0,0,0,0,0,10
119,Anthony Ujah,FC Cologne,0,1,0,0,0,0,0,-,1,0,1,1,0,1,1,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,-,0,10
273,Raúl Bobadilla,Augsburg,-,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,1,1,0,1,0,-,10
208,Lars Stindl,Hannover 96,-,-,-,-,-,-,-,-,-,-,0,0,2,0,1,0,0,0,0,0,0,0,1,-,-,2,0,0,0,1,-,1,2,0,10
288,Stefan Aigner,Eintracht Frankfurt,-,-,-,0,0,0,0,0,1,0,0,0,0,1,1,1,-,0,1,1,0,1,0,0,1,0,1,0,0,-,-,0,0,0,9
407,Martin Harnik,VfB Stuttgart,0,0,0,0,-,-,0,1,2,0,0,0,2,0,-,0,0,0,0,0,0,0,0,-,-,0,1,0,-,1,1,0,1,0,9
340,Klaas-Jan Huntelaar,Schalke 04,1,-,0,0,0,0,1,1,0,1,0,0,3,0,0,0,0,0,-,-,-,-,0,0,0,0,0,0,0,0,2,-,0,0,9
339,Eric Maxim Choupo-Moting,Schalke 04,0,0,1,1,0,1,0,0,0,0,0,2,0,3,0,1,0,0,0,0,0,0,0,0,-,-,0,0,-,0,0,0,0,0,9
4248,Nils Petersen,Freiburg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,0,0,-,-,-,-,-,1,0,0,0,2,1,0,1,1,9
190,Stefan Kießling,Bayer Leverkusen,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,2,1,1,0,0,0,1,0,9
4280,Davie Selke,Werder Bremen,0,0,0,1,0,0,0,-,0,-,-,0,1,0,1,0,1,0,0,1,0,0,0,0,0,1,0,1,0,1,1,0,0,-,9
422,Mario Götze,Bayern Munich,0,0,1,0,2,1,-,2,0,0,0,1,0,0,0,0,0,0,0,0,2,-,0,0,0,0,0,0,0,0,0,0,0,0,9
397,Tobias Werner,Augsburg,0,0,0,1,0,0,0,1,-,0,2,0,0,0,0,-,-,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,8
189,Hakan Calhanoglu,Bayer Leverkusen,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,-,0,0,0,1,0,0,1,0,1,0,8
83,Kevin Volland,Hoffenheim,0,0,0,0,0,0,0,0,1,-,0,0,1,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,-,1,1,0,0,8
866,Joselu,Hannover 96,1,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,1,0,0,0,0,-,0,0,0,0,-,-,-,8
2633,Julian Schieber,Hertha Berlin,2,1,0,0,-,0,-,-,-,-,-,0,0,1,1,1,0,0,0,0,0,1,-,-,-,-,-,-,-,-,-,-,-,-,7
482,Roberto Firmino,Hoffenheim,0,1,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-,1,7
157,Daniel Caligiuri,Wolfsburg,0,0,0,0,0,0,-,2,1,0,-,-,-,-,0,0,0,0,0,0,0,0,2,0,0,-,0,1,0,0,0,0,1,0,7
147,Naldo,Wolfsburg,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,-,0,0,0,0,0,0,0,1,-,7
319,Marco Reus,Borussia Dortmund,0,1,-,-,-,-,-,0,0,1,0,1,-,-,-,-,-,0,0,1,1,1,1,0,0,0,0,-,-,0,-,-,0,0,7
426,Daniel Ginczek,VfB Stuttgart,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,-,-,-,-,-,0,0,0,2,0,2,1,1,0,0,0,1,7
137,Anthony Modeste,Hoffenheim,0,-,1,1,0,0,-,1,-,1,-,0,-,0,0,0,-,0,0,0,0,0,-,0,-,0,0,1,0,1,0,0,0,1,7
26,Salomon Kalou,Hertha Berlin,-,-,0,0,1,0,2,0,0,1,0,0,0,1,-,-,0,-,-,-,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6
264,Paul Verhaegh,Augsburg,0,0,0,1,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,-,-,-,-,-,-,0,0,0,0,0,0,1,-,6
209,Josip Drmic,Bayer Leverkusen,-,-,0,1,0,0,0,0,-,0,0,0,2,0,-,-,0,0,-,0,0,1,0,0,2,-,0,0,-,0,0,0,-,0,6
308,Ricardo Rodríguez,Wolfsburg,0,0,0,2,0,1,0,0,-,-,-,0,-,0,-,0,0,0,0,0,0,0,-,0,1,-,2,0,0,0,0,0,0,-,6
301,Zlatko Junuzovic,Werder Bremen,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,-,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,6
27,Vladimir Darida,Freiburg,0,0,0,0,1,-,1,0,0,1,0,0,1,1,0,-,0,1,0,0,0,0,0,0,0,0,0,-,0,0,0,0,0,0,6
248,Elias Kachunga,Paderborn,1,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,-,0,0,0,0,0,-,0,0,0,1,0,0,0,0,0,0,6
45,Yunus Malli,Mainz 05,0,0,0,-,0,-,0,-,0,0,0,0,0,0,0,0,0,2,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,6
60,Christian Gentner,VfB Stuttgart,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,-,1,0,0,0,0,1,0,0,0,0,1,0,5
321,Shinji Kagawa,Borussia Dortmund,-,-,1,0,0,0,0,0,0,0,0,0,0,-,-,-,0,-,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,5
134,Marcel Risse,FC Cologne,0,0,0,0,0,0,1,0,0,-,-,-,-,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,-,0,0,1,0,0,5
86,Eugen Polanski,Hoffenheim,0,0,0,0,0,0,0,0,0,0,0,-,1,0,0,-,0,0,0,0,-,0,1,0,2,0,-,1,0,0,0,0,0,0,5
448,Ivan Perisic,Wolfsburg,-,-,-,-,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,0,0,0,0,0,1,0,0,1,5
303,Ivica Olic,Wolfsburg,1,0,1,-,0,1,0,0,0,0,1,1,0,0,-,0,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,5
271,Ja-Cheol Koo,Mainz 05,1,0,0,-,-,-,-,-,0,0,0,0,0,0,-,0,0,-,-,-,0,0,-,0,1,0,0,2,0,0,0,0,1,-,5
132,Matthias Lehmann,FC Cologne,0,0,0,0,0,0,0,0,0,0,1,0,1,-,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,-,0,5
329,Franck Ribéry,Bayern Munich,-,-,1,-,-,-,-,0,0,0,0,0,0,1,0,0,0,-,-,-,1,1,1,0,-,-,-,-,-,-,-,-,-,-,5
907,Bastian Schweinsteiger,Bayern Munich,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,1,0,0,0,0,-,1,0,0,0,0,-,-,1,0,0,1,1,5
396,Hiroshi Kiyotake,Hannover 96,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,-,0,1,0,0,0,0,0,-,0,0,0,1,5
338,Max Meyer,Schalke 04,0,0,-,0,1,0,0,0,0,0,0,-,0,1,0,0,-,0,0,-,0,1,-,2,0,0,0,0,0,-,0,0,0,0,5
115,Fin Bartels,Werder Bremen,-,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,-,0,0,0,0,0,-,-,-,0,0,0,4
2648,Änis Ben-Hatira,Hertha Berlin,-,-,0,-,-,0,0,0,2,-,-,0,0,0,0,1,0,-,-,-,-,-,0,-,1,0,-,-,-,-,0,-,-,-,4
36,Roy Beerens,Hertha Berlin,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,-,-,0,1,0,0,0,0,0,0,0,0,-,-,-,-,-,1,4
4246,Mike Frantz,Freiburg,0,0,0,0,2,-,0,0,-,0,0,0,0,0,-,-,1,0,0,0,-,-,-,0,0,0,1,0,0,-,0,-,0,0,4
194,Admir Mehmedi,Freiburg,0,0,0,-,-,-,0,0,0,0,0,1,0,0,0,0,0,0,-,-,-,0,0,0,0,0,0,0,1,0,0,1,1,0,4
336,Johannes Geis,Mainz 05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,4
81,Jonathan Schmid,Freiburg,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,-,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,4
90,Sebastian Rudy,Hoffenheim,0,0,0,0,1,0,0,0,0,0,0,0,0,0,-,0,1,-,0,-,1,0,0,-,1,0,0,0,0,0,-,0,0,0,4
78,Tarik Elyounoussi,Hoffenheim,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,-,0,0,0,-,0,-,-,0,0,-,-,-,-,-,0,0,0,4
300,Daniel Didavi,VfB Stuttgart,0,0,-,0,2,0,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,0,0,1,0,1,4
4273,Alexander Madlung,Eintracht Frankfurt,-,-,-,-,-,0,0,-,2,0,-,0,-,-,0,0,0,0,-,0,0,0,0,0,0,0,1,0,0,0,-,-,0,1,4
