id,name,team,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,total
3277,Alexandre Lacazette,Lyon,1,1,0,1,0,0,1,0,3,1,0,2,1,0,0,0,2,2,2,2,1,1,-,-,-,0,0,2,0,-,1,1,0,1,1,0,0,-,27
4747,André-Pierre Gignac,Marseille,2,0,1,0,1,2,2,0,1,1,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,1,0,0,2,0,0,0,2,0,1,0,21
1741,Zlatan Ibrahimovic,Paris Saint Germain,2,0,-,3,0,0,-,-,-,-,-,-,0,0,1,-,2,0,0,0,0,1,0,1,1,0,-,1,2,3,0,-,-,-,0,2,-,-,19
3294,Edinson Cavani,Paris Saint Germain,0,1,0,1,0,1,0,0,0,1,-,1,1,0,0,1,0,0,0,-,1,0,0,0,-,0,0,0,0,0,0,1,2,1,1,3,0,2,18
2502,Claudio Beauvue,Guingamp,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,2,1,0,0,1,1,2,1,0,-,0,-,0,0,0,1,0,1,1,1,0,1,1,17
464,Max Gradel,Saint-Etienne,0,1,0,0,-,0,0,0,0,0,1,1,0,0,0,0,0,0,1,-,-,-,-,-,0,1,1,1,1,2,-,0,1,1,0,1,2,2,17
3261,Diego Rolan,Bordeaux,0,2,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,-,0,1,0,0,-,1,0,0,2,1,1,0,0,0,0,0,2,0,2,15
3210,Wissam Ben Yedder,Toulouse,1,1,0,0,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-,1,0,1,0,1,1,0,0,-,0,1,1,1,14
3667,Nabil Fekir,Lyon,0,-,-,-,1,0,2,0,0,1,0,0,2,-,0,0,0,0,1,1,0,0,0,0,0,1,0,2,0,0,1,0,0,0,0,0,1,0,13
672,Jordan Ayew,Lorient,-,0,0,1,0,0,0,0,0,-,1,0,0,0,1,1,0,1,1,-,-,-,-,-,1,0,0,0,1,1,0,0,0,2,0,1,0,0,12
4708,Christophe Mandanne,Guingamp,0,0,0,0,1,0,0,-,-,-,0,-,0,0,-,2,1,-,0,1,-,1,0,0,1,0,0,0,2,0,0,0,0,0,1,0,1,0,11
4694,Lucas Barrios,Montpellier,-,0,0,0,0,-,0,-,0,0,-,0,0,-,-,0,1,1,0,0,3,1,0,0,-,1,1,2,0,1,0,0,0,0,0,0,0,0,11
4753,Carlos Eduardo,Nice,-,-,-,-,0,0,0,1,0,0,5,0,0,-,0,0,0,0,-,1,0,0,0,0,0,0,0,1,0,1,-,-,0,0,1,0,0,0,10
1029,Modibo Maiga,Metz,-,-,-,0,0,-,0,-,0,0,-,2,0,2,0,0,-,-,-,-,-,-,-,0,0,0,0,0,0,0,3,1,0,1,0,0,0,0,9
3230,Paul-Georges Ntep,Rennes,0,2,0,0,0,0,0,0,2,0,0,-,0,1,0,1,0,0,0,1,-,-,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,9
713,André Ayew,Marseille,0,0,0,0,0,0,2,0,0,0,0,0,-,-,-,-,1,0,0,-,-,-,-,-,1,0,1,1,0,0,0,-,0,1,0,1,1,0,9
3512,Nolan Roux,Lille,0,-,0,1,0,-,0,-,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,-,-,1,0,0,1,0,1,0,0,1,0,2,9
734,Wahbi Khazri,Bordeaux,0,1,0,0,0,1,0,1,0,0,0,0,1,0,-,0,1,0,0,-,-,-,-,1,0,1,0,0,1,0,-,0,0,1,0,0,0,0,9
3635,Bernardo Silva,Monaco,-,0,-,-,-,0,0,0,0,0,0,0,-,0,0,-,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,2,1,1,1,0,1,0,9
553,Anthony Martial,Monaco,0,-,0,0,0,0,-,0,1,0,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,1,0,1,0,1,1,0,0,0,9
1451,Anthony Mounier,Montpellier,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,1,0,-,0,0,0,0,0,1,0,0,0,0,0,1,1,-,9
3570,Benjamin Moukandjo,Reims,-,0,0,0,-,1,0,0,0,0,1,1,1,-,1,1,0,0,0,-,-,-,0,1,0,0,0,0,0,0,0,0,-,0,0,1,0,0,8
3577,Cheick Diabaté,Bordeaux,1,0,1,-,1,0,-,0,0,1,-,0,1,-,1,0,2,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8
104,Mevlüt Erdinc,Saint-Etienne,2,1,0,0,0,0,0,0,-,-,-,0,0,-,-,-,-,-,-,0,0,0,-,1,0,1,0,0,1,0,1,0,0,0,0,1,-,-,8
484,Divock Origi,Lille,0,1,0,-,1,0,-,1,0,0,0,0,0,0,0,0,0,0,-,0,-,-,0,0,0,0,0,0,3,0,1,0,0,0,1,0,0,0,8
2284,Daniel Wass,Evian Thonon Gaillard,0,2,0,0,0,-,1,0,1,0,0,0,1,1,1,-,1,0,0,0,0,0,0,0,0,-,-,0,0,0,0,0,0,0,0,0,-,-,8
3643,Ezequiel Lavezzi,Paris Saint Germain,-,0,0,-,0,0,0,-,-,-,1,0,0,1,0,0,0,0,-,-,0,0,1,0,1,0,0,0,0,0,-,0,3,0,0,0,1,0,8
3361,Éric Bautheac,Nice,0,0,0,0,0,0,0,0,0,0,1,0,0,-,0,0,1,0,0,1,0,0,0,0,0,-,1,0,1,0,0,0,-,1,0,0,0,2,8
4770,Yoann Touzghar,Lens,0,0,0,1,0,0,1,0,0,0,-,0,1,0,0,0,-,1,-,-,-,-,-,2,0,0,0,1,0,0,-,0,0,0,0,0,1,-,8
3603,Corentin Tolisso,Lyon,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,7
1678,Michy Batshuayi,Marseille,0,0,0,0,-,-,0,-,-,-,-,-,0,1,-,0,-,0,1,0,0,0,0,-,-,2,0,2,-,0,-,0,0,1,-,0,0,0,7
3460,Benjamin Jeannot,Lorient,-,-,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,-,-,-,-,-,7
739,Ola Toivonen,Rennes,0,2,0,1,0,0,0,0,-,-,-,-,-,0,1,-,-,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,-,0,0,0,0,7
3455,Raphael Guerreiro,Lorient,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,-,0,-,-,-,0,0,0,0,7
960,Clinton N'Jie,Lyon,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-,0,-,-,-,-,1,1,0,0,-,0,0,1,0,1,1,0,-,-,1,7
4771,Pablo Chavarria,Lens,0,0,-,1,1,0,-,0,0,0,-,0,0,0,0,-,-,-,-,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,1,7
536,Dimitri Payet,Marseille,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,1,1,0,-,0,0,0,0,0,1,0,0,0,0,0,0,0,-,0,0,0,0,1,7
4727,Dimitar Berbatov,Monaco,0,1,0,1,0,0,0,0,-,-,-,-,-,0,0,1,2,-,-,0,0,1,0,0,0,0,1,0,-,0,0,-,0,0,-,0,-,-,7
3245,David Ngog,Reims,-,-,-,-,1,-,-,-,-,0,0,0,-,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,-,1,0,0,2,0,0,7
3532,Herve Bazile,Caen,0,-,1,0,0,0,0,0,0,1,0,0,0,0,-,-,-,0,0,0,-,-,0,0,1,1,0,-,1,0,0,0,0,0,-,0,0,2,7
677,Jordan Veretout,Nantes,0,1,0,0,0,0,-,1,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,-,0,0,0,0,0,0,1,0,0,7
3293,Lucas Moura,Paris Saint Germain,0,1,0,0,0,0,1,0,1,0,2,0,1,-,0,0,0,0,0,1,0,0,0,0,0,-,-,-,-,-,-,0,-,0,-,0,0,0,7
3237,Aissa Mandi,Reims,0,0,0,1,0,0,0,0,0,0,-,-,1,0,0,0,0,1,0,-,-,-,-,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,6
3328,Floyd Ayité,SC Bastia,0,0,0,0,0,1,0,0,0,1,0,0,0,0,-,0,-,-,0,-,0,-,-,0,1,1,0,0,0,0,0,-,0,0,1,-,1,0,6
4787,Mathieu Duhamel,Caen,2,0,-,-,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,-,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6
1582,Aleksandar Pesic,Toulouse,0,-,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,-,0,0,1,0,1,0,0,0,0,0,0,0,-,-,0,0,0,0,6
3211,Martin Braithwaite,Toulouse,1,0,0,0,-,-,-,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,-,6
3696,Morgan Sanson,Montpellier,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,-,-,-,-,-,-,6
2272,Yannick Carrasco,Monaco,0,0,0,0,0,0,0,0,0,1,1,0,-,0,0,1,0,0,1,0,0,0,0,0,0,0,0,-,0,0,0,0,0,1,0,0,0,1,6
3243,Gaëtan Charbonnier,Reims,0,0,0,0,0,-,0,-,0,0,0,0,0,-,0,0,1,0,1,0,1,0,-,0,0,0,1,0,0,0,-,0,0,1,0,0,1,0,6
3478,Sloan Privat,Caen,-,-,-,-,-,-,-,-,-,-,-,-,0,0,-,0,-,-,0,0,1,1,0,1,-,-,0,1,0,0,0,-,0,0,0,1,1,0,6
4787,Mathieu Duhamel,Evian Thonon Gaillard,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,2,0,0,0,0,0,-,-,-,0,0,1,1,-,6
3228,Giovanni Sio,SC Bastia,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,1,1,0,1,0,-,1,0,1,-,0,0,0,0,5
4758,Alexy Bosetti,Nice,1,0,1,0,1,0,0,0,0,0,-,-,0,0,-,0,-,-,-,1,-,-,0,0,0,0,0,0,0,-,1,-,0,-,0,0,0,0,5
