id,name,team,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,total
3295,Javier Pastore,Paris Saint Germain,1.6521,0.8032,0.1951,0.2981,0.1739,0.1491,1.5535,0.0365,1.0613,0.9101,0.5094,0.81,0.5591,0.5873,0.5926,0.8462,0.7136,-,-,0.7171,0.9826,0.3212,1.7604,-,-,0.7589,1.0471,1.284,0.5383,0.6965,0.222,0.7088,1.2389,0.7581,0.9806,1.982,1.4656,1.0872,28.0004
3294,Edinson Cavani,Paris Saint Germain,0.511,0.7032,0.2407,0.1259,0.1285,0.5176,1.2482,0.0772,0.6055,0.7189,-,1.504,0.9132,0.4985,0.8273,1.9889,0.0,0.4483,0.1118,-,0.8997,0.3776,0.5268,1.0386,-,0.1917,0.5954,1.0525,0.0,0.6836,0.1109,0.253,2.0774,0.5787,1.3023,2.0043,0.7809,1.4453,25.0874
1741,Zlatan Ibrahimovic,Paris Saint Germain,1.3202,0.0,-,1.2686,0.6422,1.1092,-,-,-,-,-,-,0.7409,0.6274,0.6731,-,1.1034,0.4501,0.1648,0.3281,1.7682,1.2502,1.2051,0.8339,0.4267,0.1682,-,2.1955,0.8673,1.051,0.1109,-,-,-,1.2111,1.7783,-,-,21.2944
536,Dimitri Payet,Marseille,0.0928,0.3279,0.2305,2.0602,0.7073,0.2984,1.4486,0.3105,1.1065,0.1357,0.3591,0.4634,0.2766,2.2167,0.4448,1.1459,0.8365,0.3217,-,0.0,0.3328,0.3564,0.3162,0.049,0.2662,0.4011,0.7778,0.8101,0.082,0.2479,0.0762,0.4647,-,1.1757,0.9374,0.4391,1.2132,0.4529,21.1818
3277,Alexandre Lacazette,Lyon,0.0623,0.5221,0.5682,0.7389,1.0418,0.257,0.5394,0.1933,1.4062,1.8939,0.2837,0.5775,0.335,0.2011,0.3199,0.5181,0.7534,0.216,1.221,0.9721,0.1948,0.0515,-,-,-,0.0357,0.0,0.847,0.3866,-,0.59,0.7737,1.0729,1.4908,0.3482,0.8857,0.3245,-,19.6223
4747,André-Pierre Gignac,Marseille,0.3876,0.1722,0.3984,0.0,0.6776,1.0344,0.7617,0.5327,0.8182,0.4859,0.2935,0.4663,0.3581,1.0633,0.3086,1.0318,0.5511,0.7489,0.5537,0.0894,0.1982,0.0673,0.4341,0.1325,0.5077,0.0,1.3304,0.0863,0.193,0.1003,0.4859,0.369,0.0,1.2875,0.81,0.073,0.913,0.1566,17.8782
3552,Marco Verratti,Paris Saint Germain,1.1516,1.0609,0.1951,0.6862,0.5959,0.9653,-,0.0,0.5779,0.7988,0.2449,0.1973,0.0,-,-,0.9604,0.1716,0.1715,0.1458,0.0,0.6323,1.1233,0.0,0.4544,0.2945,-,0.456,0.5182,0.0,0.8719,0.2771,-,1.6899,0.2292,0.7764,2.1932,-,0.163,17.6026
1451,Anthony Mounier,Montpellier,0.3843,1.1508,0.8293,0.0959,0.1081,0.0,0.2708,0.0,0.0208,1.0601,0.3461,1.7085,0.3267,0.667,0.3677,0.0666,2.6667,0.5411,0.0,0.0793,0.9323,0.57,0.0815,-,0.8641,0.2731,0.0533,1.6887,0.0315,0.5134,0.0,0.0434,0.3667,0.4417,0.0657,0.7665,0.0098,-,17.3915
3422,João Moutinho,Monaco,0.3737,0.3644,0.0,0.3545,0.347,0.1148,0.5683,0.1236,0.0459,0.544,-,0.0746,0.07,0.0937,0.1504,0.1496,0.3279,0.5349,0.7898,0.2762,0.6147,0.5241,0.1475,0.0453,0.4316,0.2348,0.9936,2.3915,0.5143,0.3953,0.3681,1.2128,0.1785,0.7335,0.9619,0.2482,1.3601,0.3288,16.9879
3275,Jordan Ferri,Lyon,0.3127,0.5405,-,1.1675,0.8559,0.0,1.272,0.3916,0.5731,1.2696,0.2193,-,-,0.0,0.0121,0.4511,0.341,0.2853,1.1313,1.1815,0.0671,0.1954,0.4686,0.5054,0.0797,0.4369,0.0351,0.222,0.3992,0.0845,0.7036,0.1763,0.9444,0.5827,0.1367,0.3775,0.4604,0.05,15.93
