id,name,team,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,total
3064,Hulk,Zenit St. Petersburg,0.1075,1.6336,0.027,0.9122,0.1261,0.1656,0.0726,0.5762,0.3137,0.2678,0.917,0.0792,1.0433,0.1496,0.1587,-,0.2295,0.0,0.0386,0.0,1.2565,0.2101,1.0465,0.1219,0.084,0.1133,0.7434,0.9222,0.0796,-,11.3957
2970,Igor Portnyagin,Rubin Kazan,-,-,0.0,0.0788,1.0233,0.0,0.8725,0.0,0.1629,0.3643,0.6977,-,0.1888,1.3646,0.7972,0.1012,0.1107,0.1963,0.6938,0.9791,1.3319,0.6598,0.0893,0.1809,0.0104,1.19,0.0812,0.1015,-,0.0365,11.3127
813,Salomón Rondón,Zenit St. Petersburg,1.0719,1.4105,0.9492,0.0647,0.1159,0.2977,0.1453,1.7333,0.1294,0.013,-,-,0.0551,0.1183,0.0,0.1465,0.3797,1.408,0.1269,0.0,-,0.3855,0.0832,0.0,0.0739,0.0,0.5373,-,0.4122,0.9526,10.6101
1681,Ahmed Musa,CSKA Moscow,0.5053,0.0,0.0,0.0499,0.34,1.0744,0.143,1.3217,0.6447,1.4526,0.0332,0.0894,0.1561,0.0,0.8291,0.1178,0.9455,0.6106,0.0696,0.1734,0.0,0.0912,0.0161,0.0991,0.0,0.1312,0.091,0.6942,0.0532,0.0321,9.7644
2886,Bibras Natcho,CSKA Moscow,-,-,-,0.0386,0.7688,1.3624,0.7793,0.1849,0.0319,0.0,1.755,0.1246,0.0977,-,0.7202,0.6313,0.0121,0.0359,0.0519,0.3715,0.0,0.1507,0.0411,0.0981,0.0887,0.8389,0.903,0.0249,0.0118,0.0408,9.1641
2815,Quincy Promes,Spartak Moscow,-,-,0.0,0.1585,0.6852,0.0,0.4132,0.0,0.0516,0.0248,0.1281,0.0,1.0176,0.7521,0.3903,0.3529,0.1329,1.0083,0.4491,0.2117,0.1111,0.1518,0.0665,0.8042,0.3945,0.0968,0.5912,0.0,0.1866,0.6637,8.8427
3066,Aleksandr Kokorin,Dinamo Moscow,1.5923,0.0895,0.0166,0.2314,0.9892,0.3146,0.0599,0.0326,0.3172,0.2368,0.0,0.4866,0.4179,0.0,-,-,0.0925,0.1577,0.0572,0.0,0.0,1.0982,0.6006,0.6548,0.0397,0.1369,0.4347,0.2,0.1283,-,8.3852
2925,Fedor Smolov,Ural,-,-,-,-,-,-,0.0452,1.1364,0.6569,0.0743,0.0,0.0,-,0.017,1.2668,0.1379,0.1952,0.0621,0.3556,0.4373,0.0424,1.22,0.4081,0.0141,0.1237,0.0691,0.3891,1.3938,0.2866,-,8.3316
776,Seydou Doumbia,CSKA Moscow,1.8536,1.0916,0.2781,-,-,-,0.4245,0.0,1.4629,1.8663,0.0,0.0955,0.0503,0.0,0.3378,0.1976,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7.6582
255,Kevin Kurányi,Dinamo Moscow,1.7396,0.0936,0.1516,0.5451,-,-,0.0476,0.1285,0.3548,0.0,0.0,0.0,0.9311,-,0.059,0.3292,0.7097,0.2667,-,0.9682,0.0725,0.7574,0.0,0.0346,-,0.0,0.2105,0.0,-,0.0,7.3997
