id,name,team,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,total
317,Henrikh Mkhitaryan,Borussia Dortmund,0,1,1,0,1,0,0,0,0,-,1,1,0,0,2,0,1,1,0,0,0,0,1,0,0,0,0,2,0,-,1,2,0,-,15
186,Karim Bellarabi,Bayer Leverkusen,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,2,1,1,0,-,2,11
210,Raffael,Borussia M.Gladbach,0,0,0,0,0,3,1,1,0,1,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,-,-,0,0,0,0,-,10
301,Zlatko Junuzovic,Werder Bremen,0,0,1,0,-,0,0,0,0,0,0,1,0,0,0,-,-,0,1,0,0,0,1,1,0,-,0,0,1,2,0,2,0,0,10
393,Douglas Costa,Bayern Munich,1,0,1,0,1,1,1,0,-,1,0,1,0,-,-,-,-,0,1,0,1,0,0,0,0,-,0,0,0,0,0,0,0,-,9
208,Lars Stindl,Borussia M.Gladbach,0,1,0,0,-,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,-,0,0,0,1,1,0,0,-,1,0,-,8
205,Mahmoud Dahoud,Borussia M.Gladbach,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,-,1,0,0,0,1,0,0,0,2,0,0,1,0,0,-,8
316,Gonzalo Castro,Borussia Dortmund,-,0,-,0,0,1,-,1,0,0,0,1,0,1,0,0,-,0,1,0,0,-,-,1,-,1,0,0,-,0,-,0,0,0,7
321,Shinji Kagawa,Borussia Dortmund,1,0,1,0,1,0,0,0,0,2,0,0,0,0,0,1,0,-,0,-,0,-,0,-,-,0,0,0,0,0,0,1,0,0,7
83,Kevin Volland,Hoffenheim,0,0,0,0,0,0,1,0,0,0,-,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,1,0,0,7
155,Max Kruse,Wolfsburg,1,0,0,0,0,0,0,0,0,1,-,-,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,6
396,Hiroshi Kiyotake,Hannover 96,-,-,-,0,0,1,0,1,0,1,1,0,-,-,-,-,-,-,-,-,-,0,1,0,0,0,0,0,1,0,0,0,0,-,6
338,Max Meyer,Schalke 04,-,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,-,0,1,0,0,0,0,0,0,2,0,0,0,6
337,Leroy Sané,Schalke 04,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,-,0,0,1,0,0,0,0,1,0,0,6
226,Kingsley Coman,Bayern Munich,-,-,-,0,0,-,1,0,-,1,0,0,-,0,0,0,0,0,0,0,0,0,0,0,-,3,0,-,-,0,-,0,-,1,6
194,Admir Mehmedi,Bayer Leverkusen,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,-,0,0,0,0,1,0,1,-,0,-,0,-,-,-,0,0,5
224,Thomas Müller,Bayern Munich,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,1,0,0,1,0,0,0,0,0,-,0,0,-,0,0,0,-,5
63,Alexandru Maxim,VfB Stuttgart,0,-,-,0,0,0,0,0,0,-,1,-,-,0,0,0,0,-,1,0,0,0,1,0,0,-,0,-,-,0,0,2,0,0,5
64,Filip Kostic,VfB Stuttgart,0,0,0,0,0,0,0,-,-,-,-,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,5
152,Julian Draxler,Wolfsburg,-,-,0,0,0,1,0,-,2,0,0,0,-,-,0,0,0,0,0,0,0,0,0,1,0,-,-,0,-,-,-,-,-,1,5
189,Hakan Calhanoglu,Bayer Leverkusen,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,-,0,0,0,0,-,1,0,0,-,0,0,0,5
157,Daniel Caligiuri,Wolfsburg,-,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,-,-,0,0,0,0,-,-,0,0,0,0,1,5
13,Konstantin Rausch,Darmstadt,0,0,0,1,0,0,0,1,1,0,0,0,1,0,-,0,0,0,0,0,0,-,0,0,0,-,0,0,1,0,0,0,0,0,5
6,Marcel Heller,Darmstadt,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-,0,0,0,0,1,0,0,0,0,1,1,0,5
151,Vieirinha,Wolfsburg,0,0,0,-,-,-,-,-,0,0,1,0,1,0,0,1,-,0,1,0,0,1,0,-,0,0,0,0,0,0,-,0,0,0,5
318,Pierre-Emerick Aubameyang,Borussia Dortmund,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,-,0,0,0,0,1,-,0,0,0,-,0,0,0,5
170,Nicolai Müller,Hamburger SV,-,0,-,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,-,0,1,0,1,-,-,0,5
46,Jairo Samperio,Mainz 05,0,0,1,-,-,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,-,0,0,0,0,0,0,5
222,Arturo Vidal,Bayern Munich,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,-,1,0,-,0,0,0,1,0,-,-,0,5
