id,name,team,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,total
239,Pascal Groß,Ingolstadt,2,0,6,1,2,3,5,3,2,6,4,3,3,2,1,2,4,2,-,6,5,1,4,3,2,-,1,1,4,2,3,3,4,5,95
301,Zlatko Junuzovic,Werder Bremen,2,2,1,2,-,0,1,2,2,2,1,5,2,3,1,-,-,3,4,3,4,0,3,3,4,-,3,2,7,6,2,5,5,4,84
317,Henrikh Mkhitaryan,Borussia Dortmund,2,2,2,2,2,2,2,0,3,-,2,4,3,3,6,5,4,2,2,1,3,1,5,0,2,7,4,3,0,-,3,4,2,-,83
189,Hakan Calhanoglu,Bayer Leverkusen,7,4,0,0,2,4,2,3,0,3,2,2,4,3,2,3,1,5,3,1,2,-,0,2,2,2,-,3,3,3,-,6,4,3,81
64,Filip Kostic,VfB Stuttgart,5,2,4,1,7,1,2,-,-,-,-,0,3,1,3,1,0,5,6,2,2,0,5,1,6,3,3,2,4,0,2,2,4,2,79
134,Marcel Risse,FC Cologne,0,3,0,1,0,2,3,0,3,0,1,5,2,1,3,3,1,1,2,4,2,-,3,3,1,1,2,1,4,2,3,1,4,3,65
336,Johannes Geis,Schalke 04,2,3,1,3,1,2,3,2,5,1,-,-,-,-,1,2,5,4,2,1,2,4,1,6,2,1,-,1,1,0,3,-,0,1,60
396,Hiroshi Kiyotake,Hannover 96,-,-,-,1,4,2,2,3,2,3,3,1,-,-,-,-,-,-,-,-,-,3,6,2,5,2,1,4,3,5,1,5,2,-,60
224,Thomas Müller,Bayern Munich,0,5,2,1,1,1,2,1,1,4,1,3,3,4,2,1,4,1,3,0,4,4,3,0,2,3,-,2,1,-,0,0,1,-,60
131,Jonas Hector,FC Cologne,1,1,1,2,1,4,2,4,3,0,1,3,1,1,6,2,4,2,1,2,2,3,1,-,2,1,0,2,4,0,0,0,0,-,57
210,Raffael,Borussia M.Gladbach,0,1,0,4,3,5,1,2,1,3,1,0,0,3,4,0,3,2,1,3,0,3,2,1,1,3,1,-,-,2,3,4,0,-,57
155,Max Kruse,Wolfsburg,1,2,1,1,2,1,4,1,2,7,-,-,3,2,1,5,1,0,1,1,1,2,2,3,1,1,4,1,0,0,2,2,0,0,55
208,Lars Stindl,Borussia M.Gladbach,0,2,0,0,-,5,1,2,2,1,0,1,3,3,1,3,2,2,2,0,1,3,-,1,5,1,4,3,1,0,-,1,4,-,54
268,Daniel Baier,Augsburg,2,0,2,0,-,0,4,0,2,0,1,3,3,3,2,3,4,4,1,-,-,-,-,-,0,4,0,3,1,3,0,3,0,3,51
218,Philipp Lahm,Bayern Munich,1,2,0,4,-,0,3,1,2,2,1,-,2,1,1,3,-,1,6,1,4,-,0,-,2,5,0,3,-,2,-,-,1,1,49
393,Douglas Costa,Bayern Munich,3,1,3,2,3,1,3,0,-,6,0,7,2,-,-,-,-,2,5,1,2,3,0,0,2,-,0,0,0,1,2,0,0,-,49
222,Arturo Vidal,Bayern Munich,3,2,2,0,2,0,1,0,0,1,1,3,4,2,9,1,2,1,0,0,1,4,-,5,0,-,0,0,0,2,1,-,-,1,48
153,Maximilian Arnold,Wolfsburg,0,0,0,1,1,1,1,1,1,1,1,1,2,5,3,2,0,-,-,-,0,0,1,3,6,1,1,2,2,4,2,0,3,1,47
319,Marco Reus,Borussia Dortmund,1,2,2,-,-,2,1,2,1,2,3,-,0,1,1,1,-,4,-,0,3,0,2,-,1,6,0,1,-,-,2,2,3,2,45
338,Max Meyer,Schalke 04,-,0,0,0,4,2,1,2,1,1,2,0,0,0,3,0,0,4,1,1,4,-,2,6,1,0,2,0,0,0,3,2,3,0,45
186,Karim Bellarabi,Bayer Leverkusen,3,0,1,0,1,1,0,3,2,2,2,2,1,0,2,1,1,0,1,1,0,1,1,3,2,1,2,2,2,1,2,1,-,2,44
169,Lewis Holtby,Hamburger SV,0,0,5,1,3,1,0,0,1,4,2,0,0,4,2,0,2,0,1,1,1,0,0,1,1,0,4,0,4,1,2,2,0,1,44
83,Kevin Volland,Hoffenheim,1,1,1,1,2,2,3,0,2,0,-,0,2,2,1,1,1,1,0,0,0,1,0,1,2,1,3,3,2,0,2,2,5,1,44
45,Yunus Malli,Mainz 05,1,0,3,2,0,1,0,3,1,3,1,0,2,2,4,1,0,0,0,1,3,1,2,1,1,0,1,3,1,3,1,0,1,0,43
300,Daniel Didavi,VfB Stuttgart,3,3,1,3,1,2,0,3,1,1,1,1,2,0,1,-,1,2,2,2,-,1,-,1,2,1,1,1,0,1,0,1,2,0,41
321,Shinji Kagawa,Borussia Dortmund,4,3,4,2,2,1,3,0,2,6,1,1,0,0,0,2,1,-,1,-,0,-,0,-,-,0,0,1,1,0,1,4,1,0,41
230,Xabi Alonso,Bayern Munich,3,2,0,5,0,0,0,1,3,-,1,-,2,4,1,0,3,4,4,0,-,0,0,-,2,1,0,2,2,-,-,-,1,-,41
345,Júnior Caiçara,Schalke 04,-,2,-,2,1,-,1,2,-,1,2,1,-,-,-,-,-,3,0,3,2,2,1,3,3,2,-,1,1,1,3,1,2,-,40
174,Aaron Hunt,Hamburger SV,-,-,-,2,1,1,3,1,1,-,-,-,-,-,0,0,0,2,3,1,5,4,1,-,2,2,6,1,-,-,-,1,2,-,39
272,Caiuby,Augsburg,2,3,0,-,-,-,-,-,2,-,2,5,4,1,2,1,0,1,-,1,0,4,0,3,0,1,2,2,1,1,0,-,0,0,38
