id,name,team,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,total
227,Robert Lewandowski,Bayern Munich,0.8162,1.1428,0.3209,1.5815,-,3.1971,0.9766,1.6252,0.6748,1.0247,0.689,1.5469,0.6843,1.1812,0.5385,1.8389,0.4874,1.3542,2.2789,0.1153,0.6186,1.5241,0.6708,0.1123,0.0731,0.3775,0.1901,0.2389,0.0705,0.663,0.0,-,1.571,0.2776,28.4619
318,Pierre-Emerick Aubameyang,Borussia Dortmund,0.3915,1.1968,0.7599,1.5744,1.0406,0.7596,1.4892,0.391,0.7856,2.4796,1.7352,0.4747,1.5647,1.2193,0.5582,1.8183,0.0953,0.9397,1.0966,0.0,-,0.7225,1.3451,0.8031,0.4349,1.0722,-,0.6558,0.1899,0.1404,-,1.1632,0.6812,0.6112,28.1897
137,Anthony Modeste,FC Cologne,0.7578,0.3228,0.9377,0.3632,0.1313,0.1937,0.1055,0.9181,0.5638,0.0,0.7095,0.7065,0.0518,0.3644,1.3302,0.0525,0.3032,1.2754,0.4246,0.2642,0.7398,0.34,0.2363,0.9218,1.3745,0.0827,0.3724,0.3778,0.1725,0.1484,1.982,0.0305,0.2089,0.7956,17.5594
224,Thomas Müller,Bayern Munich,1.1956,0.9997,1.3469,1.5363,0.0,0.1932,0.823,1.0478,1.2184,1.0254,0.0,0.9585,0.2446,1.2152,0.0829,0.1387,1.329,0.0921,0.2411,0.8435,0.7094,0.3067,0.1285,0.1156,0.1833,0.7216,-,0.2066,0.0288,-,0.0,0.1323,0.4735,-,17.5382
11,Sandro Wagner,Darmstadt,0.0,0.0,0.0336,0.0622,0.0607,1.5391,0.0075,1.0059,0.3934,0.0738,0.1443,0.7191,-,0.2328,0.2654,0.0651,0.9173,1.5952,0.0534,0.1082,0.672,0.5362,0.9357,0.0556,0.2132,0.4167,0.6818,0.68,0.3032,0.8111,0.1579,0.8488,0.7667,-,14.3559
340,Klaas-Jan Huntelaar,Schalke 04,0.9426,0.3306,0.4508,1.542,0.0241,0.0,-,0.2963,-,0.0,0.1243,1.1794,0.0,0.0519,0.8527,0.0,0.1189,1.1193,0.0584,0.0337,0.2539,0.1809,0.0767,0.5801,0.7578,0.1537,-,0.0,0.7736,0.0645,1.3087,0.671,0.5942,0.5594,13.0995
119,Anthony Ujah,Werder Bremen,0.3041,0.76,0.4108,0.6606,0.0543,0.1278,0.1016,0.411,0.4077,0.9556,0.7237,0.0,0.1851,0.136,0.7016,0.7578,0.1633,0.7409,0.1242,0.0,0.6972,0.3031,1.0215,0.2053,-,0.0,0.0,0.0304,0.0166,-,0.7957,1.049,0.0,0.5857,12.4306
362,Moritz Hartmann,Ingolstadt,0.1133,0.027,0.3963,0.0225,0.7578,-,0.0,0.0,0.0542,0.0,0.0,0.1461,1.96,0.0666,-,-,0.07,1.4488,0.0256,0.8852,0.0,0.0516,0.0,-,1.1147,0.2776,0.0,0.7578,0.7369,0.0,0.2952,0.4543,1.2502,1.4888,12.4005
191,Chicharito,Bayer Leverkusen,-,-,-,0.1962,0.6794,0.1952,0.155,0.1134,0.175,1.7745,0.6417,0.1061,0.9334,0.4062,1.1186,1.4916,0.2981,0.1504,1.0665,0.0135,-,0.4289,0.5547,0.1846,-,0.4979,0.189,0.1142,0.5893,0.0781,0.1388,0.0083,0.0938,-,12.3924
65,Timo Werner,VfB Stuttgart,0.0,0.0,0.1889,-,0.5598,0.3912,0.2067,1.3773,0.4473,0.4149,1.4972,0.0225,0.1305,0.2512,0.779,0.2055,0.8351,0.6869,1.097,0.335,0.0589,0.3435,1.1891,0.0405,0.2911,0.3591,0.1153,0.0,0.0485,0.0725,0.0,0.0828,0.0,0.0,12.0273
