id,name,team,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,total
372,Julian Weigl,Borussia Dortmund,1.4033,1.3638,1.4576,0.3075,1.4994,0.8429,0.4833,0.4956,0.3913,0.2933,0.8368,0.329,0.8629,0.2953,-,2.5963,0.0227,0.0211,0.0245,0.1518,0.0,0.3938,0.2109,1.2774,0.2093,0.5373,0.8138,1.1435,-,-,0.6555,0.2722,-,0.1272,19.3193
314,Ilkay Gündogan,Borussia Dortmund,1.5166,0.4016,0.5751,0.2252,1.7484,1.1133,0.2316,0.7769,1.1019,1.492,1.1309,0.5548,0.8863,0.3512,0.0,3.0034,0.0,0.8206,-,0.1644,0.8268,-,0.7291,1.1952,0.2399,-,-,-,0.0,0.0475,-,-,-,-,19.1327
373,Mats Hummels,Borussia Dortmund,0.8236,0.1866,0.9282,0.3193,0.7325,0.75,0.4148,0.443,0.4337,0.8646,1.4505,0.1774,0.5632,0.0,-,1.7924,0.0,1.1224,0.8734,0.0691,0.7769,0.4164,-,0.4091,0.3833,1.0894,0.7267,-,0.0424,0.1955,-,0.212,0.5187,0.1312,16.8463
230,Xabi Alonso,Bayern Munich,0.5617,0.9652,0.5105,0.8339,0.0,0.9645,1.6211,0.0361,0.3726,-,0.2248,-,1.4569,1.5754,0.5134,0.0391,0.5461,0.329,1.7526,0.3623,-,0.6294,0.511,-,0.5138,1.2221,0.0177,0.2015,0.1696,-,-,-,0.0932,-,16.0235
222,Arturo Vidal,Bayern Munich,1.8551,0.3,0.7172,0.6629,0.5519,0.9453,0.0202,0.0,0.9295,0.6273,0.1329,2.6229,0.6888,0.6069,0.5813,0.0,0.9632,0.1612,0.0,0.0,0.2208,1.2265,-,0.1165,0.299,-,0.0848,0.0,0.0,0.57,0.0256,-,-,0.7706,15.6804
321,Shinji Kagawa,Borussia Dortmund,1.2062,0.4564,1.8323,0.1987,0.3304,1.2204,1.2295,0.0,0.5495,0.867,1.2522,0.433,0.0,0.1495,0.0,1.406,0.071,-,0.1219,-,0.7405,-,0.0,-,-,0.8638,0.5148,0.0,0.1601,0.0475,0.5302,0.5102,0.2183,0.02,14.9294
317,Henrikh Mkhitaryan,Borussia Dortmund,0.6773,0.3314,0.9282,0.1624,0.3065,0.6882,0.2144,0.4436,0.7963,-,0.4379,0.9057,0.3979,0.3761,0.0,0.7521,0.0974,1.2982,0.3974,0.1009,0.5662,0.0226,0.2212,0.0,0.0285,1.207,0.5033,0.1861,0.5118,-,1.1762,0.4981,0.499,-,14.7319
218,Philipp Lahm,Bayern Munich,0.5131,0.1711,0.5105,0.7709,-,0.117,0.0644,0.4076,0.5561,0.8077,0.0288,-,0.4734,1.4509,1.0481,0.7676,-,0.358,0.8235,0.7475,0.5125,-,0.5983,-,0.1808,0.7676,0.0535,0.2072,-,0.6641,-,-,0.5211,0.0809,13.2022
221,Rafinha,Bayern Munich,0.1387,0.3446,-,0.3525,1.0312,-,1.5699,-,0.707,0.6563,0.1206,1.1003,0.0,1.1087,0.55,1.0718,0.6243,-,-,-,0.3954,1.2116,-,0.2387,-,0.0144,0.1025,-,0.2487,0.6362,0.0655,0.155,0.3802,0.2493,13.0734
224,Thomas Müller,Bayern Munich,0.5307,0.5485,0.5278,0.217,0.1455,0.9219,0.0212,1.5192,0.0651,0.1645,0.0,1.005,1.0439,0.1955,1.0746,0.0,0.0857,0.2741,0.8205,0.0,0.7379,1.1501,0.1205,0.0,0.4798,0.2505,-,0.0965,0.1739,-,0.0,0.0821,0.3802,-,12.6322
