id,name,team,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,total
647,Harry Kane,Tottenham,0.1822,0.4999,0.1771,0.637,0.4005,0.2252,0.4294,0.5558,0.2732,1.3186,0.5141,0.4969,1.0842,0.1141,0.6918,0.0471,0.4321,0.2057,0.2032,0.166,0.5324,0.5292,0.689,0.6749,0.4182,0.0189,0.8574,1.0093,0.4138,1.3352,0.5351,0.163,0.0794,0.7411,0.5615,0.9795,0.5227,0.2116,18.9263
594,Romelu Lukaku,Everton,0.2583,0.5859,0.1707,0.1047,0.283,1.2376,1.1739,0.6254,0.3168,0.0341,0.6858,0.6856,0.9347,0.3812,0.9726,1.2898,0.8265,0.6783,0.8471,0.2021,0.2258,0.024,0.3291,0.1578,0.8854,0.0713,0.9552,0.619,0.0651,0.13,0.9501,0.1236,-,0.0,0.0,0.491,0.6023,0.6129,18.5367
755,Jamie Vardy,Leicester,0.774,0.0,0.0794,0.0818,0.7943,0.1731,0.6809,0.412,1.9107,1.0426,0.7804,0.1221,0.6883,0.142,0.5662,0.3551,0.0651,0.0756,0.2086,0.6059,0.0926,0.1661,0.72,0.5193,0.861,0.4573,0.6145,0.7372,0.6922,0.1052,0.1194,0.3264,1.2799,0.1313,-,-,0.7871,0.4004,17.568
619,Sergio Agüero,Manchester City,0.6302,1.3804,0.1333,0.2752,0.0,1.6719,0.4039,1.9045,-,-,-,-,0.1333,0.4927,-,-,0.1234,-,0.8171,0.1641,0.4695,0.8808,0.598,0.5473,0.6105,0.6213,0.1287,0.8,0.1904,0.4163,0.2478,0.2507,1.0575,0.224,0.0,-,0.2292,0.8692,16.2712
573,Odion Ighalo,Watford,0.1142,0.3713,0.202,0.0,0.4741,1.0473,0.203,0.3718,0.1409,0.2455,0.5429,0.0857,0.3638,0.6802,1.2083,1.5582,0.999,0.6277,0.8607,0.4308,0.0659,0.0382,1.0979,0.1798,0.141,0.5606,0.6224,1.0079,0.374,0.1479,0.0,0.06,0.0,-,0.2781,0.3297,0.3879,0.275,16.0937
502,Olivier Giroud,Arsenal,0.538,0.3093,0.9052,0.5171,0.8923,0.0,0.1261,0.1292,0.6941,0.877,0.6257,1.063,0.4253,0.1947,0.2061,0.0,0.0868,0.0747,0.2065,0.2623,1.3346,0.3783,0.0159,0.566,0.0361,0.5391,0.0293,0.5824,0.0,0.1324,0.0522,0.0659,0.1316,0.3885,0.1409,0.1631,0.2751,0.7782,13.743
498,Alexis Sánchez,Arsenal,0.218,1.2686,0.5274,0.3825,0.6966,0.5496,1.6126,0.7679,0.6041,0.2182,0.1803,0.4832,0.0821,0.0835,-,-,-,-,-,-,-,-,0.0,0.6417,0.1894,0.4461,0.1234,0.2367,0.1243,0.0,1.0358,0.38,0.7249,0.1689,0.2272,0.2091,0.3401,0.5822,13.1044
802,Diego Costa,Chelsea,0.0504,0.0977,0.9622,0.0839,0.0495,0.156,-,-,0.5732,0.1578,0.0701,0.1623,0.958,-,0.1211,0.3499,0.2084,0.7317,-,0.8356,0.3665,1.6236,0.746,0.3536,1.2399,0.1224,0.3072,0.4832,-,-,-,-,0.0497,0.1265,0.0289,1.0652,-,-,12.0805
838,Sadio Mané,Southampton,0.3233,0.1503,0.0,0.1086,0.1965,0.4086,0.3741,0.8531,0.1923,1.0102,0.2029,0.2988,0.0339,0.1349,0.7695,0.1434,0.2892,0.0185,0.1217,0.0,0.8749,0.3756,0.0,0.4646,0.0,-,0.0,0.4214,0.0,0.0,0.1662,0.3777,0.1729,0.5693,0.3715,1.9062,0.0,0.4232,11.7533
735,Jermain Defoe,Sunderland,0.5208,0.0,0.0721,0.0207,0.7415,0.3085,-,-,0.0304,0.0346,0.3469,0.0,0.7188,0.0371,-,0.4998,0.1906,-,0.0541,0.3846,1.8416,0.2428,0.0311,0.0773,0.1277,0.4408,0.0832,0.1894,0.5623,0.3822,0.8616,0.1476,0.4704,0.2601,0.4257,0.2084,0.6389,-,10.9516
839,Shane Long,Southampton,0.0502,0.0,0.3708,-,-,0.0,-,-,-,-,-,-,0.0615,0.5037,0.0299,0.4615,0.1041,1.4139,0.1963,0.5227,0.5388,0.0396,0.1316,0.1964,0.081,0.6313,0.838,0.0267,-,0.2996,0.3567,-,0.3841,0.2485,1.8349,0.6138,0.4802,0.2015,10.6173
813,Salomón Rondón,West Bromwich Albion,-,0.0601,0.2303,0.4486,0.0878,0.4365,0.0129,0.0,0.3219,0.8506,0.2997,0.1014,0.0769,0.6157,0.2119,0.0757,0.1876,-,-,-,0.0232,0.0429,0.0534,0.9417,0.0,1.0407,0.3116,1.0186,0.0963,0.0356,0.0,0.0,0.1514,0.5902,0.3864,0.0155,0.2019,0.9699,9.8969
865,Marko Arnautovic,Stoke,-,0.1171,0.0,0.0923,0.0,0.0,0.4753,0.5376,0.4325,0.4777,0.0,0.4825,0.1791,0.0,1.8985,0.7255,0.176,0.1957,0.0891,0.051,0.1106,0.023,-,0.0492,0.1143,-,1.0135,0.0823,0.4172,0.4386,0.536,0.0629,-,0.1352,0.0457,0.2305,0.5867,0.0,9.7756
606,Christian Benteke,Liverpool,0.1167,1.0252,0.7572,0.1157,0.1189,0.0921,-,-,-,0.111,0.1032,0.8864,0.408,0.0182,0.576,0.5467,0.036,0.6285,0.9033,0.3017,0.0907,0.0636,0.0,0.0,-,0.0,0.0,0.1031,0.1557,-,-,-,-,-,0.4074,1.1057,0.3758,0.1738,9.2206
773,Aleksandar Mitrovic,Newcastle United,0.0,0.0,0.2749,0.0,-,-,0.0704,0.9083,0.305,0.5156,0.2665,0.0,0.047,-,-,0.9623,0.0876,0.5887,0.2008,0.3309,0.1498,0.563,0.1686,0.3978,0.8896,0.103,0.0894,0.0797,0.0696,0.2401,0.3949,0.0,0.1997,0.0,0.0,0.0,0.6385,0.2754,8.8171
504,Aaron Ramsey,Arsenal,0.0411,0.3271,0.1184,0.1286,0.1011,0.1255,0.3391,0.5034,1.1785,-,-,-,-,0.065,1.5149,0.6673,0.9108,0.0334,0.0,0.5376,0.5282,0.0662,0.1545,0.0938,0.4284,0.2958,0.0385,0.0,0.2694,-,-,0.053,0.0,0.0264,0.0431,0.0,0.0252,-,8.6143
