id,name,team,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,total
499,Mesut Özil,Arsenal,0.3357,0.8104,0.1398,-,0.6341,0.0539,1.0901,0.6727,1.2639,0.8364,0.8498,1.43,0.4416,0.11,0.8791,0.5927,0.1162,0.0965,1.6412,0.5264,0.1494,-,0.0364,1.0117,0.1113,0.6044,0.8301,0.1697,0.0,0.0556,0.2296,0.3879,0.5171,0.0605,0.1799,0.2129,-,0.5418,17.6188
536,Dimitri Payet,West Ham,0.3377,0.0873,0.012,0.1481,0.3421,0.3208,0.7999,0.9253,0.1691,0.388,0.2039,0.1468,-,-,-,-,-,-,-,0.2498,0.5473,0.2887,0.1553,0.264,0.2543,0.1406,0.0477,0.3195,0.8523,0.4697,0.571,0.2286,0.2917,0.6532,0.5656,0.6929,1.1926,-,11.6658
750,Riyad Mahrez,Leicester,0.4567,0.3545,0.3431,0.0,0.2259,0.1147,0.5038,-,0.8683,0.9704,0.1816,0.1243,1.4083,0.5851,0.1125,0.3551,0.0,0.0,0.1453,0.1545,0.0,0.0,0.6166,0.0165,0.5486,0.0184,0.0,0.3632,0.6466,0.1891,0.0,0.0,0.0223,0.0171,0.2834,0.3522,1.1032,0.3727,11.454
646,Christian Eriksen,Tottenham,0.2229,0.1274,-,-,-,0.2054,0.0961,0.0439,0.1418,0.6901,0.138,0.1636,0.6629,0.0476,0.067,0.1224,0.1551,0.4634,0.0484,0.0713,0.0275,0.5437,0.6403,0.5237,0.3793,0.0121,0.5824,0.368,0.1603,0.0,0.5903,0.209,0.9902,0.5496,0.1567,0.3995,0.022,0.1872,9.8091
644,Erik Lamela,Tottenham,0.0297,0.0,0.283,-,0.5889,0.1872,0.2523,0.1894,0.0173,0.0,0.495,0.1638,-,0.1239,0.0,0.0776,0.1202,0.7694,0.0,0.017,0.6015,0.0873,-,0.0,0.1073,0.3943,0.165,0.0815,0.487,0.4035,0.02,-,0.1166,0.7437,0.1736,1.0495,1.0745,0.1149,8.9349
840,Dusan Tadic,Southampton,0.394,0.1696,-,0.2084,0.5063,0.1955,0.1895,0.5157,0.1142,0.0582,0.2505,0.1002,0.0258,0.1349,0.6433,0.0898,0.2336,0.6109,0.1217,0.0,0.0,0.0,0.0,0.0601,-,-,-,0.0,0.1185,0.0625,0.0163,0.059,0.2557,0.5096,0.445,1.4773,0.9566,0.1213,8.644
498,Alexis Sánchez,Arsenal,0.0,0.0,0.2409,0.1477,0.0139,0.0,0.2578,0.5253,0.5987,0.2741,0.4299,0.0882,0.2071,0.3137,-,-,-,-,-,-,-,-,0.0,0.5604,0.0531,0.1575,0.4809,0.5086,0.1847,0.9779,0.7972,0.1073,0.3587,0.213,0.1044,0.0,0.0252,0.9287,8.5549
686,Cesc Fàbregas,Chelsea,0.1205,0.1219,0.1354,0.0469,0.1226,1.1474,0.2935,0.114,0.0361,0.1856,0.0701,0.0779,0.3662,0.0481,0.1211,0.3499,0.3738,0.0,-,0.0,0.2035,0.9114,0.0666,0.1262,0.494,0.42,0.0,0.3526,0.0,0.2274,0.0925,0.136,0.0318,0.9645,0.0602,0.4148,0.0229,0.1654,8.4208
447,Kevin De Bruyne,Manchester City,-,-,-,-,0.7245,0.2417,0.0445,1.0408,0.2964,0.1138,0.1412,0.0908,0.7243,0.3679,0.063,0.075,0.2866,0.383,0.6809,0.1949,0.3491,0.6825,0.1179,-,-,-,-,-,-,-,0.0914,0.0,0.5524,0.0,-,-,0.1632,0.9062,8.332
753,Marc Albrighton,Leicester,0.5881,0.1197,0.0987,0.0,0.1301,0.0,0.1538,0.627,0.6173,0.0,0.5806,0.0924,0.5404,0.0,0.2899,0.1754,0.1858,0.084,0.0,0.0705,0.0744,0.0202,0.0838,0.0,0.5588,0.4675,0.5714,0.6081,0.1628,0.0921,0.0933,0.4564,0.0413,0.4064,0.0,0.0,0.1052,0.0,8.0954
