id,name,team,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,total
499,Mesut Özil,Arsenal,0.4263,1.2081,1.3849,-,2.1618,0.0539,2.7502,1.4375,2.2094,1.3005,0.2635,0.3423,0.077,1.3676,0.9772,0.737,0.8683,0.6373,1.6148,0.8438,0.5373,-,0.6486,2.3136,0.5504,0.5565,0.5534,0.4378,0.0217,1.0499,1.8063,1.1671,0.5842,0.4827,0.2737,0.2799,-,0.8613,32.7858
498,Alexis Sánchez,Arsenal,0.3032,1.8601,0.9399,0.5765,1.2603,0.4806,2.6383,1.4151,1.2909,0.7174,0.48,0.5089,0.7145,0.5823,-,-,-,-,-,-,-,-,0.0783,1.7159,0.253,1.3026,0.9712,0.6557,0.072,1.6562,1.3898,0.5531,0.9688,0.4292,0.3513,0.3406,0.3653,2.1485,27.0195
647,Harry Kane,Tottenham,0.3574,1.1391,1.097,0.9183,0.9408,0.1765,0.9597,0.6374,0.4065,1.2023,0.5725,0.5548,1.1553,0.2902,0.7086,0.2276,0.5317,0.3034,0.3264,0.1884,0.6104,0.586,0.8653,1.1786,0.9413,0.0189,1.3687,1.0234,0.8239,1.3438,0.7145,0.6033,0.5613,0.9298,0.5615,1.0511,0.5476,0.5165,26.9398
755,Jamie Vardy,Leicester,1.1383,0.4118,0.1608,0.0818,0.8093,0.2757,0.7033,0.468,1.929,1.0609,0.8356,0.1221,0.668,0.1665,1.1692,0.377,0.196,0.0254,0.2301,0.6204,0.0918,0.6918,0.836,1.0666,1.5288,0.4761,1.5449,0.7973,0.6922,0.2607,0.7394,0.9878,1.9753,0.1313,-,-,0.8998,0.4267,24.5957
594,Romelu Lukaku,Everton,0.142,1.0605,0.1376,0.1438,0.3866,1.2469,1.5943,0.6372,0.3439,0.0152,1.3303,0.7192,1.5107,0.2597,1.2838,1.7074,1.1603,0.7575,1.885,0.4347,0.3451,0.3579,0.4288,0.1368,1.3423,0.373,0.7743,1.0972,0.0651,0.13,0.4474,0.3347,-,0.0,0.1556,0.25,0.2122,0.8178,24.0248
504,Aaron Ramsey,Arsenal,0.25,0.9419,1.1771,1.2287,0.6133,0.1061,1.4292,1.3802,1.8509,-,-,-,-,0.2378,2.1365,0.8218,1.1179,0.6657,0.8346,1.103,0.675,0.1318,0.5946,0.3648,1.0177,1.2167,0.4451,0.2801,0.3511,-,-,0.053,0.1316,0.8924,0.4584,0.3099,0.4657,-,23.2826
646,Christian Eriksen,Tottenham,0.4669,0.5239,-,-,-,0.2278,0.6598,0.7002,0.0635,0.6141,0.5597,0.2234,0.6027,0.1765,0.0815,0.2877,0.2341,0.7123,0.244,0.1808,0.0784,0.568,1.157,0.8257,1.2431,0.4418,1.6282,0.507,0.7681,1.2414,1.4123,0.5295,1.4749,1.546,0.7446,1.3319,0.3921,0.5261,22.975
750,Riyad Mahrez,Leicester,0.8737,0.6311,0.2038,0.0,0.7955,0.2217,0.5612,-,0.9025,1.0322,1.4919,0.2603,1.3649,0.6426,1.3769,0.488,0.0,0.2707,0.4868,0.2666,0.0744,0.546,1.3257,0.0926,0.681,0.0385,0.6901,0.63,0.6923,0.3322,0.737,0.0392,0.0223,0.1484,0.6368,0.1894,1.6359,0.803,21.1852
592,Ross Barkley,Everton,0.0922,1.0605,0.0519,0.4603,0.7637,1.0027,1.5916,0.0297,0.263,0.0787,1.2418,0.1286,1.7217,0.3453,1.2952,0.6648,1.1324,0.4923,1.6014,0.1802,0.0424,0.5357,0.6296,0.5832,1.4267,0.6576,0.4945,0.0601,0.1166,0.0,0.0446,0.3757,0.046,0.0425,0.8388,0.5853,0.0326,0.1663,20.8762
686,Cesc Fàbregas,Chelsea,0.1375,0.1716,0.5845,0.604,0.1413,1.0831,0.6245,0.2067,0.3106,0.0934,0.0,0.3929,0.786,0.1067,0.2758,0.1669,0.2665,0.1299,-,0.9398,1.0108,1.7348,0.0901,0.2781,0.511,1.7874,0.4181,0.7469,0.0131,0.319,0.9691,0.2654,0.1745,1.8075,0.2055,1.2792,0.3665,0.5392,19.5379
