id,name,team,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,total
2098,Luis Suárez,Barcelona,1,0,0,-,0,2,0,1,3,1,1,2,1,1,0,2,0,0,3,0,1,1,3,1,1,0,0,1,-,0,0,-,0,4,4,1,2,3,40
2371,Cristiano Ronaldo,Real Madrid,0,0,5,0,0,0,0,1,1,1,0,0,1,1,0,2,2,0,0,2,0,3,0,2,1,0,1,4,0,1,1,1,1,0,-,-,2,2,35
2097,Lionel Messi,Barcelona,0,0,1,2,0,0,-,-,-,-,-,0,1,0,1,1,0,3,1,1,1,0,1,2,0,1,3,2,1,0,0,0,1,1,1,0,1,0,26
2099,Neymar,Barcelona,-,0,1,1,1,0,1,4,0,1,2,1,2,0,-,0,0,1,1,-,0,0,1,0,1,0,0,-,2,1,0,0,0,1,1,0,1,0,24
2370,Karim Benzema,Real Madrid,-,1,1,1,2,0,1,-,-,-,-,0,0,2,0,3,0,1,2,2,1,1,1,0,-,0,-,-,-,1,1,-,1,1,0,-,1,0,24
2270,Antoine Griezmann,Atletico Madrid,1,0,0,0,2,0,0,1,0,0,1,0,1,1,1,0,1,0,1,2,0,0,0,0,0,1,1,1,1,1,2,1,0,0,0,1,0,1,22
2410,Aduriz,Athletic Club,0,0,2,1,0,0,1,1,2,0,0,0,3,0,0,0,0,1,0,-,2,0,0,0,0,1,3,0,0,0,0,0,-,-,-,1,0,2,20
2251,Gareth Bale,Real Madrid,0,2,0,-,-,-,0,0,-,-,0,0,1,1,0,4,0,1,3,1,-,-,-,-,-,-,-,1,0,1,0,-,1,-,2,1,-,0,19
2150,Rubén Castro,Real Betis,1,0,1,0,0,1,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,2,1,1,1,0,1,1,0,0,0,0,1,1,19
1701,Borja Bastón,Eibar,0,0,0,0,2,1,1,1,1,0,0,0,-,1,0,0,1,1,1,2,2,1,-,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,18
1700,Lucas Pérez,Deportivo La Coruna,0,1,1,0,0,2,0,1,0,1,1,1,1,1,1,1,0,0,0,0,1,1,0,0,-,0,0,1,-,0,0,1,0,0,0,0,1,0,17
2082,Youssef El-Arabi,Granada,0,1,0,0,0,0,0,1,0,0,0,-,1,0,0,0,0,0,-,1,1,0,1,0,0,1,1,0,0,2,0,0,-,3,1,1,1,0,16
2442,Kevin Gameiro,Sevilla,0,0,0,0,0,1,0,1,3,0,-,0,-,0,2,0,0,0,2,2,0,1,0,1,0,0,0,0,0,0,1,1,-,-,1,-,-,-,16
2290,Iago Aspas,Celta Vigo,1,0,0,0,2,1,0,0,0,2,0,0,0,0,1,1,0,0,0,1,-,0,0,-,0,0,0,1,1,-,0,0,0,1,2,0,0,0,14
2380,Paco Alcácer,Valencia,-,0,1,0,0,0,0,0,1,1,2,1,0,0,0,1,0,1,0,1,-,-,-,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,13
2535,Imanol Agirretxe,Real Sociedad,-,-,0,1,3,0,1,0,1,2,0,1,0,2,1,0,0,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,13
2167,Javi Guerra,Rayo Vallecano,-,-,0,1,1,1,0,1,2,0,2,0,0,0,1,0,0,0,0,-,0,0,0,-,-,-,0,0,-,-,1,0,1,0,0,0,1,0,12
2306,Cédric Bakambu,Villarreal,0,2,1,0,-,-,-,0,0,1,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,1,0,1,0,0,0,-,0,0,12
1732,Nolito,Celta Vigo,0,2,1,1,1,0,0,1,1,0,0,0,1,0,0,-,-,-,-,-,-,-,-,-,0,1,0,0,0,0,1,1,0,0,0,0,1,0,12
2339,Charles,Malaga,0,0,0,0,0,-,3,0,0,0,0,0,1,0,1,1,0,1,-,1,0,0,1,0,0,0,0,1,0,0,0,-,0,0,0,0,0,2,12
2271,Fernando Torres,Atletico Madrid,0,0,1,1,0,0,0,0,0,0,-,0,0,0,0,0,0,-,-,-,-,-,1,1,0,0,-,1,-,0,1,1,1,1,0,0,1,1,11
2217,Antonio Sanabria,Sporting Gijon,0,0,0,2,0,-,0,-,-,-,-,0,0,3,-,0,1,0,0,3,1,0,-,-,-,0,0,0,0,1,0,0,0,0,0,0,0,0,11
2358,Jonathan Viera,Las Palmas,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,-,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,-,1,2,0,0,10
2135,Sergi Enrich,Eibar,0,0,0,0,0,0,0,0,0,0,2,1,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,9
2170,Miku,Rayo Vallecano,0,0,-,-,-,-,-,-,-,-,-,-,-,0,-,-,0,-,0,0,1,1,1,1,1,0,-,-,0,0,1,0,1,0,1,0,0,1,9
2185,Deyverson,Levante,0,0,0,0,1,0,1,0,0,-,-,2,0,0,0,0,0,-,1,1,1,-,0,0,0,0,1,1,0,0,0,0,0,0,0,0,-,0,9
2165,Jozabed,Rayo Vallecano,-,-,-,0,0,0,0,1,0,0,-,1,0,1,0,1,0,1,0,1,1,1,0,1,0,-,-,-,-,-,-,-,0,0,0,0,0,0,9
2361,Willian José,Las Palmas,0,0,0,0,-,-,0,0,0,0,0,-,-,-,1,0,0,-,0,0,2,1,0,0,1,0,1,0,1,1,0,-,0,0,0,-,0,1,9
2116,Felipe Caicedo,Espanyol,0,1,0,-,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,1,-,-,0,0,-,0,0,-,1,0,0,0,0,-,1,0,-,8
2378,Daniel Parejo,Valencia,-,0,0,0,-,0,1,1,0,0,2,0,0,0,-,0,0,1,0,0,0,0,0,0,1,0,0,-,0,-,0,1,0,0,1,0,0,0,8
2399,Iñaki Williams,Athletic Club,-,-,-,-,-,0,0,1,0,2,1,0,0,0,0,1,0,1,0,0,-,1,0,-,0,-,-,-,-,-,0,1,-,0,0,0,0,0,8
2285,Fabián Orellana,Celta Vigo,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,-,0,-,-,-,0,0,0,-,0,0,0,0,0,0,1,0,0,7
2120,Gerard Moreno,Espanyol,0,0,0,1,0,0,0,-,-,-,-,0,0,1,0,0,0,0,0,-,1,-,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,7
2186,Morales,Levante,0,-,0,-,1,0,0,0,0,0,0,0,0,0,0,0,-,0,1,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,7
2287,John Guidetti,Celta Vigo,0,0,0,0,1,-,0,0,0,0,0,0,0,0,0,0,0,-,0,2,-,0,0,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,7
2094,Ivan Rakitic,Barcelona,0,0,0,0,0,0,0,0,0,0,-,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,-,1,0,0,0,1,0,1,0,0,7
2223,Carlos Castro,Sporting Gijon,-,-,-,-,0,1,-,0,-,-,0,0,1,0,0,0,0,-,-,-,-,-,0,1,1,2,0,0,0,1,0,0,0,0,0,0,-,0,7
2115,Hernán Pérez,Espanyol,-,0,-,1,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,1,-,0,0,-,-,0,0,1,0,0,0,-,1,0,0,0,0,0,7
2340,Duje Cop,Malaga,0,0,0,0,0,-,0,0,-,0,0,-,-,-,1,0,0,0,0,0,0,0,0,0,0,1,1,-,-,0,1,0,0,0,0,2,0,1,7
2065,Vicente Iborra,Sevilla,0,0,-,-,0,0,1,0,0,0,-,0,-,1,-,0,0,0,0,0,-,1,-,-,1,0,0,0,1,0,0,-,1,1,0,0,0,0,7
2199,Pablo Sarabia,Getafe,0,-,-,-,-,0,0,1,0,0,0,0,0,0,1,1,0,1,0,1,0,-,-,0,0,0,0,0,-,0,0,0,1,1,0,0,0,0,7
2400,Raúl García,Athletic Club,-,-,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,-,-,-,-,-,0,-,0,0,0,0,0,0,1,0,0,1,0,1,7
2249,James Rodríguez,Real Madrid,0,2,-,-,-,-,-,-,-,-,1,0,0,0,0,0,0,-,0,0,0,1,0,1,0,0,0,-,-,0,-,1,1,0,0,0,0,0,7
2480,Jonathas,Real Sociedad,0,0,0,1,-,0,0,0,-,0,-,-,-,0,0,0,0,0,2,0,0,0,2,1,1,-,0,0,0,0,-,-,0,0,-,-,-,0,7
1724,Isaac Success,Granada,0,1,0,0,0,0,0,1,0,0,-,1,0,0,0,0,-,1,0,0,0,0,0,0,0,0,1,0,0,0,-,0,-,1,-,-,-,-,6
2202,Stefan Scepovic,Getafe,-,-,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,-,-,0,0,1,0,1,0,6
2234,Mikel Oyarzabal,Real Sociedad,-,-,-,-,-,-,-,-,0,-,-,0,0,-,-,-,-,-,0,0,0,0,1,2,0,0,-,0,0,0,0,1,0,0,0,0,1,1,6
1219,Luis Alberto,Deportivo La Coruna,-,0,1,1,-,0,0,0,0,0,-,-,-,-,0,0,0,1,0,1,0,0,1,0,0,0,-,0,0,1,0,0,0,-,-,0,0,0,6
2079,Rubén Rochina,Granada,1,0,0,0,0,0,0,-,0,0,0,0,1,0,0,0,0,0,0,-,1,0,0,0,0,0,0,0,1,0,-,0,0,1,0,1,0,0,6
1644,Giuseppe Rossi,Levante,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,1,0,0,1,0,0,0,1,1,0,0,1,0,0,0,1,-,6
2499,Sabin,Athletic Club,0,0,-,0,1,0,0,0,-,0,0,0,-,-,-,-,0,-,0,0,1,0,0,0,-,1,0,0,2,-,0,-,-,-,-,-,-,-,5
2200,Álvaro Vázquez,Getafe,0,0,0,-,0,2,0,0,-,-,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,-,0,0,0,0,1,0,0,0,0,5
2302,Bruno,Villarreal,0,-,-,1,0,0,-,-,0,0,0,0,-,0,0,0,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-,0,0,0,0,-,5
1520,Éver Banega,Sevilla,0,0,-,0,-,-,-,0,1,-,1,-,0,-,0,0,1,0,0,0,0,-,0,1,0,-,0,1,0,-,0,0,0,0,0,-,-,-,5
2365,Sergio Araujo,Las Palmas,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,-,0,0,0,-,-,0,0,-,0,2,0,-,-,0,-,-,5
2319,Faycal Fajr,Deportivo La Coruna,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5
2416,Carlos Vela,Real Sociedad,0,0,0,0,0,0,0,0,2,0,0,-,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,-,0,-,5
2256,Jesé,Real Madrid,0,-,-,-,0,0,-,1,0,1,0,-,-,0,0,-,-,-,0,0,0,0,0,-,0,0,0,1,0,1,0,1,0,0,0,0,0,0,5
1715,Álvaro Negredo,Valencia,0,1,0,-,-,0,0,-,-,-,-,-,-,-,0,0,0,0,0,1,1,0,0,1,-,0,-,0,0,0,0,1,-,0,0,0,-,0,5
2311,Roberto Soldado,Villarreal,1,1,0,0,-,0,0,0,0,0,0,0,-,0,1,0,0,0,0,0,0,0,0,1,0,-,-,0,-,0,1,-,-,-,0,0,-,-,5
2359,Tana,Las Palmas,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,2,-,-,0,0,0,0,0,-,0,0,0,5
2216,Jony,Sporting Gijon,0,0,0,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,-,1,0,1,5
2275,Ángel Correa,Atletico Madrid,0,-,-,1,0,0,0,0,0,0,0,-,-,-,0,-,1,0,-,-,0,-,0,0,0,0,0,-,1,0,0,0,1,-,1,0,0,-,5
1548,Adalberto Peñaranda,Granada,-,-,-,-,-,-,-,-,-,-,-,0,0,0,2,0,1,1,0,0,-,-,0,0,0,0,0,0,-,0,1,-,0,0,0,0,0,0,5
2133,Adrián,Eibar,1,1,0,0,0,0,0,0,-,-,-,-,0,0,0,-,0,1,0,0,0,0,0,1,0,0,0,0,0,0,-,0,0,0,1,0,0,0,5
2269,Koke,Atletico Madrid,0,1,0,0,-,-,-,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,5
