id,name,team,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,total
2095,Sergio Busquets,Barcelona,0.639,0.395,0.1442,0.3679,0.1227,1.492,0.2057,1.238,0.515,0.7471,0.3568,2.1931,1.3083,0.6158,0.2767,0.5806,0.2035,-,1.2214,0.4963,0.1315,0.0373,0.0,0.8914,-,0.147,0.3624,0.1241,-,0.4988,0.3398,0.5423,0.8807,1.2109,1.9256,0.3441,0.0976,2.4161,23.0687
2099,Neymar,Barcelona,-,0.0,0.7072,0.1216,0.3318,0.9105,0.1484,0.3143,0.6197,0.739,0.2078,0.8717,0.7117,0.0,-,2.0208,0.4064,2.2748,0.6824,-,0.5868,0.0839,0.3372,0.7434,0.8908,0.2358,0.6443,-,1.2639,0.0,0.1614,0.0262,0.3532,2.3184,0.6861,0.9537,0.6559,1.2158,22.2249
2369,Toni Kroos,Real Madrid,0.2264,1.2571,-,0.2908,0.0719,2.0113,0.2437,0.6849,0.2999,0.6813,0.4024,0.2775,0.4677,1.1003,-,1.3992,0.1486,0.2011,1.3874,1.1097,0.3194,0.355,1.2155,1.1805,0.6957,0.525,0.2247,-,-,1.34,0.1147,-,1.8233,0.194,0.0226,-,1.3036,0.3442,21.9194
2250,Luka Modric,Real Madrid,0.7837,1.1328,1.4145,0.1116,0.4514,1.3298,0.2112,-,0.149,0.398,0.6147,0.1402,0.1813,1.3478,0.3695,2.1594,0.5774,0.2142,2.0925,0.8743,0.6461,0.7156,0.7574,0.8017,0.6078,0.0,-,-,0.282,1.5072,0.2585,-,-,0.2792,0.0,0.2294,-,0.3003,20.9385
2093,Jordi Alba,Barcelona,0.1396,0.2821,0.8481,-,-,-,0.1708,0.7559,0.1048,0.0567,0.8125,0.9531,0.7117,1.5435,0.2408,-,0.4064,0.6087,1.2714,-,0.4633,0.0845,0.4807,-,0.8371,0.3671,-,0.2055,0.7316,0.0147,0.2368,0.5162,0.4932,2.8922,1.9924,0.499,0.0314,1.2158,19.9676
2091,Javier Mascherano,Barcelona,0.1396,0.1718,0.5476,0.5138,0.884,1.0703,0.1233,-,0.5404,-,-,0.4124,0.3142,1.1547,0.0207,0.4405,0.4953,-,0.8241,0.2627,0.8392,0.0886,0.8823,0.0,1.3975,-,1.7412,0.0814,-,0.0147,0.3758,0.0253,0.7212,2.5643,0.5864,0.4003,0.303,1.4417,19.3783
2096,Andrés Iniesta,Barcelona,0.7093,0.292,0.1442,-,0.8197,-,-,-,-,0.554,0.2003,0.8105,1.1529,1.517,0.1987,-,0.6099,-,1.1682,0.4963,0.5048,0.1212,0.0,-,1.3975,0.0,0.9562,-,1.7629,-,0.2545,0.0,0.4636,2.177,0.7765,0.8449,0.0,1.194,19.1261
1288,Dani Alves,Barcelona,0.0,-,-,0.6763,0.7556,-,0.0472,0.5076,0.515,0.7299,0.5548,1.9187,0.9985,0.4528,0.2863,0.657,0.5671,0.661,-,-,0.3544,0.1254,0.4016,-,0.6096,0.0457,-,0.2055,-,0.3664,0.284,0.0515,-,2.874,0.3119,0.3441,1.0835,0.9027,17.2881
2094,Ivan Rakitic,Barcelona,0.4506,0.1843,0.0,0.7383,0.3698,0.3082,0.2162,0.1318,0.0967,0.7471,-,1.6959,0.8563,0.9102,0.1096,0.1927,0.4953,0.72,0.7212,0.0,0.0467,0.0414,0.0,0.3895,0.5352,0.0,0.6488,0.0814,-,0.3517,0.316,0.5162,0.3886,2.3436,0.622,0.3441,0.0976,0.4661,16.1331
2097,Lionel Messi,Barcelona,0.0489,0.2247,0.2328,0.2101,0.1227,0.0,-,-,-,-,-,0.5786,1.3237,0.1346,0.1627,0.5504,0.4783,1.2082,0.4741,0.0,0.1729,0.0367,0.4304,0.5895,0.0492,0.1401,0.2598,0.0814,1.3362,0.0147,0.2368,0.0262,0.1599,2.9157,1.4651,0.4318,0.6637,0.4366,15.1965
2255,Isco,Real Madrid,0.446,0.5387,1.7756,0.0244,0.2336,1.2253,0.1419,0.0407,0.8036,0.0176,0.3124,0.6634,-,-,0.1046,-,-,-,1.1154,0.5902,0.2975,0.5545,0.6877,0.6516,0.1338,0.0,0.0908,0.0134,0.1689,0.0,-,1.4175,1.5339,0.146,0.7215,0.189,-,0.1795,14.819
2104,Sergi Roberto,Barcelona,0.0,0.3204,0.1442,-,0.1489,0.913,0.1975,0.1318,-,0.1759,0.116,1.7651,-,-,0.0,1.2538,0.0,2.5172,0.463,0.0,0.0414,0.4963,0.0,-,1.1448,0.1799,0.1632,0.0,1.1297,0.08,-,0.0262,0.8003,1.6834,0.7972,0.0,-,0.0,14.6892
2257,Marcelo,Real Madrid,0.2652,0.6673,0.6419,0.3152,0.1828,1.2769,0.4916,0.8363,0.5521,0.0,-,0.0552,-,-,0.4858,1.5918,0.3106,0.397,0.856,1.0724,0.4878,0.4291,0.6877,-,0.2406,-,-,0.0091,0.0,0.7588,0.0527,-,0.1674,0.1634,0.1771,-,0.4628,0.5503,14.1849
2092,Gerard Piqué,Barcelona,-,-,-,-,0.108,0.6423,0.2525,0.7424,0.0372,0.0,0.116,1.158,0.5335,0.6326,0.045,-,0.5671,1.3915,1.1992,-,0.3544,0.0414,0.4016,0.4453,-,0.2615,0.9102,0.1241,0.0,0.0,0.1948,0.0634,1.3219,-,0.1934,0.0562,0.0788,1.5434,13.4157
2260,Daniel Carvajal,Real Madrid,0.0,-,2.1303,0.0625,0.1109,1.8858,0.1668,-,-,-,-,0.0,0.1805,-,-,-,-,-,0.4215,2.1589,0.1593,0.6635,0.6877,0.8665,0.1883,0.3502,-,0.0264,0.2529,-,0.416,1.1363,0.4349,-,-,-,-,0.4147,12.7139
2258,Pepe,Real Madrid,-,-,1.5692,0.0819,0.0719,-,-,-,-,-,0.3458,-,0.1878,1.0814,0.2509,2.2206,0.5191,0.1072,0.6448,0.8248,0.492,-,-,-,-,-,0.3798,0.1266,0.231,-,0.0,0.4778,1.9009,-,0.0204,-,-,0.3999,11.9338
2265,Filipe Luis,Atletico Madrid,0.085,-,0.0879,0.9949,-,0.1993,0.2393,0.0914,0.5728,0.1333,0.6773,0.5672,0.1031,0.5845,0.0,0.0205,-,0.4131,0.5123,0.0924,0.743,0.0651,-,0.5091,0.5567,0.0719,0.0844,0.4713,0.169,0.0,2.434,0.5836,-,0.0773,0.618,-,0.0305,0.0,11.7882
2268,Gabi,Atletico Madrid,0.0309,0.2611,0.4299,0.7393,0.7557,0.0,0.2062,0.4791,0.1266,0.2432,0.2865,0.0246,-,0.3652,0.0,0.0,-,0.3505,0.5239,0.5439,0.7641,0.1424,0.7808,0.0322,0.5142,0.2323,0.2024,0.4255,0.1835,0.0731,0.4873,0.5487,0.0745,-,0.4917,0.0,0.0854,0.2621,10.6668
2244,Danilo,Real Madrid,0.1142,0.6673,-,-,-,-,-,0.5851,0.6383,0.3871,0.5002,0.2982,0.1296,1.0881,0.3179,0.6585,0.0344,0.2011,-,-,0.3909,-,-,0.177,-,0.0867,0.7237,0.0708,-,0.9521,-,0.0276,-,0.4063,0.5045,0.4822,1.218,-,10.6598
