id,name,team,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,total
1741,Zlatan Ibrahimovic,Paris Saint Germain,-,-,-,0.1208,-,0.535,0.3656,1.0271,0.5941,1.1784,1.1007,-,1.2337,0.3746,0.3134,0.0705,1.2448,0.4809,1.022,0.2891,0.6433,0.2521,1.4952,0.5924,0.9821,-,1.0019,0.1091,0.3029,0.9077,1.1159,1.1946,-,0.3505,1.3655,0.4977,0.4674,2.5767,23.8057
3277,Alexandre Lacazette,Lyon,0.4695,0.0,0.1158,-,0.0497,0.3677,0.5146,-,0.2346,0.1657,0.1263,0.6583,1.3151,0.3352,0.6273,0.0,0.1504,-,-,0.5334,0.0457,0.6307,0.1009,1.4982,0.0804,0.8573,0.1588,0.0263,2.2629,1.022,0.0,1.6626,1.3071,1.2112,0.101,0.0439,1.9673,0.1149,18.7548
3294,Edinson Cavani,Paris Saint Germain,0.4901,0.1277,0.1102,1.0951,0.6749,0.4701,0.5112,0.043,0.0561,0.1798,1.4941,-,0.1033,-,1.0668,0.1146,0.9116,0.5665,-,-,0.0,0.4887,0.0,0.9257,0.0,0.7298,0.582,0.0,1.2054,2.0409,0.6743,0.0,-,1.045,1.5853,1.3242,-,0.0,18.6164
1678,Michy Batshuayi,Marseille,0.7875,0.0182,0.8043,0.6164,0.5763,0.2288,0.3199,0.1331,0.6676,0.2313,0.6786,0.1216,0.1418,1.4603,0.816,0.3014,0.4997,1.1443,0.217,0.1919,1.345,0.1022,0.1713,-,0.1061,1.5286,0.0502,0.259,0.0686,0.1485,0.4099,0.2109,0.0,0.4071,0.2523,1.1226,0.9173,-,17.0556
3211,Martin Braithwaite,Toulouse,0.2433,0.6692,1.4284,0.934,1.0481,0.3897,0.4888,0.6381,0.3695,0.2624,0.2446,0.1483,0.0856,0.6021,0.6744,0.1814,0.0725,-,0.3102,0.3177,0.1265,0.2478,0.0229,0.0843,-,0.0,0.7158,0.345,0.2357,0.3039,0.1282,0.5766,0.3746,0.1404,0.1024,0.5057,0.2271,0.3982,13.6434
3210,Wissam Ben Yedder,Toulouse,0.1427,0.2749,0.0317,-,0.0,-,0.1099,0.1657,0.0,0.4676,0.0,0.4679,-,0.1001,0.6086,0.9036,0.5729,0.3495,0.6797,1.4121,0.4893,0.0828,0.1391,0.1635,0.1431,0.2086,0.0199,0.0811,0.9236,0.7594,0.5396,0.1967,0.7099,0.4393,0.688,0.5269,0.4866,0.4814,13.3657
3530,Andy Delort,Caen,0.6,0.8333,0.2501,0.206,0.2326,0.6971,0.0481,0.7504,1.0939,0.4447,0.6362,0.1241,0.3301,0.1941,0.2419,0.0426,0.0344,0.1738,0.0273,0.2824,0.0,0.3425,0.6695,0.113,0.1396,0.4709,0.2796,0.7778,-,0.489,0.2243,0.1084,0.2154,-,0.2944,0.6859,0.0369,0.0845,12.1748
3309,Valère Germain,Nice,0.2341,0.2176,0.3727,0.5786,0.0631,0.7298,0.1696,0.0,0.6201,0.0,0.1508,0.0,0.0314,1.0415,0.1014,0.074,0.0435,0.8347,0.0,0.0,0.0,0.0,0.2706,0.1418,0.188,0.66,0.1143,0.4679,0.8634,0.5804,0.0,0.1187,0.0,0.4875,0.6058,0.0497,1.1171,0.1082,11.0363
3512,Nolan Roux,Saint-Etienne,0.0516,0.1369,1.2426,0.3587,0.468,-,0.7556,-,0.4175,0.0893,-,0.1302,0.0,0.0427,0.6561,0.0755,0.0,0.0635,0.3924,0.0331,-,-,0.0,0.0,0.3146,-,-,0.3982,-,-,1.2941,0.2598,0.1076,0.5925,0.6344,0.0677,0.4841,0.0989,9.1656
3244,Nicolas de Preville,Reims,1.6498,0.1021,0.3841,0.6081,0.0793,0.0904,0.0186,0.0,0.1156,0.1063,0.4321,0.0542,0.3733,0.0,0.2088,0.0408,0.3001,-,0.0,0.0269,0.3577,0.7259,0.9703,0.1958,0.0914,0.1196,0.0422,0.0321,0.0,0.0762,0.0808,0.0525,0.2003,0.2396,0.5203,0.3639,0.3907,-,9.0498
3293,Lucas Moura,Paris Saint Germain,0.751,0.294,0.0,0.0994,0.0,0.0291,-,0.0,-,0.0,0.0833,0.1622,0.2062,0.0676,0.374,0.129,0.0,0.2659,0.6539,0.5616,0.1343,0.4391,0.5282,0.0521,0.2139,0.1544,0.0,0.1268,0.0,0.3274,0.0,0.0,0.8779,0.8782,0.1467,0.1565,0.7301,0.5545,8.9973
3261,Diego Rolan,Bordeaux,0.0,0.0,-,0.027,-,0.6673,0.0215,0.5063,0.2959,-,0.1383,0.0,-,-,0.0329,0.3665,0.0,0.4244,0.533,0.5031,0.0765,-,0.4287,0.8998,0.1438,0.7977,0.0763,0.0,0.5465,-,0.1816,0.0,0.0,0.7868,0.7557,0.0,0.0944,0.6024,8.9064
3228,Giovanni Sio,Rennes,0.5789,0.2023,0.0507,0.5452,1.2533,0.3652,0.8598,0.1959,-,0.043,0.199,0.0,0.0617,0.03,0.065,-,0.0,0.5251,0.3288,0.0517,0.4394,0.4555,0.1064,0.3993,0.1861,0.0274,-,0.2496,0.0225,-,0.2038,0.0,0.0105,0.0736,0.696,0.082,0.3604,0.0769,8.745
3590,Souleymane Camara,Montpellier,0.0654,0.0,0.0688,0.0365,-,-,0.0278,0.101,0.1421,-,0.0572,0.0769,0.0,0.5571,1.2722,0.2891,0.0,0.2797,0.0,0.5543,0.0,0.5696,0.2352,0.144,0.0366,0.3094,0.4159,-,-,0.7926,0.3724,0.067,0.2524,0.0208,0.8835,0.6055,0.1419,0.0,8.3749
3461,Majeed Waris,Lorient,-,0.7819,-,-,0.2112,0.257,0.3271,0.3102,0.0,-,0.0873,0.2581,-,-,-,-,-,-,0.7,0.764,-,-,0.0,0.1669,0.0,-,0.9843,0.896,0.0,1.0738,0.3552,0.5431,0.1231,0.038,-,-,-,-,7.8772
3477,Jimmy Briand,Guingamp,-,0.3394,0.3904,0.1058,0.6983,0.267,0.0,0.0779,0.1299,0.1825,0.4832,0.2481,0.3208,0.0734,0.8014,0.0,-,-,0.0,0.0265,0.0,0.2978,0.4531,0.0,0.0101,0.0,0.1583,0.122,0.6025,0.5116,0.0,0.1187,0.2001,0.7273,0.1077,0.0297,0.0,0.3382,7.8217
3424,Guido Carrillo,Monaco,0.5681,0.0,0.6798,0.0,0.8731,0.0768,0.0551,-,0.0931,0.0,0.0846,0.0,0.187,0.0731,0.0639,0.2603,-,-,-,0.5959,0.2004,0.8421,0.0812,0.0,0.0,0.2518,1.3544,0.3144,0.0,-,-,0.8033,0.0,0.0,0.0,0.0,-,0.0,7.4584
3570,Benjamin Moukandjo,Lorient,0.0772,0.0843,0.1333,0.0177,0.3418,0.4182,0.6486,0.0897,0.3708,0.265,0.1939,0.5284,0.7684,0.6736,0.0,0.0,0.0,0.1091,0.0,-,-,0.0,0.8927,0.0,0.1114,0.017,0.0161,-,-,-,-,0.0,-,0.0816,0.0674,0.0119,1.0815,0.3717,7.3713
3460,Benjamin Jeannot,Lorient,0.0589,0.0,0.035,0.1266,0.5717,1.1467,-,-,-,-,-,-,0.5415,0.0186,0.0,0.0218,0.3832,0.0708,0.3745,0.0,0.541,0.3996,-,-,0.0,0.0212,0.9129,0.0297,-,0.0456,0.0483,0.0,1.0833,0.084,0.0,0.1803,0.0489,0.4739,7.218
3426,Vágner Love,Monaco,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.0,0.9194,1.1739,1.0532,1.0004,0.0,-,1.048,0.6964,0.0768,0.0172,-,-,-,0.0,1.1654,7.1507
