id,name,team,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,total
1741,Zlatan Ibrahimovic,Paris Saint Germain,-,-,-,3,-,6,7,5,6,6,5,-,5,4,5,1,5,3,5,3,8,4,6,3,2,-,4,4,2,8,8,6,-,6,8,2,2,13,155
3530,Andy Delort,Caen,5,2,4,5,5,6,2,6,7,4,8,3,6,4,4,1,3,3,2,6,0,2,5,2,2,6,2,5,-,2,6,2,6,-,6,4,2,3,141
1678,Michy Batshuayi,Marseille,4,1,4,6,3,4,1,3,6,4,3,3,4,6,4,2,4,6,3,2,5,2,3,-,1,5,1,3,1,3,4,1,0,4,3,7,6,-,122
3211,Martin Braithwaite,Toulouse,4,7,9,3,4,3,3,6,5,4,2,2,1,4,4,2,1,-,3,2,2,1,1,1,-,0,4,1,4,5,2,2,1,3,2,3,4,3,108
3277,Alexandre Lacazette,Lyon,4,0,1,-,1,2,3,-,5,2,2,4,4,1,2,0,3,-,-,3,1,4,2,5,1,4,3,1,5,5,1,3,7,5,1,1,7,2,95
3210,Wissam Ben Yedder,Toulouse,2,3,1,-,0,-,2,3,0,1,0,3,-,2,2,2,3,1,2,4,4,2,5,4,2,4,1,3,5,5,2,3,5,2,2,4,6,3,93
3638,Hatem Ben Arfa,Nice,1,3,2,3,5,0,3,4,2,3,3,2,4,3,3,-,3,1,4,2,5,4,2,5,1,-,-,-,1,1,2,3,5,2,3,2,2,3,92
3244,Nicolas de Preville,Reims,4,3,1,3,3,2,1,0,1,3,4,1,4,0,3,1,4,-,0,1,3,5,4,3,1,2,2,1,0,1,3,2,2,6,5,7,4,-,90
3294,Edinson Cavani,Paris Saint Germain,3,3,3,7,4,1,2,1,1,3,5,-,2,-,6,3,2,3,-,-,0,1,0,2,0,2,3,0,2,6,7,0,-,4,7,3,-,0,86
3473,Yannis Salibur,Guingamp,3,3,4,-,-,0,5,2,5,3,2,3,4,2,2,3,-,2,4,3,2,4,1,0,1,2,7,2,5,1,0,2,-,-,-,1,-,-,78
3328,Floyd Ayité,SC Bastia,2,2,2,2,3,0,1,-,4,1,5,0,0,4,0,6,0,2,3,-,1,1,-,-,4,3,5,2,0,3,4,-,1,6,2,-,2,2,73
