id,name,team,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,total
2751,Aleksey Ionov,Dinamo Moscow,1,3,2,0,4,2,3,4,5,3,2,1,-,3,1,2,1,1,6,1,3,2,5,2,0,1,6,6,1,1,72
3064,Hulk,Zenit St. Petersburg,4,2,6,6,3,4,3,0,4,2,5,2,2,-,1,3,1,-,2,2,0,3,1,2,1,3,3,3,1,-,69
2998,Yohan Mollo,Krylya Sovetov Samara,-,-,-,-,-,0,4,5,1,3,-,4,4,3,4,0,2,1,5,6,4,3,0,3,6,3,2,2,1,-,66
2710,Aleksandr Samedov,Lokomotiv Moscow,-,1,3,8,1,4,1,1,0,1,2,4,2,2,3,2,0,1,0,1,1,4,3,2,2,3,3,9,2,-,66
2815,Quincy Promes,Spartak Moscow,3,3,0,0,1,0,0,2,5,1,2,4,0,2,0,5,6,2,1,2,3,1,0,2,3,1,4,1,3,2,59
2857,Oleg Ivanov,FK Akhmat,0,2,1,1,3,2,4,3,4,2,1,1,1,2,3,2,1,-,2,3,7,3,1,1,1,2,0,3,-,2,58
2924,Pavel Mamaev,FC Krasnodar,1,0,1,1,2,3,0,3,1,2,2,-,0,4,2,1,1,2,2,1,2,1,4,2,0,3,3,5,3,2,54
2968,Magomed Ozdoev,Rubin Kazan,4,4,3,2,2,3,0,-,1,1,4,2,3,0,2,2,2,0,2,2,4,1,1,0,2,0,0,3,1,3,54
2881,Alan Dzagoev,CSKA Moscow,1,2,0,0,4,0,2,0,3,4,2,-,1,1,5,3,0,1,2,2,4,0,2,0,4,4,1,3,1,1,53
2884,Roman Eremenko,CSKA Moscow,4,2,2,4,1,3,1,2,0,0,2,1,2,-,-,-,-,-,2,1,6,1,4,1,0,4,3,1,3,3,53
3062,Oleg Shatov,Zenit St. Petersburg,2,4,5,6,2,3,1,1,-,0,0,1,0,2,-,2,0,3,0,2,0,2,0,0,1,7,0,-,1,3,48
3063,Artem Dzyuba,Zenit St. Petersburg,4,1,1,1,1,2,2,0,2,1,0,2,2,2,4,2,2,5,1,3,0,1,1,0,0,2,1,0,1,3,47
2776,Timofei Kalachev,FC Rostov,6,-,2,6,1,1,3,-,1,0,-,2,1,1,-,3,2,2,2,-,-,2,2,-,0,1,-,0,3,2,43
2883,Zoran Tosic,CSKA Moscow,2,2,2,4,2,0,2,0,3,1,0,2,-,2,2,2,1,1,5,1,0,1,0,0,-,1,3,0,2,2,43
2817,Ivelin Popov,Spartak Moscow,3,2,2,3,2,0,1,0,0,6,1,1,-,2,1,3,3,4,0,1,2,0,2,0,3,1,0,0,0,0,43
2925,Fedor Smolov,FC Krasnodar,1,2,2,2,2,2,2,1,1,2,0,2,3,4,0,0,2,1,1,1,0,0,2,1,2,0,1,2,1,-,40
1681,Ahmed Musa,CSKA Moscow,3,1,2,0,1,0,1,1,2,0,1,2,1,2,0,2,1,3,4,1,1,1,2,1,0,1,1,0,2,3,40
2821,Dmitri Kombarov,Spartak Moscow,5,1,3,0,3,1,4,1,1,0,1,1,3,-,0,1,1,3,0,3,4,3,-,-,0,-,-,0,0,1,40
2858,Ismail Aissati,FK Akhmat,2,1,1,2,2,2,1,1,3,1,-,0,0,1,2,1,3,4,0,1,2,2,1,3,1,2,0,0,0,-,39
2874,Gerson Acevedo,Ural,0,-,-,1,1,5,5,1,1,2,3,2,2,1,-,0,3,0,0,4,1,4,-,2,1,0,-,-,-,-,39
2733,Arsen Khubulov,Kuban Krasnodar,0,0,0,0,0,-,1,0,4,2,5,4,2,2,-,0,0,2,1,3,0,3,2,-,0,0,-,0,5,2,38
2923,Odil Ahmedov,FC Krasnodar,0,1,1,0,0,2,0,0,2,-,3,3,5,3,0,0,2,1,3,0,1,3,0,1,1,3,2,0,-,-,37
2775,Dmitriy Poloz,FC Rostov,2,1,2,0,1,0,1,0,1,1,2,2,4,2,1,0,2,0,1,1,0,2,1,4,2,2,0,0,0,2,37
3036,Ruslan Mukhametshin,Mordovya,2,0,1,3,4,2,1,2,2,2,1,0,1,1,2,-,1,1,1,1,2,0,-,1,3,0,1,1,0,0,36
3038,Oleg Vlasov,Mordovya,2,0,1,0,4,2,3,1,3,1,0,0,1,0,1,1,0,1,2,4,2,3,0,0,0,0,1,1,0,2,36
2893,Alan Kasaev,Lokomotiv Moscow,3,1,3,4,2,3,0,-,2,1,0,0,2,-,-,1,0,1,3,0,0,2,1,1,0,3,1,-,-,-,34
3080,Danny,Zenit St. Petersburg,-,0,0,0,1,1,3,1,4,3,1,4,1,1,1,0,1,1,2,4,2,1,0,1,-,-,-,-,-,-,33
2958,Oleksandr Zinchenko,FC Ufa,-,3,3,1,0,0,1,0,-,0,-,0,3,0,2,3,2,0,1,1,1,4,3,1,0,3,-,-,1,-,33
