id,name,team,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,total
1681,Ahmed Musa,CSKA Moscow,0.4547,0.3134,0.4815,0.1628,0.7475,0.5526,0.0308,0.1682,0.2987,0.2096,1.0927,0.1278,0.9161,1.104,0.108,0.1444,0.0,0.1518,1.2516,0.0431,2.0919,0.0,0.9094,0.0,0.0,0.5071,1.1917,0.5563,0.2522,0.0778,13.9457
2815,Quincy Promes,Spartak Moscow,0.5266,0.5168,1.015,0.5264,0.3078,0.0664,0.0391,0.0639,0.17,0.2805,0.3786,0.1102,0.765,0.1515,0.6899,0.6672,0.0,1.0179,0.0932,0.1904,0.613,0.6882,0.3245,0.0552,0.7875,0.4245,0.7726,0.7216,1.0896,0.1019,13.155
2925,Fedor Smolov,FC Krasnodar,0.4606,0.1311,0.2925,0.5464,0.4234,0.5283,0.2134,0.2314,0.3779,0.0307,0.0673,0.253,0.0,0.1871,0.6928,0.1009,0.2393,0.3415,0.2981,0.3445,0.0223,0.6375,2.2143,0.4689,0.3296,0.7281,1.3728,0.9908,0.3801,-,12.9046
3063,Artem Dzyuba,Zenit St. Petersburg,0.0872,0.7972,0.0,0.2438,0.0,0.4533,0.0956,0.0376,0.8279,0.8809,0.2979,0.2979,0.6388,0.2836,0.0829,0.1231,0.0,0.1746,0.0,1.168,0.4272,0.7018,0.7073,0.3126,0.3015,0.8342,0.2297,0.1061,0.0,1.3798,11.4905
2948,Yannick Boli,Anzhi Makhachkala,1.649,0.0553,0.6092,0.1237,1.0847,0.5898,-,0.1861,0.0903,0.6252,0.1295,0.3637,0.7875,0.2398,0.4652,0.0997,0.0,0.0,0.1467,-,0.0248,0.1375,0.1779,0.0265,0.0,0.0126,0.0707,0.334,0.4546,0.3583,8.8423
2818,Zé Luís,Spartak Moscow,0.8602,0.0966,0.4398,0.196,0.1746,0.6106,0.1926,-,0.1192,0.3354,-,-,-,0.1105,0.0,0.8166,1.3978,0.0912,0.0,0.9243,0.233,-,0.209,0.2187,0.2446,0.4514,0.3131,0.0,-,0.0831,8.1183
599,Oumar Niasse,Lokomotiv Moscow,-,-,-,0.5704,0.2256,0.7254,0.3444,0.0573,0.8965,0.4043,0.0989,0.2681,0.3505,1.87,0.304,0.0286,0.182,1.6226,-,-,-,-,-,-,-,-,-,-,-,-,7.9486
3064,Hulk,Zenit St. Petersburg,0.1907,0.6803,0.7119,0.1956,0.2488,0.3153,0.3885,0.1305,0.1565,0.2797,0.1845,0.1637,1.0517,-,0.0207,0.1502,0.4995,-,0.3671,0.2371,0.0087,0.1895,0.0546,0.5224,0.0746,0.3633,0.1605,0.1193,0.3239,-,7.7891
2819,Lorenzo Melgarejo,Kuban Krasnodar,0.0,0.0795,0.0343,0.3108,0.3818,0.2155,0.2911,0.6689,1.4825,0.0797,1.4745,0.5629,-,0.6191,-,0.0,0.3672,0.0505,-,-,-,-,0.4307,-,-,-,-,-,-,-,7.049
2774,Sardar Azmoun,FC Rostov,-,0.0,0.0149,-,0.04,0.4449,1.0427,0.0,-,0.0658,0.0,0.1389,0.0,0.0,-,0.0,0.4221,-,0.0,0.148,-,0.1747,0.5434,1.0333,0.2294,0.4255,0.4934,0.6904,0.3388,0.0628,6.309
3062,Oleg Shatov,Zenit St. Petersburg,0.3366,0.0535,0.4909,0.3122,0.0238,0.5335,0.0806,0.0,-,0.0403,0.0351,0.4849,1.1196,0.6916,-,0.3631,0.0,0.1922,0.0,0.045,0.0,0.0197,0.3232,0.0429,0.0,0.6828,0.1023,-,0.1974,0.1369,6.3081
2881,Alan Dzagoev,CSKA Moscow,0.1251,0.0784,0.288,0.2936,0.0741,0.1266,0.0263,0.0445,0.0978,0.0,0.0819,-,0.0762,0.5072,0.3086,0.2146,0.0623,0.6594,0.0281,0.0196,0.0842,0.0,0.2874,0.0703,0.0105,1.1579,0.0,0.5623,0.577,0.417,6.2789
2778,Aleksandr Bukharov,FC Rostov,0.1971,0.1534,0.0963,2.2745,0.3427,0.0973,0.3573,0.0,0.1285,0.0,0.0277,0.546,0.0517,0.259,0.0292,-,0.4393,0.5201,-,-,-,0.1841,0.1027,0.0,0.1074,0.1044,-,0.0,0.0502,0.0844,6.1533
3036,Ruslan Mukhametshin,Mordovya,0.0,0.5531,0.0908,0.0,0.0061,0.0666,0.8552,0.0706,1.0942,0.5343,0.2826,0.3532,0.5874,0.0978,0.0,-,0.0,0.0364,0.3689,0.1294,0.3986,0.0,-,0.3007,0.0,0.0,0.0,0.0,0.0,0.0,5.8259
2883,Zoran Tosic,CSKA Moscow,0.7023,0.3583,0.6867,0.2835,0.2528,0.1628,0.0732,0.0,0.6782,0.0942,0.0888,0.0647,-,0.4039,0.0992,0.1121,0.0,0.0185,0.7862,0.0,0.021,0.0513,0.0,0.0,-,0.0318,0.079,0.0254,0.0,0.3195,5.3934
2930,Ari,FC Krasnodar,0.16,0.0663,0.4723,0.0,0.0,0.074,0.0,-,-,0.0962,-,0.4639,1.146,1.142,0.0275,0.1253,0.9113,0.1736,0.2122,0.0,0.1708,0.0,-,0.0,-,-,0.0,-,-,-,5.2414
3080,Danny,Zenit St. Petersburg,-,0.0493,0.5351,0.5089,0.0139,0.0,0.0479,0.0,0.0674,0.1096,0.5154,0.4059,0.0,0.0974,0.2393,0.078,0.0,1.0528,0.188,0.8949,0.0863,0.3164,0.0,0.0,-,-,-,-,-,-,5.2065
2817,Ivelin Popov,Spartak Moscow,0.4847,0.0342,0.41,0.0173,0.0,0.0239,0.1293,0.0108,0.3192,0.0795,0.4396,0.268,-,0.2226,0.0598,0.0204,0.2505,0.0284,0.0,0.2331,0.4877,0.0679,0.373,0.9224,0.0,0.0091,0.0,0.0092,0.0,0.2545,5.1551
2924,Pavel Mamaev,FC Krasnodar,0.0,0.1084,0.0,0.0,0.0401,0.2342,0.0892,1.1808,0.0511,0.1695,0.1545,-,0.0745,0.975,0.0207,0.0359,0.2365,0.029,0.0,0.3765,0.0433,0.0193,0.0697,0.1859,0.0,0.1142,0.2011,0.3054,0.0,0.3947,5.1095
2710,Aleksandr Samedov,Lokomotiv Moscow,-,0.0,0.0124,0.8397,0.0,0.0,0.0,0.0827,0.0137,0.0271,0.6499,0.0574,0.5192,0.0125,0.1065,0.0634,0.519,0.1525,0.7094,0.3402,0.1982,0.0923,0.0,0.1589,0.1205,0.0141,0.086,0.2284,0.0817,-,5.0857
2772,Aleksandr Erokhin,Ural,0.2917,1.0664,0.1415,0.4598,0.1475,0.4201,0.5154,0.1124,0.6419,0.0196,-,0.1395,0.6269,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.4702,-,5.0529
3035,Evgeni Lutsenko,Mordovya,0.3743,0.1806,0.1009,0.3023,-,0.0,0.8436,0.041,0.7512,0.2632,0.0331,0.0805,0.243,0.0,0.3487,0.0,0.0,0.0199,0.4115,-,0.0,0.0523,0.0,0.2738,0.0466,0.0689,0.0694,0.2614,0.0789,-,4.8451
3059,Axel Witsel,Zenit St. Petersburg,0.4193,0.0,0.1341,0.5238,0.1277,0.0316,0.3681,0.0,0.2195,0.0192,0.018,0.3231,0.4622,0.044,0.0828,0.0345,0.1007,0.0154,0.0,0.2001,0.0177,0.0764,0.0585,0.6496,0.079,0.0199,0.0599,0.7106,0.0,-,4.7957
2775,Dmitriy Poloz,FC Rostov,0.175,0.0,0.183,0.3848,0.0198,0.0,0.1617,0.0264,0.0,0.6848,0.0,0.0714,0.0522,0.0856,0.3943,0.0,0.0,0.4001,0.1139,0.806,0.1324,0.0,0.04,0.1528,0.0459,0.0,0.0,0.0,0.1664,0.5486,4.6451
2970,Igor Portnyagin,Rubin Kazan,0.0,0.218,0.0989,0.0,0.0766,-,0.1142,0.7347,0.0381,0.3138,0.0,0.1383,0.0415,-,-,-,-,-,0.2852,0.0994,0.0,0.0,0.6369,0.0,0.2543,0.5386,0.1325,0.4686,0.0984,0.2329,4.5209
2972,Marko Devic,Rubin Kazan,-,-,-,-,-,-,-,-,0.0,0.0382,-,0.2272,0.0,1.4636,0.0,0.6678,1.1952,0.1001,-,0.1007,0.0,0.0432,0.0,0.0635,0.0289,0.2842,0.1159,0.056,0.0,-,4.3845
3016,Sergei Kornilenko,Krylya Sovetov Samara,0.0312,0.0599,0.1121,0.4438,0.7978,0.5695,0.9858,0.4467,0.1103,-,-,-,0.0646,-,-,-,-,-,0.0,0.121,0.0,0.5187,0.0,0.0,-,-,-,-,-,-,4.2614
3037,Sergey Samodin,Mordovya,0.0,-,0.0,-,0.631,0.1919,-,-,-,-,-,0.0,0.0,-,-,0.0,0.0,0.0,0.2303,0.6839,0.5805,0.0,0.1681,0.2007,1.1303,0.3518,-,-,-,-,4.1685
2856,Maciej Rybus,FK Akhmat,0.0632,0.1432,0.0367,0.1331,0.1607,-,0.6784,0.0,0.0662,0.0,0.1077,0.0069,0.0,0.0,0.0,0.9607,0.7781,0.0185,0.041,0.0208,0.0579,-,0.0,0.1341,0.356,0.1741,0.0226,0.0804,0.011,0.0777,4.129
2846,Aleksandr Salugin,Amkar,0.0601,0.0834,0.2516,0.0186,-,0.0,0.0,0.0398,0.0,0.0437,-,0.0601,0.6437,-,0.1596,0.2313,-,0.8185,-,-,0.032,1.5702,0.0,-,-,-,0.0,-,0.0871,0.0227,4.1224
2867,Magomed Mitrishev,FK Akhmat,0.0,-,-,0.0,-,-,-,0.513,0.0,-,-,0.0897,0.0,0.0586,0.0819,0.119,1.5936,0.0,0.0742,0.3955,0.5469,0.1165,0.0,0.0,0.0283,0.0212,0.0336,-,0.0,0.3139,3.9859
2841,Aleksandr Prudnikov,Amkar,0.0,-,0.1281,0.0153,0.0279,0.0,0.0915,0.1725,0.0416,0.1972,0.0672,0.8283,0.066,0.1715,0.0122,0.0,0.24,0.0614,0.0608,0.1053,0.0,0.813,0.0377,0.0596,0.5265,0.117,0.0,0.0426,0.0508,0.014,3.948
2796,Aleksandr Sapeta,Ural,0.0091,0.0,0.0172,0.0,0.0,0.0,-,0.0219,0.0,0.0,0.1623,0.0,0.3184,0.0366,0.026,0.0,1.3936,0.4446,0.0244,0.4888,0.0,0.0897,0.0,0.0,0.1739,0.011,0.0152,0.0,0.0,0.6208,3.8535
3066,Aleksandr Kokorin,Dinamo Moscow,0.448,0.2809,-,-,-,0.9238,-,-,0.4041,0.0091,0.2272,0.1126,0.7175,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.6536,3.7768
2861,Zaur Sadaev,FK Akhmat,0.0,0.1315,0.0,0.1021,0.4001,0.0203,0.3391,0.0,0.3116,0.6568,1.3018,-,0.353,0.0585,-,-,-,-,-,-,-,-,-,-,-,-,-,0.0,-,0.102,3.7768
2798,Spartak Gogniyev,Ural,-,-,-,-,-,-,-,0.0,-,0.0,0.1548,0.311,-,-,-,0.0,0.6805,-,0.1119,0.4872,-,0.4754,0.0,0.1538,0.0626,0.0,0.5185,0.1107,0.0,0.692,3.7584
3055,Igor Smolnikov,Zenit St. Petersburg,0.059,0.0,1.0287,0.5685,0.0,0.0958,0.0575,0.3212,0.0841,0.0145,0.3097,-,-,0.0,0.0,0.0178,0.0,-,0.0,0.0,0.0,0.0611,0.0,0.6394,0.123,0.3168,0.0,0.0148,0.0,-,3.7119
2926,Wanderson,FC Krasnodar,-,0.0832,0.2005,0.1562,0.0,0.327,0.0481,-,0.1309,0.0996,0.0828,0.1125,0.1487,-,-,-,0.3055,0.3723,-,0.0445,0.0,-,0.0392,-,0.2282,0.4982,0.3152,0.2103,0.0378,0.2162,3.6569
2971,Gökdeniz Karadeniz,Rubin Kazan,0.0216,0.5313,0.0603,0.0,0.4463,-,-,0.4102,-,-,-,0.2609,0.0254,0.1302,0.9596,-,-,-,0.0,0.0705,0.0848,0.0,0.1342,0.0,0.1312,0.143,0.0166,0.1671,0.0271,0.0,3.6203
