id,name,team,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,total
1381,Marek Hamsik,Napoli,0,5,2,3,0,3,2,1,3,5,2,1,4,3,4,2,3,1,2,4,1,2,0,4,2,2,1,4,1,4,1,4,2,2,0,2,6,6,94
1290,Miralem Pjanic,Roma,3,2,-,3,6,3,2,1,1,1,8,-,1,2,1,1,0,-,3,2,1,5,4,0,3,4,2,4,1,2,3,1,-,0,1,-,5,4,80
1422,Borja Valero,Fiorentina,1,1,2,3,1,0,10,1,3,2,3,2,4,2,1,0,0,3,1,6,4,2,1,0,1,1,2,1,2,1,5,1,1,1,2,3,3,-,77
1313,Riccardo Saponara,Empoli,4,3,4,2,1,0,-,-,-,5,4,3,4,0,1,2,7,0,3,-,3,0,0,3,6,2,-,1,1,1,0,0,2,2,3,1,3,2,73
1294,Paulo Dybala,Juventus,1,2,5,-,2,3,2,0,4,3,2,0,3,4,0,2,1,3,5,3,2,3,3,3,0,1,0,2,4,0,-,-,5,1,0,-,0,4,73
1121,Giacomo Bonaventura,AC Milan,1,1,5,2,1,1,3,0,4,5,3,-,1,1,6,5,3,1,4,1,1,2,2,-,2,0,5,2,0,1,1,0,2,1,-,-,-,2,69
1389,Jorginho,Napoli,-,2,1,1,1,1,0,0,0,4,3,3,9,0,1,0,3,-,3,1,4,1,1,-,0,1,0,3,3,1,3,1,1,2,2,3,2,4,65
1393,Lorenzo Insigne,Napoli,2,5,2,4,1,2,2,3,2,1,2,1,3,1,4,0,2,2,-,1,3,3,1,1,0,1,1,3,1,1,1,1,2,0,0,2,0,4,65
1250,Mohamed Salah,Roma,2,3,0,2,2,2,2,0,0,-,2,2,-,-,-,0,1,0,2,1,0,3,3,3,5,1,1,1,4,3,2,1,3,3,2,1,2,4,63
1336,Valter Birsa,Chievo,3,3,1,5,1,0,1,4,1,2,3,2,3,2,0,2,0,3,0,0,1,2,0,0,3,0,3,2,4,3,0,4,2,-,2,1,-,-,63
1491,Alejandro Gomez,Atalanta,2,3,1,3,2,3,0,2,2,0,1,1,1,0,4,0,1,3,1,4,4,0,3,1,1,1,-,-,1,0,0,4,5,3,0,-,-,4,61
1937,Fernando,Sampdoria,2,5,1,4,1,1,0,-,1,3,1,1,0,1,1,1,2,3,1,2,1,2,-,1,2,3,3,1,1,3,0,0,2,0,4,2,2,-,58
1187,Adem Ljajic,Inter,-,-,-,-,4,-,1,-,3,4,3,0,6,3,2,1,0,3,5,3,3,4,0,0,-,0,1,2,4,2,1,-,-,1,-,-,-,-,56
1836,Franco Vázquez,Palermo,3,1,1,2,1,4,2,4,0,0,4,5,1,1,-,0,2,1,0,4,3,1,2,1,2,1,1,0,2,1,2,-,1,0,0,1,0,0,54
1740,Paul Pogba,Juventus,2,1,0,1,1,0,1,1,4,4,1,1,1,2,-,1,2,3,2,-,3,1,0,1,1,0,0,0,0,2,4,2,1,2,1,4,-,4,54
1182,Daniele Baselli,Torino,3,2,2,4,0,2,-,1,1,1,3,3,3,0,2,2,0,2,1,0,2,1,1,-,3,1,3,0,-,0,1,0,1,1,4,1,1,1,53
1589,Lucas Biglia,Lazio,1,-,-,-,-,3,5,-,0,0,1,2,5,1,0,0,1,-,1,1,-,-,-,-,2,3,4,3,0,2,3,3,2,2,4,1,3,-,53
1386,Piotr Zielinski,Empoli,2,1,6,1,-,0,3,-,1,2,1,1,1,0,0,2,3,2,1,1,3,1,2,1,3,1,1,2,2,1,0,0,-,1,2,1,2,1,52
1293,Gonzalo Higuaín,Napoli,1,3,2,0,4,2,2,0,2,1,1,1,1,1,1,0,2,1,0,1,1,2,0,2,2,3,1,0,3,4,0,-,-,-,2,3,1,1,51
1511,Marcelo Brozovic,Inter,3,1,-,0,-,0,-,1,-,0,0,-,0,1,0,1,2,2,1,1,1,1,3,2,2,1,-,1,5,1,2,4,3,2,1,5,0,3,50
1474,Alfred Duncan,Sassuolo,3,1,2,2,0,2,0,-,-,0,0,-,1,-,-,0,3,2,0,3,0,1,1,3,2,2,0,2,0,1,2,2,1,3,2,1,4,3,49
1147,Cyril Théréau,Udinese,1,4,2,-,2,2,1,0,4,1,3,1,1,1,2,1,-,1,0,0,1,1,0,0,1,3,1,0,3,1,2,2,4,1,0,2,0,0,49
1382,José Callejón,Napoli,0,2,0,2,3,1,1,0,1,0,1,0,1,2,0,0,1,4,3,5,3,2,2,1,1,3,0,1,1,0,0,3,0,1,1,1,0,0,47
1426,Josip Ilicic,Fiorentina,1,0,-,-,0,4,1,2,4,2,-,3,-,3,1,0,2,0,2,3,0,0,2,-,2,-,0,2,-,4,3,2,2,0,1,1,0,-,47
1284,Oscar Hiljemark,Palermo,0,0,0,1,1,1,1,1,0,6,2,1,0,0,2,4,1,1,3,1,2,1,3,1,3,0,1,1,2,1,1,1,0,1,0,0,0,1,45
1228,Bruno Fernandes,Udinese,2,2,0,0,1,-,-,0,0,1,1,0,-,1,0,2,3,2,1,0,3,0,1,-,0,-,2,1,4,2,0,-,1,3,4,4,-,3,44
1089,Juan Cuadrado,Juventus,-,0,1,2,5,1,3,5,-,1,2,3,-,0,0,2,1,-,1,-,0,-,1,1,1,1,-,-,3,0,2,0,2,-,0,3,3,-,44
1871,Danilo Soddimo,Frosinone,0,3,2,2,3,1,0,1,1,0,-,2,3,1,1,3,4,-,0,4,1,2,5,0,-,2,-,-,1,-,-,-,1,0,1,-,-,0,44
1318,Manuel Pucciarelli,Empoli,1,1,0,1,0,0,2,2,1,2,4,2,0,0,1,1,3,3,1,0,0,0,3,0,3,0,0,2,2,0,2,1,2,1,1,1,1,0,44
1456,Federico Viviani,Verona,-,1,5,2,1,2,1,-,-,-,-,-,-,5,3,2,1,-,5,-,-,-,-,-,-,-,-,-,-,1,3,0,1,7,-,0,0,3,43
1621,Marcos Alonso,Fiorentina,0,0,2,0,2,2,3,2,-,-,-,1,3,0,2,1,2,1,4,1,-,0,-,-,1,-,3,0,1,3,0,2,1,2,1,2,0,1,43
1251,Radja Nainggolan,Roma,5,1,2,0,0,2,1,0,0,3,1,1,0,0,0,0,0,-,1,0,0,3,0,-,1,7,0,1,0,2,4,-,1,2,0,1,3,0,42
1602,Daniel Pavlovic,Frosinone,-,-,2,2,-,4,2,-,-,-,-,-,-,-,1,2,1,1,-,4,3,0,2,-,2,2,2,6,1,0,0,3,-,0,2,-,-,-,42
1826,Nicola Sansone,Sassuolo,0,1,0,0,2,1,1,2,0,1,-,2,1,0,0,3,0,0,1,3,2,0,1,1,2,1,1,3,2,2,3,2,0,2,0,0,1,1,42
1289,Alex Sandro,Juventus,-,-,1,-,9,0,-,-,-,1,1,-,4,-,2,0,-,2,-,1,-,4,0,6,0,-,2,0,1,1,-,0,-,1,-,3,3,-,42
1248,Leandro Paredes,Empoli,-,-,0,0,2,2,-,1,1,0,0,0,1,1,3,2,1,0,0,3,-,2,5,0,2,1,1,1,2,1,1,0,0,4,0,-,2,2,41
1125,Carlos Bacca,AC Milan,1,0,3,1,0,0,1,1,2,3,0,0,2,0,2,3,2,2,1,0,1,0,1,1,1,0,4,1,0,2,3,0,1,2,0,0,0,0,41
1033,Emanuele Giaccherini,Bologna,-,-,0,-,-,0,-,-,2,0,1,0,1,0,-,-,-,2,4,0,4,0,0,3,3,0,3,4,3,2,2,-,1,1,0,1,3,1,41
1424,Federico Bernardeschi,Fiorentina,2,1,0,0,-,-,2,0,2,0,-,1,0,3,2,1,3,0,-,0,1,2,0,2,3,0,0,0,1,0,-,4,0,0,2,2,4,3,41
1254,Alessandro Florenzi,Roma,3,1,2,2,1,-,2,1,2,1,0,0,2,2,1,0,3,1,0,4,0,-,-,2,1,0,-,1,1,0,1,1,1,2,0,-,1,2,41
1868,Daniel Ciofani,Frosinone,-,1,1,0,2,0,3,1,0,1,0,1,1,2,1,1,2,1,0,0,0,1,2,1,1,0,2,2,2,2,2,1,0,2,2,1,1,0,40
1210,Keita,Lazio,3,0,1,3,0,1,1,1,-,-,-,1,2,-,0,-,0,3,0,1,3,1,2,1,0,3,1,0,0,-,2,1,1,0,4,0,-,4,40
1124,Keisuke Honda,AC Milan,0,-,2,2,2,-,-,0,0,0,0,0,0,1,-,-,5,0,3,0,0,3,3,2,1,1,0,1,3,3,-,0,-,-,4,2,1,1,40
1611,Franco Brienza,Bologna,2,3,2,3,0,0,0,3,2,1,0,0,-,1,1,3,3,-,-,-,-,-,1,1,-,1,1,1,0,1,2,-,0,-,3,5,0,0,40
2029,Maximiliano Moralez,Atalanta,0,6,1,3,3,4,1,2,2,2,1,5,6,0,2,1,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,39
1379,Allan,Napoli,-,2,1,1,3,0,1,1,3,1,0,4,2,1,0,1,0,0,0,1,3,2,-,1,1,1,0,1,1,0,1,-,1,0,0,1,2,2,39
1939,Antonio Cassano,Sampdoria,0,-,-,-,0,0,0,5,-,1,0,0,0,-,1,0,4,2,3,1,1,-,-,2,1,-,-,4,2,1,-,3,-,-,-,1,6,-,38
1951,Sime Vrsaljko,Sassuolo,0,1,1,-,1,1,1,2,0,0,1,1,1,2,2,2,3,1,2,1,-,1,0,0,1,2,0,2,2,1,0,1,1,3,0,1,0,-,38
1315,Massimo Maccarone,Empoli,1,4,1,1,0,3,0,2,2,4,0,0,0,1,0,1,0,1,1,2,0,0,3,1,2,2,0,0,1,0,1,0,-,0,0,0,2,2,38
1517,Antonio Candreva,Lazio,1,2,0,-,-,-,-,3,0,1,0,0,0,1,1,2,0,4,3,2,4,5,0,-,0,2,1,-,-,0,1,1,1,-,1,1,0,1,38
1612,Domenico Berardi,Sassuolo,2,-,-,0,1,1,-,1,0,0,2,1,1,-,-,-,3,2,-,0,2,1,4,3,1,2,1,2,-,0,0,1,0,2,2,0,2,-,37
