id,name,team,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,total
646,Christian Eriksen,Tottenham,2,1,2,5,-,3,1,3,1,5,2,1,1,7,3,2,4,5,5,2,4,1,3,4,0,7,4,2,2,3,4,4,4,4,3,5,-,3,112
447,Kevin De Bruyne,Manchester City,1,3,4,6,3,3,-,4,0,1,6,4,0,5,1,3,7,4,1,2,3,4,1,2,1,2,1,4,1,0,-,4,5,4,7,0,4,2,103
499,Mesut Özil,Arsenal,-,1,2,4,2,3,1,5,1,3,5,0,3,4,2,1,1,7,-,-,3,3,6,2,2,-,-,3,5,0,0,4,2,2,6,2,12,3,100
701,Eden Hazard,Chelsea,1,3,2,4,1,1,0,1,1,5,1,5,1,1,0,-,2,4,5,1,3,0,2,2,2,3,2,-,3,3,5,1,5,1,4,3,5,5,88
592,Ross Barkley,Everton,3,2,2,1,2,3,7,-,1,3,1,3,2,-,2,3,2,0,2,4,4,0,2,3,2,5,4,1,3,1,3,2,4,1,2,2,1,1,84
617,David Silva,Manchester City,2,1,5,1,-,4,4,7,1,2,4,0,-,2,1,0,1,2,2,0,3,2,2,4,2,3,1,3,3,6,3,3,-,-,2,5,1,0,82
714,Gylfi Sigurdsson,Swansea,0,2,0,0,0,3,1,2,1,6,2,1,2,0,6,4,2,3,2,3,1,2,3,1,2,2,5,4,1,2,1,3,0,2,4,3,1,2,79
498,Alexis Sánchez,Arsenal,1,3,1,1,2,2,8,1,0,1,4,1,5,5,5,3,1,2,5,3,2,3,1,0,3,1,1,2,3,1,1,0,2,1,0,1,0,2,78
482,Roberto Firmino,Liverpool,1,4,5,4,-,5,1,1,4,0,4,3,1,1,0,1,1,4,2,2,1,1,0,2,1,3,3,-,2,2,4,1,5,3,2,0,-,4,78
536,Dimitri Payet,West Ham,1,-,-,6,6,2,5,3,7,3,7,3,3,1,1,8,7,6,3,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,74
840,Dusan Tadic,Southampton,6,2,2,2,6,3,1,6,0,0,3,-,-,-,1,0,0,0,1,0,1,2,1,-,3,5,1,4,4,3,3,0,2,1,0,-,3,0,66
488,Philippe Coutinho,Liverpool,2,3,1,0,2,4,4,2,3,4,5,2,1,-,-,-,-,-,-,-,1,1,1,1,3,3,2,0,2,3,2,3,1,0,0,2,6,1,65
686,Cesc Fàbregas,Chelsea,-,2,-,3,0,0,-,-,-,-,-,-,-,2,0,5,1,2,5,1,0,2,0,1,1,5,0,3,7,0,0,0,2,1,7,7,1,4,62
