id,name,team,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,total
2776,Timofei Kalachev,FC Rostov,0,0,0,0,0,1,1,0,1,0,-,-,1,0,0,-,0,3,0,0,0,0,0,1,-,-,0,1,1,0,10
2815,Quincy Promes,Spartak Moscow,1,0,1,1,0,1,1,0,0,-,-,0,-,0,1,0,0,-,0,0,0,1,1,0,1,0,0,0,0,0,9
2708,Manuel Fernandes,Lokomotiv Moscow,-,-,-,-,-,-,-,-,0,0,0,0,1,0,1,3,0,1,0,0,0,0,0,0,0,0,0,2,1,0,9
5467,Giuliano,Zenit St. Petersburg,-,-,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,7
5406,Cristian Pasquato,Krylya Sovetov Samara,-,-,-,-,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,2,0,1,0,7
2818,Zé Luís,Spartak Moscow,1,0,0,0,1,0,0,0,0,1,-,1,0,-,-,-,-,0,0,1,0,0,-,-,-,0,0,0,1,-,6
3062,Oleg Shatov,Zenit St. Petersburg,0,0,1,0,1,1,-,2,-,0,-,0,-,0,-,-,-,0,0,-,0,-,0,0,0,1,0,-,-,-,6
2711,Aleksey Miranchuk,Lokomotiv Moscow,0,0,0,0,0,0,0,0,0,0,1,0,-,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,5
2775,Dmitriy Poloz,FC Rostov,0,-,0,1,0,1,0,0,1,0,0,-,1,0,1,-,0,-,0,0,0,0,0,0,0,0,0,0,0,0,5
2857,Oleg Ivanov,FK Akhmat,0,0,0,1,1,0,0,0,0,0,0,0,-,0,0,-,-,-,-,-,-,-,-,0,0,2,0,1,0,-,5
2886,Bibras Natcho,CSKA Moscow,-,0,0,0,0,-,-,0,0,0,0,0,1,0,0,0,0,0,0,-,1,0,0,0,0,1,0,0,0,2,5
4665,Vitinho,CSKA Moscow,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,2,0,1,0,1,1,5
2922,Mauricio Pereyra,FC Krasnodar,1,1,0,0,0,0,-,-,-,-,-,-,0,1,-,-,-,0,0,0,0,0,0,0,1,0,0,0,0,1,5
2769,César Navas,FC Rostov,1,0,0,1,-,-,0,0,0,0,-,-,0,0,0,-,0,0,0,0,-,0,0,1,0,0,0,1,0,0,4
2821,Dmitri Kombarov,Spartak Moscow,1,1,0,0,0,0,0,0,-,0,0,0,1,0,0,0,-,0,1,0,0,0,0,0,0,0,0,-,0,0,4
2881,Alan Dzagoev,CSKA Moscow,0,0,0,0,0,1,1,-,-,-,-,-,-,-,0,-,0,0,2,0,-,-,-,0,0,-,-,-,0,-,4
2079,Rubén Rochina,Rubin Kazan,0,0,-,0,0,2,0,0,-,1,0,0,0,0,0,0,1,-,-,-,0,0,-,-,0,0,0,0,0,0,4
2866,Milad Mohammadi,FK Akhmat,-,-,0,1,0,0,0,-,0,0,1,0,1,0,0,1,0,0,0,0,0,-,-,-,0,0,0,0,0,0,4
3063,Artem Dzyuba,Zenit St. Petersburg,-,-,-,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-,0,0,1,0,0,4
