id,name,team,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,total
5406,Cristian Pasquato,Krylya Sovetov Samara,-,-,-,-,0.0,0.0,0.4207,0.0769,0.0,0.0,0.0,0.0207,0.7553,0.0883,0.2215,0.0,0.1793,0.3356,0.0,0.0,0.1025,0.7035,0.1172,0.2775,0.142,0.7346,0.6555,0.2208,0.9008,0.6884,6.6411
2815,Quincy Promes,Spartak Moscow,0.3505,0.9042,0.252,0.6985,0.1551,0.2134,0.3191,0.2183,0.0768,-,-,0.0118,-,0.1928,0.0772,0.1494,0.1021,-,0.0686,0.0642,0.0148,0.9071,0.3796,0.0,0.0601,0.0202,0.6554,0.0,0.0573,0.0194,5.9679
3062,Oleg Shatov,Zenit St. Petersburg,0.0713,0.359,0.4065,0.1247,0.2129,0.2152,-,0.9427,-,0.6924,-,0.0135,-,0.0754,-,-,-,0.0,0.2497,-,0.0,-,0.1961,0.0,0.2859,0.7513,0.1249,-,-,-,4.7215
2776,Timofei Kalachev,FC Rostov,0.1368,0.0895,0.0773,0.0,0.0,0.2432,0.3331,0.2327,0.1623,0.0,-,-,0.6144,0.048,0.2249,-,0.0,0.531,0.0956,0.1086,0.0,0.0732,0.0,0.3641,-,-,0.1892,0.0257,0.8778,0.1921,4.6195
2818,Zé Luís,Spartak Moscow,0.1857,0.0481,0.0,0.1365,0.7609,0.1022,0.0,0.0955,0.0171,0.4681,-,0.0445,0.0,-,-,-,-,0.1237,0.0,0.378,0.0,0.3976,-,-,-,1.0826,0.0664,0.059,0.4195,-,4.3854
2708,Manuel Fernandes,Lokomotiv Moscow,-,-,-,-,-,-,-,-,0.0,0.0133,0.0582,0.0513,0.1468,0.0617,0.1285,0.4243,0.0505,0.6974,0.105,0.0,0.4153,0.0,0.1827,0.0778,0.0169,0.8667,0.087,0.5229,0.1951,0.1219,4.2233
5467,Giuliano,Zenit St. Petersburg,-,-,0.0795,0.1269,0.0303,0.5124,0.0,0.155,0.5564,0.1073,0.1262,0.0232,0.0,0.023,0.1361,0.1471,0.1377,0.0274,0.0977,0.3244,0.0458,0.0,0.0,0.7354,0.0117,0.3725,0.0615,0.1318,0.1202,0.0,4.0895
2897,Aleksandr Golovin,CSKA Moscow,0.1073,0.0,0.0,0.1636,0.0,0.123,0.1235,0.0,0.0,0.0172,0.0121,0.0,0.0621,0.0966,0.0,0.0443,0.1762,0.0,0.3594,0.0289,0.0,0.4662,0.1689,0.1185,0.0188,0.0265,0.2068,0.8646,0.1929,0.5761,3.9535
3063,Artem Dzyuba,Zenit St. Petersburg,-,-,-,0.0,0.0901,0.4435,0.6279,0.0507,0.0638,0.0337,0.0,0.5174,0.0,0.0742,0.0,0.1048,0.0,0.0,0.1719,0.9184,0.0253,0.0217,0.0154,0.3222,-,0.0587,0.0,0.2972,0.0179,0.0,3.8548
2775,Dmitriy Poloz,FC Rostov,0.0964,-,0.0486,0.5803,0.0,0.1225,0.0567,0.0,0.2534,0.6797,0.0,-,0.3031,0.0108,0.2633,-,0.0563,-,0.0548,0.4508,0.0861,0.0254,0.0127,0.0178,0.0,0.0208,0.4691,0.0,0.0,0.0,3.6086
3065,Domenico Criscito,Zenit St. Petersburg,0.4472,0.0,0.0,0.0712,0.027,0.1042,0.0,0.0,0.0,0.195,-,0.0768,0.0563,-,0.0,-,0.0,0.0,0.0,0.1495,0.0,-,0.4663,1.3531,-,0.2148,0.0287,0.1117,0.1189,0.0,3.4207
2079,Rubén Rochina,Rubin Kazan,0.0,0.0791,-,0.0,0.0267,1.0619,0.0,0.064,-,0.5529,0.0,0.0648,0.0777,0.0726,0.1337,0.1668,0.5845,-,-,-,0.0107,0.0,-,-,0.0,0.0847,0.0588,0.0863,0.0468,0.2131,3.3851
3066,Aleksandr Kokorin,Zenit St. Petersburg,0.1534,0.3646,0.0484,0.0407,0.085,0.0,0.0,0.0916,0.1707,0.4065,0.8142,0.3196,0.0861,0.0,0.0,0.0755,0.0,0.0,0.0179,0.0,0.5944,0.0,0.0,0.0,-,-,-,0.0,0.0,0.0803,3.3489
