id,name,team,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,total
227,Robert Lewandowski,Bayern Munich,3,2,5,6,2,3,6,3,2,2,5,4,8,4,0,10,5,-,5,5,1,6,1,11,-,6,1,4,-,2,1,-,7,7,127
65,Timo Werner,RasenBallsport Leipzig,1,7,3,3,4,3,-,-,2,1,3,1,1,3,4,4,3,4,3,2,5,11,1,0,2,1,6,3,3,4,1,1,2,3,95
171,Michael Gregoritsch,Augsburg,3,2,1,-,3,1,2,2,4,3,8,3,3,2,3,3,6,4,2,2,6,3,2,3,2,3,3,1,2,1,3,4,1,-,91
213,Thorgan Hazard,Borussia M.Gladbach,3,3,5,2,0,4,2,4,4,4,2,2,1,6,3,0,3,2,4,4,2,0,6,3,2,1,2,1,3,1,1,4,3,1,88
6098,Niclas Füllkrug,Hannover 96,1,0,1,4,3,4,0,0,2,1,1,1,2,4,4,5,3,9,1,4,3,2,4,3,1,5,1,2,2,3,2,2,3,4,87
956,Andrej Kramaric,Hoffenheim,1,2,0,2,3,1,3,5,5,1,0,0,1,1,1,0,1,2,0,1,6,8,3,1,3,5,4,2,2,3,2,5,6,2,82
5221,Leon Bailey,Bayer Leverkusen,1,1,-,-,1,3,4,3,3,2,3,2,-,4,4,2,4,2,4,3,4,2,3,1,-,2,1,5,1,2,0,4,2,3,76
272,Caiuby,Augsburg,1,2,0,1,2,2,4,3,6,3,3,2,3,2,5,3,2,4,2,4,1,1,2,2,-,3,2,2,1,1,0,1,3,1,74
208,Lars Stindl,Borussia M.Gladbach,4,1,2,2,1,2,5,2,3,2,1,3,1,3,1,2,0,4,1,1,3,4,8,2,0,2,3,3,1,-,4,0,-,-,71
64,Filip Kostic,Hamburger SV,1,4,1,-,-,-,-,0,2,2,5,1,5,1,5,3,4,0,3,4,2,2,1,0,4,0,1,2,1,1,3,3,0,5,66
