id,name,team,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,total
1250,Mohamed Salah,Liverpool,1,0,1,0,1,1,0,0,1,0,2,2,1,2,0,1,0,1,1,0,2,-,1,0,0,2,1,1,1,0,4,1,-,1,1,0,0,1,31
647,Harry Kane,Tottenham,0,0,0,2,0,2,2,0,2,-,0,0,1,1,0,2,0,0,2,3,0,0,2,1,0,0,1,1,0,0,0,1,0,1,1,0,1,2,28
619,Sergio Agüero,Manchester City,1,0,0,1,3,1,-,-,0,-,0,-,0,0,0,-,1,0,2,0,0,1,0,2,1,0,4,0,0,-,-,0,-,-,-,-,-,-,17
618,Raheem Sterling,Manchester City,0,1,1,-,0,2,0,1,-,1,0,0,1,1,0,0,0,2,1,1,0,1,0,0,0,0,1,-,-,0,1,0,1,1,0,0,-,0,17
594,Romelu Lukaku,Manchester United,2,1,0,1,1,1,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,-,1,0,0,1,0,1,1,0,1,0,0,1,0,-,-,-,16
755,Jamie Vardy,Leicester,2,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,-,0,0,0,1,1,0,0,1,1,1,1,0,0,0,0,2,15
482,Roberto Firmino,Liverpool,0,0,1,0,0,0,0,0,0,1,0,0,-,0,2,0,0,1,1,2,0,0,1,0,1,0,1,1,0,0,1,0,0,1,0,0,0,0,14
5543,Gabriel Jesus,Manchester City,0,0,1,2,1,-,0,2,0,0,1,1,0,0,0,0,-,0,-,0,0,-,-,-,-,-,-,0,0,0,1,0,1,1,1,0,0,1,13
750,Riyad Mahrez,Leicester,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,1,0,0,1,0,1,0,1,-,-,0,0,1,1,0,0,0,0,0,0,1,1,12
453,Son Heung-Min,Tottenham,0,0,0,0,0,-,0,0,1,0,1,0,0,0,1,1,1,0,0,1,0,1,1,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,12
3277,Alexandre Lacazette,Arsenal,1,0,0,1,0,1,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,-,0,-,-,-,0,0,1,2,-,1,-,0,12
1804,Álvaro Morata,Chelsea,1,0,1,1,0,3,0,-,0,0,1,1,0,0,1,0,-,0,-,1,0,0,0,-,-,-,0,0,0,0,1,0,0,0,0,-,0,0,11
865,Marko Arnautovic,West Ham,0,0,-,-,0,0,-,0,0,-,0,0,0,0,0,1,0,1,1,2,0,-,1,0,-,-,1,0,0,0,2,0,0,1,0,0,0,1,11
646,Christian Eriksen,Tottenham,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,-,1,0,0,0,0,0,1,1,1,0,0,0,0,0,10
337,Leroy Sané,Manchester City,0,0,0,2,0,1,0,1,1,1,0,0,0,-,0,0,-,0,0,0,0,0,1,0,-,-,-,1,0,0,1,0,0,-,1,0,0,0,10
4456,Chris Wood,Burnley,-,-,1,1,0,0,0,1,0,-,0,-,0,1,0,0,0,0,0,-,-,-,-,-,-,-,-,-,1,2,1,0,1,0,0,0,-,1,10
838,Sadio Mané,Liverpool,1,1,1,0,-,-,0,-,-,-,0,0,0,1,-,0,0,-,0,-,0,1,1,0,0,0,0,1,1,0,0,1,0,1,0,-,0,0,10
701,Eden Hazard,Chelsea,-,-,-,0,0,0,0,0,0,1,0,2,0,0,1,0,0,0,0,0,-,0,0,2,0,1,2,0,0,0,0,0,1,0,0,0,0,0,10
645,Dele Alli,Tottenham,1,0,1,0,0,0,0,0,1,0,-,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,2,0,0,-,1,0,0,0,9
522,Wilfried Zaha,Crystal Palace,0,-,-,-,-,-,-,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-,-,-,0,0,0,1,2,0,1,0,1,9
4422,Ashley Barnes,Burnley,-,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,1,1,0,0,1,1,0,0,-,9
318,Pierre-Emerick Aubameyang,Arsenal,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,0,0,1,1,1,1,0,0,0,2,1,1,9
617,David Silva,Manchester City,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,2,-,0,-,-,0,-,0,0,-,-,1,0,2,0,0,0,1,-,0,-,-,9
553,Anthony Martial,Manchester United,1,1,0,0,0,-,0,0,0,1,0,1,0,1,0,0,0,0,0,-,0,1,1,1,0,0,0,0,-,-,-,-,0,0,0,0,-,-,8
882,Glenn Murray,Brighton,0,0,-,0,0,-,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,1,0,0,0,-,0,8
888,Xherdan Shaqiri,Stoke,0,0,0,0,1,0,0,0,-,0,1,0,1,0,1,0,0,0,0,0,-,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,8
447,Kevin De Bruyne,Manchester City,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,-,0,8
599,Oumar Niasse,Everton,-,-,-,-,-,2,0,0,1,0,1,1,-,-,-,0,-,-,-,0,0,0,-,1,0,0,1,0,0,-,-,0,-,-,0,0,0,1,8
468,Callum Wilson,Bournemouth,-,-,-,-,-,-,-,-,-,0,0,3,0,0,0,0,0,-,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,8
770,Ayoze Pérez,Newcastle United,0,0,0,0,0,0,0,1,0,0,0,-,0,0,0,0,0,0,0,-,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,2,8
558,Jesse Lingard,Manchester United,0,-,0,0,0,-,0,0,0,0,0,-,-,1,2,0,0,1,0,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,-,8
191,Chicharito,West Ham,0,2,0,0,0,1,0,0,0,1,0,-,-,-,-,-,0,0,0,0,0,0,-,1,0,1,1,0,0,0,-,1,0,0,0,-,-,-,8
1621,Marcos Alonso,Chelsea,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,-,-,0,0,0,0,0,0,-,-,0,1,-,7
556,Marcus Rashford,Manchester United,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-,0,-,-,0,2,0,0,0,0,0,0,0,1,7
1726,Abdoulaye Doucouré,Watford,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,1,-,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
813,Salomón Rondón,West Bromwich Albion,0,0,0,0,-,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,-,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,7
3800,Steve Mounie,Huddersfield,2,0,0,0,-,-,-,-,0,0,-,0,0,0,0,2,0,-,0,0,-,0,-,0,0,-,1,1,0,0,0,0,1,0,0,0,-,0,7
504,Aaron Ramsey,Arsenal,1,0,0,0,0,0,0,-,1,1,0,0,0,0,0,0,-,-,-,-,-,-,0,-,0,3,-,0,-,-,0,-,-,1,-,0,0,0,7
488,Philippe Coutinho,Liverpool,-,-,-,-,0,1,1,0,0,-,-,1,0,-,1,0,0,1,1,1,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7
629,Wayne Rooney,Everton,1,1,0,0,0,0,0,0,1,0,0,-,-,3,0,0,1,0,-,-,0,0,0,0,0,-,0,0,0,0,0,0,0,0,0,0,-,-,7
754,Shinji Okazaki,Leicester,1,1,0,-,0,1,0,-,1,0,0,0,-,0,0,0,2,0,0,0,0,0,0,0,0,0,-,-,-,0,0,0,0,-,-,-,-,-,6
743,Dwight Gayle,Newcastle United,0,0,-,0,0,0,0,0,-,0,0,1,0,-,1,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,6
868,Mame Biram Diouf,Stoke,0,0,-,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-,-,0,1,0,0,0,0,0,6
3635,Bernardo Silva,Manchester City,0,0,0,-,0,0,0,1,0,0,0,0,-,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,-,0,1,0,6
848,Charlie Austin,Southampton,0,0,-,0,-,0,0,0,0,-,0,0,2,0,1,1,0,0,1,-,-,-,-,-,-,-,-,-,-,-,0,1,0,0,0,0,0,0,6
