id,name,team,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,total
647,Harry Kane,Tottenham,6,8,10,4,4,7,5,6,7,-,2,5,8,6,2,7,10,3,8,8,1,7,6,3,8,5,4,6,6,0,0,3,0,4,4,4,3,3,183
1250,Mohamed Salah,Liverpool,5,2,5,1,6,4,1,4,3,3,3,5,7,2,3,7,2,4,4,4,6,-,6,5,3,4,3,5,5,1,4,4,-,6,4,7,1,4,143
646,Christian Eriksen,Tottenham,6,1,3,5,2,2,1,4,1,2,2,3,4,2,1,3,1,1,2,2,1,8,1,-,3,1,2,5,3,2,3,5,3,3,1,4,1,2,96
6026,Richarlison,Watford,2,6,3,2,2,1,7,3,6,3,4,4,2,4,2,1,3,3,4,3,3,0,3,1,2,4,1,0,2,4,1,0,0,0,2,4,0,3,95
619,Sergio Agüero,Manchester City,2,2,2,3,8,6,-,-,4,-,2,-,4,4,2,-,8,5,3,5,3,5,2,7,2,3,7,4,1,-,-,1,-,-,-,-,-,-,95
447,Kevin De Bruyne,Manchester City,4,3,0,2,3,0,2,2,2,4,2,2,0,5,3,2,3,2,2,5,4,4,1,4,6,3,2,1,1,1,1,1,2,4,5,3,-,2,93
618,Raheem Sterling,Manchester City,0,4,4,-,4,5,2,3,-,1,0,1,2,2,3,3,4,6,2,3,0,4,0,2,1,5,2,-,-,2,4,4,5,1,6,0,-,2,87
594,Romelu Lukaku,Manchester United,5,3,6,6,4,3,4,1,2,3,1,4,5,4,0,2,3,2,1,1,1,-,3,1,1,3,2,5,1,1,3,0,2,2,1,-,-,-,86
482,Roberto Firmino,Liverpool,2,5,2,1,2,3,0,4,0,1,3,4,-,2,3,0,2,2,4,4,2,0,3,3,2,1,3,2,2,3,4,6,0,2,1,0,1,5,84
1804,Álvaro Morata,Chelsea,3,4,2,5,2,4,1,-,1,3,3,3,3,6,3,4,-,2,-,4,3,3,0,-,-,-,2,3,0,2,2,3,2,3,0,-,3,0,79
813,Salomón Rondón,West Bromwich Albion,1,0,3,0,-,0,1,0,0,2,1,0,2,2,4,3,1,2,8,2,-,2,4,8,0,3,3,2,5,2,3,3,2,3,3,2,0,1,78
1740,Paul Pogba,Manchester United,3,3,6,5,-,-,-,-,-,-,-,2,2,2,1,-,-,-,4,5,1,4,2,4,2,1,0,1,4,-,1,3,4,1,4,5,6,0,76
453,Son Heung-Min,Tottenham,0,0,1,0,7,-,0,1,3,1,2,2,4,1,1,4,4,1,3,1,2,4,7,0,3,2,2,0,3,6,3,2,1,3,0,1,0,0,75
750,Riyad Mahrez,Leicester,2,4,4,0,4,1,1,2,1,1,6,0,1,1,4,2,3,1,3,3,0,1,2,1,-,-,0,6,4,4,1,1,3,1,0,1,3,2,74
701,Eden Hazard,Chelsea,-,-,-,0,1,1,1,0,0,2,3,4,1,0,9,3,1,1,3,4,-,6,1,3,4,1,3,1,0,2,0,5,3,1,3,2,2,0,71
865,Marko Arnautovic,West Ham,2,2,-,-,0,0,-,0,1,-,0,4,1,1,0,3,4,6,3,3,2,-,1,4,-,-,2,3,1,2,6,4,2,4,1,3,3,3,71
