id,name,team,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,total
2097,Lionel Messi,Barcelona,0.1052,0.1579,1.1878,0.075,0.0,0.4852,0.9201,0.0839,0.2599,0.4013,0.2277,0.0851,0.4232,0.6468,0.6171,0.5961,1.8952,0.9891,0.0277,0.8303,0.4944,0.2151,0.136,0.8063,0.5033,0.4788,0.2829,-,0.0815,0.0,0.6101,0.7129,0.0,0.2315,0.179,0.0214,-,0.333,15.1008
2098,Luis Suárez,Barcelona,-,-,0.6434,0.0,-,0.0,0.8646,0.0562,0.0,0.6778,0.0,0.0,0.0662,0.0739,0.0,1.3953,0.0,0.0,0.5137,0.9846,0.0208,0.0578,0.0855,0.6976,0.5324,0.1327,0.0971,0.3628,-,0.0603,0.0,0.312,-,2.7154,0.4788,0.0923,0.1407,0.0829,11.1448
1700,Lucas Pérez,Deportivo La Coruna,-,-,0.0,0.0585,0.6282,0.2592,0.3918,0.0,0.0499,0.605,0.0897,0.0,0.3386,0.139,0.2652,0.0915,0.7208,-,0.6325,0.6716,0.524,0.0,0.1296,0.0,0.1885,0.0,0.4534,0.0776,0.416,0.1488,0.3009,0.144,0.6058,0.296,0.1746,0.1642,0.7473,0.5869,9.8991
2335,Pablo Fornals,Villarreal,0.0,0.0,0.1052,0.0942,0.0531,0.4316,0.0671,0.5908,0.2515,0.0,0.4412,0.465,1.2329,0.0,-,0.0955,0.8078,0.0603,0.1762,0.0908,0.1054,0.3667,0.0112,0.07,0.0,0.0,0.0,1.4309,0.0168,0.0,0.0,-,-,0.2455,0.0,0.4208,1.5615,0.0933,9.2853
2290,Iago Aspas,Celta Vigo,0.0,0.0628,0.1664,0.1175,0.0,0.0895,0.2531,0.0,0.0724,0.4589,0.0,0.0169,0.0192,1.0221,0.1979,-,0.0437,0.2669,0.2758,0.5618,0.1359,0.5692,0.3067,0.0,0.3953,0.1083,0.2233,0.0,0.0543,0.075,0.6282,0.3314,1.1335,-,-,-,0.0,1.2728,8.8588
6116,Álex Granell,Girona,0.1397,0.6527,0.0178,0.0812,0.0124,-,-,0.0,0.064,0.5204,0.8936,0.1096,0.0507,0.0,0.2105,0.0251,-,0.421,0.2774,0.0,0.4739,0.1257,0.0123,0.2396,0.0,0.9086,0.0222,0.1087,0.8195,0.2184,0.1126,0.0,-,0.2028,0.4649,0.0643,0.2141,0.1172,7.5809
2186,Morales,Levante,0.1699,0.2693,-,-,0.533,0.0,0.0,0.0,0.0,0.4094,0.0,0.3114,0.0,0.3964,0.0921,0.0857,0.0456,-,0.4322,0.0691,0.3562,0.5652,0.0,0.0,0.5512,0.0793,0.446,0.0,0.3558,0.3341,0.5252,0.0,0.0328,0.0,0.5338,0.0676,0.777,0.0227,7.461
2370,Karim Benzema,Real Madrid,1.1928,0.0542,0.4133,-,-,-,-,0.4078,0.0717,0.2785,0.0,0.0,0.0457,0.4514,0.3167,0.0,-,-,0.1013,0.0,0.2082,0.0629,0.0,0.068,0.87,0.0,0.1659,0.0,0.8274,0.2736,0.0,0.6975,0.0252,0.0274,0.7997,0.0212,0.0767,0.0,7.4571
2257,Marcelo,Real Madrid,0.6438,0.5654,0.1038,-,0.0696,-,-,0.0,0.1,0.0,0.1173,0.0488,0.1657,0.144,0.4048,0.2101,0.0711,0.175,0.583,0.0,0.1052,1.5662,0.0,-,-,-,0.5688,0.1797,0.0482,-,0.0783,-,0.2866,-,0.0353,-,0.2856,0.4785,7.0348
2148,Joaquín,Real Betis,0.0,0.2745,0.361,0.0247,0.0235,0.0,0.1121,0.6078,0.0,0.0,0.104,0.309,0.0905,0.1761,0.0,0.2656,0.374,0.4273,0.1473,0.0664,0.0127,-,0.0239,1.3732,0.0623,0.0,0.0995,-,-,0.0,0.4995,0.7614,0.0358,0.0,0.0,0.0532,0.3602,0.0886,6.7341
