id,name,team,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,total
536,Dimitri Payet,Marseille,2,-,-,-,4,1,7,4,4,2,-,-,2,5,6,2,6,5,5,2,1,2,1,6,2,3,3,7,4,4,6,1,8,4,3,8,-,-,120
4773,Benjamin Bourigeaud,Rennes,3,5,4,3,2,3,1,2,1,0,1,1,-,3,1,8,1,1,2,2,6,2,5,3,1,3,2,0,4,2,4,2,0,7,2,5,0,3,95
3262,Malcom,Bordeaux,3,2,5,3,4,2,1,3,4,0,2,2,1,3,3,1,-,1,3,3,1,3,2,1,3,3,-,-,3,2,5,3,2,2,0,3,3,5,87
6264,Mathieu Dossevi,Metz,-,-,-,-,4,5,1,2,2,4,0,7,4,3,0,1,-,0,6,4,3,0,-,-,-,1,2,3,3,4,3,2,4,6,4,3,3,1,85
942,Florian Thauvin,Marseille,2,4,2,3,1,3,3,2,3,2,2,3,2,3,2,0,6,2,1,4,5,0,2,2,0,0,1,2,-,0,-,-,4,3,0,0,3,3,75
555,Memphis Depay,Lyon,1,1,1,0,4,3,-,2,1,3,0,2,2,0,1,4,1,1,3,2,-,0,0,3,0,2,1,3,1,0,3,5,6,4,8,1,2,4,75
2099,Neymar,Paris Saint Germain,-,7,7,2,7,4,-,3,4,1,-,-,4,5,1,2,-,5,3,-,2,-,1,2,4,5,1,-,-,-,-,-,-,-,-,-,-,-,70
3527,Julien Féret,Caen,1,3,2,3,2,2,2,0,6,0,3,2,4,3,2,7,2,0,-,1,0,1,3,1,1,3,1,0,0,1,1,0,1,1,2,4,3,2,70
3312,Jean Michael Seri,Nice,-,8,2,-,3,3,-,1,2,-,-,-,0,1,2,0,4,2,3,2,3,2,1,4,0,1,-,0,6,1,1,1,6,1,1,0,4,1,66
2549,Gaël Kakuta,Amiens,-,2,1,1,2,2,2,0,3,1,2,3,2,5,1,0,2,1,2,2,4,2,0,1,7,2,1,-,1,1,5,2,0,0,0,2,2,1,65
3490,Thomas Mangani,Angers,0,5,3,0,0,2,3,1,2,2,3,3,2,1,0,1,0,-,3,1,2,1,1,1,1,6,1,1,-,3,2,2,3,1,2,3,1,-,63
5978,Dmitri Lienard,Strasbourg,0,1,0,0,-,1,4,1,3,2,2,-,3,2,0,1,2,3,1,-,-,3,1,-,1,3,3,0,4,1,6,2,2,3,1,3,1,1,61
3366,Yassine Benzia,Lille,3,4,6,-,1,2,3,0,0,0,-,0,-,1,1,3,1,1,1,4,3,1,1,-,0,-,-,3,2,4,1,1,4,3,1,4,2,-,61
3667,Nabil Fekir,Lyon,1,2,0,4,1,3,1,2,7,-,2,1,-,-,2,0,1,3,2,4,5,3,1,0,3,0,1,-,-,-,-,-,1,2,3,1,1,3,60
5608,Naim Sliti,Dijon,0,2,5,0,4,3,2,1,2,0,-,-,-,-,-,-,1,2,7,2,-,3,1,1,1,2,1,1,0,3,0,0,5,2,0,5,2,1,59
3526,Ronny Rodelin,Caen,0,1,1,4,1,2,1,1,2,2,0,1,2,5,1,2,2,2,1,1,1,1,1,1,5,2,3,0,0,-,3,2,1,2,1,0,1,2,58
5619,Pierre Lees-Melou,Nice,0,3,1,4,2,0,6,3,1,4,1,2,0,3,1,3,0,1,1,3,0,0,4,-,0,2,0,-,4,0,1,1,0,3,3,0,-,-,57
3412,Léo Dubois,Nantes,0,-,-,0,0,0,0,1,0,2,0,0,3,1,1,2,5,1,0,4,-,5,2,2,2,3,4,1,2,3,2,0,4,-,2,2,2,1,57
3422,João Moutinho,Monaco,3,2,3,2,1,-,1,0,5,0,6,-,-,2,1,0,3,4,3,-,0,3,0,0,1,0,1,1,0,2,-,1,0,0,3,4,2,1,55
3425,Thomas Lemar,Monaco,3,4,4,2,1,-,0,0,0,5,1,-,-,-,-,-,3,1,2,1,0,2,-,-,1,1,3,6,1,2,0,1,1,2,3,1,3,1,55
3749,Jonathan Bamba,Saint-Etienne,1,1,1,0,1,3,1,0,-,-,2,2,2,0,0,3,0,-,-,1,3,2,1,0,2,1,3,1,2,6,2,3,0,2,1,2,1,4,54
3553,Ángel Di María,Paris Saint Germain,5,0,2,0,-,-,-,0,2,0,4,-,0,1,2,1,2,-,-,4,1,1,4,2,2,1,0,1,1,2,3,4,1,-,1,2,3,-,52
3423,Kylian Mbappe-Lottin,Paris Saint Germain,-,-,-,-,4,1,1,1,1,0,1,2,-,2,1,5,2,6,5,1,1,0,-,-,5,-,0,-,4,0,1,1,-,1,2,2,2,-,52
5713,Lucas Lima,Nantes,-,4,2,-,2,0,2,2,1,0,3,3,1,2,2,2,-,0,1,0,1,0,-,-,2,0,1,5,4,0,1,0,4,1,3,2,0,1,52
3390,Rémy Cabella,Saint-Etienne,-,-,-,-,1,1,4,3,1,1,-,-,-,-,-,0,-,0,2,1,1,1,4,6,-,3,2,2,1,2,2,4,0,4,1,1,1,-,49
5657,Karl Toko Ekambi,Angers,0,1,0,-,4,1,1,1,1,0,1,1,1,1,3,0,1,0,4,1,3,1,3,2,1,1,2,3,0,0,1,0,1,1,3,1,1,1,47
1288,Dani Alves,Paris Saint Germain,1,2,3,-,-,2,0,-,2,-,0,3,2,0,-,3,0,2,-,7,-,3,-,1,1,2,1,3,-,1,2,-,2,1,2,-,-,-,46
101,Allan Saint-Maximin,Nice,-,1,-,1,3,2,0,1,1,1,0,-,-,-,1,0,2,1,0,3,2,0,-,-,2,2,-,5,1,1,1,4,3,4,2,1,0,0,45
3530,Andy Delort,Toulouse,2,1,0,2,2,2,0,2,2,0,2,4,4,0,1,0,1,1,1,3,-,1,0,-,0,-,1,1,-,1,-,1,1,0,6,2,0,-,44
464,Max Gradel,Toulouse,-,-,1,1,-,-,-,-,-,0,3,0,3,2,2,1,2,1,3,3,2,0,-,0,1,2,-,4,0,0,3,3,1,4,0,0,1,1,44
3346,Jonas Martin,Strasbourg,1,4,0,4,3,2,2,1,1,1,0,4,0,2,1,1,-,1,0,0,0,2,0,2,1,2,1,0,0,2,3,0,2,0,0,0,0,-,43
5962,Tanguy NDombele Alvaro,Lyon,-,-,-,-,-,2,0,2,0,1,0,0,3,1,2,-,1,0,1,2,2,1,2,0,5,1,0,3,2,2,2,1,0,3,1,2,1,0,43
3560,Renaud Cohade,Metz,1,2,1,1,0,1,2,1,0,0,3,1,1,3,1,3,1,0,3,1,2,0,2,2,1,1,0,1,0,0,2,1,0,2,2,0,0,1,43
6011,Thiago Mendes,Lille,3,0,-,-,-,-,-,3,1,0,1,2,0,-,1,0,1,0,1,2,0,0,1,3,2,5,1,0,0,4,4,0,-,2,1,0,1,2,41
3362,Rony Lopes,Monaco,2,1,0,2,1,1,1,1,1,1,0,3,1,1,0,1,0,3,0,1,0,1,1,1,1,0,0,3,1,1,2,1,1,1,1,2,1,2,41
5656,Nicolas Pepe,Lille,-,-,0,1,2,0,0,3,0,4,1,1,2,0,0,1,0,3,0,1,4,0,2,0,1,1,0,1,0,1,1,0,3,0,5,0,2,0,40
3294,Edinson Cavani,Paris Saint Germain,4,2,0,0,0,0,0,1,-,0,1,1,3,3,1,0,1,1,1,1,4,1,1,2,-,3,0,-,-,1,0,0,1,2,0,3,-,-,38
5655,Flavien Tait,Angers,1,-,-,1,-,1,1,1,1,1,0,0,1,-,0,-,1,0,0,1,-,2,2,0,-,3,1,3,0,5,3,0,0,1,1,2,3,2,38
3696,Morgan Sanson,Marseille,1,0,0,1,0,0,-,-,2,0,1,5,4,5,-,1,0,0,1,2,0,-,4,2,0,1,0,0,1,0,0,2,0,0,-,0,1,3,37
5733,Houssem Aouar,Lyon,-,-,-,0,-,1,1,-,1,1,1,2,2,1,1,1,0,0,0,1,1,2,1,0,1,0,1,3,-,3,2,1,3,1,1,1,1,2,37
