id,name,team,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,total
536,Dimitri Payet,Marseille,0.136,-,-,-,0.7546,0.0237,0.3461,0.3424,1.0642,0.0248,-,-,0.1637,0.4594,0.7242,0.0777,0.6681,1.0926,0.3358,0.0996,0.0107,0.6983,0.1877,1.6273,0.0468,0.9667,0.6304,0.5031,1.1374,0.1141,0.93,0.0685,0.7472,0.3524,0.4124,0.7676,-,-,15.5135
942,Florian Thauvin,Marseille,0.4328,0.2021,0.1366,0.6981,0.5698,0.5411,0.1059,0.1325,0.5342,0.181,0.5742,0.5928,0.1484,0.5304,0.5053,0.0,2.1558,0.0286,0.0714,0.5558,1.1961,0.0,0.7084,0.4874,0.0,0.0,0.016,0.162,-,0.0,-,-,0.1116,0.3044,0.0,0.0,0.4388,0.8872,13.0087
2099,Neymar,Paris Saint Germain,-,1.243,0.5546,0.075,1.1786,0.4549,-,0.6609,0.4115,0.0129,-,-,0.3663,1.6462,0.114,0.3592,-,1.4686,0.1794,-,1.11,-,0.3019,0.0623,0.7977,1.1604,0.1236,-,-,-,-,-,-,-,-,-,-,-,12.281
6264,Mathieu Dossevi,Metz,-,-,-,-,0.6767,0.8441,0.0211,0.1351,0.148,0.5353,0.0,1.5891,0.2251,0.5127,0.0,0.0401,-,0.0,0.4996,0.5137,0.171,0.0,-,-,-,0.0954,0.1097,0.6013,0.1971,0.2354,0.48,0.1273,1.1637,0.5539,0.2078,0.5487,0.1384,0.0895,10.4598
3262,Malcom,Bordeaux,0.8093,1.004,0.5009,0.8246,0.115,0.3584,0.1158,0.1293,0.1775,0.0,0.0637,0.1289,0.0825,0.55,0.391,0.0535,-,0.0682,0.1054,0.4324,0.0187,0.2032,0.037,0.0755,0.3588,0.0789,-,-,0.108,0.0962,0.1714,0.5312,0.1402,0.3569,0.0,0.8724,0.1419,0.5403,9.641
3423,Kylian Mbappe-Lottin,Paris Saint Germain,-,-,-,-,1.147,0.0561,0.0849,0.1423,0.2954,0.0,0.1274,0.3955,-,0.2292,0.0863,0.2576,0.5784,1.9781,0.4214,0.6101,0.2388,0.0,-,-,0.7256,-,0.0,-,0.9301,0.0,0.1378,0.0202,-,0.0239,0.1396,0.1283,0.0348,-,8.7888
3749,Jonathan Bamba,Saint-Etienne,0.034,0.3216,0.0708,0.0,0.0089,0.0953,0.0764,0.0,-,-,0.4306,0.0638,0.4266,0.0,0.0,0.0949,0.0,-,-,0.0,0.3615,0.0402,0.0384,0.0,1.0438,0.0506,0.182,0.1038,0.3542,0.3556,0.7671,0.7149,0.0,1.1604,0.3538,0.0843,0.025,0.8843,8.1428
555,Memphis Depay,Lyon,0.0256,0.0416,0.5282,0.0,0.4135,0.1983,-,0.5057,0.0221,0.138,0.0,0.1173,0.1114,0.0,0.0236,0.6538,0.1139,0.0467,0.1956,0.0515,-,0.0,0.0,0.0661,0.0,0.3929,0.0262,0.2506,0.0393,0.0,0.1551,0.8774,0.3803,0.2645,1.2644,0.038,0.3282,0.4884,7.7582
3553,Ángel Di María,Paris Saint Germain,0.234,0.0,0.3546,0.0,-,-,-,0.0,0.8893,0.0,1.3032,-,0.0,0.0419,0.0419,0.0515,0.181,-,-,0.1996,0.2361,0.0285,0.9883,0.0299,0.1143,0.1267,0.0,0.0513,0.0818,0.091,0.8976,1.0368,0.092,-,0.329,0.1181,0.1463,-,7.6647
4773,Benjamin Bourigeaud,Rennes,0.1918,0.231,0.1185,0.1984,0.2069,0.0548,0.0537,0.0991,0.3428,0.0,0.1194,0.4831,-,0.186,0.5279,0.4007,0.0302,0.1021,0.0739,0.0869,0.3066,0.1637,0.356,0.1739,0.012,0.1195,0.0868,0.0,0.37,0.0746,0.7575,0.0549,0.0,0.5426,0.0605,0.9741,0.0,0.0691,7.629
