id,name,team,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,total
3294,Edinson Cavani,Paris Saint Germain,0.768,0.8153,1.5951,1.4745,2.5168,1.0854,0.0,0.4224,-,0.1004,1.3738,0.8666,0.8426,1.2416,1.0242,0.0757,0.2196,0.937,0.6101,0.0,0.3944,0.0353,1.2607,1.1113,-,1.1672,0.1236,-,-,0.1936,0.6851,0.9166,0.74,0.0233,1.2187,0.4757,-,-,24.3146
942,Florian Thauvin,Marseille,0.5055,0.1834,0.213,0.4009,0.5602,0.14,1.0484,0.0628,0.0669,0.4894,0.073,1.7397,0.3731,0.5694,0.3178,0.7598,0.254,0.1021,0.195,0.8493,0.0,0.183,0.1039,2.6682,0.1967,0.4308,0.1938,0.7266,-,0.0,-,-,0.269,1.2275,0.8437,0.2733,0.8211,0.3466,17.1879
2099,Neymar,Paris Saint Germain,-,0.8461,1.2312,0.0,0.1838,0.1918,-,0.9452,0.2793,0.0436,-,-,0.5757,0.8799,0.3051,0.1234,-,1.9823,0.7005,-,2.8263,-,1.7506,0.486,0.9504,1.7365,0.5001,-,-,-,-,-,-,-,-,-,-,-,16.5378
5657,Karl Toko Ekambi,Angers,0.0561,0.3679,0.0318,-,0.1108,0.7589,0.7261,0.2068,0.9882,0.4477,0.1559,0.0225,0.0,0.0123,0.1779,0.1612,0.9577,0.0934,1.9089,1.006,0.0548,0.1047,0.5518,0.8281,0.1238,0.6538,0.5297,0.6348,0.1929,0.9687,0.5311,0.8422,0.8924,0.089,0.0945,0.0191,0.1835,0.6147,16.0997
3406,Emiliano Sala,Nantes,0.0,0.2824,0.1322,0.0,0.1187,0.0704,0.1609,1.1831,-,0.1074,0.0728,0.4982,0.034,0.8709,0.1566,0.4175,0.2863,0.8717,0.564,0.4019,0.153,0.0214,1.148,0.0221,1.3026,1.0557,0.1331,0.6574,0.9712,0.5563,1.1676,0.0174,0.3357,0.4527,-,0.8089,0.6562,0.0663,15.7546
696,Falcao,Monaco,0.8928,0.7484,1.2052,1.2862,0.014,1.2685,1.3866,0.6478,-,0.7816,-,-,0.2094,0.1802,0.0342,0.3811,0.047,1.3357,0.3942,-,0.6177,0.8419,0.0727,1.4218,-,-,-,-,-,0.5679,0.0,0.1211,0.2374,-,0.0474,-,-,0.5441,15.2849
1817,Mario Balotelli,Nice,-,-,0.0675,-,1.8241,0.1815,1.0325,0.3105,0.9111,-,0.014,1.0014,-,0.1621,0.7947,0.7267,0.3033,0.7446,-,0.0139,0.6956,0.0697,1.5567,-,0.3837,0.0627,-,0.7669,-,0.4274,0.0668,0.0,-,0.3454,0.9216,0.2959,0.8644,0.3663,14.911
5701,Ivan Santini,Caen,0.1064,0.438,1.2298,0.5399,1.0448,0.0,1.1682,0.8456,-,0.0858,0.0,0.0128,1.0226,0.4307,0.3214,0.3039,0.4691,0.2405,0.7901,0.8399,0.7916,0.0074,1.1577,0.8288,0.0243,-,0.1745,-,-,0.0162,0.4027,0.2656,-,-,0.395,0.2088,0.0398,0.1873,14.3892
3423,Kylian Mbappe-Lottin,Paris Saint Germain,-,-,-,-,0.4945,0.4119,0.4475,0.496,1.3562,0.0,0.716,1.3046,-,1.4628,0.0,0.8716,0.6268,0.9149,0.7555,0.1158,0.2679,0.0,-,-,0.0469,-,0.0636,-,1.4337,0.9824,0.5767,0.1896,-,0.3208,0.047,0.119,0.1582,-,14.1799
5110,Mariano,Lyon,0.6047,0.7567,0.0,0.0765,0.2747,0.0383,1.3518,0.0667,0.9009,0.5419,0.182,0.6303,0.0,0.9663,0.4529,0.1683,0.0668,0.8805,0.3709,-,0.5402,0.0999,0.017,0.1068,0.1332,0.7627,0.4572,0.8071,0.3693,0.3403,-,0.8294,0.2132,-,0.0735,0.0,-,0.4138,13.4938
3310,Alassane Pléa,Nice,0.4221,0.9704,0.4313,0.0261,0.659,0.3818,0.2424,1.079,0.9468,0.7637,0.0646,0.0,0.3748,0.0333,-,1.1097,0.2466,0.7139,0.0547,0.3111,0.0,-,0.0206,0.1312,0.2401,0.1714,0.0973,0.0915,1.3694,0.0,0.7958,0.2489,0.6124,0.0822,-,0.1618,0.1322,0.4805,13.4666
555,Memphis Depay,Lyon,0.1332,0.1316,0.088,0.0271,0.0,0.052,-,0.4725,0.0,1.9067,0.0597,0.2109,0.1858,0.5836,0.6059,0.1079,0.1543,0.3302,0.4485,0.2648,-,0.0219,0.1047,0.1507,0.3251,0.0775,0.137,0.0765,0.1621,0.2887,1.1264,1.2392,0.8798,0.719,0.7078,0.1472,0.0333,1.0439,13.0035
3553,Ángel Di María,Paris Saint Germain,0.4403,0.6672,0.0869,0.097,-,-,-,0.2055,0.3494,0.0,0.6554,-,0.2794,0.0496,0.0451,0.4229,0.5226,-,-,1.1716,0.9902,0.2719,0.4583,0.0562,0.0441,1.4949,0.15,0.8423,0.5707,0.7004,0.399,0.0202,1.142,-,0.0,0.5832,0.2058,-,12.9221
1109,Lucas Ocampos,Marseille,-,1.3978,0.5336,-,-,0.1701,1.0163,1.6694,-,0.0111,0.2008,0.2051,0.1007,0.0,0.5422,0.0,0.7647,0.3942,0.0,0.345,0.6236,0.0741,0.0814,-,-,0.0681,0.0,0.0459,0.7298,0.0,1.0723,0.17,-,0.2529,0.5532,0.0375,0.0,0.9504,12.0102
3667,Nabil Fekir,Lyon,0.8596,0.149,0.1397,0.3446,0.4329,0.0897,1.0402,0.6126,0.2273,-,0.5814,1.1761,-,-,1.3267,0.9161,0.0171,0.0346,0.8338,0.3312,0.3123,0.0652,0.0719,0.0538,0.1593,0.047,0.0,-,-,-,-,-,0.0376,0.872,0.2869,0.0,0.7843,0.1421,11.945
3228,Giovanni Sio,Montpellier,-,0.0898,0.7136,0.9355,0.2396,-,-,-,0.339,0.3545,0.5066,0.3458,0.376,0.9915,0.0,0.0738,-,0.0,0.0771,0.0,0.0543,0.9469,0.0,0.0425,0.8297,0.6273,0.5291,0.0,0.0409,0.8964,0.9851,0.0574,0.4237,0.1813,0.9288,0.0,0.0431,0.0265,11.6558
4703,Adama Niane,Troyes,0.7751,0.1621,0.1377,0.0406,0.4546,0.5367,0.098,0.0406,0.8403,0.0,0.0162,1.3742,-,-,0.0,0.0668,0.0935,0.0,-,0.0142,0.064,0.4067,0.0469,0.9453,0.7411,0.1034,-,-,0.1128,1.1802,0.2048,0.0255,0.6633,0.7599,0.8444,0.2091,0.0,0.1273,11.0853
