id,name,team,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,total
4665,Vitinho,CSKA Moscow,4,7,3,7,1,5,4,5,3,3,5,7,5,3,0,3,8,1,7,3,5,3,0,2,5,3,3,0,2,4,111
2815,Quincy Promes,Spartak Moscow,3,3,7,6,7,3,4,7,2,1,-,-,1,5,3,5,3,1,-,3,2,8,-,4,3,7,1,6,5,4,104
2925,Fedor Smolov,FC Krasnodar,-,-,-,-,-,-,1,6,8,8,2,1,4,3,11,4,3,5,5,-,4,1,6,1,2,2,-,9,5,3,94
5483,Eric Bicfalvi,Ural,4,1,5,2,4,3,3,1,-,3,3,4,9,2,2,3,3,2,0,-,-,3,5,1,-,3,5,2,3,5,81
2880,Sergey Tkachev,Arsenal Tula,-,4,1,1,2,4,1,2,-,0,5,3,0,6,1,5,2,2,2,2,2,4,4,2,1,2,5,7,2,4,76
5478,Viktor Claesson,FC Krasnodar,1,4,3,2,2,3,1,2,5,3,3,2,5,2,4,1,5,1,0,1,1,2,5,3,1,1,2,1,2,1,69
1248,Leandro Paredes,Zenit St. Petersburg,4,2,3,2,3,4,2,1,2,0,0,4,0,1,-,2,2,2,3,4,4,-,1,1,3,5,3,4,1,4,67
2708,Manuel Fernandes,Lokomotiv Moscow,1,0,4,6,7,1,3,3,2,4,1,2,1,2,0,5,2,2,1,0,4,1,3,5,-,0,3,1,0,2,66
1127,Luiz Adriano,Spartak Moscow,4,-,4,1,-,-,4,5,2,4,3,3,0,2,0,2,4,1,2,3,1,3,2,5,2,-,2,-,1,2,62
3066,Aleksandr Kokorin,Zenit St. Petersburg,2,2,1,1,6,4,4,1,0,4,2,3,3,4,3,3,1,6,4,3,3,0,-,-,-,-,-,-,-,-,60
5924,Sebastián Driussi,Zenit St. Petersburg,1,4,0,1,6,2,2,2,0,3,-,1,3,-,2,2,-,0,2,0,3,1,2,3,2,1,3,3,2,6,57
2897,Aleksandr Golovin,CSKA Moscow,3,1,2,4,1,2,1,4,1,2,-,4,-,2,2,-,4,1,3,2,1,3,2,0,2,2,4,1,2,0,56
2772,Aleksandr Erokhin,Zenit St. Petersburg,1,0,3,2,2,1,5,3,1,5,2,3,3,0,4,1,0,-,0,-,2,-,2,3,1,1,1,1,1,7,55
1937,Fernando,Spartak Moscow,1,2,3,1,-,2,0,5,1,3,0,3,2,3,3,2,0,1,-,1,2,9,1,2,-,0,2,4,0,1,54
2711,Aleksey Miranchuk,Lokomotiv Moscow,2,2,4,3,1,2,2,2,0,1,0,3,2,2,3,0,3,1,0,1,1,3,4,1,3,1,2,3,2,0,54
2887,Kirill Panchenko,Dinamo Moscow,4,6,2,4,3,4,5,0,2,2,-,-,-,-,-,-,-,-,-,-,-,1,4,2,4,0,1,1,3,5,53
5929,Leo Jabá,FK Akhmat,2,2,2,4,4,3,4,-,0,2,1,1,1,3,1,6,0,6,3,2,1,1,2,-,2,-,-,0,-,-,53
2907,Sly,FC Ufa,1,3,3,2,3,0,2,1,2,0,4,2,4,2,3,2,-,0,3,0,-,-,-,1,1,3,3,1,0,6,52
2450,Wanderson,FC Krasnodar,4,3,3,1,4,0,-,3,1,2,1,1,3,1,1,0,0,-,0,-,-,2,3,1,2,2,5,2,4,2,51
4299,Jefferson Farfán,Lokomotiv Moscow,1,1,3,3,-,-,3,1,0,3,0,-,-,4,3,2,-,4,3,5,-,-,2,1,4,1,2,4,0,-,50
3813,Luka Djordjevic,Arsenal Tula,-,1,1,2,1,2,2,6,3,2,3,3,-,3,6,3,0,3,3,3,1,0,-,-,-,0,-,2,-,-,50
5497,Vladimir Iljin,Ural,-,-,2,0,4,1,0,0,-,-,1,0,2,3,2,1,1,0,1,-,1,3,7,1,4,7,4,0,2,1,48
5899,Anton Zabolotny,Tosno,4,2,2,0,4,3,4,1,9,2,3,2,1,0,0,3,5,2,1,-,-,-,-,-,-,-,-,-,-,-,48
2818,Zé Luís,Spartak Moscow,4,7,2,0,4,2,-,-,-,-,-,-,-,-,-,5,1,2,-,2,-,-,-,3,0,5,6,0,-,2,45
5530,Ivan Markelov,Anzhi Makhachkala,4,1,1,1,9,2,0,1,1,2,0,0,-,0,0,3,-,2,7,1,2,1,-,1,2,1,1,0,-,2,45
2869,Reziuan Mirzov,Tosno,-,-,0,-,3,0,2,-,-,1,4,-,3,-,4,6,0,3,0,2,4,3,-,0,2,1,2,-,4,-,44
2814,Denis Glushakov,Spartak Moscow,1,1,3,2,0,6,4,5,2,-,-,-,4,2,3,2,0,1,1,2,0,3,1,0,-,0,-,-,-,-,43
2774,Sardar Azmoun,Rubin Kazan,0,0,0,2,1,0,1,0,-,4,2,1,0,5,2,0,0,0,2,3,0,-,-,0,3,5,-,1,5,4,41
2881,Alan Dzagoev,CSKA Moscow,3,2,5,3,3,5,2,3,1,1,2,-,-,-,-,0,2,1,0,3,1,1,0,2,-,-,-,-,-,1,41
4605,Anton Miranchuk,Lokomotiv Moscow,0,0,1,3,0,5,1,4,1,0,0,4,1,3,1,2,2,1,0,0,1,2,0,-,2,2,1,1,2,0,40
6024,Ismael,FK Akhmat,-,-,-,-,2,0,-,0,1,1,1,1,2,3,2,1,1,3,1,5,3,3,2,0,-,0,2,3,2,1,40
2867,Magomed Mitrishev,FK Akhmat,0,1,1,1,0,0,2,2,3,4,2,0,1,3,1,0,-,0,0,2,2,4,1,2,1,3,1,2,0,1,40
2733,Arsen Khubulov,Anzhi Makhachkala,-,-,3,1,-,4,0,2,2,0,2,0,0,1,2,0,0,-,6,0,2,3,2,0,1,1,1,1,4,2,40
6275,Evans Kangwa,Arsenal Tula,-,-,-,-,-,-,-,-,-,-,-,6,2,4,1,1,-,0,1,2,1,3,2,2,1,3,3,3,1,3,39
2922,Mauricio Pereyra,FC Krasnodar,0,3,3,4,2,1,-,2,2,2,2,-,2,1,2,2,0,0,3,1,1,0,-,0,1,0,1,2,1,1,39
2753,Alexander Tashaev,Dinamo Moscow,1,-,1,0,1,1,2,3,0,-,-,1,2,0,3,2,1,1,1,5,0,2,0,3,2,2,2,0,1,2,39
2819,Lorenzo Melgarejo,Spartak Moscow,1,0,0,-,-,1,1,2,-,-,2,2,2,8,1,-,6,-,1,0,1,3,-,1,1,-,-,1,4,1,39
5092,Goran Causic,Arsenal Tula,1,1,2,1,0,2,0,3,0,3,3,-,0,-,3,3,0,3,2,1,4,1,1,0,-,0,2,1,0,-,37
3035,Evgeni Lutsenko,Dinamo Moscow,-,0,1,-,-,1,0,0,-,-,2,3,-,-,3,1,1,4,3,4,1,-,2,1,2,0,1,1,1,5,37
2928,Joãozinho,FC Krasnodar,-,6,3,4,2,2,0,-,1,-,1,-,1,2,5,0,0,2,1,-,2,0,1,2,0,1,0,-,1,0,37
5900,Evgeni Markov,Tosno,2,1,0,1,3,0,0,2,1,1,-,3,0,4,1,4,2,3,1,7,-,-,-,-,-,-,-,-,-,-,36
2969,Maksim Kanunnikov,Rubin Kazan,3,1,-,-,-,-,-,2,1,4,1,2,1,4,0,3,3,2,6,3,-,-,-,-,-,-,-,-,-,-,36
2903,Ivan Paurevic,FC Ufa,0,2,1,0,-,0,4,0,0,2,0,1,1,1,2,1,1,0,1,2,2,3,2,3,0,2,-,2,1,1,35
5496,Nikolay Dimitrov,Ural,1,1,0,0,1,-,-,0,4,1,-,-,3,4,0,2,0,2,1,3,0,0,3,2,2,0,-,2,0,2,34
2886,Bibras Natcho,CSKA Moscow,1,1,2,0,1,0,1,1,-,0,4,4,0,1,1,2,1,1,3,2,0,0,2,1,1,3,0,0,0,0,33
2776,Timofei Kalachev,FC Rostov,2,1,2,1,1,2,3,1,2,2,1,0,1,-,-,-,2,0,0,0,-,0,2,1,1,3,-,2,0,2,32
6587,Othman El Kabir,Ural,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,5,3,1,4,5,5,1,1,3,31
5454,Fedor Chalov,CSKA Moscow,0,4,4,0,0,0,0,1,1,1,1,0,-,-,1,-,-,-,-,-,-,-,-,3,1,2,2,3,3,4,31
3117,Vagiz Galiulin,Tosno,1,1,2,2,1,1,1,-,5,-,-,-,-,-,1,3,0,0,-,1,1,0,2,0,0,2,2,1,2,2,31
