id,name,team,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,total
2929,Yuri Gazinskiy,FC Krasnodar,0.8403,0.0721,0.4593,0.3983,0.0,0.2525,0.1442,0.1323,1.0535,1.5325,0.0462,0.4623,0.267,0.0964,0.6428,0.0653,0.3709,0.5032,0.6423,0.0,-,-,0.3242,0.1474,0.0911,0.1414,0.1787,0.5964,0.6566,0.5908,10.708
2919,Andreas Granqvist,FC Krasnodar,0.3312,0.3257,0.6291,0.299,0.0906,0.0138,0.2551,0.16,0.411,1.0317,0.0631,0.3531,0.2737,0.0792,1.022,0.3654,0.0136,0.4918,0.6869,-,0.6995,0.0,0.2276,0.1444,0.0911,0.11,0.0,0.0,0.5316,0.5502,9.2504
2772,Aleksandr Erokhin,Zenit St. Petersburg,0.1033,0.0,0.7594,0.0,0.4388,1.24,0.5593,0.2276,0.0243,0.303,0.0428,0.5041,0.0,0.3892,0.1693,0.1382,0.6665,-,1.1001,-,0.0502,-,0.1487,0.0138,0.0748,0.105,0.4617,0.688,0.0,0.4953,8.7034
1937,Fernando,Spartak Moscow,0.1015,0.8122,0.195,0.0255,-,0.1144,0.0,0.5335,0.0,0.1468,0.0,0.5891,0.1375,1.1415,0.3142,0.8186,0.0,0.5173,-,1.6512,0.0264,0.1918,0.1571,0.2676,-,0.1504,0.3912,0.0901,0.0646,0.1139,8.5514
2920,Sergei Petrov,FC Krasnodar,0.445,0.3839,0.5147,0.1753,0.0307,-,0.1706,0.061,0.0683,1.0366,0.3159,0.1444,0.33,0.1527,0.4133,0.0653,0.0136,0.596,0.6423,0.6028,0.0213,0.1489,0.4971,0.1061,0.0744,0.0806,-,0.0086,0.5982,0.5908,8.2884
2749,Igor Denisov,Lokomotiv Moscow,0.3097,0.0954,0.2712,0.509,0.4983,0.176,0.4038,0.0254,0.0166,0.2414,0.031,1.3655,0.0513,0.5509,0.3593,0.124,0.0383,0.0863,0.475,0.8438,0.0366,0.7421,0.1241,-,0.0,-,0.1065,0.1121,0.6206,-,8.2142
1248,Leandro Paredes,Zenit St. Petersburg,0.1091,0.1924,0.766,0.0,0.7409,0.9591,0.6243,0.1387,0.0432,0.0,0.0654,0.028,0.1058,0.2819,-,0.2593,0.3018,0.1864,0.2858,0.0,0.0528,-,0.1385,0.1647,0.0505,0.0619,0.7706,0.6522,0.0185,1.0181,8.0159
3065,Domenico Criscito,Zenit St. Petersburg,0.2655,0.8105,0.7027,0.1,0.4404,1.0609,0.5851,0.1525,0.0243,0.3229,0.2725,0.5139,0.1935,0.141,0.0826,0.0132,0.3235,0.059,0.226,0.0,0.0647,-,0.0159,-,0.1523,0.0458,0.7583,0.2861,0.0325,0.3233,7.9689
2897,Aleksandr Golovin,CSKA Moscow,0.0955,0.1861,0.9376,0.4508,0.1474,0.0463,0.0669,0.0704,0.0481,0.2613,-,0.0501,-,0.0147,0.0166,-,1.2575,0.0743,0.1235,0.3044,0.1473,0.3673,0.3534,0.2881,0.1037,0.942,0.0098,0.2767,1.0441,0.1673,7.8512
2886,Bibras Natcho,CSKA Moscow,0.2612,0.1142,0.8179,0.0387,0.0161,0.0397,0.1059,0.2557,-,0.7165,0.0152,0.0836,0.4109,0.0792,0.0166,0.0507,0.6736,0.0,0.3029,0.0403,0.0445,0.8125,0.3534,0.5673,0.1222,0.8487,0.0356,0.0,0.5804,0.0758,7.4793
