id,name,team,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,total
1393,Lorenzo Insigne,Napoli,9,0,4,2,4,6,7,6,5,5,6,3,4,0,7,-,1,3,6,7,2,1,4,10,4,6,13,6,4,3,10,5,5,3,2,7,5,2,177
1253,Edin Dzeko,Roma,3,4,10,11,5,3,3,2,7,4,4,3,4,11,2,2,2,4,5,1,6,1,9,7,4,0,4,-,3,1,6,5,2,-,5,2,1,6,152
1384,Dries Mertens,Napoli,3,3,3,7,2,2,6,6,2,4,6,4,2,2,3,1,3,6,5,7,3,4,2,3,4,4,7,2,5,2,5,1,1,1,1,1,3,2,128
448,Ivan Perisic,Inter,4,1,5,2,2,3,5,3,1,7,4,2,1,2,8,1,6,5,3,3,3,2,5,4,-,1,0,3,3,2,2,4,4,3,2,5,1,4,116
1294,Paulo Dybala,Juventus,7,5,5,4,3,10,6,3,2,3,4,5,4,5,1,1,1,-,5,1,-,-,-,-,3,3,5,3,4,1,4,4,0,0,2,2,2,6,114
1230,Fabio Quagliarella,Sampdoria,5,4,5,1,1,4,3,1,6,4,4,2,3,3,5,3,4,4,4,5,2,-,2,8,1,2,3,2,5,-,3,1,4,0,4,0,-,3,111
1209,Ciro Immobile,Lazio,6,5,7,7,0,2,9,3,4,4,2,2,2,2,4,-,4,1,4,2,-,-,4,1,8,1,1,3,2,6,4,1,5,3,0,-,-,1,110
1433,Federico Chiesa,Fiorentina,-,6,4,4,0,2,2,1,1,6,5,4,4,2,5,0,3,7,1,5,1,6,4,1,2,2,4,2,3,3,-,2,4,0,4,1,5,4,110
1102,Giovanni Simeone,Fiorentina,2,5,5,4,2,0,5,5,2,1,3,4,2,4,5,3,4,3,4,5,3,4,1,1,3,2,2,2,4,1,1,2,2,2,6,0,1,1,106
1293,Gonzalo Higuaín,Juventus,4,4,4,2,1,0,4,1,1,5,2,4,5,-,2,3,4,6,6,3,1,6,5,2,0,-,2,3,1,2,1,-,6,1,3,3,2,3,102
