id,name,team,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,total
227,Robert Lewandowski,Bayern Munich,0.7277,0.9946,0.2641,1.1286,-,0.7568,0.1941,2.1166,1.2574,0.3226,1.4993,2.0848,0.9248,1.3094,2.3838,0.9756,1.0504,1.375,1.6445,0.3105,1.7627,0.7842,0.1151,3.058,1.7791,1.5163,2.0433,2.9776,0.2842,0.5864,0.0954,2.6008,0.654,2.3456,41.9233
956,Andrej Kramaric,Hoffenheim,-,1.5704,1.2077,0.7877,0.3091,0.1247,-,1.745,1.6396,-,0.6845,0.7134,0.6766,1.2134,0.6391,1.0395,-,0.7025,1.5986,0.0463,0.0,1.1543,0.9106,0.5244,0.9657,1.7719,1.5513,2.0253,1.786,1.1128,1.3348,0.7708,1.2643,1.0853,30.9556
6345,Jadon Sancho,Borussia Dortmund,0.1532,0.0,0.0733,0.0184,0.4464,1.6451,1.48,0.5617,1.8253,0.1803,0.6908,0.7346,0.7256,0.3819,1.9518,0.6582,0.9253,0.1342,0.6512,1.0805,0.8961,0.3017,0.3782,1.6906,0.5665,1.8132,0.6323,0.0647,1.7947,1.9108,0.8834,0.8062,0.0,2.0165,28.0727
223,Joshua Kimmich,Bayern Munich,0.6676,0.8249,0.2975,0.1404,0.1746,0.7091,0.2409,0.0721,0.3782,0.235,1.4832,0.8196,1.6216,0.4901,1.5996,0.713,0.2228,0.9522,1.4832,0.2751,0.0882,0.9166,0.0574,0.99,0.7972,1.4101,0.7433,2.3517,0.8499,0.4052,0.9701,3.8244,0.1055,0.6381,27.5484
224,Thomas Müller,Bayern Munich,0.5413,0.7645,0.2268,1.1199,0.3693,0.5831,0.1279,-,0.0909,0.0,0.138,0.7091,1.2841,0.8553,0.889,0.8211,1.198,1.3,1.1704,0.8637,-,0.2834,0.0,2.9722,1.2865,1.2498,0.5882,1.2674,0.2974,0.1179,0.2472,2.8085,0.7737,2.0251,26.9697
229,Thiago Alcántara,Bayern Munich,0.2954,0.4535,0.7954,0.7467,0.0453,1.2543,0.2796,0.572,0.9,-,-,-,0.0,0.1875,1.898,0.9756,0.8233,0.3345,1.7067,-,0.8874,0.3355,0.0339,1.359,1.4271,1.0356,1.2121,1.3968,1.5312,0.7938,0.5045,3.6389,0.1492,0.7707,26.3435
261,Julian Brandt,Bayer Leverkusen,0.6606,0.2465,0.0,0.8805,0.0798,0.3032,0.2215,1.0412,2.7186,1.193,0.0123,1.2363,0.3114,0.0172,0.2253,-,0.1634,0.5148,1.4045,0.6496,1.3461,0.8997,0.1792,1.9314,1.2732,0.1933,1.2957,1.2203,0.7111,0.336,1.7325,1.7227,0.7516,0.708,26.1805
319,Marco Reus,Borussia Dortmund,0.9933,0.6271,0.0986,0.5268,1.2399,1.5265,0.6149,0.5939,1.5275,0.6013,1.583,0.7872,0.6936,0.2668,0.7686,0.7403,1.3793,-,2.4597,1.4744,-,-,-,0.7961,0.6611,0.5192,-,0.4057,0.7173,2.0594,0.0999,-,-,1.5597,25.3211
83,Kevin Volland,Bayer Leverkusen,0.5487,0.2154,0.0,0.0,0.4703,0.1004,0.0427,0.5839,2.548,1.4819,0.0,1.3672,0.198,0.903,0.1352,0.1214,0.5469,0.529,0.4678,0.6023,1.161,1.2328,0.3243,2.8862,1.9074,0.334,0.4529,0.9981,0.1846,0.2242,0.865,1.5022,0.6328,1.0409,24.6085
65,Timo Werner,RasenBallsport Leipzig,0.4203,0.4097,1.1282,0.8894,0.8009,0.7441,0.6621,0.0608,0.2763,2.3002,1.0931,0.2462,0.687,0.3663,1.9211,0.1314,0.7592,0.5567,0.1706,-,0.4708,0.0335,-,-,0.9501,1.0199,2.6054,0.5726,1.1206,0.6691,0.6849,1.8896,0.4309,-,24.071
993,Serge Gnabry,Bayern Munich,-,0.1264,0.048,0.0732,0.5792,0.1024,0.0469,0.098,0.1768,0.6264,1.4082,-,1.6597,0.675,1.1142,0.3579,-,0.7063,0.201,0.012,0.9364,0.6099,0.22,2.7909,1.3958,-,0.7356,2.2035,1.2572,0.5288,0.8313,2.9251,0.7366,0.7519,23.9346
