id,name,team,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,total
2498,Aymeric Laporte,Manchester City,0.0436,1.8967,0.6542,0.2712,0.9308,1.1182,0.5966,0.1836,1.7297,0.2307,1.277,0.871,0.0,0.6222,0.0,0.0917,0.0131,0.3224,0.5478,2.0688,0.0191,0.7935,0.8861,0.238,1.2383,0.0814,0.1849,-,-,-,0.1101,1.217,0.2775,0.9352,0.1685,0.8209,0.079,0.5401,21.0589
617,David Silva,Manchester City,-,0.3084,0.5395,0.0503,2.2843,-,0.9032,0.118,0.8826,0.2955,0.6833,0.9012,2.0027,0.1094,0.6716,0.0,-,-,0.0276,1.0629,0.0191,0.9503,0.02,0.5297,0.1422,0.0471,0.5898,0.4963,0.3287,1.8369,0.6374,-,0.9892,0.0,0.1945,0.9981,0.079,0.1479,18.8467
638,Kyle Walker,Manchester City,0.5855,-,0.2154,0.22,0.9442,1.2311,0.622,0.118,-,0.2307,1.7122,0.8496,0.915,-,0.2866,0.0917,0.1459,0.3188,-,0.0,0.0,1.0979,0.2928,0.6762,1.3854,0.0471,0.6163,-,0.562,0.0259,0.5114,0.6477,0.7088,0.9023,0.1685,0.8076,0.1083,0.5405,17.5854
614,Fernandinho,Manchester City,0.6178,0.9589,0.1071,0.22,0.4256,0.3249,0.4683,0.118,1.8501,0.3396,1.4239,0.9693,1.0337,0.43,0.5372,0.1847,0.8228,-,-,1.225,0.1298,1.1535,1.0143,0.21,1.1804,0.1843,0.1835,-,-,-,0.0,1.1783,-,0.2633,0.0296,-,-,-,17.5839
3635,Bernardo Silva,Manchester City,0.642,1.4094,0.076,0.607,0.4011,0.9879,1.2056,0.118,0.1632,0.2324,1.0659,0.8583,-,0.1585,0.411,0.1847,0.0,0.2666,0.0591,1.5877,0.1106,1.7556,0.02,0.0,1.249,0.0471,0.119,0.0,0.2551,0.1564,0.326,-,0.1214,0.9023,0.1002,0.7644,0.1314,0.3982,16.8911
1688,Andrew Robertson,Liverpool,1.4102,0.2451,0.2571,0.0338,0.496,0.2196,0.7842,0.0435,0.2825,-,0.329,0.698,0.3159,0.5622,-,0.0366,0.57,0.5831,0.4798,0.5516,0.6234,0.3666,0.0895,0.0691,0.6377,0.7165,0.0,0.0389,0.0,1.0596,0.7011,0.1951,1.0359,0.1185,0.7109,2.0712,0.1818,0.195,16.709
833,Virgil van Dijk,Liverpool,1.4023,0.8917,0.9847,0.0674,0.4315,0.1256,0.8215,0.0,0.2247,0.096,0.3537,0.7695,0.3159,0.6314,0.2273,0.1083,0.0946,0.0356,0.5532,0.036,0.4662,0.1999,0.2915,0.0846,0.5785,0.602,0.0,0.5119,0.0,1.1749,0.2676,0.2607,0.5767,0.1409,1.0301,1.979,0.2654,0.0566,16.6574
314,Ilkay Gündogan,Manchester City,0.2093,1.0858,0.5863,0.0,0.6106,0.7282,-,-,-,-,-,0.6345,1.0069,0.6598,0.0,0.0,0.9394,0.1941,0.0749,-,0.0,0.0514,0.7011,0.0,1.224,0.0471,0.119,1.089,0.3316,1.3419,0.3494,-,0.8237,1.4053,0.1668,0.8737,0.1483,0.3474,15.7495
1389,Jorginho,Chelsea,0.152,0.7962,0.1313,0.2705,0.5434,0.3243,0.4602,0.7536,0.2795,0.9629,0.391,0.1102,0.4068,0.3775,-,0.0,0.083,0.0988,0.3288,0.4042,0.2593,0.044,0.2921,0.0953,0.5905,0.4427,0.0134,0.6288,0.0829,0.5728,0.1314,1.692,0.6459,0.0,0.3993,0.7234,1.2234,0.3475,15.0589
618,Raheem Sterling,Manchester City,0.1055,-,0.1728,0.1444,0.3379,0.9115,0.652,0.118,-,0.0,0.3191,1.2725,0.0,0.522,-,0.1847,0.0,0.368,0.1717,1.9911,0.0,0.2588,0.6767,0.5567,1.0382,0.0,0.6752,0.0,0.1865,0.4682,0.1083,-,0.3203,0.4394,0.064,0.0497,0.0693,0.4503,12.6328
204,Granit Xhaka,Arsenal,0.0,2.2309,0.6074,0.1243,0.2861,0.0,0.1253,0.1582,0.7846,0.0394,0.4399,0.5737,0.8072,0.1822,-,0.0647,0.2758,0.4119,0.4376,0.096,1.8993,0.2302,0.4093,-,-,-,0.0798,-,1.3192,0.1524,-,-,0.3376,-,0.1112,0.2079,0.1887,-,12.5808
751,N&#039;Golo Kanté,Chelsea,0.0543,0.2256,0.2466,0.2686,0.5365,0.7088,0.1657,0.6634,0.3061,1.3757,0.2118,0.1273,0.4458,0.3799,0.1717,0.0,0.0,0.1482,0.1406,0.0373,0.2333,0.0308,0.2676,0.4533,1.1366,0.5732,0.0139,0.5698,0.2499,0.7688,-,0.815,0.4414,0.0,0.1425,0.5749,0.0,-,12.4849
1006,Luke Shaw,Manchester United,0.04,0.0,0.5022,1.2701,-,0.2269,0.0266,0.4981,0.0819,0.2156,0.9058,0.0236,-,0.14,-,-,-,0.494,0.5444,2.1042,0.6848,0.2026,-,0.04,0.1445,0.1503,0.0209,0.0635,0.2504,1.083,0.0315,1.443,-,-,0.084,0.4593,0.4871,-,12.2183
5759,Matteo Guendouzi,Arsenal,0.1468,1.8088,0.013,0.589,0.0,-,-,0.1408,1.4624,0.0394,-,0.0,0.0456,0.319,1.2141,0.4378,0.2384,0.5023,0.0801,0.0,0.6346,0.1617,0.1492,1.0103,0.0371,0.1111,-,0.7829,0.0,-,0.8691,0.0,0.1694,0.3411,0.0,0.0,0.0551,0.7881,12.1472
1676,David Luiz,Chelsea,0.0543,0.6446,0.0901,0.2044,0.7355,0.166,0.5626,0.6578,0.8951,0.3285,0.2268,0.2742,0.4048,0.5602,-,0.1835,0.0635,0.5319,0.3978,0.0867,0.1957,0.3271,0.1754,0.0784,0.8549,0.2661,0.0134,-,0.1245,0.2779,0.0142,0.8757,0.0,0.0,0.3876,0.5411,0.4264,0.352,11.9787
681,César Azpilicueta,Chelsea,0.0543,0.3214,0.0728,0.0804,0.2751,0.101,0.1657,0.1236,0.1898,0.5496,0.1123,0.1294,0.0462,0.3327,0.5207,0.2584,0.0137,0.4108,0.2913,0.4042,0.0174,0.3579,0.3265,0.0784,0.975,0.636,0.0139,0.5492,0.06,0.7944,0.8631,0.7067,0.6179,0.0,0.1614,0.7853,0.4004,0.1726,11.9695
1740,Paul Pogba,Manchester United,0.314,0.0,0.337,0.9177,0.0,0.1748,0.4531,0.8475,0.0819,0.2397,0.4379,-,0.0,0.4833,0.0324,-,-,1.054,0.5698,0.1896,0.8317,0.112,0.2013,0.1225,0.1445,0.132,0.0183,0.1949,0.0,1.0762,0.0227,0.9251,0.1825,0.0144,0.1142,0.4593,0.5435,0.3657,11.5935
605,Jordan Henderson,Liverpool,0.0259,0.1839,0.3291,0.4097,0.1009,0.1256,0.8553,0.1127,0.094,-,-,0.0217,0.075,-,0.4338,0.0,0.1366,0.4688,1.21,0.2991,0.9921,0.1999,0.2182,0.1667,-,-,0.0,0.0,0.0443,1.5905,-,0.2384,0.3695,0.3566,0.8123,1.6056,0.0545,0.0486,11.5793
