id,name,team,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,total
1618,Diego López,Espanyol,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,3420
2415,David Soria,Getafe,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,-,90,90,90,90,90,90,90,90,90,90,90,3330
2261,Jan Oblak,Atletico Madrid,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,-,3330
2194,Damián Suárez,Getafe,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,-,90,90,90,90,90,90,90,90,90,90,90,90,90,-,90,90,90,90,90,3240
5044,Víctor Laguardia,Alaves,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,-,90,90,90,90,90,90,90,90,90,90,90,90,-,90,90,90,90,90,3240
4034,José Campaña,Levante,90,90,90,90,75,90,90,90,90,90,85,90,-,90,90,90,90,90,90,90,90,90,-,90,90,90,90,90,90,90,90,90,90,86,90,90,90,90,3216
2270,Antoine Griezmann,Atletico Madrid,74,79,90,90,90,55,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,47,90,78,90,90,90,-,90,90,90,90,90,3213
6076,Nemanja Maksimovic,Getafe,90,90,90,90,-,90,90,90,90,90,90,90,90,90,90,-,90,90,90,90,67,90,90,90,90,90,90,90,90,90,90,90,90,90,90,86,90,90,3213
2186,Morales,Levante,90,90,90,90,90,90,90,90,90,90,90,90,-,90,90,90,90,90,90,90,90,90,90,84,90,90,90,90,90,90,90,90,90,90,44,88,90,10,3196
2234,Mikel Oyarzabal,Real Sociedad,80,76,90,90,90,90,78,88,90,-,63,90,90,70,90,90,90,90,24,90,90,90,90,79,90,90,90,90,90,90,90,90,90,90,90,90,90,90,3168
5042,Fernando Pacheco,Alaves,90,90,90,90,90,90,90,90,90,90,-,-,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,-,3150
2090,Marc-André ter Stegen,Barcelona,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,-,-,-,3150
2092,Gerard Piqué,Barcelona,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,-,90,-,90,90,90,-,90,90,3150
