id,name,team,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,total
6880,Edouard Mendy,Reims,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,3420
3251,Paul Bernardoni,Nimes,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,3420
5624,Yunis Abdelhamid,Reims,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,3420
5957,Régis Gurtner,Amiens,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,3420
4748,Brice Samba,Caen,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,3420
3737,Mike Maignan,Lille,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,3420
5656,Nicolas Pepe,Lille,90,90,90,90,82,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,87,90,90,90,90,90,90,90,90,90,90,14,3333
3503,Stéphane Ruffier,Saint-Etienne,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,-,3330
3451,Benjamin Lecomte,Montpellier,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,-,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,3330
6903,Matz Sels,Strasbourg,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,-,3330
3218,Benoit Costil,Bordeaux,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,-,3330
6433,Jules Koundé,Bordeaux,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,-,90,90,90,3330
3338,Daniel Congré,Montpellier,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,54,-,90,3294
732,Yann M&#039;Vila,Saint-Etienne,90,90,90,90,90,90,90,90,67,90,90,90,90,90,90,90,90,90,90,90,90,47,-,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,3264
5654,Baptiste Santamaria,Angers,16,87,90,90,90,90,90,75,49,90,90,90,90,90,90,90,90,90,90,90,59,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,3256
6883,Xavier Chavalerin,Reims,90,90,90,90,90,90,90,90,90,-,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,-,90,90,90,90,90,90,90,90,90,90,90,3240
2319,Faycal Fajr,Caen,90,90,90,90,90,90,90,90,90,-,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,-,90,90,90,90,90,3240
464,Max Gradel,Toulouse,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,-,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,-,3240
3744,Ludovic Butelle,Angers,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,-,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,-,90,90,90,3240
5990,Pedro Rebocho,Guingamp,90,90,90,90,-,90,90,90,90,90,90,-,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,3240
3337,Hilton,Montpellier,90,90,90,90,90,90,84,-,-,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,3234
3673,Valentin Rongier,Nantes,90,90,90,90,90,90,90,90,90,90,90,90,79,-,-,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,3229
148,Dante,Nice,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,78,90,90,90,90,90,90,90,90,90,-,90,90,90,90,90,90,90,90,90,90,-,90,3228
2063,Timothée Kolodziejczak,Saint-Etienne,90,70,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,-,62,-,90,90,3192
3391,Jacques-Alaixys Romao,Reims,90,90,90,90,90,90,84,90,90,90,90,49,-,90,90,84,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,81,-,90,84,90,90,3172
3530,Andy Delort,Montpellier,90,90,90,90,88,90,84,86,80,82,83,90,90,85,88,90,90,90,83,90,90,90,90,-,-,90,77,90,90,86,83,90,90,85,90,90,90,90,3160
5652,Walter Benítez,Nice,-,-,-,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,3150
5712,Diego Carlos,Nantes,90,90,90,90,90,90,-,-,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,89,90,90,-,3149
834,José Fonte,Lille,-,90,90,90,90,90,90,90,35,90,90,90,90,90,90,90,90,15,-,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,3110
3347,Ellyes Skhiri,Montpellier,90,83,90,90,90,90,6,90,90,77,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,8,90,49,90,90,90,90,90,90,90,90,-,3103
6011,Thiago Mendes,Lille,90,80,86,-,86,90,90,90,78,79,90,90,86,-,90,90,90,90,90,78,90,90,90,90,90,90,90,90,88,90,90,90,90,90,-,90,90,90,3091
5733,Houssem Aouar,Lyon,90,66,13,4,90,90,90,90,90,90,90,90,90,90,85,90,80,89,90,90,90,83,66,86,90,84,-,90,90,90,90,90,90,90,90,90,79,90,3075
5975,Kenny Lala,Strasbourg,90,90,90,90,90,90,90,90,90,90,90,90,-,-,90,90,90,90,90,90,90,90,90,-,90,90,90,90,90,90,90,90,-,90,90,90,90,90,3060
3269,Anthony Lopes,Lyon,-,-,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,-,90,90,90,90,90,90,90,90,-,3060
