id,name,team,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,total
3297,Marquinhos,Paris Saint Germain,0.1355,0.3732,0.3718,1.6663,-,0.5473,0.8727,0.3198,0.1554,0.6497,0.1079,0.0536,-,0.3654,0.7354,-,0.8469,0.1843,2.1291,0.9401,0.1384,-,0.5849,1.2866,2.3501,0.2995,1.2081,0.0,0.1661,-,-,-,0.6387,0.0117,0.109,0.1786,-,0.2396,17.6657
3552,Marco Verratti,Paris Saint Germain,-,-,-,-,0.5026,0.3032,1.3517,0.4809,0.9805,0.0684,0.2568,0.1332,-,0.0723,0.1196,0.1816,0.5471,0.2474,0.8736,-,-,0.3665,-,1.4815,2.239,-,1.3128,0.188,0.3042,1.806,0.4503,-,2.3304,-,0.1221,0.1786,-,0.214,17.1123
3288,Thiago Silva,Paris Saint Germain,0.0621,0.4695,0.0313,0.7095,0.4178,-,1.3248,0.3722,0.0943,-,-,0.0198,0.1847,0.3654,0.6137,-,0.372,0.2384,1.1956,1.2735,0.1157,0.4884,0.6236,-,1.4659,-,1.2817,0.1541,0.0,2.0011,0.0722,-,-,-,-,-,-,-,13.9473
6011,Thiago Mendes,Lille,0.6356,0.0,0.4093,-,0.0519,0.0885,0.4399,0.0543,0.118,0.4218,0.0,0.0518,0.0732,-,0.1516,0.4568,0.4134,0.0178,0.5983,1.4743,0.4204,0.0153,0.991,0.31,0.1145,0.2377,0.0,0.0451,0.6943,0.3839,0.3605,1.3218,0.2761,1.2857,-,0.6108,0.5693,0.5304,13.6233
1288,Dani Alves,Paris Saint Germain,-,-,-,-,-,-,-,-,-,-,-,-,-,0.4309,0.1217,0.0704,0.1013,0.2794,3.4657,0.5562,0.1508,0.9608,0.0387,0.4705,1.4659,0.0697,-,0.0,-,0.7539,0.1485,0.2179,0.9117,0.6501,0.2083,0.4543,1.9306,0.0,13.4573
5962,Tanguy NDombele Alvaro,Lyon,0.2094,0.0423,0.217,0.5714,0.1194,0.6281,0.8263,0.062,0.3383,0.1908,0.4165,0.0645,0.0,0.1105,0.8116,0.0822,-,-,0.6992,0.3587,0.7717,0.1767,0.7768,0.0712,-,0.1199,0.7572,-,0.6914,1.2122,0.0,0.1003,0.7231,1.1089,0.2209,0.3222,0.3855,0.1752,13.3614
152,Julian Draxler,Paris Saint Germain,0.3199,-,0.066,0.4683,0.5448,0.5991,0.0269,-,0.2258,0.0578,0.2093,0.2447,0.7239,0.0,0.3098,0.0227,0.263,0.6818,2.586,1.1413,0.1363,-,0.2204,1.2082,-,0.0452,-,-,-,0.8915,0.0722,0.1791,0.0,0.6588,0.2083,0.0,1.0997,0.0,13.2108
5733,Houssem Aouar,Lyon,0.5443,0.0,0.0,0.0,0.2073,0.1373,0.8818,0.2344,0.0628,0.0618,0.1701,0.0389,0.4214,0.0487,0.6388,0.249,0.5079,0.1563,0.3629,0.2939,0.4869,0.1932,0.8415,0.0,0.5571,0.0804,-,0.8736,0.5543,0.3863,0.451,0.0849,0.7364,0.4342,0.0866,0.2764,1.2628,0.6536,12.9768
834,José Fonte,Lille,-,0.0281,0.5389,0.154,0.2696,0.0,0.3603,0.351,0.0,0.0697,0.0158,0.0393,0.2397,0.1851,0.0,0.4765,0.4434,0.0,-,0.8016,0.4788,0.2814,0.5952,0.1962,0.0593,0.5882,0.0716,0.3277,1.0257,0.7139,0.0946,0.4403,0.1983,1.22,0.0434,0.6108,0.1881,0.3302,11.4367
732,Yann M'Vila,Saint-Etienne,0.0884,0.0452,0.0592,0.1305,0.0229,0.3673,0.0369,0.8679,0.032,0.6175,0.6302,0.3058,0.0288,0.1127,0.4258,0.1259,0.427,0.2155,0.5084,0.8192,0.0232,0.0,-,0.1297,0.1963,0.126,0.0,0.0,0.5432,0.9501,0.521,0.0,0.1053,1.255,0.0,0.1106,0.2581,0.3569,10.4425
