id,name,team,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,total
1148,Duván Zapata,Atalanta,0.0709,0.1184,0.0,0.3018,0.3878,0.0405,0.1328,0.7737,0.0,0.0,0.7697,0.4489,0.1128,0.6426,1.2955,0.5034,0.3632,0.738,1.2998,2.0424,0.6196,0.0584,0.3253,0.1051,0.112,0.1039,0.6203,0.2413,1.5643,0.3916,-,1.3746,0.7102,0.7863,0.5422,0.0478,0.289,1.0304,18.9645
2371,Cristiano Ronaldo,Juventus,0.7606,0.212,0.3658,2.3504,1.5851,0.1732,0.9007,0.8722,1.508,0.1431,0.446,0.7943,0.9121,0.4411,0.1104,0.2853,1.2613,0.5991,0.1356,1.0999,0.0,0.9041,0.4958,0.3152,0.1318,0.1376,-,-,-,-,-,-,0.4001,0.4128,0.5198,0.0272,0.4554,-,18.756
1230,Fabio Quagliarella,Sampdoria,0.0265,0.2048,0.6267,0.0,0.2423,0.4277,0.4793,0.1437,0.0,0.3712,1.1466,-,0.511,0.6994,0.5144,0.376,1.1633,0.3132,0.1915,0.6459,0.4468,0.4743,0.1189,0.1528,1.0648,0.8886,0.0,0.303,0.7612,0.0136,0.7074,0.5908,0.2916,0.441,1.0138,0.6632,0.1432,0.1603,16.3188
1253,Edin Dzeko,Roma,0.5666,0.3081,0.1617,0.6889,1.2093,-,0.3784,0.5365,1.1562,0.1163,0.8848,0.0814,0.2034,-,-,-,0.0,0.1067,0.4727,0.8495,1.0533,0.5637,0.4875,0.1726,0.9397,0.2208,-,0.4593,0.052,0.2035,0.0174,0.636,0.1789,0.7579,0.3268,0.7106,0.3695,0.3021,15.1721
1583,Arkadiusz Milik,Napoli,1.2684,0.0593,0.1633,0.0,-,0.9227,0.0651,-,0.5059,0.4323,0.4959,0.582,0.0,0.3134,1.1049,0.4584,-,0.0835,0.7642,0.988,0.0996,0.5078,0.6559,1.0969,0.3126,0.0,0.0654,0.2744,0.216,0.2603,0.6361,0.0941,0.5513,0.0666,0.1743,0.3303,0.1583,0.3713,14.0785
6980,Francesco Caputo,Empoli,0.3016,0.0,0.1029,0.6698,0.2461,0.1089,0.1183,0.7763,0.0752,0.1079,0.29,0.593,0.6676,1.7568,0.6956,0.3489,0.2397,0.0,0.0295,0.2149,0.4236,0.9628,0.3252,0.0575,0.231,0.0,0.0,0.6143,0.0727,0.6665,0.5034,0.0,0.6058,0.2309,0.1429,0.3706,0.7809,0.4589,13.79
1209,Ciro Immobile,Lazio,0.7419,0.0392,0.8854,0.2729,0.9769,0.0,0.4419,0.1663,0.9508,0.3951,0.4491,0.2421,0.2552,0.3193,0.2723,0.2434,0.6376,0.0549,0.4868,0.1843,0.8344,0.0724,-,0.0192,0.0,0.7386,-,0.2315,0.1877,0.7033,0.6017,0.1797,0.2703,0.0293,0.0726,0.0,0.677,0.4523,13.0854
1186,Andrea Belotti,Torino,0.1478,0.5505,1.3866,0.198,0.0,0.1276,0.3917,0.179,0.0,0.0744,0.2916,0.8912,0.329,0.5636,0.2192,0.0897,0.0621,0.3361,0.2256,0.4686,0.157,0.0709,0.5526,0.1056,0.1895,0.4199,0.562,0.9131,0.0824,0.2375,0.216,-,0.0892,0.289,0.1669,0.9353,0.7882,0.1306,12.438
1104,Leonardo Pavoletti,Cagliari,0.2244,0.8023,0.0834,0.0429,-,0.1487,0.0,0.6008,0.5369,0.7742,0.6105,0.2024,0.0,0.252,-,-,-,0.7473,-,0.1784,0.134,0.6811,0.0627,1.5373,0.4012,0.6761,0.0,0.0612,-,0.2479,0.7705,0.4182,0.5748,0.1827,0.0807,0.3885,0.1775,0.7857,12.3843
1384,Dries Mertens,Napoli,0.0,0.8775,0.3594,0.0433,0.093,0.0,0.7646,0.3859,0.0396,0.6282,0.6557,0.2444,0.378,0.0,-,0.0,1.203,0.0302,0.3604,0.1178,0.0625,-,1.0222,0.0836,0.3699,0.0,0.0,0.1042,0.8047,0.0429,0.1431,0.2516,0.6482,0.3676,0.5094,-,0.5148,0.5088,11.6145
