id,name,team,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,total
1491,Alejandro Gomez,Atalanta,0.913,-,0.0,0.0882,0.055,0.1489,0.1816,0.5943,0.0,0.2861,0.3804,0.6443,0.2229,0.1367,0.1158,0.0382,0.0577,0.5931,1.6352,0.2558,0.7632,0.0457,0.0314,0.2332,-,0.3154,0.2466,0.0393,1.2927,0.0439,0.0,0.8074,0.1571,0.1324,0.6573,-,0.0346,0.1676,11.315
1129,Suso,AC Milan,0.1397,0.0139,0.1444,1.0708,0.0737,0.5179,1.7782,0.0777,1.0675,0.4108,0.0845,0.0,0.1096,0.2119,0.046,0.1614,0.1444,-,0.5031,0.0,0.0757,0.055,0.2193,0.3104,-,0.1456,0.9032,0.2331,0.0,-,0.5156,0.0571,0.4578,0.0,0.4199,0.2899,0.2201,0.2633,10.7215
1148,Duván Zapata,Atalanta,0.0,0.6386,0.0719,0.0428,0.5266,0.0874,0.0,0.6598,0.015,0.2046,0.1293,1.2135,0.7293,0.1886,0.4437,0.0409,0.0,0.495,0.0,0.0726,0.1036,0.0,0.6625,0.0685,0.5327,0.0842,0.0344,1.1606,0.2148,0.5421,-,0.1204,0.4098,0.3153,0.1042,0.0794,0.1341,0.0,10.1262
1384,Dries Mertens,Napoli,0.0,0.3168,0.0557,0.0,0.8567,0.0,0.0,0.1298,0.2028,0.0507,1.3124,0.3391,0.0958,0.021,-,0.1488,0.1258,0.0,0.498,0.4447,0.0203,-,0.3322,0.5568,0.0538,0.0214,0.0391,0.5516,0.6691,0.0822,0.5644,0.5827,0.3739,0.4482,0.1823,-,0.2197,0.0991,9.3949
1382,José Callejón,Napoli,1.2651,0.4424,-,0.1408,0.0619,-,0.7386,0.0,0.0,0.6932,0.0338,0.582,0.3522,0.0,-,0.0,0.1036,0.0387,0.0,0.1155,0.0456,0.4501,1.0938,0.1379,0.1569,0.0373,-,0.255,0.7831,0.0339,0.7577,0.0726,0.1153,0.1351,0.0171,0.2067,0.4302,0.0,9.2961
1145,Rodrigo de Paul,Udinese,0.0775,0.568,0.0275,0.1249,0.6012,0.0971,0.8544,0.1124,0.2247,0.1985,0.0239,0.8131,0.2852,0.078,0.1258,0.0,0.01,0.0517,-,0.3869,0.0506,0.1439,0.007,0.0268,0.0786,0.0764,0.1444,0.2117,0.776,0.1525,0.0953,0.071,0.057,0.0632,0.1592,0.9171,1.0938,-,8.7853
1426,Josip Ilicic,Atalanta,-,-,-,0.0599,0.0621,0.0697,-,0.5164,0.3503,0.6266,0.0526,0.8532,0.024,-,-,0.0,0.0671,0.0428,0.0601,0.4119,0.1456,0.0218,0.0935,0.5109,0.1182,0.7644,0.4483,0.1537,0.0,0.1853,0.8759,1.1843,0.0,-,0.1067,0.0,0.0,0.1154,7.9207
1311,Rade Krunic,Empoli,0.0,0.0878,0.0202,0.0,0.0567,0.3071,0.0174,0.6148,0.0957,0.1005,0.29,0.6369,0.5041,1.3009,0.5937,0.151,-,0.0622,-,-,0.0,0.0,0.0,0.0575,0.1408,0.1274,0.0,0.1732,0.0253,0.03,1.0108,0.0,0.6058,0.0,0.0635,0.0,-,-,7.0733
7015,Camillo Ciano,Frosinone,0.0,0.8436,0.0647,0.0,0.0,0.0638,0.0583,0.4761,0.0747,0.779,0.0474,-,-,0.7348,0.0301,0.1262,0.0855,0.0267,0.2148,-,0.0,0.6503,0.0596,0.1592,0.606,0.0273,0.5211,0.1241,0.0,0.3084,-,0.2527,0.2025,-,0.1319,0.0387,0.0,0.3235,7.031
448,Ivan Perisic,Inter,0.5541,0.0,0.9227,0.2309,0.1078,0.018,0.0,0.3441,0.7931,0.1813,0.0,0.0,-,0.0,0.0146,0.0,0.8947,0.0,-,0.4598,-,0.0301,0.2378,0.0462,0.0904,0.6538,-,0.3809,0.0,0.096,0.065,0.0336,0.3079,0.0,0.1329,0.0728,0.2393,0.0372,6.945
