id,name,team,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,total
227,Robert Lewandowski,Bayern Munich,0.8482,0.5192,1.0002,0.856,0.9769,1.1548,0.8639,0.2203,1.2227,0.7157,1.5404,1.0261,0.5735,0.4118,2.4155,1.3836,0.0278,0.8192,1.2322,0.7152,0.1464,0.4547,2.2611,-,-,0.0195,0.7924,0.2685,1.2536,1.0822,-,0.7914,1.2641,0.5509,27.408
65,Timo Werner,RasenBallsport Leipzig,0.7359,1.0309,1.4193,0.6146,0.3174,0.0854,0.9585,0.9798,0.2156,1.406,0.8935,0.8393,0.5011,1.5851,0.3313,0.8916,0.5965,0.2996,0.6153,0.1192,1.2623,0.1852,0.3379,0.0,0.0,0.299,1.7549,0.0,0.7504,0.7433,0.4476,0.1285,0.0908,0.7395,21.1753
7052,Wout Weghorst,Wolfsburg,0.3532,0.1287,0.1103,0.7731,0.4211,0.5327,0.8064,0.674,0.0723,0.1167,0.2489,0.1121,0.698,0.9556,0.1313,0.5983,0.1096,0.7546,0.0952,-,0.0635,1.3351,0.2157,1.2341,0.0858,-,0.0401,0.3073,0.8563,1.1698,0.8399,0.0,0.888,0.0796,14.8073
993,Serge Gnabry,Bayern Munich,0.1377,0.0,-,0.0499,0.3762,1.0899,0.4403,0.2475,0.569,0.0387,1.1529,0.8851,0.4069,-,0.5059,0.8365,0.6602,0.0,0.0369,0.0,0.1863,1.4332,0.5553,0.548,1.4617,0.2819,0.0,0.3563,0.2665,0.6627,0.175,0.0915,-,0.7205,14.1725
306,Florian Niederlechner,Augsburg,0.6055,0.4451,0.1382,0.6792,0.5769,0.0133,0.792,0.0,0.5078,0.4516,0.667,0.0476,0.6777,0.2507,0.0477,0.7735,0.5001,1.5235,0.6594,0.2742,0.0886,0.1106,0.1044,0.1331,0.6365,0.0455,0.169,0.0,0.4814,0.4026,0.1557,0.0,0.6112,-,12.5696
3310,Alassane Pléa,Borussia M.Gladbach,0.453,0.6248,0.3392,0.6817,0.209,0.7141,0.9552,0.0493,-,-,1.0798,0.3985,0.0,0.0262,0.0203,0.8069,0.2162,0.2096,1.525,0.2552,-,0.7061,0.5556,0.3442,0.1161,0.4881,0.4914,0.0,0.5086,0.1675,-,-,-,-,11.9416
83,Kevin Volland,Bayer Leverkusen,0.8632,0.033,0.1057,0.026,0.1026,0.1954,1.5118,0.0585,0.9661,0.8034,0.1922,0.9224,0.1869,0.1165,0.0,0.5683,0.4707,0.948,1.1728,0.8185,0.3527,0.5904,-,-,-,-,-,-,-,0.1093,0.051,0.0618,0.2434,0.3575,11.8281
7880,Sebastian Andersson,Union Berlin,0.2186,0.5215,0.9843,0.1635,0.0,0.0374,0.0,0.6933,0.0,0.0,1.0357,0.9954,0.3505,1.0188,0.0995,0.5595,0.1171,0.0,0.0862,0.0,1.0851,0.4719,0.5103,0.2911,0.4698,0.0,0.0,0.3727,0.4354,0.0938,0.0497,0.6406,0.2088,-,11.5105
5992,Marcus Thuram,Borussia M.Gladbach,0.6815,0.1307,0.0,0.4271,0.9346,0.2942,0.0454,0.0,1.0305,0.6047,0.1994,0.0657,1.3777,0.0,0.3893,0.0,0.122,0.0763,0.7851,0.152,0.3456,0.3014,0.0,0.0,0.4755,0.6809,0.6918,0.0519,1.1313,0.0,0.059,-,-,-,11.0536
6170,André Silva,Eintracht Frankfurt,-,-,-,0.244,0.3035,1.1694,1.1896,-,-,0.0,0.0,0.0307,-,0.2691,-,0.0,0.0,-,-,0.2844,1.0371,0.0,0.9292,0.0,0.2566,0.1929,1.3342,0.0,0.1748,0.0,1.1683,0.7926,0.2174,1.1864,10.7802
6345,Jadon Sancho,Borussia Dortmund,0.2435,0.1173,0.078,0.0,1.0351,0.0193,0.0,-,0.1959,-,0.0,0.1909,0.3239,1.2438,0.5725,0.8768,0.3604,0.693,0.4963,0.4282,0.014,0.3032,0.0373,0.8491,0.1424,0.0,0.06,0.0,1.2238,1.2476,0.0,0.0,0.0,0.0,10.7523
1275,Robin Quaison,Mainz 05,0.3298,0.6751,-,0.5739,0.0717,0.5062,1.1411,0.0,0.1635,0.0892,0.2887,0.3127,0.0699,0.0,0.0,1.212,0.6633,0.1245,0.1589,0.0,1.3164,0.6581,0.0355,0.1582,0.0234,0.1237,0.0257,0.012,0.4052,0.2949,0.0795,-,0.9258,0.0,10.4389
7422,Christoph Baumgartner,Hoffenheim,-,0.0499,-,-,0.0352,0.6074,-,-,-,0.0,-,0.2201,-,0.0,0.0995,0.3548,0.3004,0.039,0.1808,0.2848,0.7939,1.3642,0.3537,0.0,0.6536,1.3761,0.2643,0.535,0.0166,0.0,0.4588,0.3752,0.526,0.4183,9.3076
5220,Kai Havertz,Bayer Leverkusen,0.4072,0.0,0.1902,0.2563,0.4314,0.6152,0.0,0.4133,-,0.0,0.0,-,-,0.4087,0.0318,0.0,0.0584,0.5346,0.4493,0.3562,0.3915,0.0956,0.0876,0.0394,0.4374,1.3114,0.9312,0.4653,0.1153,-,0.0196,0.9213,0.2256,0.1079,9.3017
5356,Breel Embolo,Borussia M.Gladbach,0.0918,0.3662,0.9867,0.1022,0.9048,0.7625,0.6455,0.1323,0.0,-,-,0.0,1.236,0.0,0.0374,-,0.0719,0.0,0.1279,0.0,0.2666,0.0814,0.0,0.6347,0.1528,0.0,0.0,-,-,-,0.8576,0.0825,0.484,1.03,9.0548
8260,Erling Haaland,Borussia Dortmund,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1.3228,1.3333,0.783,0.1066,0.6941,0.85,0.0544,0.4875,0.4015,0.0,0.3368,-,-,0.1986,0.0,2.3206,0.0,8.8892
224,Thomas Müller,Bayern Munich,0.1519,0.0432,0.0,0.1022,0.1864,0.0,0.0635,0.3741,0.3332,0.0,0.0792,0.0744,0.1048,0.6816,0.5797,0.9432,0.0863,0.4251,0.8867,0.3918,0.0,0.3839,0.0,0.1061,0.7509,0.0594,0.5199,0.0,0.4388,0.1412,-,0.0,0.193,0.4748,8.5753
956,Andrej Kramaric,Hoffenheim,-,-,-,-,-,-,-,0.5553,2.0311,-,-,0.2378,0.467,0.1413,0.0684,0.3561,0.0984,0.1577,0.4883,1.4884,-,0.3097,-,0.0,0.0,-,-,-,-,0.0,0.0191,0.0,0.6389,1.3258,8.3833
6475,Lucas Höler,Freiburg,0.4289,0.0,0.0,0.4745,0.0583,0.0659,0.0,0.0257,0.2243,0.0,0.0589,0.8929,0.5898,0.1304,0.0864,0.6075,0.4041,0.0,0.0,0.0,0.154,0.3622,0.0,0.0,0.0,0.0,0.0456,0.4187,0.3204,0.7117,0.8361,0.0,0.8316,0.6329,8.3608
319,Marco Reus,Borussia Dortmund,0.6709,0.4533,0.4356,1.2725,0.2012,0.1987,0.1092,0.7216,0.0,0.0931,0.0,0.8458,0.0,1.4352,0.3306,0.082,-,1.1217,0.3535,0.0219,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8.3468
48,Jhon Córdoba,FC Cologne,-,0.0881,-,0.253,0.2344,0.2555,0.0,0.2908,0.0,0.0,0.0617,-,0.2376,0.0871,0.4511,0.1613,0.6958,0.5819,0.0,1.1039,0.3497,0.7977,0.3827,-,0.0968,0.9152,0.3273,0.0,0.2455,0.0639,0.3102,0.2758,0.0676,-,8.3346
488,Philippe Coutinho,Bayern Munich,-,0.0,0.0,0.0,0.2453,0.8751,0.0387,0.658,0.107,0.0,0.0849,1.1476,0.1073,-,1.9977,0.4858,0.2226,0.5051,0.1273,0.034,0.0,-,0.0715,1.0161,0.5871,-,-,-,-,-,-,-,-,0.0,8.3111
3300,Christopher Nkunku,RasenBallsport Leipzig,1.5416,0.5165,-,0.0,0.5771,0.0,0.6649,0.0416,0.0434,0.0611,0.0379,0.1809,0.1957,0.8409,0.1053,0.0,0.3479,0.0731,0.0842,0.0992,0.0,-,0.1916,0.0772,0.1313,0.0755,1.827,0.0157,0.4109,0.0256,0.0961,0.0,0.0386,0.0,8.3008
7060,Rouwen Hennings,Fortuna Duesseldorf,0.5459,0.0187,0.3906,0.0444,0.0222,0.2482,0.0,0.7358,0.3764,0.8977,1.0705,0.1158,0.4648,0.0,-,0.0,0.2707,0.1119,0.4365,0.0475,0.1169,0.1328,0.1484,0.2283,0.0,0.0,0.0,0.5647,-,0.9895,0.0,0.0657,0.1107,0.1117,8.2663
1236,Patrik Schick,RasenBallsport Leipzig,-,-,-,-,-,-,0.0,-,-,-,-,0.0,0.5349,0.0,0.5605,0.463,0.7664,0.0932,0.3729,0.6972,0.0792,0.6707,0.5408,0.6232,0.0867,0.0,-,0.1413,1.197,0.6634,0.1619,0.0859,0.286,-,8.0242
4248,Nils Petersen,Freiburg,0.0502,0.9011,0.4391,0.4411,0.3435,0.0,0.0,0.2305,0.7814,0.3705,0.0651,0.0,0.0706,0.112,0.064,0.5638,0.0429,1.0946,0.3183,0.0992,0.0,0.0,0.1478,0.341,0.137,0.0,0.036,0.0649,0.1812,0.1383,0.0591,0.3563,0.0512,0.458,7.9587
5706,Dodi Lukebakio,Hertha Berlin,0.0262,0.0,0.3431,0.225,-,0.0,0.0,0.0588,1.2302,0.1415,0.0,0.0,0.1388,0.3753,0.0857,0.0322,0.6574,0.0,1.0439,0.1063,0.0172,-,0.1031,0.0412,-,0.0,0.8459,0.0187,1.1311,0.0,-,0.0373,0.8634,0.0,7.5223
158,Bas Dost,Eintracht Frankfurt,-,-,0.5109,0.0,0.0,0.8128,-,0.4351,-,0.1805,0.1139,0.0955,-,-,0.1428,0.0661,1.1156,1.0616,0.0,-,-,0.0,-,-,0.214,0.0,0.7785,0.0,0.0,0.0468,0.6531,0.0,0.853,0.1433,7.2235
