id,name,team,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,total
755,Jamie Vardy,Leicester,0,0,1,2,0,0,2,0,1,3,1,1,1,1,1,2,0,1,0,-,-,0,0,0,0,0,0,-,2,0,0,0,2,1,1,0,0,0,23
986,Danny Ings,Southampton,0,1,0,0,0,0,1,1,1,0,0,1,1,1,1,1,0,2,0,1,1,1,0,0,0,1,0,0,0,1,0,2,0,1,0,1,1,1,22
318,Pierre-Emerick Aubameyang,Arsenal,1,1,0,1,2,1,1,0,0,0,1,0,0,2,0,1,0,0,1,1,0,1,-,-,0,1,2,0,0,0,0,2,0,1,0,0,0,2,22
618,Raheem Sterling,Manchester City,3,1,1,0,0,-,1,0,0,1,0,0,0,1,0,0,1,0,2,0,0,-,0,0,0,-,-,0,1,-,0,1,0,1,3,0,2,1,20
1250,Mohamed Salah,Liverpool,1,0,2,0,1,0,0,0,-,1,0,1,-,0,-,1,2,0,0,1,0,1,0,1,2,0,1,0,1,-,1,0,0,2,0,0,0,0,19
647,Harry Kane,Tottenham,2,0,0,1,0,1,1,0,0,1,-,0,1,0,0,2,0,0,1,1,0,-,-,-,-,-,-,-,-,0,1,1,0,0,0,2,2,1,18
838,Sadio Mané,Liverpool,0,1,0,1,2,0,0,1,0,0,1,1,1,0,1,-,0,0,1,1,0,0,0,-,-,1,1,0,1,0,1,0,1,0,0,1,0,1,18
4105,Raúl Jiménez,Wolverhampton Wanderers,0,0,1,1,0,0,0,0,1,0,1,1,1,0,0,0,0,1,1,0,0,0,2,1,0,0,1,1,0,1,1,0,0,0,1,1,0,0,17
553,Anthony Martial,Manchester United,1,1,0,-,-,-,-,-,0,1,0,0,0,0,-,1,0,0,2,1,0,1,0,0,0,1,1,0,1,0,3,0,1,0,1,1,0,0,17
556,Marcus Rashford,Manchester United,2,0,0,0,1,0,0,0,1,1,0,1,1,0,2,1,0,0,1,1,0,2,-,-,-,-,-,-,-,0,0,0,1,0,1,1,0,0,17
619,Sergio Agüero,Manchester City,1,1,2,2,1,1,0,0,-,0,1,0,0,-,-,-,-,0,0,1,-,3,2,1,0,0,0,0,0,0,-,-,-,-,-,-,-,-,16
702,Tammy Abraham,Chelsea,0,0,2,2,3,0,0,1,0,0,1,1,0,-,1,0,0,0,0,1,0,1,0,0,0,-,0,-,-,0,0,0,0,1,0,0,1,0,15
4456,Chris Wood,Burnley,0,0,0,0,0,2,1,0,1,-,-,1,1,0,0,0,1,0,0,0,1,0,1,1,0,0,-,0,1,-,-,-,0,0,0,1,1,1,14
5543,Gabriel Jesus,Manchester City,1,0,-,-,0,-,1,0,1,0,0,0,0,0,2,0,0,1,-,0,2,1,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,1,14
447,Kevin De Bruyne,Manchester City,0,0,0,1,0,1,0,-,0,1,0,0,1,1,0,0,2,0,0,1,0,0,0,0,0,1,0,-,1,0,1,1,0,0,0,-,0,2,14
6026,Richarlison,Everton,0,0,0,2,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,1,1,-,-,0,1,1,0,0,0,0,1,0,1,0,0,1,0,13
5555,Dominic Calvert-Lewin,Everton,0,0,0,0,1,-,1,0,-,1,0,0,0,0,0,2,0,0,1,2,0,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,13
750,Riyad Mahrez,Manchester City,0,0,0,0,0,1,1,0,-,-,-,-,1,0,1,0,0,1,0,0,0,2,0,0,0,-,0,0,0,2,0,0,0,1,0,0,0,1,11
453,Son Heung-Min,Tottenham,-,-,0,0,2,0,0,0,0,0,0,1,1,0,0,1,0,0,-,-,-,0,0,1,1,2,-,-,-,0,0,0,0,0,1,1,0,0,11
7696,Teemu Pukki,Norwich,1,3,1,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,-,1,1,0,0,0,0,0,0,0,0,0,0,0,0,-,0,11
3621,Neal Maupay,Brighton,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,-,0,1,0,0,1,0,0,0,0,0,1,0,0,10
3277,Alexandre Lacazette,Arsenal,-,1,0,1,-,-,-,-,0,0,0,0,2,0,1,-,-,0,0,0,0,0,0,0,0,1,-,1,0,0,0,0,1,0,1,1,0,0,10
574,Troy Deeney,Watford,0,0,-,-,-,-,-,-,-,-,-,-,0,-,0,0,0,1,0,2,0,1,0,1,0,0,0,1,0,0,0,0,0,0,2,1,0,1,10
531,Michail Antonio,West Ham,0,0,0,-,-,-,-,-,-,-,-,-,1,0,-,0,0,0,0,-,-,-,0,-,0,0,0,1,0,0,0,1,1,0,4,1,1,0,10
7490,Mason Greenwood,Manchester United,0,0,0,0,-,-,0,0,-,0,0,0,1,0,0,-,1,0,1,-,0,1,0,0,0,-,1,0,-,0,0,1,2,1,0,0,1,0,10
700,Willian,Chelsea,-,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,1,2,1,0,0,0,0,-,9
2662,Christian Pulisic,Chelsea,0,0,0,0,-,-,-,0,0,3,1,1,0,0,0,0,0,-,0,-,0,-,-,-,-,-,-,-,-,1,1,0,0,1,0,0,1,0,9
482,Roberto Firmino,Liverpool,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,9
672,Jordan Ayew,Crystal Palace,0,-,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,9
844,Jay Rodriguez,Burnley,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,-,0,1,0,0,1,0,0,0,1,-,0,1,1,0,0,0,8
502,Olivier Giroud,Chelsea,0,0,0,-,-,-,-,-,-,0,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,0,1,0,1,1,0,0,1,1,0,1,1,1,8
468,Callum Wilson,Bournemouth,0,0,0,1,2,1,1,0,0,0,0,0,0,0,0,0,-,0,0,0,0,0,0,1,0,1,0,0,1,0,0,-,-,0,0,0,0,0,8
770,Ayoze Pérez,Leicester,0,0,0,-,0,0,0,0,0,3,0,0,1,0,0,-,-,0,0,0,1,0,0,2,0,0,0,0,-,-,0,0,0,0,0,1,0,0,8
645,Dele Alli,Tottenham,-,-,-,0,-,-,-,-,1,0,1,0,0,2,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,-,0,0,-,-,-,-,-,0,8
1228,Bruno Fernandes,Manchester United,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,1,1,0,1,0,2,1,1,0,0,0,1,8
675,Jack Grealish,Aston Villa,0,0,0,0,0,0,0,1,1,0,-,-,0,1,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8
6144,Sébastien Haller,West Ham,0,-,2,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,-,0,1,0,-,-,-,-,0,0,0,0,0,7
7768,Mason Mount,Chelsea,0,1,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-,0,1,7
6854,Diogo Jota,Wolverhampton Wanderers,0,0,0,0,0,1,-,-,0,0,0,0,0,0,0,2,0,0,0,0,0,-,-,0,0,0,2,1,0,0,0,0,0,0,1,0,0,0,7
5596,Harry Wilson,Bournemouth,-,1,1,0,0,1,0,0,0,0,0,1,0,2,0,-,-,-,0,0,0,0,0,1,0,0,0,-,-,0,0,0,0,0,-,0,0,0,7
4422,Ashley Barnes,Burnley,2,1,1,0,0,0,0,0,-,0,0,1,1,0,0,-,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6
6681,Harvey Barnes,Leicester,0,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0,1,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,6
7722,Trézéguet,Aston Villa,0,0,0,0,-,0,0,0,0,0,1,1,-,0,1,0,0,0,0,-,0,0,0,0,0,0,0,-,0,0,0,0,0,0,2,0,1,0,6
7695,Todd Cantwell,Norwich,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-,0,0,0,0,6
