id,name,team,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,total
2097,Lionel Messi,Barcelona,-,-,-,-,2,1,-,2,2,4,3,2,5,1,4,3,1,0,2,1,1,7,6,3,0,1,3,6,1,1,5,5,2,6,0,1,4,3,88
2571,Sergio Canales,Real Betis,-,0,2,0,1,4,0,2,2,1,1,2,4,3,2,1,1,4,2,3,1,3,1,1,4,2,4,2,2,3,3,4,4,3,-,4,1,2,79
4034,José Campaña,Levante,3,5,4,2,4,4,0,1,3,2,5,3,0,1,-,4,3,2,2,2,0,1,2,1,0,2,2,2,1,2,2,2,1,2,2,0,1,0,73
965,Santiago Cazorla,Villarreal,1,5,1,1,4,5,4,5,0,4,1,1,6,1,-,-,-,0,1,2,3,2,0,2,2,1,3,1,1,1,2,4,1,1,1,0,0,4,71
1700,Lucas Pérez,Alaves,0,2,0,1,0,1,1,5,3,3,2,0,3,1,1,1,1,1,3,3,3,-,1,5,1,1,5,-,4,0,2,-,5,1,2,0,-,1,63
2517,Martin Odegaard,Real Sociedad,5,1,0,3,2,10,2,0,1,2,2,-,-,3,6,4,3,1,0,1,0,1,-,2,3,2,-,0,0,0,3,-,2,1,-,2,-,0,62
616,Jesús Navas,Sevilla,1,0,1,2,0,2,2,1,4,2,2,1,2,0,3,2,3,2,2,1,3,1,2,1,1,1,2,2,0,2,2,1,2,2,3,2,1,1,62
2369,Toni Kroos,Real Madrid,3,5,4,4,1,3,3,3,-,1,3,-,1,1,1,1,3,2,1,1,4,2,-,1,1,1,0,0,2,0,1,2,1,1,1,1,2,0,61
2148,Joaquín,Real Betis,0,1,2,0,0,7,2,0,3,1,0,-,1,8,3,2,3,0,1,0,2,1,0,0,5,1,3,1,2,-,-,-,1,1,3,2,4,1,61
2370,Karim Benzema,Real Madrid,2,1,1,1,2,-,1,2,1,3,1,1,2,1,6,6,1,4,0,0,0,2,2,1,0,1,2,1,4,0,2,2,0,1,4,0,1,0,59
2121,Salva Sevilla,Mallorca,3,0,0,3,1,2,2,1,1,1,4,4,-,0,3,2,1,1,4,3,-,3,1,5,3,1,-,1,0,1,1,3,0,0,1,1,2,0,59
1520,Éver Banega,Sevilla,-,2,2,3,3,1,4,2,1,1,1,2,1,2,1,3,4,2,2,1,-,3,0,1,-,-,1,0,2,1,1,2,0,3,4,2,1,-,59
2269,Koke,Atletico Madrid,0,3,0,6,4,3,1,1,3,2,0,0,2,2,2,4,1,-,-,-,-,-,3,0,4,1,4,3,2,1,3,1,-,0,1,0,0,0,57
2378,Daniel Parejo,Valencia,-,3,2,0,2,3,0,2,2,1,5,2,2,1,3,0,1,1,4,2,-,1,0,2,1,2,1,3,0,0,0,1,0,0,3,4,-,3,57
2290,Iago Aspas,Celta Vigo,0,2,1,2,0,2,1,0,2,0,2,1,1,0,1,4,2,3,2,2,3,2,3,1,0,2,-,0,1,2,1,2,3,0,2,2,3,2,57
7134,Marc Cucurella,Getafe,0,1,2,2,2,1,0,2,0,1,1,0,3,2,1,1,0,2,1,1,2,2,5,0,2,-,4,1,2,2,1,2,0,0,0,1,3,2,52
2234,Mikel Oyarzabal,Real Sociedad,0,2,1,0,2,1,0,1,3,0,3,4,1,1,1,1,3,2,0,1,1,-,1,2,1,0,0,1,2,2,1,1,3,1,5,2,1,0,51
2120,Gerard Moreno,Villarreal,1,4,2,3,4,2,1,1,3,3,0,3,2,0,2,1,0,1,0,-,-,0,1,1,0,2,3,1,1,1,1,2,1,1,1,-,0,1,50
