id,name,team,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,total
2097,Lionel Messi,Barcelona,-,-,-,-,2,1,-,6,3,6,5,5,1,3,7,1,2,4,5,9,11,10,4,6,5,3,6,3,3,4,7,7,6,4,4,3,9,4,159
2370,Karim Benzema,Real Madrid,4,5,2,7,3,-,2,3,3,5,6,5,6,2,4,6,2,7,2,1,2,2,5,3,4,3,2,0,3,2,3,2,3,3,4,3,4,1,124
3667,Nabil Fekir,Real Betis,6,3,2,1,1,-,-,1,4,1,2,5,2,9,3,-,1,3,4,-,2,4,3,-,6,5,5,1,2,3,3,7,0,-,4,5,2,2,102
2120,Gerard Moreno,Villarreal,1,5,5,2,2,1,5,3,1,5,3,1,3,7,3,3,2,2,1,-,-,1,2,3,1,1,7,2,2,1,1,3,3,1,1,-,0,5,89
866,Joselu,Alaves,3,0,2,3,1,-,4,5,6,1,3,2,2,2,1,3,2,0,2,1,4,2,2,2,1,1,5,-,4,2,2,2,4,0,5,1,3,4,87
1109,Lucas Ocampos,Sevilla,0,1,-,5,1,2,5,2,1,4,4,1,3,1,-,-,-,4,0,-,2,2,4,4,2,3,3,4,0,4,1,3,2,4,6,3,2,2,85
2290,Iago Aspas,Celta Vigo,3,4,0,1,1,3,1,6,5,1,2,1,1,4,4,2,5,4,5,1,3,4,2,1,1,1,-,0,2,1,1,3,1,0,0,2,4,4,84
2400,Raúl García,Athletic Club,2,1,1,4,3,2,3,2,3,2,2,2,4,0,5,-,2,1,0,5,2,0,-,1,2,6,2,1,1,2,0,2,6,2,-,5,1,4,81
2098,Luis Suárez,Barcelona,1,-,-,3,3,1,4,3,5,3,1,1,4,3,8,2,3,2,5,-,-,-,-,-,-,-,-,2,0,5,3,3,1,3,3,0,2,5,79
5093,Roberto Torres,Osasuna,2,2,8,5,2,0,3,4,1,4,1,2,2,3,5,2,1,2,0,2,2,3,2,0,-,3,5,-,3,2,1,1,1,0,0,3,1,1,79
4226,Darwin Machís,Granada,2,2,4,3,1,1,2,1,1,4,1,1,1,2,3,0,2,3,2,2,2,3,-,1,5,1,2,0,3,2,2,2,2,1,0,3,5,-,72
6955,Ezequiel Ávila,Osasuna,2,2,1,8,3,1,4,6,1,4,0,5,-,2,6,4,2,6,4,7,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,70
1804,Álvaro Morata,Atletico Madrid,2,3,-,-,1,0,-,3,4,3,2,2,3,5,6,2,5,4,0,1,3,0,-,1,3,1,3,0,1,4,0,1,1,2,2,1,0,0,69
7892,João Félix,Atletico Madrid,1,1,1,3,3,5,2,0,3,-,-,-,-,1,2,9,4,0,4,3,0,-,-,-,5,0,3,-,2,3,2,3,1,3,-,-,-,0,64
