id,name,team,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,total
2370,Karim Benzema,Real Madrid,1.004,0.2984,0.0643,1.2057,0.469,-,0.0831,0.7662,0.2863,1.3053,0.4735,1.7858,0.6291,0.1266,1.4981,1.3591,0.169,0.9965,0.0842,0.0712,0.0922,0.5344,0.3805,0.199,0.9111,0.4491,0.776,0.0,0.6084,0.169,0.182,0.0896,0.1847,1.4802,0.9947,0.2077,1.2617,0.0551,21.2508
2097,Lionel Messi,Barcelona,-,-,-,-,0.1473,0.0514,-,0.3878,0.7157,0.5014,2.0742,0.9767,0.0943,0.1539,0.768,0.0213,0.1202,0.3599,0.3315,0.9518,0.9552,1.4192,0.7281,0.7358,1.8758,0.4289,1.379,0.3506,0.8737,0.2096,0.3834,0.3987,0.9912,0.3669,0.2957,0.1704,0.562,1.0701,20.8497
2120,Gerard Moreno,Villarreal,0.101,1.4349,0.7728,0.4186,0.106,0.0219,0.571,0.3504,0.0586,0.9227,0.5669,0.3265,0.2213,0.514,0.9152,0.0901,0.2971,0.7125,0.0412,-,-,0.3181,0.668,0.1884,0.062,0.3875,1.3899,0.3384,0.106,0.1081,0.1068,0.4472,1.344,0.6427,0.074,-,0.0,0.685,15.3088
1804,Álvaro Morata,Atletico Madrid,1.1642,0.7031,-,-,0.063,0.0,-,0.5356,0.1942,1.075,0.7939,1.0827,0.7056,1.0665,0.3217,0.0996,0.9824,0.7647,0.0,0.0605,0.2595,0.0,-,0.2346,0.4324,0.6014,0.9831,0.0,0.2459,0.3206,0.0,0.0478,0.0392,1.4309,0.7429,0.0247,0.0,0.0,14.9757
2290,Iago Aspas,Celta Vigo,0.306,0.9389,0.0,0.0165,0.0597,0.1539,0.7433,1.2128,0.3941,0.0727,0.8449,0.0459,0.072,1.2317,0.6734,0.1478,1.1625,0.9288,0.2576,0.0379,0.12,0.3809,0.7311,0.0176,0.036,0.0469,-,0.0,0.7838,0.7433,0.7433,0.1762,0.7433,0.0,0.0,0.1111,0.6901,0.3113,14.9353
2098,Luis Suárez,Barcelona,0.3694,-,-,0.2061,0.2345,0.0916,0.5848,0.4238,0.7323,1.1658,0.076,0.0412,0.4828,0.1209,1.8834,0.4671,0.1675,0.8856,1.3899,-,-,-,-,-,-,-,-,0.1848,0.0,0.5069,0.1474,0.6836,0.0434,0.5208,0.5516,0.0,0.3161,1.6367,13.914
1109,Lucas Ocampos,Sevilla,0.0,0.139,-,0.3853,0.0702,0.2989,0.2032,0.0999,0.0254,1.0961,0.2387,0.01,0.1009,0.024,-,-,-,0.214,0.0,-,0.169,0.7557,0.4385,0.4501,1.188,0.5534,0.8676,0.843,0.0,0.2076,0.0303,1.0936,0.1074,0.7564,0.7022,0.8703,0.3412,0.1151,12.395
866,Joselu,Alaves,0.3212,0.0,1.1303,0.3993,0.0796,-,0.5843,0.2548,1.2817,0.0419,0.1088,0.17,0.2116,0.4484,0.0829,0.3008,0.6856,0.0,0.0676,0.0155,0.4058,0.8827,0.0749,0.1502,0.0918,0.0364,0.5264,-,0.1523,0.1141,0.1673,0.8981,0.2212,0.0,1.1008,0.0101,0.6808,0.1018,11.799
2361,Willian José,Real Sociedad,0.6705,0.0958,0.0,0.0,0.9658,0.4785,0.3196,0.0483,0.0987,0.0,0.443,0.0314,0.4989,1.1092,0.4498,0.5706,1.0638,0.648,0.5914,0.0,-,0.0,0.1304,0.1392,0.587,0.0,0.4336,0.1758,0.0,0.0772,0.0472,0.0,0.5949,0.0,0.4601,0.4139,0.5718,0.0,11.7144
7009,Jaime Mata,Getafe,0.0847,0.0894,0.0147,0.7433,0.0518,0.5841,0.0736,0.3299,0.0,0.376,0.0,-,0.0,0.4287,-,0.1074,0.0178,0.1814,0.3096,1.332,0.0245,1.1373,1.2888,0.1402,-,0.351,0.4117,-,0.5284,0.0,0.153,1.1253,0.075,0.0225,0.0,0.0794,0.525,0.8181,11.4046
