id,name,team,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,total
2097,Lionel Messi,Barcelona,-,-,-,-,0.1089,0.0514,-,0.5177,1.2638,2.4025,1.8067,0.4603,0.4466,0.8834,2.2471,0.5497,0.5961,0.5281,0.7687,1.0076,0.7553,2.0027,1.3245,1.401,2.8869,0.5473,1.3861,2.069,0.5181,0.3202,0.8841,0.9371,0.2554,1.9832,0.2391,0.7007,0.5888,2.4853,34.9234
2370,Karim Benzema,Real Madrid,1.3958,0.7095,0.7868,2.158,0.6174,-,0.1104,2.1213,0.2888,1.9572,1.371,1.2666,0.5397,0.6854,2.2468,0.9203,0.2085,1.2804,0.0842,0.1831,0.0606,0.701,0.9215,0.9761,0.9111,0.5133,0.1429,1.1385,1.5128,0.2003,0.5591,0.8053,0.5641,1.0224,1.2588,0.384,0.7748,0.1551,31.5329
2120,Gerard Moreno,Villarreal,0.1076,2.1799,2.0979,0.9869,0.7126,0.4229,1.1205,0.67,0.8818,1.3333,0.5669,0.1081,0.2212,0.8737,0.3109,0.1808,0.833,1.1169,0.0129,-,-,0.3181,0.1737,0.2982,0.1344,0.4747,1.6697,0.4469,0.2398,0.1081,0.5108,1.2055,0.6256,0.7112,0.3565,-,0.0,1.2631,23.2741
2095,Sergio Busquets,Barcelona,-,1.7553,0.0462,1.5423,-,0.2805,0.3198,0.8291,1.3668,1.1759,0.199,0.0944,0.0184,-,1.9839,0.6003,-,0.0312,0.6945,0.7654,0.6798,2.0068,0.5877,1.0435,1.92,0.4289,0.6679,0.6949,0.1597,0.3494,0.2334,-,0.1581,0.6961,0.2391,0.5927,0.0289,0.5561,22.746
965,Santiago Cazorla,Villarreal,0.862,0.7245,0.1702,1.0963,0.2112,0.4421,0.8298,1.0407,0.6043,1.0814,0.2677,0.3005,0.8415,0.67,-,-,-,0.5043,0.0668,0.3464,0.408,0.4617,0.6426,0.3536,0.1388,0.3875,1.5581,0.2228,0.0398,0.0,0.4041,0.9814,1.2349,0.7645,0.029,0.1519,0.2092,1.9974,20.045
2270,Antoine Griezmann,Barcelona,0.1906,1.5712,0.0422,0.6839,0.1919,0.2061,0.1868,-,1.4495,0.6707,0.2939,0.4123,0.0184,0.4483,0.9867,1.0134,0.4872,0.3741,0.1634,0.9105,0.1753,1.4151,0.5217,1.6118,1.5215,0.5776,0.3852,0.1193,0.1135,0.3202,0.1556,0.0,0.0,1.2485,0.2502,0.5146,-,-,19.2312
2098,Luis Suárez,Barcelona,0.3694,-,-,0.3257,0.0453,0.2062,0.6348,0.9365,1.3793,1.5148,0.076,0.0412,0.3247,0.5654,2.8309,0.9627,0.5207,0.2572,2.0459,-,-,-,-,-,-,-,-,0.3019,0.0,0.5121,0.2408,0.6985,0.1023,0.7959,0.7585,0.0713,0.3161,2.1552,18.9893
2260,Daniel Carvajal,Real Madrid,-,0.3219,1.0596,0.6526,0.9277,-,0.1553,0.8627,-,1.2424,1.4429,0.7435,0.4606,1.5214,0.8814,0.6444,0.5077,0.3868,0.5466,0.1933,-,0.7563,0.7069,0.3363,0.4384,0.5483,-,0.1308,0.3051,0.2571,0.5799,0.0629,0.5202,0.8559,-,0.1733,0.1647,-,18.3869
1804,Álvaro Morata,Atletico Madrid,1.6687,0.7031,-,-,0.0,0.0243,-,0.5356,0.1594,1.0958,0.7939,1.6215,1.8647,0.8444,0.2175,0.6924,2.0563,0.7186,0.1515,0.2322,0.3075,0.0,-,0.2346,0.2563,0.6014,0.2913,0.0,0.2459,0.3206,0.0,0.1069,0.0392,0.9136,0.6945,0.1093,0.098,0.6635,18.2625
2369,Toni Kroos,Real Madrid,1.223,0.7698,1.1305,0.7535,0.1625,0.2406,0.1864,1.1632,-,1.8213,1.1034,-,0.2722,0.0836,0.4585,0.7593,0.4174,1.2648,0.0,0.6171,0.0514,0.1457,-,0.6768,0.2768,0.2826,0.0,0.1697,1.0835,0.1328,0.0579,0.7548,0.3794,0.3322,0.711,0.1614,0.3921,0.0973,18.1325
2248,Casemiro,Real Madrid,1.4225,0.6151,0.9988,0.7646,0.6751,0.1713,0.1777,0.8177,0.4006,1.4399,0.1382,0.1389,0.2938,0.5382,0.977,-,0.2967,-,0.5466,1.0835,0.0798,0.2762,0.2029,0.8543,0.5047,0.0969,0.0997,0.0,0.2951,0.2684,-,1.3116,0.5399,0.5188,0.41,0.1611,0.6183,0.0153,17.7492
