id,name,team,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,total
536,Dimitri Payet,Marseille,2,5,4,3,2,3,-,-,-,-,4,5,3,5,6,2,8,5,7,1,-,7,1,5,-,3,5,1,87
3553,Ángel Di María,Paris Saint Germain,1,1,3,2,4,2,0,0,0,8,6,4,4,3,4,-,2,5,2,4,1,3,7,2,3,5,1,-,77
7773,Zinedine Ferhat,Nimes,2,0,4,2,1,0,3,5,3,-,-,0,2,2,1,0,5,5,0,0,1,6,0,2,2,2,3,0,51
6264,Mathieu Dossevi,Toulouse,3,6,0,3,0,1,0,3,2,4,2,2,1,3,1,2,2,0,1,2,3,4,2,-,2,0,1,-,50
3490,Thomas Mangani,Angers,1,3,2,1,1,2,-,2,2,8,4,0,3,4,2,1,3,0,2,6,1,0,-,1,0,-,-,0,49
2897,Aleksandr Golovin,Monaco,-,2,1,4,1,1,4,0,4,-,2,3,4,2,1,3,1,4,2,1,1,1,0,0,2,-,3,0,47
3210,Wissam Ben Yedder,Monaco,-,2,4,0,0,-,1,0,0,0,0,1,1,1,5,2,1,2,5,2,2,1,0,3,7,1,2,2,45
3244,Nicolas de Preville,Bordeaux,2,1,2,5,0,-,-,1,4,-,3,1,1,4,2,0,0,6,2,0,0,3,4,0,1,3,0,-,45
8023,Mounir Chouiar,Dijon,-,-,-,-,0,3,3,-,2,0,0,3,5,1,3,8,2,0,4,6,1,-,0,2,1,0,-,-,44
5677,Florent Mollet,Montpellier,-,-,4,2,4,0,1,1,4,2,1,3,-,0,0,3,1,4,2,1,1,0,1,1,4,0,2,1,43
8026,Raphinha,Rennes,-,-,-,-,2,1,0,3,2,-,4,3,2,2,2,3,3,2,0,0,6,2,0,-,0,3,3,0,43
3343,Ryad Boudebouz,Saint-Etienne,3,7,2,1,1,0,2,-,2,0,1,1,3,1,3,1,1,3,0,0,-,-,-,5,2,0,0,3,42
6883,Xavier Chavalerin,Reims,0,4,2,2,2,3,3,3,1,1,0,1,-,0,4,1,1,1,0,-,2,5,3,1,0,1,-,-,41
3423,Kylian Mbappe-Lottin,Paris Saint Germain,2,0,1,-,-,-,-,2,-,2,2,3,-,1,1,3,1,3,1,2,1,2,2,0,-,6,5,-,40
3549,Adrien Thomasson,Strasbourg,1,0,-,0,0,0,-,0,3,1,2,2,2,6,3,2,3,0,1,0,1,0,3,1,0,4,4,-,39
3530,Andy Delort,Montpellier,5,0,0,0,2,0,2,0,0,-,3,1,2,1,3,1,0,0,2,2,5,0,4,0,-,1,2,2,38
2099,Neymar,Paris Saint Germain,-,-,-,-,1,3,2,2,1,-,-,-,-,0,1,2,3,4,4,5,3,4,-,-,-,3,-,-,38
3749,Jonathan Bamba,Lille,3,2,2,1,2,4,-,2,1,3,0,0,0,-,0,0,3,1,3,1,0,1,1,2,1,1,1,2,37
4768,Wylan Cyprien,Nice,5,1,1,1,2,0,1,3,1,1,-,3,1,5,0,0,1,3,3,2,3,-,-,-,-,-,-,-,37
7760,Abdoul Kader Bamba,Nantes,0,0,5,2,1,0,1,0,1,0,2,0,0,0,1,4,4,1,-,0,0,1,3,2,2,2,3,2,37
3695,Adama Traoré,Metz,-,-,-,-,2,2,3,2,-,2,2,4,1,2,2,9,3,0,-,2,-,-,-,-,-,-,-,0,36
7278,Imran Louza,Nantes,-,1,0,0,0,2,-,0,0,-,-,2,2,1,9,0,2,3,0,1,1,1,3,1,1,3,0,2,35
7169,Moses Simon,Nantes,-,-,1,5,1,1,1,0,2,0,1,0,0,4,3,1,2,1,0,1,1,0,1,0,3,1,1,4,35
5228,Renato Sanches,Lille,-,-,-,0,0,3,2,-,-,-,-,-,-,2,2,3,2,0,0,1,1,2,1,2,3,2,6,3,35
3239,Hamari Traore,Rennes,1,1,1,0,4,2,1,0,0,1,0,4,1,2,0,1,1,2,0,0,-,1,0,2,0,5,1,3,34
5619,Pierre Lees-Melou,Nice,-,1,1,0,0,2,1,0,1,1,-,1,0,1,3,2,2,1,3,1,2,1,2,0,1,2,3,1,33
5978,Dmitri Lienard,Strasbourg,5,0,-,3,0,2,0,0,2,-,2,2,2,-,0,1,4,0,0,-,-,3,1,1,0,2,3,-,33
5622,Júlio Tavares,Dijon,3,0,-,-,-,1,1,3,3,1,1,1,3,1,0,-,-,1,3,1,0,2,2,3,1,0,2,0,33
3673,Valentin Rongier,Marseille,-,4,-,-,0,0,1,2,1,0,2,1,1,1,3,2,2,1,2,2,1,1,1,-,0,3,0,1,32
3243,Gaëtan Charbonnier,Brest,2,1,2,2,0,0,2,0,2,0,5,-,1,2,1,4,0,0,-,1,1,2,0,1,1,0,2,0,32
1682,Islam Slimani,Monaco,-,-,2,4,1,-,2,6,2,3,0,-,3,1,-,-,0,0,0,-,-,-,-,0,3,2,3,0,32
3696,Morgan Sanson,Marseille,1,0,0,2,1,3,1,1,0,-,0,0,3,0,4,2,3,1,1,0,0,0,2,1,2,0,1,2,31
5661,Jonathan Ikone,Lille,0,1,4,1,1,0,0,1,1,0,1,0,0,0,3,1,1,2,1,2,0,1,3,1,1,1,3,1,31
5975,Kenny Lala,Strasbourg,1,0,1,2,1,4,-,2,0,1,0,1,1,0,0,-,2,2,0,1,1,1,4,1,0,2,1,-,29
7224,Boulaye Dia,Reims,1,0,0,2,2,1,1,2,3,1,0,2,-,2,0,1,0,-,1,1,-,0,2,2,3,1,1,-,29
4828,Mathias Autret,Brest,2,1,2,1,1,0,2,0,0,3,-,1,1,2,1,1,0,3,-,-,0,4,4,0,-,0,0,-,29
6863,Téji Savanier,Montpellier,-,-,-,-,-,-,-,-,-,2,1,2,0,3,5,1,1,1,2,1,0,2,0,2,0,0,3,2,28
3278,Maxwel Cornet,Lyon,1,-,0,0,1,-,2,0,-,4,1,0,2,0,2,2,-,0,1,3,2,2,1,-,1,3,-,0,28
2549,Gaël Kakuta,Amiens,-,1,0,1,0,2,1,0,2,1,0,2,5,0,1,2,1,-,-,-,0,1,1,1,2,0,2,1,27
7012,Gelson Martins,Monaco,1,2,2,2,1,0,3,2,3,-,1,0,3,0,0,4,0,0,1,1,1,0,-,-,-,-,-,-,27
4773,Benjamin Bourigeaud,Rennes,-,1,2,5,0,0,0,1,1,1,1,2,-,1,1,0,0,2,1,1,-,0,0,2,0,3,2,0,27
7729,Julien Faussurier,Brest,2,0,1,0,2,1,3,2,0,0,1,-,2,0,1,0,0,1,2,2,2,2,3,-,-,-,-,-,27
4403,Mehdi Abeid,Nantes,-,0,3,0,3,1,1,3,2,2,3,1,-,-,0,0,0,1,1,0,1,0,1,3,0,0,0,1,27
3552,Marco Verratti,Paris Saint Germain,2,0,1,2,2,0,-,4,1,-,1,-,0,-,-,-,0,3,1,1,3,0,2,2,0,2,-,-,27
5722,Ibrahim Sangare,Toulouse,0,2,0,-,2,1,0,0,1,1,1,-,0,1,1,1,3,2,0,1,3,0,1,0,3,0,2,-,26
