id,name,team,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,total
3423,Kylian Mbappe-Lottin,Paris Saint Germain,1.1197,0.1565,1.3231,-,-,-,-,0.823,-,0.3218,1.6023,0.3702,-,0.2362,0.8113,0.1431,0.6649,1.167,0.5767,0.9428,1.0845,0.8066,0.9621,0.7553,-,1.014,1.691,-,16.5721
5322,Victor Osimhen,Lille,0.411,0.0201,0.826,0.5187,1.0063,0.1767,2.3861,0.623,0.8355,0.1387,0.069,0.0768,0.595,-,1.0342,0.5542,0.6198,0.7918,0.4498,0.2067,0.1455,1.2116,0.479,1.0665,0.4868,0.2879,0.1868,0.6103,15.8138
3210,Wissam Ben Yedder,Monaco,-,0.1819,1.1458,0.3504,2.0279,-,0.7162,0.6455,0.1507,0.5082,0.6839,0.1723,0.0545,0.6078,0.9471,1.1628,0.0966,2.084,0.197,0.0356,0.0416,0.5301,0.0501,0.5966,0.2133,0.0713,0.981,0.6328,14.885
2099,Neymar,Paris Saint Germain,-,-,-,-,0.3742,0.6705,0.0578,1.4936,1.5201,-,-,-,-,0.0,1.0781,0.2265,1.7465,1.3421,1.7845,2.0345,0.8289,0.5765,-,-,-,0.9914,-,-,14.7252
3530,Andy Delort,Montpellier,1.1193,0.3988,1.4491,0.5297,0.9665,0.1043,0.1466,0.1948,0.8323,-,0.098,0.3212,0.0189,0.0277,0.1352,0.9608,0.2967,0.976,0.3854,0.1503,0.541,0.0175,0.0,0.235,-,0.4495,1.175,0.2906,11.8202
1513,Mauro Icardi,Paris Saint Germain,-,-,-,-,0.1728,-,-,-,0.8854,1.0739,1.7343,1.8121,0.6837,0.7288,0.0,0.1067,0.6945,1.1322,0.0,0.083,0.0189,0.0331,1.1985,0.0,0.7893,0.0,0.3095,-,11.4567
7142,Moussa Dembele,Lyon,0.4528,0.1183,0.012,-,0.948,0.0955,0.4359,0.0301,0.0425,0.685,0.9889,0.2175,0.5976,0.8406,0.0504,0.1056,0.0476,0.0223,0.7601,0.9214,0.6507,0.0,0.0,0.5973,0.0,0.9865,1.6553,0.1381,11.4
7716,Darío Benedetto,Marseille,0.0,0.7601,0.3252,0.5854,1.3,0.0629,0.1098,0.2732,0.1123,0.1365,0.1424,0.1271,0.0447,1.1602,0.8264,0.1965,-,0.2374,0.8855,0.0384,0.0738,0.0738,0.0343,-,0.5901,0.0211,1.6385,0.0287,9.7843
1682,Islam Slimani,Monaco,-,-,0.2834,2.4402,0.145,-,0.4335,2.0366,0.1636,0.8831,0.0183,-,0.6427,0.3396,-,-,0.1665,0.0,0.6044,-,-,-,-,0.0436,0.2489,1.1103,0.1935,0.0,9.7532
3781,Denis Bouanga,Saint-Etienne,0.0714,0.8711,0.3421,0.1063,0.0637,0.3336,0.1601,0.1445,0.1916,0.8092,0.0353,0.8928,0.49,0.176,0.1328,1.4268,0.0,0.4041,-,-,0.0806,0.3702,0.1181,0.2789,1.1619,0.5051,0.1959,0.3128,9.6749
