id,name,team,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,total
2897,Aleksandr Golovin,Monaco,-,0.2947,0.5466,1.2018,0.0,0.0,0.3504,0.0,0.072,-,0.0516,0.1671,0.1043,0.7298,0.067,0.189,0.0112,1.1408,0.484,0.1999,0.0,0.3879,0.1302,0.0,0.1856,-,0.3362,0.0492,6.6993
3223,Benjamin André,Lille,0.39,0.0919,0.9577,0.0297,0.0813,0.1283,0.1041,0.136,0.889,-,0.1153,0.0768,0.1496,0.0417,0.0585,0.5025,0.2715,0.0628,0.4009,0.032,0.0272,0.0552,0.504,0.2788,-,0.4207,0.1589,0.3632,6.3276
536,Dimitri Payet,Marseille,0.013,0.1546,0.1252,0.1335,0.348,0.0505,-,-,-,-,0.2095,0.0719,0.1025,1.0529,1.4994,0.2861,0.0119,0.7995,0.1057,0.0199,-,0.0436,0.2898,0.0184,-,0.0,0.8018,0.0,6.1377
6872,Mehmet Zeki Çelik,Lille,0.3624,0.019,0.3373,0.1107,-,0.1803,0.5924,-,0.3769,-,0.0822,0.0,0.1889,0.0556,-,0.5096,0.6023,0.0867,0.0492,-,0.0853,0.0552,0.5462,0.0,0.9037,0.1682,0.5288,0.2245,6.0654
3429,Tiemoué Bakayoko,Monaco,-,-,-,-,0.1186,0.0,0.0531,1.4884,0.072,0.0974,0.8224,-,-,0.3259,1.0752,0.398,0.1036,0.568,0.0339,0.0505,0.0279,0.0,-,-,0.1971,0.1039,0.0884,0.3805,6.0048
6011,Thiago Mendes,Lyon,0.1592,0.555,0.4587,0.0918,-,0.141,0.1322,0.2979,0.0,0.1798,0.2449,0.4582,0.6509,0.1136,-,0.1491,0.218,-,0.1092,0.6003,0.0956,0.3434,0.2306,0.0949,0.6445,-,-,-,5.9688
2387,Danilo,Nice,-,-,-,-,-,-,-,0.0,0.0,0.0887,0.0,0.0,0.9881,-,-,-,-,-,0.0,0.116,1.0639,0.7097,0.7254,0.0,0.6632,0.656,0.0945,0.6848,5.7903
4768,Wylan Cyprien,Nice,0.1259,0.0806,0.5549,0.089,0.7977,0.648,0.1294,0.0429,0.0229,0.0606,-,0.0,0.5999,0.0113,0.4402,0.4068,0.3594,0.0706,0.2707,0.1376,0.8862,-,-,-,-,-,-,-,5.7346
5733,Houssem Aouar,Lyon,0.1627,0.555,0.1218,0.0,0.4444,0.03,-,0.167,0.0914,0.2173,0.1813,0.4768,0.1162,-,-,0.0323,0.2535,0.0714,0.0511,0.9795,0.0483,0.3487,0.0145,0.5973,0.0,0.0,0.1174,0.5916,5.6695
1800,Kamil Glik,Monaco,0.3288,0.3148,0.2449,0.0586,0.2244,0.0,-,1.3988,0.0506,0.0424,0.0516,0.3995,0.6328,-,0.0203,0.7178,0.0772,0.0,0.0,0.1882,0.0,-,0.1059,-,0.0771,-,0.2022,0.525,5.6609
