id,name,team,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,total
2774,Sardar Azmoun,Zenit St. Petersburg,0.0822,0.288,1.0073,0.5315,1.1849,1.5616,0.7051,0.2337,1.1931,-,0.0,1.3214,1.5367,1.4743,0.513,1.1904,1.0333,0.2062,1.017,0.1546,0.1461,2.8967,0.3061,0.1729,0.8722,0.6744,0.5932,-,1.6774,0.8617,23.435
3063,Artem Dzyuba,Zenit St. Petersburg,0.7777,1.4054,0.4621,1.4032,0.9835,0.6834,0.3594,0.5197,0.0838,1.6411,0.2409,0.1383,0.8539,0.9998,0.947,0.5352,0.38,0.5724,0.6367,-,0.4794,2.4887,1.1885,0.207,0.8371,0.6584,0.3873,-,0.6777,0.1607,20.7083
2968,Magomed Ozdoev,Zenit St. Petersburg,0.4348,1.4269,0.6466,0.8781,0.45,0.5536,0.259,0.3635,-,1.3019,0.0583,1.1183,0.7008,1.2009,0.5253,1.142,0.6876,0.0,-,0.1048,0.1572,1.5273,0.3632,0.554,1.0202,0.0,-,0.4593,0.3701,-,16.3037
6276,Nikola Vlasic,CSKA Moscow,0.5113,0.265,0.2913,0.5332,0.2979,0.7028,0.9107,0.5768,0.1162,0.3858,0.7747,0.4016,0.6879,0.376,0.523,0.5519,0.895,0.3369,0.215,0.6706,0.0724,0.7247,0.3995,0.1188,0.611,0.8037,1.1031,0.7131,0.6144,0.7702,15.9545
5954,Eldor Shomurodov,FC Rostov,0.4438,1.5373,0.828,1.175,0.5183,0.0324,0.7724,1.2468,0.237,1.019,0.1078,1.0487,0.069,0.2079,0.1325,0.4731,0.4587,0.0,2.297,1.0046,0.6791,0.2895,-,0.2978,0.1034,-,0.2,0.0116,0.1827,0.3005,15.6739
5454,Fedor Chalov,CSKA Moscow,0.2346,0.543,0.2491,0.5425,0.2504,1.0644,1.6395,0.8067,0.4691,0.23,0.4842,0.1029,0.6039,0.2237,0.4713,0.7872,0.3326,0.3862,0.1225,0.4018,0.0,0.7906,0.7328,0.1069,0.2164,1.142,1.0101,0.5537,0.1096,0.5216,15.1293
2711,Aleksey Miranchuk,Lokomotiv Moscow,1.1286,0.6389,0.1305,1.155,2.2363,0.7925,0.0,0.0541,-,-,-,0.208,0.2765,0.3546,0.1839,0.117,0.5885,0.4062,0.7287,0.4173,0.7415,0.4819,0.9697,0.8572,1.1658,0.2603,0.1562,0.5667,0.1379,0.2839,15.0377
2751,Aleksey Ionov,FC Rostov,0.4737,1.3783,0.5507,0.2002,0.647,0.5685,0.5004,0.3595,0.216,1.2004,0.2852,0.8604,0.051,0.5121,0.6079,0.5829,0.7787,0.0943,1.7407,-,-,-,-,1.0167,0.1149,0.1303,0.6428,0.2004,0.5125,-,14.2255
2414,Grzegorz Krychowiak,Lokomotiv Moscow,0.4385,0.5268,0.0985,1.9654,1.5535,0.775,0.2738,0.5342,0.7004,0.6422,0.2526,-,-,0.0923,0.1459,0.02,0.1536,0.4396,0.7015,0.0407,0.6154,0.989,0.7386,0.1032,0.9614,0.2342,-,0.5448,0.1575,-,13.6986
5924,Sebastián Driussi,Zenit St. Petersburg,1.0098,1.7395,0.0796,0.0339,0.3037,-,-,-,0.9516,0.3054,0.0179,0.3173,0.8694,0.4501,0.3326,1.2547,0.7079,0.0502,-,0.2951,0.1207,0.9834,0.1134,0.0,-,0.0,0.2709,0.3396,1.0018,0.8693,12.4178
2450,Wanderson,FC Krasnodar,0.3819,0.353,1.5281,-,0.9305,0.7188,0.6675,0.4527,0.2902,0.2284,-,-,-,-,-,-,0.201,0.7867,0.264,0.5996,0.3057,0.2116,-,1.6125,0.2429,0.1428,1.2045,0.1597,-,0.3506,11.6327
5286,Douglas Santos,Zenit St. Petersburg,0.0885,1.0277,0.1651,0.5618,0.4623,0.9243,0.4099,0.121,0.0816,0.3472,0.1669,0.2301,0.1867,0.7565,0.7774,1.0985,0.2008,0.2056,1.0804,0.0864,0.2946,0.85,0.2608,0.4629,0.0513,0.0354,0.0731,0.3396,-,-,11.3464
7121,Djorde Despotovic,FC Orenburg,0.1584,0.4656,0.7165,0.2575,0.2728,0.6906,0.7448,0.7586,1.1502,1.5361,0.0769,0.0383,0.2164,1.5844,-,0.2648,0.1015,-,0.1222,1.2771,0.303,0.5768,-,-,-,-,-,-,-,-,11.3125
7680,Andrey Mostovoy,PFC Sochi,-,-,0.4202,0.0581,0.5309,0.1089,0.1098,0.2166,0.3024,0.0835,0.9767,0.0378,0.2255,0.703,0.3348,0.1416,0.4446,0.809,1.1049,0.47,0.3254,0.574,2.5244,0.5422,0.0094,0.1311,-,0.0,-,-,11.1848
2057,Ezequiel Ponce,Spartak Moscow,0.026,0.3337,0.0413,0.0,-,-,-,0.0192,0.0543,0.9564,0.861,0.022,0.2621,0.9683,0.0116,1.8634,0.4406,0.2191,1.426,1.2765,0.2873,0.1786,0.3044,0.0901,0.0888,0.0,0.1916,0.4347,0.1937,0.549,11.0997
2884,Roman Eremenko,FC Rostov,0.3725,1.4038,0.5464,1.6253,0.1585,0.0232,0.8143,0.5179,1.1035,1.0738,0.4571,-,0.1763,1.1577,0.0467,-,-,-,-,0.1668,0.5603,0.3013,-,-,-,0.0143,-,-,-,0.1284,10.6481
2896,Mario Fernandes,CSKA Moscow,0.4237,0.5947,0.1518,0.1367,0.0938,0.6442,1.1466,0.802,0.2511,0.1974,0.8139,0.4067,0.4514,0.0,0.0806,0.3849,0.1843,0.1711,0.1216,0.4894,0.0,0.1835,0.3623,0.1117,0.4148,-,0.7375,0.6267,0.1972,0.1156,10.2952
7668,Marcus Berg,FC Krasnodar,-,-,0.5201,-,0.1731,0.1683,0.1258,-,-,0.3558,0.2805,0.5673,0.1027,0.0461,0.6092,1.173,0.0,0.1228,0.0,0.5977,0.3752,0.493,-,0.4609,0.0701,-,1.8757,0.1693,0.1072,1.7836,10.1774
3131,Zelimkhan Bakaev,Spartak Moscow,0.0729,0.5153,0.2668,0.0696,0.4579,0.1499,0.1725,0.2384,0.2111,1.0376,1.1283,-,0.323,1.3704,-,1.3603,0.5196,0.0931,0.3635,0.5603,0.1329,0.0892,0.21,0.1362,0.0929,0.0146,0.1323,-,0.2844,0.0,10.003
7770,Jordan Larsson,Spartak Moscow,-,-,-,-,0.1155,0.1999,1.0089,0.0575,0.0213,0.5946,0.1011,0.3761,0.2,0.8129,1.2693,0.6278,0.3422,0.4615,1.1848,0.6156,0.2421,0.2141,0.2752,0.3937,0.0,0.2816,0.1759,0.0248,0.1552,0.1808,9.9324
