id,name,team,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,total
2371,Cristiano Ronaldo,Juventus,1.0731,0.2428,0.1815,1.2279,-,0.6789,0.4111,0.3804,-,1.3187,0.3222,0.0237,-,1.3581,0.6595,0.862,0.3166,2.106,1.0028,0.9308,0.3833,1.6552,0.7265,-,1.0662,0.4203,1.1771,1.71,0.1319,0.332,0.4007,1.6661,1.23,3.2713,0.2503,1.5899,0.325,-,29.4319
1209,Ciro Immobile,Lazio,1.0378,0.617,0.7613,0.2374,0.1258,0.4879,0.1478,1.9299,0.0336,0.8732,0.4952,1.0776,0.2978,1.5425,1.4429,0.7918,0.9725,0.9891,2.8349,0.0369,0.6919,0.6019,0.302,1.1902,0.2038,0.499,0.4321,0.8994,0.3169,-,0.4961,0.1989,0.1277,0.855,0.883,1.6346,1.6347,0.4083,28.1084
1253,Edin Dzeko,Roma,0.7866,0.0,1.268,0.8194,0.3591,0.8306,0.5898,0.0664,0.3149,0.6662,0.0,0.1166,1.1746,0.0,0.0,0.1671,1.0794,0.1754,0.1543,2.3977,1.3355,1.6648,0.8161,0.0778,2.268,-,1.2116,0.4549,0.0,0.0956,0.2614,0.6491,0.4656,0.0,-,0.4614,0.4226,-,21.1505
594,Romelu Lukaku,Inter,0.5216,1.3475,0.0,1.2936,0.2467,0.1179,0.1268,1.368,0.7653,0.1817,1.6375,0.5669,0.4173,0.107,0.7421,0.5623,1.0314,0.269,0.0277,0.0843,0.4467,1.326,0.2219,0.2828,0.0,1.1746,1.0027,0.3835,0.1176,0.8905,0.0997,-,-,0.8185,1.1995,1.1951,0.1292,0.0913,20.7942
1186,Andrea Belotti,Torino,0.3059,0.0702,1.0127,0.0,0.9312,0.8022,0.0764,0.213,0.3395,0.4835,0.0401,1.9413,0.0,-,-,0.0712,0.1995,1.2669,0.1703,0.4524,0.2315,0.3673,0.1129,0.0119,0.0436,0.9228,0.9311,0.4667,0.7895,0.8292,0.9401,1.1516,0.1035,0.1283,0.6934,0.5723,0.0,0.1562,16.8282
1148,Duván Zapata,Atalanta,0.0908,0.6767,0.6303,0.3177,0.7769,0.5319,0.43,-,-,-,-,-,-,-,-,-,-,0.0,0.0969,0.7748,0.9968,0.1515,0.9909,0.0,1.632,1.7557,0.9186,0.3636,0.2264,0.1475,0.3211,0.2922,0.5506,0.7861,0.4445,1.0868,0.4031,0.4397,15.8331
7006,Lautaro Martínez,Inter,0.8717,0.1198,0.167,0.4559,0.3961,0.5812,0.8899,1.4595,0.5678,0.2079,0.2103,0.3573,0.3494,0.9797,0.5537,0.3613,-,0.8558,0.4388,0.8267,0.79,-,-,0.0,0.1347,0.5614,0.1609,0.3286,0.9473,1.1097,0.0753,0.2498,0.0226,0.0109,0.3502,0.1009,0.0193,0.2092,15.7206
7973,Marco Mancosu,Lecce,0.0149,0.164,0.5172,0.8192,1.5226,0.2999,0.0613,0.1299,0.8007,0.0,0.0832,0.4747,-,-,-,-,0.102,0.2983,0.236,0.5361,0.0,-,0.0375,0.8948,0.2317,0.0,0.8775,0.0739,0.8915,0.7613,1.3398,0.1099,0.0,0.8025,0.6074,1.4197,0.8608,0.5522,15.5205
6980,Francesco Caputo,Sassuolo,0.4487,0.146,0.3499,0.6474,0.2089,-,0.0911,0.0554,0.0,-,1.1812,0.9312,0.0477,0.2044,0.1693,0.1538,0.0,0.0857,0.0334,0.276,0.0449,1.1227,1.0059,0.4544,1.2404,0.6044,0.3428,0.2049,0.0,0.3131,0.0789,0.4616,1.0723,0.252,0.7613,0.0,1.1658,0.1596,14.3151
1592,João Pedro,Cagliari,0.4391,0.3013,0.0,0.5536,0.0,0.0363,0.8643,0.0,0.1082,0.2655,0.443,0.6666,0.7613,0.3041,0.4857,0.5372,0.1553,0.1783,0.0832,1.723,0.0,0.9285,0.7643,0.0,1.3008,-,0.3055,0.9145,0.1174,0.1092,0.0654,0.127,0.0606,0.3667,0.0824,0.4355,0.1037,-,13.5875
