id,name,team,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,total
2447,Fabián,Napoli,0.7147,0.1256,0.7452,0.7164,-,0.985,0.3516,0.2365,0.1441,0.3125,0.5591,0.3928,-,0.3789,0.48,0.943,0.1131,0.3299,0.2979,0.1279,0.3369,-,-,0.3342,0.2176,0.7332,0.4796,0.7222,0.231,1.131,0.6778,0.7448,0.0357,0.4073,0.0879,0.5719,-,0.8717,15.537
1491,Alejandro Gomez,Atalanta,0.4227,0.1035,0.7517,0.0345,0.8955,0.5158,0.4972,0.8951,0.6427,0.1542,0.0,0.0615,0.0923,1.1752,0.0,-,0.5269,0.6521,0.0746,0.6022,0.6193,0.1982,0.4692,0.0266,2.2772,1.0955,0.1905,0.3832,0.0138,0.2076,0.1216,0.2514,-,0.1179,0.2216,0.105,0.2522,0.7642,15.4127
1710,Marten de Roon,Atalanta,0.7972,0.5536,0.0,0.3289,0.2157,-,1.509,0.5061,1.3636,0.065,-,0.1133,0.0443,0.7899,0.0686,0.3117,1.1082,0.3453,0.0664,0.0591,0.0266,0.2141,-,0.044,2.3618,0.5915,0.3253,0.0,0.0138,0.7525,0.0159,0.2251,1.4677,0.0,0.2249,0.0,0.1086,0.5129,15.1306
1386,Piotr Zielinski,Napoli,0.7013,0.075,0.9417,0.5327,0.3028,0.559,0.097,0.0679,0.181,0.3576,0.6105,0.1131,0.1325,0.5081,0.6246,0.4826,0.9384,0.9329,0.0552,0.2606,0.0526,0.1617,0.7988,0.1402,0.0,1.1707,0.0,-,0.0846,0.8345,0.0,0.7699,0.0,0.2789,0.1487,1.0968,0.5488,0.3143,14.875
621,Aleksandar Kolarov,Roma,0.7977,0.0629,0.9948,0.3021,1.2293,0.0215,0.5555,0.0183,0.0711,0.5359,0.4177,0.1735,0.1273,0.3021,0.0395,0.5406,0.0419,0.1088,0.1688,-,0.4567,-,0.1767,-,1.1294,0.529,0.8751,-,0.0554,-,1.7141,1.349,0.0,0.0,0.5486,0.1849,0.4714,-,13.9996
1511,Marcelo Brozovic,Inter,0.7035,0.7537,0.2743,0.5677,0.2571,0.1181,0.4681,0.7435,1.0393,0.2338,0.2755,0.8285,0.2516,0.3912,0.5537,0.2625,-,0.0833,0.5931,0.6523,-,0.2633,0.1466,0.1635,0.0895,-,-,-,-,0.3241,0.0415,0.1628,1.0037,0.5879,0.2052,1.1007,0.2802,0.1522,13.572
1089,Juan Cuadrado,Juventus,0.0,-,0.0,0.5127,0.2247,0.7987,0.5289,0.3835,0.5819,0.7796,0.3171,0.7065,0.2685,0.6534,1.2372,-,-,0.3227,0.0,0.3665,0.4313,0.2716,0.627,1.1147,0.068,0.3632,0.499,0.6363,0.418,0.3043,0.088,0.168,-,0.4076,0.0493,0.0,0.3698,-,13.498
6981,Ismael Bennacer,AC Milan,0.0,0.023,-,-,0.3987,0.2757,-,-,0.0,0.6903,0.1882,0.2252,-,0.5303,0.7048,0.4376,0.1002,0.1704,0.0935,0.6676,0.7408,-,0.1304,0.31,0.3375,0.3078,0.4461,0.1419,0.2027,0.5886,0.3331,0.5037,0.3144,0.4475,1.3334,-,1.9163,0.9252,13.4849
1489,Franck Kessié,AC Milan,0.0584,0.1402,0.2888,0.3428,0.3987,0.0553,0.0,0.2817,0.0785,0.4976,-,-,0.0195,0.4155,0.7835,0.0462,0.0826,-,0.0,0.7751,0.7216,0.1515,0.2513,0.0,0.382,0.5949,0.4145,0.0489,0.4898,0.6124,0.4213,0.3987,0.6925,0.8088,0.5664,0.0697,1.7681,0.6532,13.31
2547,Theo Hernández,AC Milan,-,-,-,0.2586,0.5592,0.1803,0.0226,0.4764,0.1136,0.4555,0.0625,0.2306,0.3502,0.5049,0.1399,0.1618,-,0.1102,0.0653,0.6909,0.8031,0.8954,0.6621,0.3551,0.3836,0.5913,0.4701,0.121,0.1687,1.0997,0.4181,0.0,0.3826,0.4578,0.0,-,1.3974,0.5778,13.1663
677,Jordan Veretout,Roma,-,-,0.9847,0.8262,1.256,0.6137,0.198,0.1597,0.0124,0.2369,0.2127,0.1691,0.7336,0.8543,0.0395,0.5571,0.0233,0.0596,0.1244,0.6734,0.1346,0.1413,0.6604,0.0,0.5823,0.0,0.9532,0.0117,-,0.105,0.7058,1.3135,0.1791,0.0,-,0.1857,0.3144,-,13.0216
1488,Remo Freuler,Atalanta,0.1168,-,0.0689,-,0.5624,0.043,1.8814,1.0233,-,0.627,0.071,-,0.0244,0.2101,0.0229,0.0,0.0,0.526,-,0.0,1.3424,0.1112,0.1623,0.1196,2.3126,0.1196,0.5867,0.498,0.4192,-,0.0444,0.1994,-,0.1297,0.6586,0.4874,0.1713,0.0728,12.6124
1484,Rafael Toloi,Atalanta,0.0,0.5616,0.1473,-,0.2679,0.5449,0.9883,0.7739,2.0048,0.1809,0.0741,0.0,0.0,-,0.4151,0.3632,0.6572,0.464,0.14,1.5437,0.2048,0.0595,0.8322,0.5024,-,0.0,0.3586,0.3832,0.0138,0.0,0.398,0.1131,-,0.3183,0.1721,0.0,-,0.0728,12.5557
6978,Giovanni Di Lorenzo,Napoli,0.0594,0.1196,0.5879,-,0.3417,0.5194,0.1869,0.1018,0.5141,0.0203,0.4951,0.3868,0.0549,0.6312,0.4984,1.015,0.8958,0.0417,0.0689,0.2267,0.3513,0.0,0.6808,0.2804,0.2542,0.2427,0.0,-,0.1962,0.8175,-,0.6519,0.1361,-,0.3194,0.7029,-,0.8928,12.2918
1290,Miralem Pjanic,Juventus,0.9411,0.2562,0.0,0.0591,0.7469,1.283,0.5568,1.2334,1.007,-,0.1427,0.7034,0.2617,0.6715,0.6856,-,0.2855,0.3295,0.0,0.5399,0.0148,0.1422,0.319,0.1028,-,-,0.0656,0.0357,0.2733,0.2557,0.1415,-,0.5518,-,-,0.2204,0.2295,-,12.0556
4941,Hans Hateboer,Atalanta,0.3997,0.4727,0.5948,-,0.55,0.0,-,0.9688,0.8593,0.6236,0.1196,0.0161,0.02,0.3996,0.2183,0.0208,0.0,0.5247,0.0975,-,0.279,0.1865,-,0.0911,1.9135,0.6863,0.8487,0.0,0.0,0.5482,0.4268,0.165,-,0.2736,-,0.144,0.1407,0.4168,12.0057
1393,Lorenzo Insigne,Napoli,0.0827,0.0129,0.543,0.1609,0.3633,-,0.0,0.1474,0.5307,0.3561,0.0,0.0638,0.4258,0.5821,0.0,0.096,1.0821,0.0661,0.0552,0.2786,0.2746,0.496,2.1093,0.149,0.3581,0.2843,0.0534,0.2692,0.0694,0.7225,0.2373,0.0932,0.0357,0.1007,0.3599,0.8519,0.2824,0.3301,11.9237
1134,Mario Pasalic,Atalanta,0.0252,0.3388,0.0796,0.0804,0.0,0.5449,-,0.1185,0.9511,0.1589,0.141,0.1326,0.0838,0.7221,0.1186,0.7009,1.2669,-,0.0427,0.9281,0.0,0.0835,0.6519,0.0,2.324,0.0199,-,0.3636,0.0,0.554,0.1421,0.0212,1.0075,0.108,0.1,0.0,0.0832,0.0,11.893
1287,Leonardo Bonucci,Juventus,0.471,0.6291,0.0,0.1329,0.46,0.0777,0.4533,0.2785,1.0048,0.2948,0.169,0.2906,0.0953,0.5094,1.2306,0.3262,0.5704,0.2555,0.1251,0.5094,0.3857,0.2374,0.4161,0.5209,-,0.0659,0.0,0.499,0.2417,0.0,0.4187,0.1282,-,0.2583,-,0.5219,0.2469,0.0,11.8243
1122,Manuel Locatelli,Sassuolo,0.1287,0.2205,0.0645,0.0532,0.0258,-,-,-,-,0.706,0.159,0.0322,0.0426,1.0013,0.173,0.1382,0.6924,0.245,-,0.2293,0.0,1.2863,0.8402,0.2036,1.1177,0.7039,0.0,0.3209,0.1108,0.0999,0.1779,0.1319,1.096,0.1628,0.1324,0.4902,0.3735,0.2579,11.4176
