id,name,team,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,total
1253,Edin Dzeko,Roma,1.2528,0.054,2.1471,0.8037,0.6828,1.249,0.6653,0.2117,0.0711,1.2263,0.3809,0.1993,1.0505,0.3375,0.0155,1.0134,1.3642,0.5466,0.3096,1.7568,1.6189,0.2521,1.247,0.0778,3.2201,-,1.4024,0.486,0.0591,0.6626,1.427,0.6491,1.0869,0.6446,-,0.6291,0.998,-,29.7988
2371,Cristiano Ronaldo,Juventus,1.1213,0.8586,0.1153,0.7572,-,1.8638,0.7651,1.2994,-,0.7993,0.3934,0.1029,-,0.3992,1.2526,1.209,0.7006,1.497,0.2415,0.9465,0.452,0.2219,0.8884,-,0.9651,0.7626,0.6916,1.2623,0.2327,0.6536,0.5208,0.168,0.8477,2.6939,0.2937,1.0139,0.5627,-,26.5536
1491,Alejandro Gomez,Atalanta,0.5027,0.5829,0.9694,0.4527,1.0917,1.092,1.7938,1.5573,1.6095,0.2983,0.0311,0.0615,0.184,1.307,0.4775,-,0.6364,0.7841,0.1057,0.6612,1.631,0.2978,0.7353,0.5322,2.3744,1.2476,0.7323,0.5934,0.4192,0.2701,0.4749,0.2717,-,0.4257,0.6574,0.1877,0.2824,0.8627,26.1946
594,Romelu Lukaku,Inter,0.8669,0.751,0.0203,1.3224,0.6985,0.0839,0.1851,0.9573,1.203,0.3057,0.4645,1.0836,0.5293,0.6322,0.7421,0.5623,1.094,0.3054,0.5867,0.7295,0.5295,0.9701,1.0001,0.2751,0.0247,1.7484,0.2709,0.5503,0.9284,1.5866,0.174,-,-,0.0572,0.6286,1.3481,0.2254,0.4453,23.8864
1426,Josip Ilicic,Atalanta,-,1.4371,0.7769,0.5341,0.2,1.1118,1.3911,0.5888,2.9638,0.8083,0.0311,-,-,2.041,0.0,-,0.6258,1.3175,0.1827,1.1573,2.0864,1.0828,0.7365,0.6219,2.9285,-,0.2968,0.0,-,0.2701,0.2288,0.1134,-,-,-,-,-,-,23.5325
1209,Ciro Immobile,Lazio,1.0798,1.3956,0.3877,0.6237,0.1258,0.6903,0.1865,0.5124,0.974,0.5341,0.5233,0.8203,0.4983,0.789,0.1322,0.7918,0.2658,1.0813,1.5899,0.0309,0.5659,0.6322,0.7602,0.5252,0.4218,0.877,0.5674,0.1692,0.4082,-,0.5154,0.3033,0.4013,0.1933,0.9064,0.2474,2.0863,0.8453,23.4585
1393,Lorenzo Insigne,Napoli,0.9807,0.0646,0.6951,0.7753,0.7722,-,0.0527,0.2865,0.6181,0.7697,0.1596,0.0638,0.8555,0.8147,0.0,0.8927,1.2934,0.5602,0.2477,0.3121,0.5676,0.877,3.0552,0.149,0.4422,0.5733,0.7166,0.3267,0.168,0.7989,0.3518,0.2646,0.0522,0.6929,0.443,1.5864,0.6862,0.4433,22.4095
1148,Duván Zapata,Atalanta,0.3434,0.693,0.7517,0.3522,1.2679,1.024,1.0623,-,-,-,-,-,-,-,-,-,-,0.0963,0.0427,2.0591,1.3599,0.5466,1.0961,0.5308,1.9584,1.2028,1.1512,0.4694,0.0288,0.3136,0.4632,0.2386,0.7592,0.9396,0.612,1.0592,0.7119,0.8346,21.9685
1134,Mario Pasalic,Atalanta,0.2349,0.7384,0.7117,0.0804,0.0,0.5449,-,0.9506,2.1077,0.1589,0.1632,0.1832,0.3061,0.9507,0.2871,1.2961,1.4494,-,0.1163,1.4862,0.125,0.1531,0.7233,0.0943,2.9062,1.1425,-,0.3636,0.4054,1.0023,0.1708,0.0212,1.7258,0.7319,0.243,0.0288,0.0832,0.0728,21.759
1219,Luis Alberto,Lazio,0.2323,0.7907,0.4257,1.2367,0.2559,0.7792,0.2959,0.4895,1.109,0.865,0.8113,1.5518,0.4735,0.117,0.1153,0.3979,-,1.2366,0.9541,0.0372,0.721,0.2776,0.712,0.5406,0.5287,0.6012,0.1354,0.2774,0.2745,0.084,0.5311,0.4794,0.5113,-,0.5201,0.3781,1.9672,0.5742,21.2884
6980,Francesco Caputo,Sassuolo,0.4683,0.812,0.4144,0.6635,0.2313,-,0.1917,0.3914,0.1398,-,1.404,0.1949,0.5521,0.7249,0.3031,0.1771,0.1751,0.2132,0.377,0.3879,0.0449,1.4213,0.589,1.1035,1.4343,1.9269,0.3984,0.5187,0.0,0.3131,0.1529,0.6016,1.4745,0.0557,0.1899,0.4166,1.8067,0.2568,20.5265
2447,Fabián,Napoli,0.8169,0.1489,0.7944,0.7585,-,1.0219,0.5071,1.0716,0.1441,1.3055,0.5591,0.5056,-,0.5209,0.5464,1.1598,0.1737,0.4219,0.3327,0.3572,0.3752,-,-,0.4185,0.2542,0.7647,0.4796,1.1723,0.2923,1.4235,0.7134,0.8004,0.0357,0.5682,0.1928,0.6787,-,1.1404,20.4561
1386,Piotr Zielinski,Napoli,0.7551,0.1551,0.976,0.5327,0.3859,0.7819,0.2424,0.0952,0.181,0.3725,0.6811,0.1586,0.2045,0.5639,0.6881,0.7975,1.1176,1.0679,0.1236,0.3836,0.7111,0.274,1.4268,0.2153,0.0,1.202,0.1593,-,0.2165,1.506,0.0,0.7827,0.0165,0.4453,0.1487,1.8799,0.6678,0.338,20.2541
6691,Dejan Kulusevski,Parma Calcio 1913,0.0206,1.1324,0.287,0.4826,0.1581,1.2553,0.0,1.2473,0.6846,0.5922,0.2223,0.5179,1.2064,0.1213,0.0866,1.0645,0.4567,0.0,1.0787,0.1194,0.8313,-,0.0768,-,0.1865,0.0784,0.8034,0.7059,0.4293,0.2322,0.1673,0.762,0.2066,0.7497,0.0,1.6426,1.3706,1.1276,20.1041
1294,Paulo Dybala,Juventus,-,0.0462,-,0.3312,0.7866,1.3221,0.3791,0.0,1.0709,1.3226,0.2908,0.6674,0.9109,0.761,0.7644,0.9613,0.6945,0.3535,0.0,0.7168,0.1429,0.1812,0.241,1.5853,0.8296,0.3312,0.5382,0.5806,0.3842,0.8129,-,0.1405,0.8153,1.6025,0.3373,0.0142,-,-,19.9162
189,Hakan Calhanoglu,AC Milan,0.2104,0.3897,0.4905,0.1249,0.1317,0.4542,0.0226,1.1849,0.3347,0.554,0.4516,0.239,-,0.9211,0.8192,0.3072,0.1828,0.2371,0.0654,-,0.8225,0.3086,0.991,-,0.5245,0.9894,0.8746,0.5506,0.5546,0.0285,0.4831,0.4842,0.5854,1.6169,1.4124,0.1332,1.5443,0.8296,19.8544
1433,Federico Chiesa,Fiorentina,0.4187,0.5569,0.7232,0.3054,1.0915,0.3647,0.6005,0.2135,0.2797,0.1604,0.533,0.088,-,-,1.2739,0.0316,-,0.2358,0.6582,0.4993,0.3579,0.7336,0.2559,0.8922,0.7633,0.0947,1.2533,-,0.4786,0.8771,0.0618,0.8125,1.4068,0.2284,0.2671,0.4388,1.6539,0.9045,19.5147
7006,Lautaro Martínez,Inter,0.9556,0.0572,0.167,1.4642,0.3602,0.6379,0.2553,0.8035,1.3105,0.2394,0.4431,0.395,0.3666,0.997,0.5537,0.4323,-,0.788,0.5231,0.8082,1.0193,-,-,0.1635,0.017,1.2043,0.2875,0.3777,1.0199,1.1696,0.0753,0.3371,0.8163,0.0,0.3259,0.2951,0.0193,0.3733,19.0589
6160,Riccardo Orsolini,Bologna,0.6479,2.2326,1.4919,0.0418,0.366,0.1575,1.5952,0.1433,0.2838,0.311,0.1309,0.213,0.1529,0.0773,0.0,0.8445,2.6346,0.0576,0.4217,0.2197,0.1858,0.7786,0.6837,0.2286,0.4368,0.2883,0.068,0.7676,0.11,0.2909,0.0773,0.3601,0.3456,0.0374,0.0463,1.0759,1.0592,-,18.8633
2547,Theo Hernández,AC Milan,-,-,-,0.2586,0.5739,0.4909,0.0436,0.5231,0.189,0.612,0.174,0.264,0.4871,0.8444,1.0869,0.3157,-,0.1286,0.112,0.7803,0.9081,1.0559,0.7342,0.4288,0.4522,0.6762,0.5084,0.4936,0.1909,1.4617,0.5185,0.3987,0.8368,0.7526,0.1154,-,1.6179,0.5966,18.6306
1612,Domenico Berardi,Sassuolo,-,1.4325,0.2502,0.9718,0.3654,0.1646,0.0857,0.6113,0.0207,1.3667,0.8734,-,-,0.8742,0.2174,0.2675,-,0.0175,-,0.6466,0.1055,1.6501,0.939,0.921,0.0321,1.3613,0.1304,0.3709,0.0255,0.2608,0.1697,-,1.4052,-,0.3271,0.4669,1.7092,0.3174,18.3576
6155,Robin Gosens,Atalanta,0.4939,0.1702,0.7982,0.1171,0.0,0.8543,1.5933,0.5656,-,0.4326,0.022,-,0.7437,0.5114,-,0.3914,0.983,1.1144,0.1952,0.1486,0.5458,0.1264,0.5558,0.1196,2.3274,0.6236,0.2082,0.0975,0.3616,0.0625,0.0159,-,1.7563,0.0276,0.3267,0.4786,0.6561,0.8203,18.2448
1145,Rodrigo de Paul,Udinese,0.0,0.8986,0.0,-,-,-,0.2991,1.2363,0.0139,0.1887,0.6627,0.8823,0.0532,0.5572,0.047,0.1603,0.1268,0.5257,0.4535,0.7545,0.462,0.3816,1.5254,0.2606,0.1774,0.5966,0.2377,-,1.9774,0.7621,0.6899,0.0898,0.8971,0.7674,0.4129,0.2771,0.6735,0.9649,18.0132
1518,Rodrigo Palacio,Bologna,0.231,0.1355,1.9096,0.0,0.3569,0.197,2.0521,0.1328,0.9402,0.0,0.1767,0.1562,0.0912,0.7901,0.1121,0.891,2.287,0.1099,0.9645,-,0.8142,1.0226,0.4522,0.1803,0.7411,0.8308,0.0268,0.017,0.3294,0.3918,0.0245,0.096,0.4334,-,0.0363,0.9153,-,0.0928,17.9383
1106,Darko Lazovic,Verona,0.0,0.8572,0.1027,0.3741,0.0557,0.5266,0.0,0.3152,0.1681,0.1765,0.1096,0.1248,1.0911,0.8861,0.6215,0.2606,1.4051,0.7776,1.0169,0.7993,1.1224,0.0714,0.0565,0.7376,1.143,0.3071,0.2105,0.7438,0.0,0.41,0.5753,0.0,0.0288,0.1193,0.4913,0.5561,1.3807,0.1862,17.8087
1592,João Pedro,Cagliari,0.4633,0.4539,0.0,0.5536,0.4466,0.598,0.1379,0.0948,0.1082,0.5033,0.6015,2.2712,0.0137,0.4555,0.5661,0.9877,0.2599,0.2844,0.0901,1.5689,0.1671,1.3066,0.7828,0.0456,0.1089,-,0.9904,0.7497,0.0318,0.225,0.2376,0.5788,0.0951,0.3667,0.0985,0.4957,0.8376,-,17.5765
621,Aleksandar Kolarov,Roma,0.9242,0.1823,1.0139,0.374,1.2293,0.0764,0.5724,0.0336,0.0711,0.9802,0.4865,0.1861,0.7087,0.6054,0.1315,0.5921,0.0419,0.1906,0.1688,-,0.5971,-,0.6495,-,1.303,0.529,1.0118,-,0.1163,-,1.7141,1.349,0.0,0.0,0.6606,0.2177,0.4896,-,17.2067
1089,Juan Cuadrado,Juventus,0.0,-,0.1153,0.5618,0.2575,1.0596,0.5289,0.3835,0.5819,0.8376,0.3866,0.8665,0.7358,0.6755,1.2372,-,-,0.3227,0.0,0.3665,0.4461,0.2948,0.6613,1.4787,1.0243,0.3632,0.5415,0.6363,0.418,0.8559,0.3882,0.168,-,0.4076,0.0811,0.0142,0.4412,-,17.1373
1511,Marcelo Brozovic,Inter,0.8285,0.7537,0.3826,0.5898,0.2571,0.2337,0.4995,0.9325,1.1346,0.3729,0.2755,1.1296,0.4982,0.489,0.8801,0.3682,-,0.1024,0.6285,1.0338,-,0.2633,0.2025,0.1635,0.1451,-,-,-,-,0.3241,0.0661,0.3561,1.0291,0.6073,0.2052,1.6744,0.2802,0.1522,16.8593
1489,Franck Kessié,AC Milan,0.0584,0.8755,0.4351,0.3428,0.4862,0.0553,0.184,0.2817,0.1004,0.6138,-,-,0.0301,0.6201,0.8555,0.1295,0.1235,-,0.0473,0.7751,0.9244,0.1515,0.3525,0.0308,0.382,0.6823,0.4609,0.182,0.6063,0.6906,0.546,0.4181,1.1405,0.9213,0.6043,0.0697,1.8442,0.6532,16.6749
