id,name,team,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,total
223,Joshua Kimmich,Bayern Munich,2,0,0,-,1,1,0,-,-,-,-,-,1,1,0,0,0,3,1,10
226,Kingsley Coman,Bayern Munich,-,0,-,0,1,-,0,0,1,3,1,1,0,-,0,0,0,1,1,9
224,Thomas Müller,Bayern Munich,1,1,1,1,0,0,1,0,1,0,0,0,1,1,0,1,0,0,0,9
320,Jonas Hofmann,Borussia M.Gladbach,0,1,2,0,1,0,0,-,-,-,-,-,-,1,1,0,0,1,1,8
6345,Jadon Sancho,Borussia Dortmund,1,0,-,0,1,0,0,-,0,1,0,0,0,1,1,0,0,2,0,7
3455,Raphael Guerreiro,Borussia Dortmund,-,0,0,0,1,0,2,0,-,-,1,0,1,0,0,0,1,0,1,7
82,Nadiem Amiri,Bayer Leverkusen,0,0,0,0,1,0,1,0,-,1,1,1,1,0,0,0,0,0,-,6
6145,Daichi Kamada,Eintracht Frankfurt,0,2,0,0,0,1,0,0,2,0,0,0,-,0,0,0,0,1,0,6
7875,Christopher Trimmel,Union Berlin,0,0,2,1,0,-,0,0,1,0,1,1,0,0,0,0,-,0,-,6
227,Robert Lewandowski,Bayern Munich,2,0,0,1,0,-,1,0,0,0,0,0,0,1,0,0,0,0,1,6
5717,Amine Harit,Schalke 04,0,-,-,0,0,1,0,0,-,-,-,0,0,0,3,0,0,0,1,5
27,Vladimir Darida,Hertha Berlin,2,0,0,0,0,0,0,0,0,0,1,-,0,2,0,0,0,0,0,5
8397,Florian Wirtz,Bayer Leverkusen,0,0,1,-,0,1,1,1,0,0,0,0,0,1,-,-,0,0,0,5
64,Filip Kostic,Eintracht Frankfurt,0,0,-,-,-,-,0,0,1,0,0,0,0,0,0,2,0,1,1,5
6496,Ermedin Demirovic,Freiburg,-,0,-,0,0,0,-,0,0,0,1,0,0,1,2,0,1,0,0,5
337,Leroy Sané,Bayern Munich,2,0,-,-,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,5
155,Max Kruse,Union Berlin,0,0,0,0,1,2,2,0,0,0,-,-,-,-,-,-,-,-,-,5
5266,Vincenzo Grifo,Freiburg,0,1,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,5
8292,Dani Olmo,RasenBallsport Leipzig,1,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,5
5221,Leon Bailey,Bayer Leverkusen,-,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,5
6271,Ihlas Bebou,Hoffenheim,0,1,0,0,-,-,0,0,0,1,0,0,1,0,0,0,0,0,1,4
208,Lars Stindl,Borussia M.Gladbach,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,1,0,0,0,4
6083,Ludwig Augustinsson,Werder Bremen,1,1,0,0,-,-,-,0,1,0,0,0,0,0,1,-,-,-,0,4
8191,Giovanni Reyna,Borussia Dortmund,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,-,0,0,0,4
6556,Moussa Diaby,Bayer Leverkusen,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,1,0,0,4
7883,Marcus Ingvartsen,Union Berlin,0,1,0,0,0,-,-,0,0,1,0,-,-,0,1,0,0,0,1,4
7065,Florian Neuhaus,Borussia M.Gladbach,0,0,0,0,0,0,0,0,1,1,0,-,0,0,0,0,0,2,0,4
7075,Borna Sosa,VfB Stuttgart,-,0,0,-,-,0,0,0,0,0,1,0,0,0,1,1,0,-,1,4
319,Marco Reus,Borussia Dortmund,0,0,0,0,0,1,0,0,0,-,0,0,0,0,2,0,0,0,1,4
