id,name,team,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,total
227,Robert Lewandowski,Bayern Munich,1,0,4,2,3,-,1,0,1,0,1,2,2,2,1,1,1,1,1,0,1,1,2,3,1,3,35
8260,Erling Haaland,Borussia Dortmund,2,0,2,0,1,-,1,4,0,-,-,-,-,0,2,0,0,2,0,0,1,2,0,2,0,2,21
6170,André Silva,Eintracht Frankfurt,1,1,0,1,0,1,1,0,2,0,-,2,0,0,2,1,0,2,2,1,1,-,1,0,0,2,21
7052,Wout Weghorst,Wolfsburg,0,0,0,1,1,0,1,1,2,1,2,0,0,0,1,1,1,0,1,1,0,0,0,1,1,1,17
956,Andrej Kramaric,Hoffenheim,3,2,1,-,-,-,-,1,0,0,0,0,1,0,0,0,2,2,1,0,-,0,0,1,0,0,14
8812,Sasa Kalajdzic,VfB Stuttgart,1,1,1,0,0,0,0,0,0,0,-,2,0,0,0,0,0,0,1,2,1,1,1,1,1,0,13
8807,Silas Wamangituka,VfB Stuttgart,1,1,0,0,0,0,0,1,0,2,2,0,0,0,1,1,-,1,1,0,0,0,0,0,0,0,11
208,Lars Stindl,Borussia M.Gladbach,0,0,1,0,1,0,2,0,0,0,0,3,1,0,0,1,0,0,0,0,0,1,0,-,0,1,11
155,Max Kruse,Union Berlin,0,0,1,0,0,1,1,1,2,0,-,-,-,-,-,-,-,-,-,-,-,-,1,0,1,2,10
224,Thomas Müller,Bayern Munich,1,0,0,2,0,1,0,0,0,2,0,0,0,0,0,1,0,2,1,0,-,-,0,0,0,0,10
6338,Lucas Alario,Bayer Leverkusen,0,-,0,1,2,2,2,0,-,-,1,0,0,0,0,0,0,0,0,-,1,0,0,-,0,0,9
993,Serge Gnabry,Bayern Munich,3,0,0,0,-,1,0,0,0,0,0,0,0,0,-,0,0,0,1,0,-,-,2,0,1,1,9
1236,Patrik Schick,Bayer Leverkusen,0,0,1,-,-,-,-,0,0,1,0,1,1,0,1,0,0,-,0,0,1,0,0,1,1,0,8
4248,Nils Petersen,Freiburg,1,1,0,0,0,1,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,-,0,0,-,7
5266,Vincenzo Grifo,Freiburg,1,0,0,0,1,0,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,7
6271,Ihlas Bebou,Hoffenheim,0,0,0,0,-,-,0,0,1,1,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,1,7
7080,Matheus Cunha,Hertha Berlin,1,0,1,0,0,1,1,2,0,0,-,0,0,0,-,0,0,0,0,0,0,0,0,-,-,1,7
5735,Jean-Philippe Mateta,Mainz 05,1,0,0,0,2,0,1,3,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,7
48,Jhon Córdoba,Hertha Berlin,1,0,1,0,1,0,0,-,-,-,-,-,-,1,0,0,0,1,-,-,-,-,0,0,0,1,6
5221,Leon Bailey,Bayer Leverkusen,-,0,0,0,0,0,1,1,0,0,2,0,0,0,0,0,0,0,0,1,0,0,1,-,0,0,6
5248,Marcel Sabitzer,RasenBallsport Leipzig,-,-,-,-,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,-,0,1,6
5249,Emil Forsberg,RasenBallsport Leipzig,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,-,-,-,-,0,1,1,0,6
