id,name,team,1,2,3,4,5,6,7,8,9,10,11,total
224,Thomas Müller,Bayern Munich,2,4,7,3,2,2,5,0,3,2,-,30
6145,Daichi Kamada,Eintracht Frankfurt,3,3,4,5,2,2,4,1,3,1,1,29
3300,Christopher Nkunku,RasenBallsport Leipzig,2,1,4,1,7,3,2,1,2,1,-,24
4243,Christian Günter,Freiburg,1,3,0,5,3,1,3,3,2,3,-,24
8397,Florian Wirtz,Bayer Leverkusen,0,0,3,-,0,5,5,2,2,4,-,21
316,Gonzalo Castro,VfB Stuttgart,1,3,2,1,1,3,3,4,1,2,-,21
5266,Vincenzo Grifo,Freiburg,1,3,1,0,1,1,1,3,3,7,-,21
1040,Angelino,RasenBallsport Leipzig,3,0,4,1,5,1,1,3,1,1,-,20
155,Max Kruse,Union Berlin,0,1,0,1,6,3,4,0,3,1,-,19
7080,Matheus Cunha,Hertha Berlin,1,0,1,5,1,5,3,0,0,2,-,18
3455,Raphael Guerreiro,Borussia Dortmund,-,1,2,3,3,0,8,1,-,-,-,18
261,Julian Brandt,Borussia Dortmund,0,2,1,1,4,4,0,4,0,1,-,17
320,Jonas Hofmann,Borussia M.Gladbach,2,3,5,2,2,1,1,-,-,-,-,16
300,Daniel Didavi,VfB Stuttgart,5,2,0,2,2,-,1,3,-,-,-,15
6345,Jadon Sancho,Borussia Dortmund,3,1,-,1,2,2,1,-,1,4,-,15
5221,Leon Bailey,Bayer Leverkusen,-,0,0,3,2,3,2,1,2,2,-,15
5353,Josip Brekalo,Wolfsburg,0,0,2,2,-,2,1,3,3,2,0,15
38,Daniel Brosinski,Mainz 05,3,5,1,0,0,1,0,3,1,-,-,14
157,Daniel Caligiuri,Augsburg,1,1,0,0,1,5,1,1,2,2,-,14
153,Maximilian Arnold,Wolfsburg,0,0,4,2,2,-,1,2,1,0,2,14
8791,Ritsu Doan,Arminia Bielefeld,2,1,1,2,2,0,0,0,1,5,-,14
6556,Moussa Diaby,Bayer Leverkusen,0,0,1,1,2,2,3,0,1,4,-,14
8292,Dani Olmo,RasenBallsport Leipzig,3,0,1,5,0,0,0,1,4,0,-,14
88,Mark Uth,Schalke 04,0,4,0,-,-,1,2,2,4,1,-,14
5273,Kerem Demirbay,Bayer Leverkusen,2,1,2,2,-,2,-,1,4,-,-,14
7875,Christopher Trimmel,Union Berlin,0,1,2,1,1,-,1,1,5,1,-,13
7295,Joshua Sargent,Werder Bremen,1,3,1,2,0,1,3,2,-,0,-,13
7052,Wout Weghorst,Wolfsburg,1,0,1,1,0,3,0,1,1,5,0,13
420,Patrick Herrmann,Borussia M.Gladbach,0,1,1,0,3,1,1,2,3,1,-,13
208,Lars Stindl,Borussia M.Gladbach,0,4,2,1,2,0,1,1,0,2,-,13
5240,Ondrej Duda,FC Cologne,1,0,0,0,1,4,0,5,1,1,-,13
6083,Ludwig Augustinsson,Werder Bremen,3,2,1,3,-,-,-,0,1,3,-,13
7107,Jean-Paul Boëtius,Mainz 05,0,0,1,1,1,0,2,3,1,4,-,13
8191,Giovanni Reyna,Borussia Dortmund,1,3,4,0,0,0,1,0,2,1,-,12
