id,name,team,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,total
227,Robert Lewandowski,Bayern Munich,0.6773,0.0476,2.5692,1.3053,1.2394,-,0.4076,0.2468,0.4035,0.0899,0.6276,0.794,1.0144,0.5475,0.1569,1.5116,-,11.6386
8260,Erling Haaland,Borussia Dortmund,0.6502,0.3264,0.5129,0.3784,0.5778,-,0.8938,1.6411,1.28,-,-,-,-,0.5252,1.6773,0.1272,0.107,8.6973
7052,Wout Weghorst,Wolfsburg,0.4153,0.0201,0.5122,0.5313,1.1755,0.1165,1.0647,0.9405,0.4688,0.9218,0.8512,0.0333,0.1838,0.4028,0.0,0.5148,0.3634,8.516
6170,André Silva,Eintracht Frankfurt,1.3279,0.238,0.9981,0.1625,0.0621,1.687,0.522,0.4344,0.4169,0.0,-,0.4915,0.4437,0.0,0.6008,0.3813,-,7.7662
5735,Jean-Philippe Mateta,Mainz 05,0.8108,0.0835,0.0635,0.0,0.7061,0.0,1.2452,2.2795,0.4877,1.3302,0.6239,0.0,0.0,0.0,0.026,-,-,7.6564
956,Andrej Kramaric,Hoffenheim,1.4833,0.8603,0.3306,-,-,-,-,0.6452,0.0,0.1619,0.0,0.1118,0.5168,0.4454,0.8309,0.1432,0.7191,6.2485
5356,Breel Embolo,Borussia M.Gladbach,-,-,0.0,0.172,0.1267,0.0,0.0342,1.2812,0.4894,0.3312,0.6891,0.0,1.0483,1.3503,0.0,0.0728,-,5.5952
319,Marco Reus,Borussia Dortmund,0.0,0.0642,0.4926,0.6399,0.0,0.0805,1.1247,0.1425,0.0967,-,0.0,1.5664,0.0,0.1813,0.206,0.6366,0.1122,5.3436
6475,Lucas Höler,Freiburg,0.4233,0.2154,0.0,0.124,0.0853,0.2929,0.0512,0.4669,0.1869,1.0932,0.0656,0.0,0.8903,0.0,0.6423,0.0,-,4.5373
7814,Taiwo Awoniyi,Union Berlin,-,0.091,-,0.0903,0.0,0.6301,0.0,0.3393,0.2686,0.0854,0.6489,0.383,0.8032,1.0363,0.143,0.0,-,4.5191
5706,Dodi Lukebakio,Hertha Berlin,0.3819,0.9456,0.0734,0.0,0.0551,0.163,0.5085,0.0398,0.4681,0.1102,0.0851,0.0453,0.6027,0.4742,0.1051,0.0349,0.0314,4.1243
224,Thomas Müller,Bayern Munich,0.1089,0.2988,0.0406,1.5839,0.188,0.0,0.0,0.1344,0.0,0.7639,0.0611,0.1604,0.1964,0.0285,0.0802,0.4132,-,4.0583
1040,Angelino,RasenBallsport Leipzig,0.3025,0.0743,0.7185,0.829,0.1004,0.0274,0.0626,0.1066,1.0379,0.0,-,0.0,0.4037,0.0835,0.1488,0.0975,-,3.9927
8807,Silas Wamangituka,VfB Stuttgart,0.6669,0.1266,0.0324,0.0422,0.0,0.0,0.0411,0.6665,0.1366,1.0914,0.2432,0.0521,0.2245,0.0323,0.599,0.0072,-,3.962
4248,Nils Petersen,Freiburg,0.3206,0.0838,0.0,0.3452,0.0,0.4332,0.1324,0.4699,0.0,0.5426,0.8926,0.1029,0.0702,0.078,0.0,0.4847,-,3.9561
7074,Nicolás González,VfB Stuttgart,-,-,-,0.0,0.0234,0.1885,0.5888,0.1645,-,-,0.4018,0.8069,0.5868,0.2036,0.5816,0.2762,-,3.8221
1236,Patrik Schick,Bayer Leverkusen,0.1379,0.0904,0.502,-,-,-,-,0.0,0.0586,1.259,0.0959,0.9661,0.0776,0.1144,0.1906,0.2756,0.0,3.7681
158,Bas Dost,Eintracht Frankfurt,0.0901,0.1921,1.0832,0.0593,0.0,0.3156,1.0859,0.0,0.7073,0.0,0.0,-,0.0,-,-,-,-,3.5335
48,Jhon Córdoba,Hertha Berlin,0.7238,0.0686,0.4468,0.2118,0.5212,0.2281,0.0486,-,-,-,-,-,-,0.5837,0.1962,0.0,0.3843,3.4131
1277,Roland Sallai,Freiburg,0.7001,0.0231,0.0,0.1043,0.0775,0.0,0.1669,0.2411,-,0.3602,0.0,0.7184,0.2221,0.0,0.66,0.0821,-,3.3558
6345,Jadon Sancho,Borussia Dortmund,0.1343,0.1267,-,0.0911,0.0326,0.3474,0.0169,-,0.0677,0.1726,0.3624,0.4646,0.2525,0.6812,0.3899,0.0407,0.1558,3.3364
373,Mats Hummels,Borussia Dortmund,0.0,0.3482,0.8766,0.0,0.1783,0.7466,0.0,0.0,0.5151,0.4281,0.1216,0.0795,0.0,0.0,0.0,0.0,0.0,3.294
8140,Munas Dabbur,Hoffenheim,0.0446,0.5754,0.3245,0.0,0.3776,1.2961,0.2966,-,0.0,-,-,0.0,0.0782,0.0,-,0.242,0.0,3.235
7295,Joshua Sargent,Werder Bremen,0.0416,0.7454,0.0,0.0675,0.0,0.4714,0.0907,0.9962,-,0.0,0.033,0.0,0.4543,0.0959,0.0,0.1104,0.0466,3.153
5266,Vincenzo Grifo,Freiburg,0.5671,0.172,0.3618,0.0749,0.0706,0.4304,0.0,0.1421,0.2096,0.1013,0.2008,0.0,0.7036,0.0215,0.0695,0.0217,-,3.1469
5221,Leon Bailey,Bayer Leverkusen,-,0.0,0.0,0.0663,0.497,0.24,0.4792,0.2867,0.0216,0.4656,0.4872,0.123,0.0,0.0612,0.1084,0.126,0.1008,3.063
8812,Sasa Kalajdzic,VfB Stuttgart,0.107,0.613,0.4717,0.8787,0.0,0.0,0.0208,0.0822,0.0454,0.0,-,0.4015,0.0849,0.1057,0.0,0.2087,-,3.0196
6556,Moussa Diaby,Bayer Leverkusen,0.0941,0.1634,0.3634,0.0395,0.6332,0.0342,0.1118,0.0301,0.0,0.1795,0.0432,0.0306,0.1861,0.0,0.0402,0.0894,0.9573,2.996
5250,Yussuf Poulsen,RasenBallsport Leipzig,0.7111,0.0,-,0.4897,0.1907,0.1473,0.076,0.3709,-,0.0,0.5123,0.4148,0.035,0.0,0.0216,0.0,-,2.9694
6522,Cedric Teuchert,Union Berlin,0.1942,0.0721,-,-,-,0.6897,0.5622,0.0488,-,0.0,0.0531,0.0781,0.2377,0.0,0.0,0.9385,-,2.8744
6531,Alexander Sørloth,RasenBallsport Leipzig,-,0.0,0.0,0.0,0.2043,0.2441,0.414,0.1998,0.0767,0.0,0.0,0.0,0.1631,0.0797,1.4472,-,-,2.8289
316,Gonzalo Castro,VfB Stuttgart,0.5063,0.0,0.062,0.0188,0.0,0.0498,0.4883,0.1025,0.0404,0.1131,-,0.8968,0.0,0.0,0.4535,0.0794,-,2.8109
7080,Matheus Cunha,Hertha Berlin,0.2019,0.2099,0.5868,0.9269,0.1091,0.1625,0.2084,0.0448,0.0,0.0248,-,0.0389,0.0,0.1355,-,0.0206,0.1098,2.7799
6338,Lucas Alario,Bayer Leverkusen,0.0835,-,0.2887,0.189,0.3996,0.7466,0.3109,0.1824,-,-,0.0,0.0,0.0,0.0326,0.0407,0.0,0.4577,2.7317
8809,Mateo Klimowicz,VfB Stuttgart,0.2946,0.7149,0.0931,0.0,-,0.3628,0.0721,0.0,0.0639,-,0.6366,0.0696,0.0549,0.0,0.3327,0.0,-,2.6952
6484,Renato Steffen,Wolfsburg,0.0,0.0,-,0.0,0.7682,0.0,0.1658,0.473,0.1864,0.5271,-,-,0.1222,0.1411,0.1949,0.0743,0.0232,2.6762
208,Lars Stindl,Borussia M.Gladbach,0.0794,0.0652,0.129,0.1519,0.6277,0.0,0.8882,0.1655,0.0,0.0185,0.0,0.2486,0.1076,0.1085,0.0456,0.0217,0.0,2.6574
