id,name,team,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,total
227,Robert Lewandowski,Bayern Munich,4,1,13,6,5,-,2,3,2,2,3,3,7,3,4,6,-,64
6170,André Silva,Eintracht Frankfurt,3,3,8,4,1,8,4,1,4,0,-,3,3,0,5,6,-,53
956,Andrej Kramaric,Hoffenheim,5,8,4,-,-,-,-,6,0,2,0,2,2,3,6,3,5,46
7052,Wout Weghorst,Wolfsburg,1,1,2,4,3,2,5,3,4,2,5,1,2,4,1,2,1,43
8260,Erling Haaland,Borussia Dortmund,5,2,4,2,4,-,4,6,3,-,-,-,-,4,5,1,2,42
8292,Dani Olmo,RasenBallsport Leipzig,3,1,5,2,2,2,1,3,2,0,3,0,4,4,4,3,-,39
7080,Matheus Cunha,Hertha Berlin,3,3,4,4,2,3,4,3,0,1,-,2,0,3,-,2,4,38
7074,Nicolás González,VfB Stuttgart,-,-,-,0,1,4,5,4,-,-,2,4,2,4,6,5,-,37
6556,Moussa Diaby,Bayer Leverkusen,1,4,4,1,1,1,2,1,0,4,1,1,3,0,1,2,7,34
208,Lars Stindl,Borussia M.Gladbach,2,1,4,3,2,0,5,2,0,1,0,4,4,3,1,2,0,34
5221,Leon Bailey,Bayer Leverkusen,-,0,0,2,4,6,3,1,1,4,4,2,0,1,1,2,3,34
8807,Silas Wamangituka,VfB Stuttgart,3,2,1,1,0,0,1,5,3,5,3,1,1,1,4,2,-,33
319,Marco Reus,Borussia Dortmund,0,1,1,3,0,2,5,2,2,-,0,4,0,2,2,6,3,33
5266,Vincenzo Grifo,Freiburg,1,2,2,2,2,3,0,3,3,3,5,0,3,2,1,1,-,33
5353,Josip Brekalo,Wolfsburg,4,2,2,4,-,1,3,4,3,1,2,3,2,1,1,0,0,33
8791,Ritsu Doan,Arminia Bielefeld,1,0,1,4,1,0,1,0,4,2,0,4,1,2,5,5,-,31
6345,Jadon Sancho,Borussia Dortmund,2,2,-,2,2,3,1,-,1,3,2,2,4,2,2,1,2,31
7882,Sheraldo Becker,Union Berlin,1,5,0,1,5,-,3,0,2,0,2,3,2,2,4,1,-,31
993,Serge Gnabry,Bayern Munich,5,1,5,0,-,2,2,1,2,1,2,2,2,3,-,3,-,31
262,Leonardo Bittencourt,Werder Bremen,3,0,3,3,3,1,5,1,2,1,4,1,-,2,-,-,1,30
5356,Breel Embolo,Borussia M.Gladbach,-,-,0,2,3,0,1,5,2,2,3,0,4,7,0,1,-,30
1277,Roland Sallai,Freiburg,2,1,0,2,2,0,2,6,-,2,0,4,3,0,3,2,-,29
7422,Christoph Baumgartner,Hoffenheim,0,1,0,2,1,0,3,5,3,1,4,2,2,0,2,-,2,28
5735,Jean-Philippe Mateta,Mainz 05,2,2,2,0,2,0,6,6,3,2,2,0,0,0,1,-,-,28
82,Nadiem Amiri,Bayer Leverkusen,0,0,0,2,2,4,2,0,-,5,1,2,2,1,2,2,3,28
6338,Lucas Alario,Bayer Leverkusen,3,-,1,2,6,3,3,2,-,-,1,0,0,1,1,0,4,27
1040,Angelino,RasenBallsport Leipzig,2,1,2,2,2,1,1,2,6,0,-,0,2,2,2,1,-,26
4248,Nils Petersen,Freiburg,2,2,0,4,0,2,2,3,0,1,3,2,2,1,0,2,-,26
6475,Lucas Höler,Freiburg,1,3,0,4,2,1,1,1,3,4,1,0,3,0,2,0,-,26
8812,Sasa Kalajdzic,VfB Stuttgart,5,3,3,3,0,0,1,2,1,0,-,2,1,1,0,3,-,25
48,Jhon Córdoba,Hertha Berlin,4,1,2,3,4,3,1,-,-,-,-,-,-,1,2,0,4,25
224,Thomas Müller,Bayern Munich,1,2,1,4,2,1,0,1,0,2,1,3,3,1,2,1,-,25
5706,Dodi Lukebakio,Hertha Berlin,2,2,1,0,1,2,1,1,2,1,2,1,1,3,2,2,1,25
8809,Mateo Klimowicz,VfB Stuttgart,1,1,2,0,-,6,2,0,1,-,4,1,2,0,4,0,-,24
7065,Florian Neuhaus,Borussia M.Gladbach,1,1,2,3,0,0,0,2,2,1,2,-,2,3,1,2,2,24
5250,Yussuf Poulsen,RasenBallsport Leipzig,7,0,-,3,2,2,2,2,-,0,3,1,1,0,1,0,-,24
