id,name,team,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,total
64,Filip Kostic,Eintracht Frankfurt,0.2325,0.0,-,-,-,-,0.0,0.1345,0.1298,0.0,0.0,0.0,0.3647,0.3563,0.0683,0.8429,0.3704,0.7742,0.0677,1.1104,1.5484,0.9152,0.3502,1.107,0.5036,1.2593,1.0119,0.1988,0.1808,0.8634,0.0376,0.0244,0.9523,0.7301,14.1347
224,Thomas Müller,Bayern Munich,0.1435,0.4124,1.894,0.2747,0.152,0.0651,0.2754,0.0,0.1398,0.1232,0.0554,0.136,0.4851,0.7452,0.1452,0.5268,0.1984,0.2929,0.0406,0.0527,-,-,0.0959,0.2501,2.0534,0.6086,0.1057,0.3896,0.3654,0.0439,0.0631,0.2825,0.7448,0.145,11.3064
6345,Jadon Sancho,Borussia Dortmund,0.5603,0.3105,-,0.0162,0.3921,0.1472,0.0432,-,0.0838,0.613,0.1596,0.0483,0.1419,0.4766,1.0724,0.2054,0.185,0.8485,0.051,0.1075,0.0,0.2517,0.4773,-,-,-,-,-,-,1.1666,0.1206,0.1305,0.6268,0.0,8.236
319,Marco Reus,Borussia Dortmund,0.0,0.0455,0.0,0.0,0.0,0.0868,0.0824,0.1158,1.6251,-,0.0,1.4226,0.0959,0.2239,1.1358,0.0,0.0837,0.1158,0.4572,0.0,0.0,0.4978,0.1364,0.0,0.1292,-,0.0698,0.0878,0.109,0.7041,0.1366,0.3887,0.0913,0.0,7.8412
5266,Vincenzo Grifo,Freiburg,0.0954,0.1131,0.0099,0.0,0.0237,0.4122,0.0973,0.2105,0.0844,1.1366,0.1437,0.535,0.2455,0.036,0.2106,0.0,0.2397,0.304,0.1298,0.0983,0.0,0.0,1.0174,0.0,0.7625,0.0302,-,-,-,0.0,0.1197,1.5731,0.2103,0.0,7.8389
3300,Christopher Nkunku,RasenBallsport Leipzig,0.334,0.0743,0.805,0.1102,0.8152,0.1869,0.0908,0.0423,0.1377,0.0199,-,-,-,-,-,0.1412,0.1435,0.1176,0.0,0.7832,0.0521,0.089,0.5247,1.1028,0.0,0.3212,0.0,0.1567,0.1188,0.2544,0.5758,-,0.1415,0.4796,7.6184
6556,Moussa Diaby,Bayer Leverkusen,0.0,0.0,0.1163,0.0446,0.441,0.0924,0.5095,0.0,0.0143,0.8601,0.0,0.4591,0.0228,0.0612,0.1084,0.2476,0.3574,0.3343,0.3101,1.4274,0.933,0.0,-,0.0481,0.251,-,0.0,0.023,0.5737,0.0,0.1057,0.0,0.0829,0.0436,7.4675
3455,Raphael Guerreiro,Borussia Dortmund,-,0.0165,0.2013,0.4564,0.3551,0.0,1.344,0.1341,-,-,0.4098,0.0,0.4751,0.3666,0.0598,0.081,0.0879,0.0,0.5768,0.1146,0.6963,0.0,0.0,-,-,-,0.2695,0.2302,0.0,0.6054,0.1062,0.7166,0.0995,-,7.4027
993,Serge Gnabry,Bayern Munich,1.4151,0.0942,0.0601,0.704,-,0.0,0.3713,0.0,0.0,0.0,0.0185,0.1591,0.4241,0.9921,-,0.0,0.2838,0.1716,0.245,0.0,-,-,0.0,0.02,0.2009,0.1169,0.1766,-,-,-,0.0,0.4819,0.637,0.3378,6.91
7075,Borna Sosa,VfB Stuttgart,-,0.0529,0.0,-,-,0.1448,0.2517,0.0,0.1189,0.0691,0.4505,0.1389,0.0414,0.0447,0.4022,0.3709,0.5663,-,0.552,-,0.7964,0.1021,0.6107,0.971,0.0,0.4454,0.3622,0.1333,-,-,-,0.1117,0.093,0.0209,6.851
7107,Jean-Paul Boëtius,Mainz 05,0.0,0.0,0.0634,0.0968,0.0498,0.0,0.9775,0.686,0.6571,1.3906,0.0433,-,0.0,0.0,0.313,0.0,0.0,-,0.0448,-,0.0,0.0,0.0,0.0859,0.7241,0.6008,0.0,0.6328,0.2155,0.0,0.0,0.0,0.0154,0.2069,6.8037
6145,Daichi Kamada,Eintracht Frankfurt,0.1328,0.1152,1.0493,0.2555,0.112,0.5844,0.6007,0.0398,0.9943,0.0208,0.5727,0.0,-,0.2943,0.0669,0.0,0.0,0.1466,0.0965,0.0874,0.5447,0.2979,0.0,-,0.0,0.1098,0.0721,0.0784,0.1438,0.1091,0.0549,0.0605,0.1469,0.0,6.7873
337,Leroy Sané,Bayern Munich,1.3531,0.0476,-,-,0.1564,0.0,0.0,0.7029,0.0879,0.0,0.0,0.0,0.0149,0.0,0.1538,0.4132,0.0,0.0,0.0479,0.0971,0.4319,1.0185,0.0,0.8063,0.0,0.3709,0.0622,0.0566,0.0,0.0,0.0,0.0759,0.0,0.5809,6.478
5221,Leon Bailey,Bayer Leverkusen,-,0.0,0.0,0.2148,0.6562,0.1616,0.1098,0.0865,0.0578,0.0605,0.0714,0.5571,0.0,0.0,0.0603,0.1903,0.4242,0.0331,0.0,0.5189,0.064,0.0503,0.1396,-,0.0702,0.6197,0.0,0.0,1.0784,0.3628,0.6261,0.1356,-,-,6.3492
320,Jonas Hofmann,Borussia M.Gladbach,0.0662,0.1256,0.1405,0.4366,0.34,0.308,0.0161,-,-,-,-,-,-,0.8986,0.1944,0.0,0.1453,0.8481,0.1069,0.0,0.0658,0.2429,0.0,-,0.2052,0.4243,-,-,0.8958,0.0477,-,0.0933,0.1817,0.1295,5.9125
4243,Christian Günter,Freiburg,0.1225,0.1801,0.0,0.2166,0.1116,0.0254,0.229,0.0896,0.031,0.248,0.1119,0.0354,0.7413,0.0456,0.6142,0.0781,0.0848,0.189,0.0937,0.0,0.0924,0.0,0.0346,0.0577,0.135,1.0925,0.0365,0.0984,0.1342,0.2084,0.3864,0.1454,0.1181,0.0978,5.8852
