id,name,team,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,total
227,Robert Lewandowski,Bayern Munich,1.4351,0.0476,3.327,1.3053,1.2394,-,0.4076,0.2468,0.4035,0.0899,0.6276,0.794,1.0144,1.3052,0.9147,1.5116,1.4755,0.7599,0.6395,1.2272,1.2753,0.552,20.5991
6170,André Silva,Eintracht Frankfurt,1.3279,0.9958,0.9981,0.9203,0.0621,1.687,0.522,0.4344,0.4169,0.0,-,1.2492,0.4437,0.0,2.1163,0.3813,0.4018,1.4795,0.9217,0.7676,1.3875,-,16.5131
7052,Wout Weghorst,Wolfsburg,0.4153,0.0201,0.5122,0.5313,1.1755,0.1165,1.8225,0.9405,0.4688,0.9218,1.6089,0.0333,0.1838,0.4028,0.7578,0.5148,0.3634,0.3859,1.0259,1.2612,0.0244,0.0814,13.5681
8260,Erling Haaland,Borussia Dortmund,1.408,0.3264,0.5129,0.3784,0.5778,-,0.8938,1.6411,1.28,-,-,-,-,0.5252,1.6773,0.1272,0.107,0.8086,1.0121,0.5807,0.6501,0.9523,13.4589
956,Andrej Kramaric,Hoffenheim,2.2411,1.618,0.3306,-,-,-,-,1.403,0.0,0.1619,0.0,0.1118,0.5168,0.4454,0.8309,0.1432,0.7191,1.7354,0.4294,0.0778,-,0.4365,11.2009
5735,Jean-Philippe Mateta,Mainz 05,0.8108,0.0835,0.0635,0.0,0.7061,0.0,2.003,2.2795,0.4877,1.3302,0.6239,0.0,0.0,0.0,0.026,-,-,-,-,-,-,-,8.4142
7074,Nicolás González,VfB Stuttgart,-,-,-,0.0,0.0234,0.9462,1.3465,0.1645,-,-,0.4018,0.8069,0.5868,0.2036,1.3393,0.2762,-,1.0122,0.1814,0.0,-,-,7.2888
8807,Silas Wamangituka,VfB Stuttgart,0.6669,0.1266,0.0324,0.0422,0.0,0.0,0.0411,0.6665,0.1366,1.8492,1.0009,0.0521,0.2245,0.0323,0.599,0.765,-,0.4707,0.138,0.1758,0.0,0.1285,7.1483
319,Marco Reus,Borussia Dortmund,0.0,0.0642,0.4926,0.6399,0.0,0.0805,1.1247,0.1425,0.0967,-,0.0,2.3242,0.0,0.1813,0.206,1.2222,0.1122,0.0,0.0,0.0,0.0,0.1315,6.8185
208,Lars Stindl,Borussia M.Gladbach,0.0794,0.0652,0.8868,0.1519,0.6277,0.0,1.646,0.1655,0.0,0.0185,0.0,1.0064,0.8652,0.1085,0.0456,0.7795,0.0,0.0366,0.0,0.0718,0.0782,0.1447,6.7775
8812,Sasa Kalajdzic,VfB Stuttgart,0.107,0.613,0.4717,0.8787,0.0,0.0,0.0208,0.0822,0.0454,0.0,-,0.4015,0.0849,0.1057,0.0,0.2087,0.9107,0.1009,0.6063,0.7658,1.0689,0.1022,6.5744
7080,Matheus Cunha,Hertha Berlin,0.2019,0.2099,0.5868,0.9269,0.1091,0.1625,0.9661,0.8026,0.0,0.0248,-,0.0389,0.0,0.1355,-,0.0206,0.1098,1.2146,0.0451,0.2731,0.2962,0.2669,6.3913
7814,Taiwo Awoniyi,Union Berlin,-,0.091,-,0.0903,0.0,0.6301,0.0,0.3393,0.2686,0.0854,0.6489,0.383,0.8032,1.0363,0.143,0.0,0.0,0.5346,0.1129,0.1024,1.001,-,6.27
