id,name,team,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,total
391,David Alaba,Bayern Munich,-,0.6198,0.1647,0.6286,0.6611,0.0,0.0,0.8152,0.544,0.0369,0.6547,0.6687,0.3699,2.2446,0.237,1.1005,0.0,0.8175,0.0479,9.6111
224,Thomas Müller,Bayern Munich,1.1854,0.1285,0.2629,0.5527,0.5215,0.1225,0.2497,1.0265,0.1498,0.0369,0.5142,0.5068,0.2829,1.6995,0.0313,0.6619,0.0,0.5534,0.5481,9.0345
3455,Raphael Guerreiro,Borussia Dortmund,-,0.1038,0.841,0.4795,0.2937,0.2596,0.6335,1.296,-,-,0.0967,0.6202,0.0994,0.7495,1.7562,0.1679,0.7424,0.3206,0.5399,8.9999
373,Mats Hummels,Borussia Dortmund,0.5025,0.2058,0.3484,0.3713,0.3142,0.5476,1.1644,0.7403,0.7612,0.191,0.0967,0.0394,0.0341,0.4528,0.5325,0.1468,0.2412,0.0903,0.7985,7.579
223,Joshua Kimmich,Bayern Munich,1.2995,0.1375,0.2694,-,0.9226,0.1351,0.0,-,-,-,-,-,0.0839,1.293,0.1119,0.587,0.5791,1.7325,0.2099,7.3614
335,Leon Goretzka,Bayern Munich,0.6193,0.2744,0.4042,1.181,0.6978,-,0.1795,0.1018,0.1289,0.4276,0.5852,-,-,1.1578,0.0,0.1143,0.3468,0.9898,-,7.2084
5243,Dayotchanculle Upamecano,RasenBallsport Leipzig,0.7248,0.0,0.6915,0.2086,0.6447,0.1767,-,0.1851,0.3542,0.5648,0.2828,0.4148,0.6833,0.4006,0.8564,0.0,0.718,0.1121,0.0811,7.0995
8808,Wataru Endo,VfB Stuttgart,0.1127,0.7818,0.0534,0.0422,0.0615,0.2366,0.3392,0.212,0.1809,0.1131,0.4708,0.4383,0.0,0.0,1.5607,0.4662,1.1538,0.5291,0.1113,6.8636
220,Jérôme Boateng,Bayern Munich,0.3871,0.1515,0.2226,-,0.7385,0.0651,0.0,0.3055,0.4985,0.4819,0.0775,0.6687,0.1234,1.0868,-,0.7301,0.0,1.1341,0.1154,6.7867
6345,Jadon Sancho,Borussia Dortmund,0.0,0.1537,-,0.1574,0.328,0.2951,1.2648,-,1.122,0.0699,0.0704,0.7576,0.0994,0.1229,0.7924,0.1468,0.7308,0.4902,0.1046,6.706
993,Serge Gnabry,Bayern Munich,0.7784,0.3551,0.1753,0.4885,-,0.0,0.055,0.8454,0.492,0.0,0.0375,0.5933,0.1234,1.8267,-,0.5697,0.1403,0.0301,0.1437,6.6544
6490,Manuel Akanji,Borussia Dortmund,0.0395,0.0598,0.3484,-,0.3142,0.6542,0.2258,0.8747,0.963,-,0.2041,1.1382,0.1096,0.3524,0.2625,0.0,0.2243,0.1196,0.7169,6.6072
8292,Dani Olmo,RasenBallsport Leipzig,0.0694,0.0743,0.7838,0.4183,0.1419,0.0574,0.0469,0.1089,0.9631,0.0,0.7871,0.0,0.3502,0.6281,0.5607,0.708,0.6698,0.1121,0.1219,6.6019
8853,Maxence Lacroix,Wolfsburg,0.1757,-,0.1642,0.1731,0.3088,0.0485,0.4609,1.0724,0.4552,1.1457,0.1329,0.3659,0.0,0.0539,-,0.4353,0.3827,0.0,1.0259,6.4011
7345,Alphonso Davies,Bayern Munich,-,0.2132,0.5031,0.0,0.0,-,-,-,-,-,0.5531,-,0.0179,2.2693,0.1053,1.4913,-,1.0957,0.0667,6.3156
7422,Christoph Baumgartner,Hoffenheim,0.7426,0.0875,0.1541,0.0,0.0228,0.0874,0.6255,0.0696,0.4712,0.5026,0.4264,0.0,0.5907,0.2911,0.858,-,0.1949,0.1097,0.9698,6.2039
4291,Marc-Oliver Kempf,VfB Stuttgart,0.4602,0.5291,0.062,0.0,0.0,0.2095,0.6124,0.2422,0.1452,0.0755,0.6985,0.1385,0.5573,0.0323,0.7048,0.2521,0.6445,0.6711,0.0691,6.1043
1040,Angelino,RasenBallsport Leipzig,0.5093,0.0,0.8241,0.2751,0.2761,0.21,0.1929,0.1771,0.4606,0.9527,-,0.4148,0.0941,0.3089,0.0528,0.6105,0.3149,0.3038,0.0811,6.0588
8191,Giovanni Reyna,Borussia Dortmund,0.1057,0.0938,0.7245,0.9404,0.5078,0.2596,0.525,0.4814,0.3446,0.0595,0.1419,0.7073,0.2439,0.1229,0.2794,-,0.0,0.0539,0.4453,6.0369
22,John Brooks,Wolfsburg,0.0343,0.0,0.2417,0.1759,0.9818,0.1437,0.0807,1.4609,0.4856,0.6903,0.0,-,0.0308,0.1739,0.041,0.4353,0.0,0.1093,0.5533,5.6385
