id,name,team,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,total
227,Robert Lewandowski,Bayern Munich,0.9658,0.0476,1.6772,2.1986,1.6154,-,0.6206,0.5556,0.4035,0.445,0.7917,0.8257,0.622,1.9308,0.228,1.56,0.8731,1.149,0.8679,17.3775
224,Thomas Müller,Bayern Munich,1.3658,0.8397,0.8279,2.3282,0.8615,0.1351,0.2684,1.0265,0.2369,0.8514,0.6142,0.7255,0.8551,2.4447,0.1921,1.602,0.2656,1.2074,0.7197,17.3677
6170,André Silva,Eintracht Frankfurt,1.4025,0.238,1.8906,0.3822,0.1552,1.6204,1.6701,0.4734,1.0611,0.021,-,1.0949,0.571,0.1765,0.3598,0.3813,0.8804,1.8889,0.1711,14.4384
7052,Wout Weghorst,Wolfsburg,0.455,0.0201,0.5238,0.5549,0.8346,0.1187,1.0985,1.779,1.3164,1.1524,0.8512,0.4828,0.7017,0.5391,0.5744,0.4353,0.3634,0.3859,1.0639,13.2511
3455,Raphael Guerreiro,Borussia Dortmund,-,0.2953,0.841,0.5426,0.3606,0.6232,1.3542,2.161,-,-,0.4482,0.6592,0.5031,0.7495,1.9828,0.2032,0.8303,0.3969,0.9939,12.945
6345,Jadon Sancho,Borussia Dortmund,0.6186,0.5311,-,0.2647,0.7361,0.5676,1.2816,-,1.2735,0.3842,0.4219,1.1517,0.3519,1.0061,1.632,0.2254,0.9344,0.9586,0.3918,12.7312
8260,Erling Haaland,Borussia Dortmund,0.6453,0.546,0.9035,0.9594,0.8124,-,0.937,1.7751,1.896,-,-,-,-,0.4205,2.2463,0.2308,0.107,0.9265,0.318,12.7238
993,Serge Gnabry,Bayern Munich,2.143,0.4715,0.5425,1.1925,-,0.1225,0.5018,0.8657,0.5641,0.0167,0.0764,0.822,0.3347,2.0271,-,0.6257,0.5795,0.677,0.9518,12.5145
8292,Dani Olmo,RasenBallsport Leipzig,0.3903,0.1022,1.033,1.5286,0.2801,0.118,0.0842,0.2603,1.5523,0.0,1.3692,0.0,0.4788,1.2955,0.9561,0.708,1.0391,0.2663,0.6849,12.1469
319,Marco Reus,Borussia Dortmund,0.0,0.3105,0.8685,0.6967,0.0,0.0644,1.2173,1.0502,1.7481,-,0.0502,1.6288,0.4443,0.3249,1.5191,0.6981,0.2129,0.5841,0.4823,11.9004
1040,Angelino,RasenBallsport Leipzig,0.7049,0.0743,1.3141,1.1041,0.5103,0.2375,0.1929,0.4388,1.5959,0.9527,-,0.4148,0.8109,0.4723,0.5596,0.708,0.3297,0.3971,0.1922,11.0101
956,Andrej Kramaric,Hoffenheim,1.941,1.0674,0.348,-,-,-,-,0.6836,0.4341,0.8029,0.4602,0.5804,0.8703,0.0298,0.9222,0.332,0.6499,0.1863,1.467,10.7751
6145,Daichi Kamada,Eintracht Frankfurt,0.2649,0.2728,1.6356,0.3037,0.0408,1.4708,1.3073,0.1688,1.0159,0.3023,0.6682,0.0,-,1.1891,0.2327,0.0,0.4654,0.6166,0.4923,10.4472
337,Leroy Sané,Bayern Munich,2.8793,0.5049,-,-,0.1836,0.0,0.2146,0.7029,0.1355,0.4276,0.7394,0.1787,0.4443,1.9526,0.2049,0.8743,0.0,0.7639,0.0479,10.2544
223,Joshua Kimmich,Bayern Munich,2.2692,0.4706,0.3343,-,0.988,0.2075,0.0,-,-,-,-,-,0.146,1.8386,0.183,0.6861,0.6441,1.9166,0.399,10.083
391,David Alaba,Bayern Munich,-,0.6198,0.1647,0.6286,0.6611,0.0,0.0,1.001,0.544,0.0369,0.6757,0.6687,0.3699,2.2446,0.2562,1.1005,0.0168,0.9188,0.0479,9.9552
6484,Renato Steffen,Wolfsburg,0.1705,0.0201,-,0.0,1.0638,0.089,0.5912,2.0633,0.3102,1.5915,-,-,0.4533,0.211,0.9602,0.5096,0.0,0.4743,1.0538,9.5618
5735,Jean-Philippe Mateta,Mainz 05,0.3179,0.6944,0.046,0.0638,1.5356,0.0,1.2536,2.3781,1.128,1.4522,0.6115,0.0244,0.0,0.0,0.0,-,-,-,-,9.5055
7422,Christoph Baumgartner,Hoffenheim,1.1491,0.3068,0.2536,0.1013,0.0228,0.0874,0.7855,0.3675,0.8725,0.9104,0.9792,0.151,0.6097,0.2911,0.884,-,0.2142,0.2993,1.159,9.4444
8807,Silas Wamangituka,VfB Stuttgart,0.8752,0.8414,0.1236,0.0422,0.0,0.0,0.0411,0.7582,1.1294,1.129,0.5169,0.7054,0.2245,0.0323,1.5761,0.2142,-,1.0641,0.138,9.4116
335,Leon Goretzka,Bayern Munich,0.6912,0.3375,0.4809,1.3101,1.2343,-,0.1795,0.3906,0.1793,0.4276,0.5852,-,-,1.1578,0.0486,0.2658,0.5,1.0818,-,8.8702
8191,Giovanni Reyna,Borussia Dortmund,0.1867,0.1533,1.1364,1.554,0.5714,0.2596,1.1384,0.551,0.3446,0.3633,0.24,0.7809,0.2439,0.1229,0.2794,-,0.0,0.0539,0.5622,8.5419
226,Kingsley Coman,Bayern Munich,-,0.3375,-,0.6896,1.3653,-,0.0608,0.4012,0.6682,0.8514,0.8738,0.8437,0.0685,-,0.1043,0.6533,0.7849,0.1099,0.7213,8.5337
373,Mats Hummels,Borussia Dortmund,0.5025,0.5524,0.3934,0.4184,0.3142,0.5476,1.1644,0.7403,1.1951,0.191,0.0967,0.0394,0.0341,0.4754,0.5325,0.1468,0.2412,0.1127,0.8208,8.5189
6556,Moussa Diaby,Bayer Leverkusen,0.0941,0.6438,0.5097,0.1662,1.2246,0.1266,0.7741,0.4127,0.0143,1.1023,0.1635,0.4897,0.2451,0.0612,0.1485,0.3024,1.3586,0.2788,0.3101,8.4263
261,Julian Brandt,Borussia Dortmund,0.0,0.4412,0.5671,0.1839,0.4838,0.9984,0.4193,1.4107,0.4792,0.2287,0.0,0.5808,0.1158,-,0.0806,0.1823,0.9736,0.236,0.8537,8.2351
8808,Wataru Endo,VfB Stuttgart,0.4205,0.7818,0.0534,0.1071,0.0615,0.3257,0.3392,0.4114,0.2418,0.1921,0.5723,0.4383,0.0387,0.0489,1.6306,0.5199,1.1538,0.6968,0.1113,8.1451
5356,Breel Embolo,Borussia M.Gladbach,-,-,0.0,0.7228,0.599,0.0,0.0753,1.2812,0.9621,1.0038,0.7756,0.0785,0.6966,1.3616,0.1113,0.1573,-,0.2621,0.0,8.0872
7080,Matheus Cunha,Hertha Berlin,1.32,0.6988,0.5868,1.0008,0.1642,0.3008,0.9249,0.2326,0.0,0.0682,-,0.0601,0.0814,0.9917,-,0.1755,0.2038,0.9436,0.1934,7.9466
8397,Florian Wirtz,Bayer Leverkusen,0.0931,0.5064,0.339,-,0.381,0.7607,0.7604,0.3826,0.0741,0.9127,0.8184,0.9923,0.2122,0.5153,-,-,0.7027,0.1006,0.3822,7.9337
5266,Vincenzo Grifo,Freiburg,0.7238,0.1047,0.3717,0.3105,0.1186,1.0303,0.0973,0.382,0.4011,0.2719,0.287,0.6746,1.4661,0.1415,0.1985,0.1954,0.1535,0.9012,0.1031,7.9328
6088,Orel Mangala,VfB Stuttgart,0.621,0.1956,0.1892,0.2759,0.085,0.2033,0.6403,0.3707,0.1804,0.2044,0.8989,-,0.1834,0.0773,1.3973,0.1276,1.041,0.7986,0.3087,7.7986
7107,Jean-Paul Boëtius,Mainz 05,0.0,0.7135,0.0634,0.1156,0.6943,0.2354,1.2014,1.592,1.0506,0.6331,0.6115,-,0.0,0.21,0.4187,0.0769,0.0,-,0.0448,7.6612
208,Lars Stindl,Borussia M.Gladbach,0.3437,0.5436,0.5152,0.2013,1.0222,0.0,0.9423,0.4337,0.0,1.2915,0.059,0.2066,0.1517,0.6404,0.7532,0.4881,0.0,0.0,0.0,7.5925
8792,Fabian Klos,Arminia Bielefeld,0.4455,0.0156,0.8709,0.8401,0.0524,0.0,0.0912,0.0,1.1763,0.4888,0.0,0.2819,0.1052,0.4916,0.1548,0.0528,1.5423,0.1076,0.7436,7.4606
1275,Robin Quaison,Mainz 05,0.3179,0.7695,0.0,0.0,1.3798,0.1146,0.0,1.543,1.3889,0.1514,0.2598,0.0,0.1157,0.8927,0.305,0.0917,0.0,0.0374,0.034,7.4014
64,Filip Kostic,Eintracht Frankfurt,0.2457,0.0,-,-,-,-,0.0,0.0398,0.2193,0.4537,0.713,0.0307,1.7411,0.4622,0.0874,1.0127,0.4232,1.344,0.6259,7.3987
5249,Emil Forsberg,RasenBallsport Leipzig,1.2436,0.5721,0.6771,0.1536,0.3449,0.1445,0.1647,0.0,0.3892,1.1382,0.0703,0.0,0.5086,0.6881,0.0158,0.5355,0.6242,0.054,-,7.3244
7065,Florian Neuhaus,Borussia M.Gladbach,0.0612,0.3988,0.6789,0.5335,0.0,0.0641,0.0,0.4928,1.5095,0.4527,0.8831,-,0.7685,0.491,0.4829,0.2405,0.1441,0.1153,0.0,7.3169
158,Bas Dost,Eintracht Frankfurt,0.8922,0.2342,2.1631,0.3035,0.073,0.9356,1.1764,0.0,0.7769,0.0,0.7196,-,0.0,-,-,-,-,-,-,7.2745
82,Nadiem Amiri,Bayer Leverkusen,0.0,0.0,0.0,0.1342,0.3789,0.2119,0.2366,0.4992,-,1.4367,0.4924,1.482,0.2122,0.4541,0.0625,0.6175,0.7155,0.2748,-,7.2085
153,Maximilian Arnold,Wolfsburg,0.1485,0.1343,0.1125,0.3553,1.4963,-,0.3592,1.6604,0.4863,0.6118,0.016,0.512,-,0.1912,0.407,-,0.3702,0.2853,0.0515,7.1978
5243,Dayotchanculle Upamecano,RasenBallsport Leipzig,0.7248,0.0,0.7196,0.2086,0.6544,0.1941,-,0.1851,0.3542,0.5648,0.2828,0.4148,0.6833,0.4006,0.8564,0.0,0.718,0.1121,0.0811,7.1547
5221,Leon Bailey,Bayer Leverkusen,-,0.0,0.0,0.2936,1.5766,0.4017,0.8005,0.4986,0.0671,0.5153,0.6321,0.5195,0.1067,0.1408,0.3297,0.2666,0.8025,0.0975,0.0661,7.1149
220,Jérôme Boateng,Bayern Munich,0.3871,0.1515,0.2226,-,0.7385,0.0651,0.0,0.3055,0.4985,0.4819,0.0775,0.9122,0.1234,1.0868,-,0.7456,0.0,1.1341,0.1154,7.0457
3300,Christopher Nkunku,RasenBallsport Leipzig,0.2481,0.0743,0.8133,0.6505,0.5882,0.1689,0.3347,0.2831,0.8367,1.1382,-,-,-,-,-,0.6725,0.7924,0.08,0.3451,7.026
6271,Ihlas Bebou,Hoffenheim,0.0512,0.6569,0.0734,0.0843,-,-,0.0566,0.0,0.8012,0.7943,0.4264,0.0,0.573,0.3429,1.0658,0.2531,0.1392,0.4608,1.2151,6.9942
7876,Christopher Lenz,Union Berlin,0.7807,0.1629,0.6168,0.591,0.0833,1.4035,0.7498,0.1076,0.0761,0.0571,0.5617,0.4026,0.0,0.0929,0.2005,0.5052,0.0612,0.5409,-,6.9938
6475,Lucas Höler,Freiburg,1.3382,0.1689,0.0,0.3098,0.1416,0.2929,0.0839,0.8238,0.2046,1.1413,0.2273,0.0662,0.9071,0.078,0.5662,0.1172,0.335,0.0606,0.0866,6.9492
6708,Bote Baku,Wolfsburg,-,-,0.0,0.8021,0.4227,0.1578,0.034,0.4347,0.1162,0.6142,1.1345,0.2216,0.2788,0.1614,0.041,0.4735,0.4502,0.4432,1.1583,6.9442
6490,Manuel Akanji,Borussia Dortmund,0.0395,0.0598,0.3484,-,0.3308,0.6542,0.2258,0.8747,0.963,-,0.2041,1.1382,0.1806,0.3524,0.2625,0.0,0.2796,0.1196,0.7169,6.7501
7345,Alphonso Davies,Bayern Munich,-,0.345,0.5699,0.0,0.0,-,-,-,-,-,0.5531,-,0.2144,2.2828,0.1053,1.4913,-,1.0957,0.0667,6.7242
7868,Diadie Samassékou,Hoffenheim,0.5977,0.4396,-,0.5793,0.1942,0.5824,0.3581,0.1272,0.5563,0.1942,0.5756,0.0,-,0.0419,0.2061,0.1811,0.5806,0.2604,1.1883,6.663
5706,Dodi Lukebakio,Hertha Berlin,0.9692,0.5472,0.1134,0.4027,0.5885,0.3301,0.8508,0.2457,0.4833,0.0434,0.0851,0.1371,0.8274,0.4654,0.1341,0.0549,0.0314,-,0.1535,6.4632
8853,Maxence Lacroix,Wolfsburg,0.1757,-,0.1642,0.1731,0.3088,0.0485,0.4609,1.0724,0.4942,1.1457,0.1329,0.3659,0.0,0.0539,-,0.4353,0.3827,0.0,1.0259,6.4401
7074,Nicolás González,VfB Stuttgart,-,-,-,0.0,0.0234,0.1363,0.793,0.4031,-,-,0.4018,0.859,0.6422,0.6306,1.735,0.3367,-,0.3365,0.0921,6.3897
7783,Xaver Schlager,Wolfsburg,0.212,0.0,0.1166,0.1393,0.9467,0.1452,0.1453,1.0389,0.3982,0.252,0.4218,0.0962,-,0.4441,0.428,0.0,0.0,0.5395,1.0259,6.3497
188,Kevin Kampl,RasenBallsport Leipzig,0.5746,0.5006,0.8328,-,0.6695,0.1767,0.4032,0.1894,0.3806,0.0,0.6032,0.0,0.7716,0.6894,-,0.0,0.4686,-,0.085,6.3452
4291,Marc-Oliver Kempf,VfB Stuttgart,0.5134,0.5291,0.062,0.0,0.0,0.2095,0.6124,0.3523,0.1452,0.0755,0.6985,0.1385,0.5573,0.0323,0.7048,0.2883,0.6623,0.692,0.0691,6.3425
5353,Josip Brekalo,Wolfsburg,0.2735,0.1362,0.2352,0.5306,-,0.1917,0.4916,1.5155,0.4028,1.094,0.2269,0.1443,0.2193,0.493,0.1445,0.0,0.0193,0.176,0.0,6.2944
316,Gonzalo Castro,VfB Stuttgart,0.9793,0.1938,0.1477,0.6777,0.085,0.2972,0.7231,0.4081,0.182,0.2327,-,1.0242,0.0,0.0,0.9649,0.147,-,0.1478,0.0691,6.2796
8812,Sasa Kalajdzic,VfB Stuttgart,0.1535,1.6369,0.1892,0.8787,0.3786,0.0707,0.0208,0.11,0.145,0.0,-,0.311,0.0849,0.1057,0.0698,0.3862,0.9791,0.1009,0.5707,6.1917
8813,Tanguy Coulibaly,VfB Stuttgart,-,0.3353,0.0,0.8699,0.3171,0.1122,0.0833,0.2459,0.3718,0.0694,1.3869,0.7307,0.0,0.0,0.0698,0.1094,0.7161,0.6971,0.0,6.1149
2668,Martin Hinteregger,Eintracht Frankfurt,0.1703,0.0088,0.9179,0.0935,0.0,0.4359,1.1555,0.0391,0.7309,0.3739,0.1237,0.3003,0.5543,0.3417,0.1257,0.0993,0.0213,0.5139,0.0685,6.0745
4243,Christian Günter,Freiburg,0.1225,0.2118,0.0099,0.385,0.1498,0.3377,0.1002,0.3669,0.1093,0.5833,0.1325,0.6367,0.8263,0.0,0.6288,0.1305,0.2721,1.0665,0.0,6.0698
3363,Benjamin Pavard,Bayern Munich,0.5692,0.111,0.0703,0.5333,-,0.0127,-,0.3559,0.5218,0.4276,0.0375,-,-,1.173,0.1564,1.3663,0.3335,-,0.3696,6.0381
3059,Axel Witsel,Borussia Dortmund,0.0874,0.2276,0.7949,0.49,0.0371,0.3257,0.746,0.9077,1.0214,0.3006,0.1791,0.0,0.3724,0.5425,0.0,-,-,-,-,6.0324
7814,Taiwo Awoniyi,Union Berlin,-,0.3176,-,0.0903,0.0147,0.1474,0.0,0.4469,0.1548,0.1288,0.7381,0.4476,0.4815,1.1594,0.4395,0.4062,0.0175,0.5409,0.2966,5.8278
604,Emre Can,Borussia Dortmund,0.1057,0.2513,0.1657,0.1809,-,-,-,0.6863,0.9476,0.1706,0.0981,0.5808,0.4379,0.4196,0.9053,0.6347,-,0.1696,-,5.7541
5680,Thomas Meunier,Borussia Dortmund,0.0395,0.1422,0.3053,0.2145,0.388,0.5244,0.8357,0.9077,0.4792,-,-,-,0.4785,0.3299,0.6693,0.2065,0.1868,-,-,5.7075
6531,Alexander Sørloth,RasenBallsport Leipzig,-,0.0,0.0257,0.0753,0.3739,0.3471,0.5533,0.2341,0.5754,0.0,0.0189,0.0,0.0401,0.1029,1.8064,-,0.5961,0.3349,0.5908,5.6749
5235,Aymen Barkok,Eintracht Frankfurt,0.1856,0.3481,0.107,0.0318,0.0,0.9862,0.8516,0.4734,-,0.4218,0.0,0.82,0.1681,0.0,0.1271,0.508,0.0572,-,0.5862,5.6721
315,Matthias Ginter,Borussia M.Gladbach,0.0907,0.2231,0.4457,0.0,0.7076,0.0641,0.4595,0.4697,0.4057,0.6892,0.9162,0.1527,0.625,0.2412,0.0456,0.0728,0.0468,0.0,0.0,5.6556
22,John Brooks,Wolfsburg,0.0343,0.0,0.2481,0.1759,0.9818,0.1437,0.0807,1.4609,0.4856,0.6903,0.0,-,0.0308,0.1739,0.041,0.4353,0.0,0.1093,0.5533,5.6449
7877,Robert Andrich,Union Berlin,0.4775,0.2397,0.6349,0.1445,0.1329,1.1934,0.3711,0.0,0.5649,0.0137,-,-,-,0.497,0.2708,0.1016,0.0466,0.621,0.2844,5.594
7501,Amadou Haidara,RasenBallsport Leipzig,0.8638,0.0279,0.5513,-,-,0.0671,0.1431,0.3271,0.0237,0.8572,0.2376,0.0,0.2593,0.9241,0.3881,0.7259,0.0,0.1459,0.0,5.5421
5659,Nordi Mukiele,RasenBallsport Leipzig,0.0,0.0927,0.8365,0.7886,0.3294,-,0.2542,-,0.386,1.0244,0.0943,0.0,0.6295,-,-,0.5355,0.4607,0.08,0.0252,5.537
5248,Marcel Sabitzer,RasenBallsport Leipzig,-,-,-,-,0.1136,0.2329,0.2017,0.2831,0.3892,0.4204,0.6842,0.423,0.1058,0.8751,0.0216,0.5571,0.7656,0.297,0.1146,5.4849
8809,Mateo Klimowicz,VfB Stuttgart,0.3608,1.0502,0.0931,0.0,-,0.3513,0.3164,0.0,0.1599,-,1.233,0.0943,0.7379,0.0,0.3354,0.0,0.6563,0.0738,-,5.4624
7882,Sheraldo Becker,Union Berlin,0.0871,0.4175,0.6049,0.0124,0.8417,-,0.6418,0.2413,0.1227,0.0,0.7406,0.2823,0.0815,0.72,0.5004,0.0,-,0.1578,-,5.452
1277,Roland Sallai,Freiburg,1.2499,0.0434,0.017,0.4075,0.1338,0.7121,0.2175,0.3563,-,0.0,0.0,0.7184,0.2221,0.0,0.7226,0.1385,0.4333,-,-,5.3724
7075,Borna Sosa,VfB Stuttgart,-,0.4424,0.0293,-,-,0.1096,0.793,0.0718,0.1434,0.2735,0.5502,0.0943,0.596,0.0323,0.5518,0.5179,0.6135,-,0.552,5.371
306,Florian Niederlechner,Augsburg,0.0208,0.5577,0.7538,0.3441,0.205,-,0.1482,0.0,0.0778,0.381,0.0826,-,0.5674,0.9279,0.1033,0.0,0.099,0.852,0.183,5.3036
27,Vladimir Darida,Hertha Berlin,1.0716,0.0,0.138,0.1125,0.6348,0.2412,0.2107,0.3598,0.151,0.0466,0.1326,-,0.2363,1.0767,0.1124,0.0787,0.1256,0.5208,0.0,5.2493
48,Jhon Córdoba,Hertha Berlin,0.7393,0.0686,0.1433,0.397,0.4963,0.3709,0.1169,-,-,-,-,-,-,1.0319,0.3033,0.164,0.4596,0.9364,-,5.2275
7352,Tyler Adams,RasenBallsport Leipzig,0.7142,0.0,-,0.5564,-,-,0.0,0.1324,0.2202,1.0666,0.0189,0.0,0.5103,0.2261,0.866,-,0.0275,0.7605,0.1111,5.2102
5230,Thomas Delaney,Borussia Dortmund,0.463,-,0.0917,1.018,0.3612,0.598,1.1722,-,-,-,-,-,-,0.0681,0.0,-,0.694,-,0.7009,5.1671
8140,Munas Dabbur,Hoffenheim,0.0667,0.8297,0.5296,0.1013,0.5217,1.4855,0.5241,-,0.0,-,-,0.0,0.573,0.0154,-,0.2596,0.1337,0.0,0.1167,5.157
5254,Marcel Halstenberg,RasenBallsport Leipzig,0.7455,-,0.766,0.7327,-,-,-,-,0.2057,-,0.096,0.4148,0.5775,0.2776,0.4126,0.0,0.7672,0.1121,0.0,5.1077
75,Niklas Süle,Bayern Munich,0.3732,-,0.0,1.2024,-,0.0651,-,-,0.0879,0.4645,-,0.6687,0.5498,0.6615,0.12,-,-,0.8988,0.0,5.0919
5654,Baptiste Santamaria,Freiburg,-,0.0654,0.0394,0.1646,0.1414,1.0566,0.1186,0.2018,0.1762,0.2719,0.2455,0.1704,0.9282,1.0078,0.1893,0.0,-,-,0.286,5.0631
326,Pascal Stenzel,VfB Stuttgart,-,0.7681,-,0.2759,0.402,0.2049,0.1919,0.1558,-,0.0691,0.0,0.311,0.2245,0.0,1.0048,0.2218,0.6818,0.4338,-,4.9454
300,Daniel Didavi,VfB Stuttgart,0.4314,0.6797,0.0591,0.6362,0.085,-,0.0208,0.3757,-,-,-,0.3996,0.7819,-,0.1734,0.0303,0.5576,0.6492,-,4.8799
7109,Leandro Barreiro Martins,Mainz 05,0.0,0.1238,-,-,0.0,-,0.9959,1.1629,0.0,0.11,-,0.6327,0.0,0.6863,0.622,0.0,0.0637,0.4754,-,4.8727
106,Waldemar Anton,VfB Stuttgart,0.4968,0.7149,0.0,-,-,-,0.0326,0.2479,0.2395,0.0,0.1133,0.4052,0.0,0.4183,0.5384,0.4321,0.6517,0.5083,0.0691,4.8681
8317,Edmond Tapsoba,Bayer Leverkusen,0.0,0.0,0.1299,0.11,0.6723,0.2081,0.3731,-,-,0.0,0.6083,0.4728,0.0362,0.5153,0.2252,0.1583,0.732,0.2586,0.3628,4.8629
282,Makoto Hasebe,Eintracht Frankfurt,0.2448,0.0,0.9179,0.0,0.0,0.5428,0.7829,-,-,-,-,0.0126,0.1289,0.8582,0.1658,0.2023,0.3889,0.2951,0.2931,4.8333
370,Marvin Friedrich,Union Berlin,0.5182,0.0198,0.2427,0.1065,0.1134,1.2187,0.301,0.3369,0.0,0.0434,0.0671,0.0959,0.0,0.0651,0.2966,0.4542,0.0466,0.5908,0.278,4.7949
157,Daniel Caligiuri,Augsburg,0.3129,0.595,0.7827,0.0229,0.2019,0.2256,0.1356,0.4258,0.0393,0.1599,0.0553,0.2163,0.4449,0.7384,0.0258,0.0858,0.0895,0.1371,0.0737,4.7684
90,Sebastian Rudy,Hoffenheim,-,-,-,0.1564,0.1552,0.8351,1.2323,-,0.0,0.2404,0.0435,0.4573,0.2326,0.0,-,0.315,0.1337,0.0767,0.8725,4.7507
3310,Alassane Pléa,Borussia M.Gladbach,0.0451,0.4288,0.5637,-,0.1062,0.5446,0.0,-,1.3444,0.4295,0.1493,0.0,-,0.0239,-,0.3818,0.1843,0.4084,0.1353,4.7453
7295,Joshua Sargent,Werder Bremen,0.0513,0.2782,0.1845,0.5831,0.022,0.5269,0.3043,1.4864,-,0.0,0.3387,0.0283,0.0554,0.1338,0.0,0.1247,0.394,0.1276,0.0932,4.7324
9076,Philipp Förster,VfB Stuttgart,-,-,-,-,-,0.0,-,0.0,0.8613,0.079,1.0767,0.6641,-,0.4183,0.9548,-,0.1943,-,0.483,4.7315
7883,Marcus Ingvartsen,Union Berlin,0.6739,0.092,0.9925,0.1065,0.1837,-,-,0.4445,0.5721,0.1425,0.043,-,-,0.1231,0.2685,0.1823,0.1078,0.5409,0.2572,4.7305
161,Robin Knoche,Union Berlin,0.791,0.1912,0.7498,0.1282,0.1016,0.3187,0.2562,0.4445,0.0,0.0434,0.0,0.0244,0.0,0.72,0.1823,0.1139,0.0291,0.4869,0.146,4.7272
8171,Hannes Wolf,Borussia M.Gladbach,0.334,0.0593,0.0766,0.0,0.2759,0.0881,0.9766,0.6893,0.1933,0.6727,0.7069,0.0,0.0,0.0,0.0,0.1151,0.1843,0.2621,0.0698,4.704
155,Max Kruse,Union Berlin,0.6296,0.0721,0.6168,0.0379,0.1581,2.0579,0.7822,0.0849,0.1337,0.1211,-,-,-,-,-,-,-,-,-,4.6943
2276,Lucas Hernández,Bayern Munich,0.6599,-,0.0747,0.7472,1.0578,-,0.4264,0.0167,0.4023,-,-,0.7869,0.1055,-,-,-,0.3419,0.0344,-,4.6537
3339,Jérôme Roussillon,Wolfsburg,0.1485,0.0201,0.2905,0.2924,0.3306,0.1178,0.454,1.1804,0.4402,0.5679,0.1823,0.6019,-,-,-,-,-,-,-,4.6266
3603,Corentin Tolisso,Bayern Munich,0.7714,0.2031,0.2145,0.4934,-,-,0.1742,-,0.1399,-,0.0,0.5933,0.2189,1.7799,-,0.0147,0.0,-,-,4.6033
4248,Nils Petersen,Freiburg,0.771,0.0,0.017,0.5478,0.1088,0.4332,0.0327,0.5473,0.0461,0.5426,0.9795,0.2433,0.0,0.0995,0.0,0.14,0.0,0.0,0.0866,4.5954
6496,Ermedin Demirovic,Freiburg,-,0.0,-,0.0,0.0,0.021,-,0.0,0.2395,0.6667,0.3339,0.1743,0.3799,0.5258,0.5335,0.0564,0.4333,1.1564,0.0675,4.5882
140,Yannick Gerhardt,Wolfsburg,0.0,0.0199,0.0513,0.0426,0.0,0.2058,0.0475,-,-,-,-,-,0.5155,0.2799,1.0157,0.4735,0.0,0.2782,1.641,4.5709
125,Maximilian Eggestein,Werder Bremen,0.1271,0.0233,0.1268,0.4066,0.0761,0.2009,0.2091,1.1061,0.0702,0.2027,0.0458,0.0561,0.7361,0.2462,0.0,0.5569,0.1156,0.1116,0.1484,4.5656
1236,Patrik Schick,Bayer Leverkusen,0.0,0.0988,0.0,-,-,-,-,0.0,0.0836,1.3924,0.4448,1.4856,0.1894,0.0796,0.1906,0.3496,0.1278,-,0.0,4.4422
262,Leonardo Bittencourt,Werder Bremen,0.0625,0.1808,0.2721,0.5597,0.022,0.398,0.1935,0.6901,0.6987,0.0,0.3845,0.0097,-,0.2085,-,-,0.1422,0.3318,0.1484,4.3025
7813,Jeremiah St. Juste,Mainz 05,0.0,0.1837,0.0,0.0968,0.543,0.676,0.5977,0.5005,1.0142,0.1634,0.291,0.0,0.0,0.0827,0.1057,-,-,0.0,0.037,4.2917
7267,Woo-Yeong Jeong,Freiburg,1.1472,0.0,0.0099,0.0858,0.0,0.0125,0.13,-,-,-,0.3339,0.1743,0.2296,-,0.5662,-,0.0326,1.2832,0.1924,4.1976
7289,Amin Younes,Eintracht Frankfurt,-,-,-,0.2811,0.0,0.5105,0.428,-,-,-,0.0,0.1483,0.5005,1.1479,0.1071,0.2865,0.28,0.2096,0.2946,4.1941
320,Jonas Hofmann,Borussia M.Gladbach,0.3697,0.0814,0.3088,0.1733,0.0,0.3787,0.1132,-,-,-,-,-,-,1.1494,0.8781,0.1691,0.0468,0.4706,0.0348,4.1739
7831,Stefan Lainer,Borussia M.Gladbach,0.0613,0.0496,0.1621,0.5219,0.2149,0.0641,0.0648,0.7563,0.0,0.9602,0.0773,0.0785,0.156,0.3412,0.1075,0.3902,0.0967,0.0,0.0698,4.1724
4250,Nicolas Höfler,Freiburg,0.4233,0.0203,0.0099,0.3268,0.0608,0.2929,0.0675,0.1153,0.1892,0.2553,0.4833,0.1215,0.1977,0.0222,0.4993,0.1736,-,0.7846,0.1249,4.1684
8065,Iago,Augsburg,0.2866,0.109,0.7384,-,0.1076,0.9853,0.0657,0.0731,0.1082,-,-,-,0.5315,0.7429,0.0911,-,0.1737,0.0906,0.0615,4.1652
290,Mijat Gacinovic,Hoffenheim,0.0937,0.0,0.0174,0.4648,0.0317,0.1377,0.8091,0.0,0.0,0.0,0.0,0.0574,-,-,1.2748,0.1493,0.1768,0.1603,0.79,4.163
8791,Ritsu Doan,Arminia Bielefeld,0.1131,0.0155,0.0351,0.5257,0.4617,0.0,0.0366,0.0,0.7625,0.2912,0.0708,0.3733,0.5407,0.0151,0.1221,0.2549,0.3052,0.087,0.1525,4.163
6338,Lucas Alario,Bayer Leverkusen,0.12,-,0.2887,0.3041,0.297,0.8646,0.3389,0.1824,-,-,0.0,0.0,0.0,0.0796,0.1256,0.0,0.8387,0.2818,0.4308,4.1522
