id,name,team,1,2,3,4,5,total
453,Son Heung-Min,Tottenham,3,2,2,5,3,15
2249,James Rodríguez,Everton,5,2,3,2,3,15
1250,Mohamed Salah,Liverpool,4,5,2,3,1,15
675,Jack Grealish,Aston Villa,3,2,5,4,-,14
1228,Bruno Fernandes,Manchester United,5,2,1,6,-,14
447,Kevin De Bruyne,Manchester City,6,3,5,-,-,14
647,Harry Kane,Tottenham,2,4,2,3,2,13
534,Aaron Cresswell,West Ham,0,2,4,4,2,12
1823,Lucas Digne,Everton,1,5,1,1,3,11
7698,Leandro Trossard,Brighton,2,3,3,1,2,11
8719,Kalvin Phillips,Leeds,2,2,5,0,1,10
7723,John McGinn,Aston Villa,3,4,1,2,-,10
7153,Matheus Pereira,West Bromwich Albion,1,1,2,1,4,9
6891,Ryan Fredericks,West Ham,5,2,2,-,-,9
7708,John Lundstram,Sheffield United,2,1,4,1,1,9
482,Roberto Firmino,Liverpool,0,3,2,2,2,9
1791,Trent Alexander-Arnold,Liverpool,2,2,3,1,1,9
1688,Andrew Robertson,Liverpool,1,0,2,2,3,8
838,Sadio Mané,Liverpool,4,0,2,-,2,8
8720,Jack Harrison,Leeds,0,0,5,-,3,8
7768,Mason Mount,Chelsea,2,0,4,-,2,8
8067,Reece James,Chelsea,2,0,6,-,0,8
3683,Ivan Cavaleiro,Fulham,2,2,1,0,3,8
6382,Pedro Neto,Wolverhampton Wanderers,1,2,3,2,0,8
6049,Solly March,Brighton,1,1,1,2,3,8
1726,Abdoulaye Doucouré,Everton,4,0,0,3,1,8
775,Andros Townsend,Crystal Palace,2,2,2,1,0,7
782,Ben Chilwell,Chelsea,-,-,-,3,4,7
3422,João Moutinho,Wolverhampton Wanderers,4,1,1,0,1,7
556,Marcus Rashford,Manchester United,2,1,1,3,-,7
700,Willian,Arsenal,3,1,1,0,2,7
6434,Franck Zambo,Fulham,1,3,1,1,1,7
618,Raheem Sterling,Manchester City,1,0,5,1,-,7
4381,Mateusz Klich,Leeds,0,1,3,2,1,7
8020,Steven Alzate,Brighton,2,1,3,1,-,7
750,Riyad Mahrez,Manchester City,-,3,2,1,-,6
6835,Tom Cairney,Fulham,0,-,3,0,3,6
6756,Dwight McNeil,Burnley,2,0,2,2,-,6
318,Pierre-Emerick Aubameyang,Arsenal,1,3,0,0,2,6
2446,Dani Ceballos,Arsenal,0,1,1,2,2,6
5220,Kai Havertz,Chelsea,1,0,2,3,0,6
769,Jonjo Shelvey,Newcastle United,3,1,1,1,0,6
7236,Leander Dendoncker,Wolverhampton Wanderers,1,0,-,3,2,6
8226,Tariq Lamptey,Brighton,2,0,0,1,3,6
5560,Scott McTominay,Manchester United,3,-,0,3,-,6
1760,Arthur Masuaku,West Ham,-,1,4,0,1,6
531,Michail Antonio,West Ham,1,0,1,2,2,6
843,James Ward-Prowse,Southampton,1,2,0,3,0,6
7722,Trézéguet,Aston Villa,3,0,3,0,-,6
343,Pierre-Emile Højbjerg,Tottenham,0,0,2,2,1,5
503,Theo Walcott,Southampton,-,-,-,-,5,5
8716,Luke Ayling,Leeds,0,0,1,1,3,5
8865,Ollie Watkins,Aston Villa,2,1,2,0,-,5
468,Callum Wilson,Newcastle United,2,0,0,2,1,5
7420,Miguel Almirón,Newcastle United,1,3,1,-,0,5
2335,Pablo Fornals,West Ham,0,1,1,3,0,5
7700,Che Adams,Southampton,1,2,1,0,1,5
7187,Sergio Reguilón,Tottenham,-,-,-,4,1,5
7721,Conor Hourihane,Aston Villa,2,3,-,-,-,5
3621,Neal Maupay,Brighton,0,1,3,0,1,5
522,Wilfried Zaha,Crystal Palace,0,4,0,1,0,5
8864,Matthew Cash,Aston Villa,2,1,1,0,-,4
7691,Jamal Lewis,Newcastle United,3,0,0,0,1,4
5556,Ademola Lookman,Fulham,-,-,-,1,3,4
669,Ashley Westwood,Burnley,1,2,0,1,-,4
2381,Rodrigo,Leeds,0,0,0,2,2,4
835,Ryan Bertrand,Southampton,1,0,2,1,0,4
101,Allan Saint-Maximin,Newcastle United,0,0,-,2,2,4
633,James McArthur,Crystal Palace,1,0,1,2,0,4
6026,Richarlison,Everton,1,2,0,0,1,4
1389,Jorginho,Chelsea,2,0,-,2,0,4
5553,Declan Rice,West Ham,1,2,0,1,0,4
6157,Timothy Castagne,Leicester,0,2,1,1,0,4
8288,Tomas Soucek,West Ham,2,1,0,0,1,4
5973,Kenny Tete,Fulham,-,2,2,-,-,4
1234,Dennis Praet,Leicester,1,2,1,-,0,4
8285,Sander Berge,Sheffield United,1,0,2,0,1,4
900,Adama Traoré,Wolverhampton Wanderers,0,3,0,0,1,4
6456,Callum Hudson-Odoi,Chelsea,0,-,2,2,-,4
5681,Giovani Lo Celso,Tottenham,-,1,2,-,-,3
4866,Aboubakar Kamara,Fulham,0,0,3,0,-,3
986,Danny Ings,Southampton,1,0,0,2,0,3
757,Jeffrey Schlupp,Crystal Palace,0,3,-,-,0,3
714,Gylfi Sigurdsson,Everton,0,1,0,2,0,3
65,Timo Werner,Chelsea,1,1,0,0,1,3
87,Joelinton,Newcastle United,1,0,0,1,1,3
492,Héctor Bellerín,Arsenal,1,0,0,2,0,3
2379,João Cancelo,Manchester City,-,-,-,3,-,3
4422,Ashley Barnes,Burnley,-,-,2,1,-,3
1006,Luke Shaw,Manchester United,0,0,1,2,-,3
554,Juan Mata,Manchester United,-,-,-,3,-,3
8323,Josh Brownhill,Burnley,2,0,1,0,-,3
7991,Aaron Connolly,Brighton,0,1,1,0,1,3
2496,Rodri,Manchester City,1,0,0,2,-,3
619,Sergio Agüero,Manchester City,-,-,-,3,-,3
773,Aleksandar Mitrovic,Fulham,0,0,1,2,0,3
6055,Phil Foden,Manchester City,1,0,2,0,-,3
486,Adam Lallana,Brighton,2,0,0,1,0,3
771,Georginio Wijnaldum,Liverpool,2,0,1,0,0,3
605,Jordan Henderson,Liverpool,0,1,-,-,2,3
6842,Alireza Jahanbakhsh,Brighton,0,1,2,-,-,3
229,Thiago Alcántara,Liverpool,-,1,-,-,2,3
7332,Max Kilman,Wolverhampton Wanderers,-,-,-,2,1,3
885,Kyle Walker-Peters,Southampton,1,1,1,0,0,3
620,Kelechi Iheanacho,Leicester,-,-,0,1,2,3
6893,Stuart Armstrong,Southampton,-,1,0,2,-,3
6651,Grady Diangana,West Bromwich Albion,1,0,1,0,1,3
