id,name,team,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,total
453,Son Heung-Min,Tottenham,0,4,0,2,1,1,0,0,1,0,1,0,1,0,0,1,0,0,-,12
5555,Dominic Calvert-Lewin,Everton,1,3,1,1,1,0,1,0,2,0,1,0,0,0,0,0,-,-,-,11
822,Patrick Bamford,Leeds,1,1,1,0,0,3,0,1,0,0,1,0,1,0,0,0,0,0,-,9
647,Harry Kane,Tottenham,0,1,0,1,2,0,0,1,0,0,1,1,0,0,0,0,1,1,-,9
1250,Mohamed Salah,Liverpool,1,0,0,2,1,0,0,0,-,0,1,0,1,2,0,0,0,0,-,8
556,Marcus Rashford,Manchester United,0,1,0,1,0,0,0,0,0,1,0,2,0,1,1,0,0,0,-,7
838,Sadio Mané,Liverpool,0,2,1,-,1,0,0,0,0,0,0,0,0,1,1,0,0,0,-,6
3277,Alexandre Lacazette,Arsenal,1,1,1,-,0,0,0,0,-,0,0,0,-,0,0,1,2,0,0,6
1228,Bruno Fernandes,Manchester United,0,0,0,1,0,0,2,0,1,0,0,0,1,1,0,0,0,0,-,6
702,Tammy Abraham,Chelsea,-,0,1,0,0,0,0,1,1,0,0,0,0,2,1,-,-,0,0,6
522,Wilfried Zaha,Crystal Palace,1,1,0,0,0,1,0,0,-,-,2,0,0,0,0,1,0,0,-,6
6818,James Maddison,Leicester,0,0,1,-,0,0,0,0,0,0,0,2,0,0,0,-,1,1,1,6
6681,Harvey Barnes,Leicester,0,1,0,0,0,0,1,0,0,1,-,0,0,0,1,1,0,1,0,6
531,Michail Antonio,West Ham,0,1,0,1,0,1,-,-,-,0,-,-,-,-,-,0,0,1,1,5
1776,Jarrod Bowen,West Ham,0,0,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,5
8288,Tomas Soucek,West Ham,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,1,0,0,5
755,Jamie Vardy,Leicester,0,0,1,0,-,1,1,0,0,0,1,1,0,0,0,0,0,0,0,5
8865,Ollie Watkins,Aston Villa,0,0,3,0,0,0,2,0,0,0,0,0,0,0,0,-,-,-,-,5
675,Jack Grealish,Aston Villa,0,1,2,0,0,1,0,0,1,0,0,0,0,0,0,-,-,-,-,5
986,Danny Ings,Southampton,0,1,1,0,1,0,1,-,-,-,0,0,0,0,-,0,1,-,-,5
482,Roberto Firmino,Liverpool,0,0,0,0,0,1,0,0,1,0,0,0,1,2,0,0,0,0,-,5
6854,Diogo Jota,Liverpool,-,-,1,0,0,1,1,0,1,1,0,-,-,-,-,-,-,-,-,5
618,Raheem Sterling,Manchester City,0,0,1,1,0,0,0,0,-,1,0,0,1,0,0,0,1,-,-,5
7711,David McGoldrick,Sheffield United,0,0,0,1,0,0,0,1,0,-,-,0,2,0,0,0,0,0,1,5
3621,Neal Maupay,Brighton,0,1,0,1,0,0,-,0,0,0,0,0,-,0,1,0,0,0,1,4
7700,Che Adams,Southampton,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,-,0,-,4
6382,Pedro Neto,Wolverhampton Wanderers,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,4
4105,Raúl Jiménez,Wolverhampton Wanderers,1,1,0,0,1,1,0,0,0,0,-,-,-,-,-,-,-,-,-,4
6827,Bobby Reid,Fulham,0,1,0,0,-,0,1,0,1,0,0,1,0,0,0,0,0,-,-,4
935,Kurt Zouma,Chelsea,1,0,-,1,0,0,1,0,0,0,1,0,0,0,0,-,0,-,-,4
65,Timo Werner,Chelsea,0,0,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,4
7322,Bukayo Saka,Arsenal,-,0,-,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,4
6055,Phil Foden,Manchester City,1,0,0,0,1,0,-,0,0,-,-,0,-,0,1,1,0,-,-,4
750,Riyad Mahrez,Manchester City,-,1,0,0,0,0,-,0,3,0,0,-,0,-,0,0,-,-,-,4
314,Ilkay Gündogan,Manchester City,-,-,-,0,0,0,0,-,0,0,-,1,0,1,1,0,1,-,-,4
318,Pierre-Emerick Aubameyang,Arsenal,1,0,0,0,0,0,0,0,0,0,0,0,1,-,-,0,0,0,2,4
843,James Ward-Prowse,Southampton,0,0,0,0,0,1,2,0,0,1,0,0,0,0,0,0,0,0,-,4
468,Callum Wilson,Newcastle United,1,0,0,1,0,0,1,0,-,1,0,0,0,-,0,0,0,0,-,4
6144,Sébastien Haller,West Ham,0,0,1,0,-,0,0,0,1,0,0,0,1,0,0,0,0,-,-,3
8291,Daniel Podence,Wolverhampton Wanderers,0,0,-,0,0,0,1,0,0,1,0,0,1,0,0,0,-,-,-,3
5962,Tanguy NDombele Alvaro,Tottenham,0,0,0,1,0,0,0,0,0,0,-,0,-,0,1,0,0,1,-,3
695,Bertrand Traoré,Aston Villa,-,0,0,0,0,0,-,0,0,0,0,1,1,0,1,-,-,-,-,3
2381,Rodrigo,Leeds,0,0,0,1,0,0,-,-,0,0,0,0,1,0,0,1,0,0,-,3
606,Christian Benteke,Crystal Palace,-,-,0,-,0,-,0,0,0,0,2,0,1,-,0,0,0,0,-,3
5612,Anwar El Ghazi,Aston Villa,-,-,-,-,-,-,0,0,0,0,0,1,1,1,0,-,-,-,-,3
2249,James Rodríguez,Everton,0,1,0,2,0,0,-,0,0,0,0,-,-,-,-,0,0,-,-,3
