id,name,team,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,total
5555,Dominic Calvert-Lewin,Everton,0.1497,2.6107,1.1624,0.4896,0.6323,0.0,0.7298,0.0436,1.2041,0.2155,1.5808,0.0588,1.0228,0.2399,0.2396,0.1401,-,0.1712,0.0286,1.3262,0.581,-,-,0.4431,0.098,0.4793,0.0285,-,13.6756
822,Patrick Bamford,Leeds,0.0711,0.091,0.6921,0.532,0.1886,1.0026,1.5984,0.4572,1.0268,0.8107,0.6894,0.2467,0.7198,0.5187,0.046,0.5403,0.661,0.0,0.0986,0.3672,0.2294,1.0136,0.0529,0.1365,0.4573,0.0989,0.8346,-,13.1814
647,Harry Kane,Tottenham,0.1584,0.6855,1.5078,0.7206,0.737,0.2189,0.5882,0.6684,0.0,0.0446,0.3019,0.5046,0.5002,0.2844,0.1279,0.2895,0.8275,0.3359,0.0,-,-,0.9039,0.0689,0.2942,0.7446,0.7694,0.8503,-,12.1326
8865,Ollie Watkins,Aston Villa,0.1116,0.5731,1.8282,0.063,0.344,0.0959,1.0726,0.0,0.498,0.0902,0.3344,0.1307,1.9404,0.0244,0.4579,0.0368,0.6848,1.2412,0.3388,0.5179,0.3479,0.0,0.0727,0.1197,0.1146,0.2625,-,-,11.3013
65,Timo Werner,Chelsea,0.4197,0.0336,0.5845,0.1036,1.0501,0.0556,0.4598,0.7559,0.4575,0.0742,1.5061,0.1008,0.2265,0.752,0.1536,0.0612,0.0091,0.3551,0.0,-,0.1876,0.5404,0.2827,1.5178,0.0599,0.0362,0.5802,0.6801,11.0438
482,Roberto Firmino,Liverpool,0.1302,0.1402,0.0877,0.3965,0.1776,0.8676,0.0,0.0488,2.3536,0.0646,0.0,0.0446,0.4016,0.8494,0.294,0.489,0.1229,0.7055,0.2694,1.0464,0.0,0.2132,0.05,0.8598,0.4066,0.4828,0.0219,-,10.5239
531,Michail Antonio,West Ham,0.1882,1.6982,0.2323,0.48,0.2548,0.1098,-,-,-,0.0,-,-,-,-,-,0.0,0.0412,0.9306,0.5561,1.6537,0.0902,0.5913,0.0,-,1.6223,1.5578,0.0,-,10.0065
618,Raheem Sterling,Manchester City,0.0685,0.3383,0.3646,0.3683,0.3298,0.0786,0.0394,0.0909,-,1.1476,0.0688,0.8104,0.1458,0.1922,0.1234,0.0601,0.121,0.1831,1.1918,-,0.9771,0.8311,0.1145,0.0,1.0274,-,0.5553,0.3535,9.5815
1250,Mohamed Salah,Liverpool,0.4175,0.2213,0.2181,0.5826,0.3813,0.8926,0.1436,0.0378,-,0.0774,0.5458,0.1175,0.3166,0.3621,0.1908,0.6354,0.3883,0.1729,0.1621,0.1304,0.8133,0.802,0.0367,0.4378,0.4825,0.7914,0.0191,0.1675,9.5444
838,Sadio Mané,Liverpool,0.3237,0.8314,1.2821,-,1.1268,0.3662,0.0808,0.0,0.5632,0.0,0.3475,0.2307,0.3206,0.2692,0.6152,0.106,0.4923,0.0309,0.184,1.2929,-,-,0.1605,0.2457,0.3915,0.0,0.0,0.1891,9.4503
755,Jamie Vardy,Leicester,0.0,0.0892,0.4432,0.3022,-,0.6616,1.1701,0.0264,0.7764,0.2778,0.42,0.9943,0.4658,0.4661,0.2228,0.0,0.0,0.8403,0.3082,-,-,-,0.0588,1.3956,0.2286,0.0,0.0596,0.078,9.285
453,Son Heung-Min,Tottenham,0.0525,1.3486,0.0702,0.4372,0.6597,0.4908,0.0319,0.4124,0.3571,0.0,0.0192,0.1158,0.3482,0.5937,0.0536,0.3966,1.4992,0.3945,0.0753,0.0758,0.0924,0.5482,0.0,0.0752,0.2684,0.0641,0.3084,-,8.789
468,Callum Wilson,Newcastle United,0.9158,0.4212,0.0,0.9005,0.6542,0.0557,1.0351,0.0,-,0.5163,0.0,0.6277,0.1084,-,0.3245,0.0,0.7822,0.0936,0.0,0.0479,1.7013,0.28,0.1364,-,-,-,-,-,8.6008
3621,Neal Maupay,Brighton,0.3265,0.6561,0.1336,0.8818,0.4235,0.4067,-,0.173,0.8932,0.0,0.0887,0.1372,-,0.5071,0.5205,0.0,0.0576,0.034,0.7786,1.0801,0.1528,0.1142,0.1656,0.3064,0.0843,0.2621,0.0757,-,8.2593
556,Marcus Rashford,Manchester United,0.0368,0.6311,0.0,0.6152,0.1318,0.0301,0.3668,0.5821,0.4046,1.0256,0.0437,0.6096,0.2903,1.0687,0.1135,0.2723,0.0,0.0484,0.0,0.1157,0.0532,0.492,0.4526,0.0185,0.0705,0.0852,0.1,0.026,7.6843
7700,Che Adams,Southampton,0.5064,1.1913,0.1407,0.4238,0.6972,0.1518,0.0,0.2784,0.1171,0.065,0.0,0.6707,0.0336,0.2998,0.0,0.333,-,0.0676,0.0582,0.7298,0.3333,0.0493,0.2356,0.0,0.528,0.0,0.5316,-,7.4422
553,Anthony Martial,Manchester United,0.0141,0.0607,0.0,-,-,-,0.2914,0.5818,-,0.0656,0.0,0.9112,0.9973,0.1393,0.0514,0.5119,0.7302,0.0,0.3352,0.0721,0.0309,1.4777,-,0.0,0.1095,0.0,-,1.0254,7.4057
